Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(1),J_5s1/2(2),J_total_Y_relativistic
2.5,0.042458829777732805,0.13455640008562683,0.07814044840264625,0.16030375513602385,0.13557435903519124,0.19022083721755706,0.3828324459208834,0.3222839165519588,0.4861067402375656,0.059851889988044214,0.031830952503817546,0.059825398430725596,0.00995007642524782,0.0051710153355854415,2.0991070650486066
2.5500000000000003,0.042437535680961244,0.13372352522222483,0.07811120669506004,0.16023870654552497,0.13018674797493715,0.18759463623856146,0.3772355621761837,0.32073101319928593,0.4837053807504011,0.0594386494579636,0.029506742848959808,0.055786809915510896,0.008945699506485138,0.005170258444933118,2.0728124746569927
2.6,0.04241583501540385,0.1328800519689157,0.07808037623823294,0.16017013949848818,0.12494726692270003,0.18491472040557924,0.37153202856870804,0.3191038791225646,0.4811904654157122,0.05891099214872515,0.02753873364265503,0.05240945900205956,0.008049313085147954,0.005168559544765448,2.047311820579658
2.6500000000000004,0.04239372865505387,0.13202627937439557,0.0780479109520506,0.16009795343825922,0.11985843345322976,0.18218451282784193,0.36572949395301246,0.31740287590915706,0.47856266151423915,0.05826715482064486,0.02588560872089154,0.049611299466634576,0.007250582162473265,0.005162124089042861,2.0224806193369265
2.7,0.042371217489528906,0.13116250811151955,0.07801376499682916,0.16002204845419388,0.11492226159163178,0.1794075242638508,0.35983576341572887,0.31562856824930857,0.4758229480627939,0.05750828128496774,0.024509222939340516,0.04731714989208986,0.006540051417428473,0.005148144322532461,1.9982094544917444
2.75,0.04234830242399544,0.130289040291142,0.07797789281960307,0.15994232538585787,0.11014028014110933,0.17658733703487964,0.35385876261973476,0.31378171698906626,0.47297260443288286,0.05663789396663484,0.023374537790457173,0.04545846972293992,0.005909080566604868,0.005124645654612362,1.97440288983952
2.8000000000000003,0.04232498437909208,0.1294061792768987,0.07794024919977938,0.15985868592563215,0.1055135520547319,0.17372758926104057,0.34780650310044764,0.31186327126866026,0.470013197598135,0.05566142023614796,0.022449526758835714,0.043973084126643545,0.005349783313206309,0.00509034936439696,1.9509783758636483
2.85,0.04230126429085162,0.12851422950109578,0.07790078929410844,0.15977103271960993,0.1010426946883727,0.170831959502258,0.3416870486861098,0.3098743598671983,0.46694656820120495,0.05458577174315997,0.02170505733034655,0.042804871331521714,0.004854969829963287,0.005044550919132071,1.9278651679049332
2.9000000000000004,0.04227714311062186,0.12761349628186583,0.07785946868092339,0.15967926946667527,0.09672790077730725,0.16790415187781502,0.3355084831930929,0.307816281872826,0.46377481562732736,0.05341897428429386,0.021114755640033647,0.04190342408719507,0.00441809270454503,0.004987012987402778,1.9050032705919255
2.95,0.04225262180498524,0.12670428564174943,0.07781624340360152,0.1595833010156576,0.09256895998508308,0.1649478817294746,0.3292788795267099,0.3056904967945033,0.4605002822662245,0.052169845240537645,0.020654858885358663,0.04122369505831776,0.004033196255373425,0.004917872106066443,1.8823424197136434
