Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_total_Rn_relativistic
1.5,0.008216516611772319,0.029237144936485326,0.014227930724689078,0.01646886038820846,0.06179756987210857,0.0376922033043826,0.04136303447346032,0.026592208024004225,0.027394107036774914,0.10619749052984777,0.0808514562328514,0.08820013843140787,0.06647374933802416,0.06826837479931676,0.05464115676514838,0.05538786172233466,0.1127728808475318,0.1525054299698464,0.15687350325718039,0.16048370146646024,0.1630730686858324,0.04740933534443213,0.03047542868956511,0.01756218986651292,5.982199452609171
1.55,0.008216103701451457,0.029220966244456564,0.014227905426790378,0.016468814236675657,0.06160597764948257,0.03768966365200957,0.04135902240002029,0.02659218660416772,0.027394081483423184,0.10474278382188668,0.08073876831876103,0.08802837235160639,0.06646431698166892,0.06825718269658769,0.054639843127234765,0.055386392433571144,0.10642510505113835,0.14924385766100895,0.15239251396151698,0.15784680295469508,0.1600528084375401,0.04739085656285388,0.026728087869111673,0.01630000357859284,5.899422918130961
1.6,0.008215677284842708,0.02920426755513409,0.014227877579474048,0.01646876342932788,0.06140876272353393,0.03768687327891479,0.04135461642609335,0.026592161514469602,0.02739405155615648,0.10326274405418943,0.08061609109707023,0.08784180978510588,0.06645340797232771,0.06824424891777912,0.05463824513314557,0.05538460650778672,0.1003185668507565,0.14584969560070746,0.1477849253443326,0.15504131063853266,0.15685762723704202,0.0473003808619472,0.023771495315287078,0.015432907819203761,5.817486365248321
1.6500000000000001,0.008215237365015818,0.02918704987210652,0.014227847018192328,0.016468707666278743,0.06120598646424981,0.03768381693148,0.04134979294458091,0.026592132276274088,0.027394016685493672,0.10175918437268937,0.08048299068351532,0.08763987522970784,0.06644086021611896,0.06822938458407733,0.05463631628673132,0.05538245255320052,0.09446527758605833,0.14233361656752783,0.14306989238741313,0.15207530431465613,0.15349859387896322,0.0470779248522678,0.021477846155728494,0.014864319896927707,5.73584658450269
1.7000000000000002,0.008214783945137452,0.029169314229581886,0.014227813573473585,0.016468646638789455,0.06099771181774456,0.03768047901816677,0.0413445278713729,0.026592098367384583,0.027393976250316473,0.10023392564044242,0.08033904332774874,0.08742201600953486,0.06642650214664908,0.06821239019808253,0.05463400510417979,0.05537987375091938,0.08887492305351553,0.13870707508130692,0.13826706846782946,0.14895822141274542,0.14998810183001918,0.046684433190957005,0.019733231154540315,0.014514638941299717,5.654110177790595
1.75,0.008214317028471148,0.029151061692272853,0.014227777070950003,0.016468580029330264,0.06078400327343638,0.03767684362222639,0.041338796668657786,0.026592059219809755,0.027393929575251715,0.09868879293972749,0.08018383688689804,0.08718770452871877,0.06641015291870084,0.0681930559319823,0.05463125493145712,0.05537680767252752,0.0835549303352563,0.13498217319027486,0.13339636658981277,0.14570067848658044,0.14633964170482247,0.04609810342840345,0.018437110904799624,0.014318926492516173,5.572012714723242
1.8,0.008213836618377256,0.029132293355278612,0.014227737331386037,0.0164685075116436,0.0605649268305197,0.03767289451465239,0.04133257436862403,0.026592014217521734,0.02739387592804839,0.09712561211971435,0.08001697224861602,0.08693644040401624,0.06639162266287243,0.06817116198804668,0.05462800379282779,0.05537318613336956,0.0785105517874424,0.13117152475525154,0.1284777315948318,0.14231428572712637,0.1425675730769897,0.0453110288725307,0.017501579240251627,0.014224824640590276,5.48939909763938
1.85,0.008213342718312897,0.02911301034396352,0.014227694170707666,0.01646842875080893,0.060340549963758774,0.03766861516736354,0.04132583559752708,0.026591962694211012,0.02739381451695508,0.09554620639846172,0.0798380646989789,0.0866677524688822,0.0663707128002936,0.06814647902985102,0.05462418427323502,0.05536893508440279,0.07374496400669257,0.12728812032513034,0.12353092630269832,0.13881145921325955,0.13868690068312609,0.04432619719795762,0.016850493572448694,0.014190703494942492,5.406205394112271
1.9000000000000001,0.0082128353318319,0.02909321381383244,0.014227647400032404,0.01646834340330928,0.06011094158862817,0.03766398876660511,0.04131855460009541,0.026591903931042667,0.027393744488103437,0.09395239302766299,0.07964674523090201,0.08638120064232534,0.06634721641607566,0.06811876868206179,0.05461972343690633,0.055363974545004455,0.06925937956734005,0.12334519451460965,0.11857533397092013,0.13520523502967496,0.13471305922726806,0.04315485808107908,0.01641853105310222,0.014184024051923176,5.3224422762987915
1.9500000000000002,0.008212314462584752,0.029072904950402885,0.014227596825700087,0.016468251117099438,0.0598761720258264,0.03765899822655577,0.04131070526424904,0.02659183715441853,0.02739366492290337,0.09234598002818815,0.07944266178907024,0.08607637765668147,0.06632091868970383,0.06808778409608134,0.05461454278410181,0.05535821857859962,0.0650531693325855,0.11935609759255794,0.11362977890543866,0.1315090887663976,0.1306617101611865,0.041814255463361906,0.01615021455824823,0.014179899696886971,5.238180119928101
