Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(2),J_7s1/2(2),J_total_Th_relativistic
62.45,0.0030746503055987095,0.0006340106114984372,0.0013225160581974483,0.000746455450241373,0.0001419315827222083,0.00041036565314644014,0.00026364251532982007,4.6434498220511636e-05,3.285804870747446e-05,3.7611819299734884e-05,0.00011441028570451919,7.491651231317151e-05,1.504070569260022e-05,1.0674550655730893e-05,2.5071870090086433e-07,1.9254263406972675e-07,9.333052946223547e-06,2.698856914374566e-05,1.753650808411074e-05,2.9474505364057795e-06,2.0748922805644286e-06,1.8834634272950839e-06,4.708233895401319e-06,2.8703395316671877e-06,2.007611709865527e-07,1.655033033302673e-07,0.016513617323048183
62.5,0.003070994913056928,0.0006337848204228507,0.0013187847348083736,0.0007437994632849286,0.00014192769195081574,0.0004092408855396801,0.0002626943888438115,4.6181008047671955e-05,3.2667217735175156e-05,3.761181715974973e-05,0.00011410158727965002,7.464694731418549e-05,1.4957903267198208e-05,1.0612017463371707e-05,2.488374117130833e-07,1.9104910056523242e-07,9.333023282141316e-06,2.6916102190117728e-05,1.747341490375053e-05,2.931235559229339e-06,2.062757073687582e-06,1.883450513293292e-06,4.6957456991595984e-06,2.8601127521295317e-06,1.9967102263887327e-07,1.6550027264423714e-07,0.016476531153195917
62.550000000000004,0.003067342985393576,0.0006335574927451849,0.001315064633795455,0.0007411534734337447,0.0001419235985157632,0.00040811908708016635,0.00026174975030879635,4.5929032567396635e-05,3.2477587204055245e-05,3.7611816128594545e-05,0.00011379365167735559,7.437836138950377e-05,1.4875599092501837e-05,1.0549880721454135e-05,2.469714385234762e-07,1.89568067771119e-07,9.332999018349206e-06,2.684381227965496e-05,1.7410553629714922e-05,2.915122197402042e-06,2.0507030402160173e-06,1.8834386411340467e-06,4.683265366270629e-06,2.8499076569770384e-06,1.9858924958107454e-07,1.6549711847312838e-07,0.016439556334090933
62.6,0.003063694523165474,0.000633328630930882,0.0013113557220135877,0.0007385174425682061,0.00014191929823488734,0.00040700025266290994,0.00026080858780508376,4.567856202877924e-05,3.2289149033190006e-05,3.761181422129692e-05,0.00011348647809704328,7.411075137224786e-05,1.4793789945739832e-05,1.0488137744304713e-05,2.4512064732995796e-07,1.8809942376286746e-07,9.332979584916294e-06,2.6771699333219953e-05,1.7347923741264804e-05,2.8991088241705583e-06,2.038728656123176e-06,1.8834278729908898e-06,4.670790248107644e-06,2.8397222476424906e-06,1.9751504140056023e-07,1.6549394575822596e-07,0.016402692416713282
62.650000000000006,0.0030600495269132643,0.0006330982374960619,0.0013076579663982308,0.0007358913327059277,0.00014191478699318553,0.00040588437716349533,0.000259870889440228,4.5429586747652494e-05,3.210189519925413e-05,3.761180948011187e-05,0.00011318006572751449,7.384411410057548e-05,1.4712472626219896e-05,1.0426785865463184e-05,2.4328490525461376e-07,1.8664305754726868e-07,9.332964420067105e-06,2.6699763230930885e-05,1.7285524630756794e-05,2.8831937529534105e-06,2.026832335214566e-06,1.8834182658121088e-06,4.6583182776587266e-06,2.8295549092854965e-06,1.9644761826393415e-07,1.6549086771697864e-07,0.01636593895565052
62.7,0.003056407997161468,0.0006328663150068567,0.001303971333965382,0.0007332751060013714,0.00014191006074215537,0.00040477145543841734,0.0002589366433491249,4.51820971061087e-05,3.191581773609151e-05,3.7611799974260754e-05,0.0001128744137470971,7.357844641773713e-05,1.4631643955169383e-05,1.0365822437536546e-05,2.414640805334914e-07,1.8519885905367892e-07,9.332952970158374e-06,2.6628003811000164e-05,1.7223355600083207e-05,2.8673752619078425e-06,2.015012453940091e-06,1.8834098643824219e-06,4.645848012791349e-06,2.8194044387688927e-06,1.953862823778048e-07,1.65487991297126e-07,0.016329295509577416
62.75,0.0030527699344185333,0.0006326328660787516,0.0013002957918115416,0.0007306687247454577,0.00014190511549913963,0.00040366148232541245,0.0002580058376941041,4.493608355202323e-05,3.173090873428797e-05,3.761178379967234e-05,0.00011256952132377617,7.331374517213104e-05,1.4551300775577113e-05,1.030524483205434e-05,2.396580425094533e-07,1.8376671912849029e-07,9.332944689631614e-06,2.6556420869469248e-05,1.7161415859223675e-05,2.851651619337248e-06,2.003267377047499e-06,1.8834026945727566e-06,4.633378667623062e-06,2.809270072443824e-06,1.943304153401654e-07,1.6548540609118076e-07,0.01629276164162873
62.800000000000004,0.003049135339176889,0.0006323978933759303,0.0012966313071136812,0.00072807215136518,0.00014189994734667633,0.00040255445264378927,0.00025707846066501963,4.46915365985819e-05,3.154716034074759e-05,3.761175907872589e-05,0.00011226538761532411,7.305000721735757e-05,1.4471439952036678e-05,1.024505043932541e-05,2.3786666162800427e-07,1.823465295327313e-07,9.332939040940779e-06,2.6485014160854636e-05,1.7099704526951417e-05,2.8360211093519158e-06,1.9915954834868165e-06,1.8833967571534354e-06,4.620910130852638e-06,2.799151511655991e-06,1.9327948574187815e-07,1.654831756967209e-07,0.016256336919776446
62.85,0.003045504211912997,0.0006321613996106268,0.0012929778471292093,0.0007254853484232203,0.000141894552431854,0.00040145036119475577,0.00025615450047933953,4.444844682381189e-05,3.13645647582723e-05,3.7611723959996365e-05,0.00011196201176942983,7.27872294122726e-05,1.4392058370591113e-05,1.0185236668296121e-05,2.3608980943593465e-07,1.809381829426347e-07,9.332935494455075e-06,2.641378339969857e-05,1.7038220633686565e-05,2.8204820571951784e-06,1.979995191976019e-06,1.8833920225577222e-06,4.608442969741846e-06,2.789048942358251e-06,1.9223310936131251e-07,1.6548133140255673e-07,0.016220020917273495
62.900000000000006,0.0030418765530874007,0.0006319233875424819,0.0012893353791959316,0.0007229082786175601,0.00014188892696567217,0.00040034920276174217,0.00025523394538223067,4.420680487011578e-05,3.118311424514444e-05,3.761167661800161e-05,0.00011165939292382631,7.252540862103961e-05,1.4313152938578866e-05,1.0125800946409972e-05,2.3432735858255734e-07,1.7954157295294265e-07,9.33293352833783e-06,2.6342728262996907e-05,1.6976963126439162e-05,2.805032853659115e-06,1.9684649856510005e-06,1.8833884269628268e-06,4.595978418486128e-06,2.7789630443619844e-06,1.9119113702485902e-07,1.6547987054218275e-07,0.016183813213093104
