Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_total_Pb_relativistic
0.9500000000000001,0.008813549069064399,0.031380539391379664,0.015269061676618482,0.017386538168288966,0.06779557319987628,0.04042570591404698,0.04394000124166408,0.02829016087198707,0.029062996853003863,0.12827586134967217,0.08843174624241555,0.09609488742440067,0.07217868524942056,0.07401967939367858,0.061024206864226604,0.0618514781849282,0.19912229404329768,0.19846063446662673,0.2139878370158889,0.21241275643391536,0.21893852581921516,0.052834026737521717,0.06396336550497209,7.319792459873418
1.0,0.008813229374627774,0.03136790612921142,0.015269052378539023,0.017386522294651454,0.06764166470507392,0.04042474765989759,0.04393855246370291,0.02829015720565282,0.02906299254301689,0.12695389819794384,0.08838315362908811,0.09602208068563466,0.07217657557143575,0.07401718153230737,0.0610239280943967,0.061851161950741265,0.18946593164615566,0.19597856162261207,0.21027756259109662,0.20982165309906098,0.21576386941919842,0.04819494687775972,0.05060835810925851,7.211872441444723
1.05,0.00881289330369043,0.03135463109696465,0.015269041586523457,0.017386503863228302,0.06748026133930833,0.04042363663689939,0.043936873267047115,0.028290152511080836,0.02906298702479479,0.12557971503124413,0.08832721774632377,0.09593840962585823,0.0721739021718596,0.07401401826439995,0.06102354452148791,0.06185072724672826,0.1798688599304951,0.19323865548252195,0.20622809467722186,0.20690099926179878,0.21222313581071786,0.04541283660578965,0.04016628680680974,7.10803574434775
1.1,0.008812540858963795,0.03134071520457068,0.015269029148864284,0.017386482614217064,0.06731142166327986,0.040422357753256026,0.04393494103236263,0.02829014657122702,0.029062980043496788,0.12415545393732955,0.08826331433837178,0.09584298554410108,0.07217055626106758,0.07401006192231342,0.06102302602793514,0.061850140219674624,0.17038060163358557,0.19024219361432243,0.20185105489265684,0.20365445462115872,0.20832781275594717,0.043902041230732027,0.03207977093419521,7.006225773037657
1.1500000000000001,0.008812172043291218,0.03132615940549727,0.0152690149066625,0.01738645827556967,0.06713520682464381,0.04042089528953863,0.04393273222815965,0.028290139137004188,0.029062971306720347,0.12268331686465744,0.08819081203664204,0.09573491659625342,0.07216641594345251,0.07400516967787617,0.06102233643843884,0.06184936027891194,0.16104713930855838,0.18699332697380192,0.1971622732580037,0.2000908251899065,0.20409490941427788,0.04320167288667467,0.0258826234407587,6.904886925730026
1.2000000000000002,0.008811786859647907,0.031310964696627946,0.015268998693857202,0.017386430563052984,0.06695168052065543,0.04041923291360902,0.04393022243690925,0.028290129924459364,0.029062960481207437,0.12116556008920722,0.08810907509935735,0.09561331232328564,0.07216134571202357,0.07399918301063471,0.061021432861231586,0.061848339385271484,0.15191064396255027,0.18349897450642935,0.19218139420216354,0.19622354475873377,0.19954613440562521,0.042959544549433695,0.02118905112019374,6.802901525340016
1.25,0.008811385311140885,0.03129513211813589,0.015268980337256516,0.017386399180311977,0.06676090895934368,0.04041735369610411,0.04392738638210276,0.02829011861187406,0.029062947189463895,0.11960448860353005,0.08801746615477382,0.0954772881421451,0.07215519603038954,0.07399192728490393,0.061020265048086914,0.06184702136620699,0.1430092691714218,0.17976866972172428,0.18693142208763402,0.19207006952103184,0.19470702983655294,0.042915267683421146,0.017682406011279544,6.699523362441921
1.3,0.008810967401008934,0.031278662753352386,0.015268959656569837,0.017386363818935647,0.06656296081924876,0.04041524012646447,0.04392419795621897,0.02829010483679434,0.02906293100630006,0.11800245044764393,0.08791534893529206,0.09532596977555235,0.0721478030089432,0.07398321144321836,0.06101877478624136,0.061845341271799324,0.1343770092544196,0.17581436602611325,0.18143822334944762,0.18765122508191037,0.18960610565378166,0.04288393353747891,0.015104523126657509,6.594313262991354
1.35,0.008810533132622533,0.03126155772862993,0.015268936464441378,0.017386324158525517,0.06635790720775904,0.04041287412948929,0.04392063024956342,0.028290088192997543,0.029062911455301148,0.11636183100131012,0.0878020909900184,0.09515849759770757,0.07213898818103212,0.07397282782245106,0.06101689533510849,0.061843224785862884,0.12604361903971406,0.17165020804401326,0.17573000177650555,0.18299053898793038,0.1842740082193456,0.042741197273964734,0.013246130405695958,6.487079702692508
1.4000000000000001,0.00881008250948381,0.031243818213199975,0.01526891056648502,0.0173862798667668,0.06614582161808454,0.040410237082399554,0.04391665557994278,0.028290068227402806,0.029062888005235873,0.11468504725705835,0.0876770663636399,0.09497403087384672,0.07212855838382065,0.07396055209748287,0.06101455092003354,0.06184058770550322,0.11803459184345101,0.16729227634402985,0.16983676240243234,0.17811358537849464,0.1787427473080671,0.042410163591555174,0.011938496364845138,6.3778259179882335
1.4500000000000002,0.008809615535226465,0.03122544541902537,0.015268881761320454,0.017386230599502166,0.06592677988490472,0.0404073098323906,0.043912245523136655,0.02829004443693251,0.02906286006641215,0.1129745420930734,0.08753965822984519,0.09477175187264404,0.07211630574743212,0.07394614335588899,0.06101165629440189,0.061837335501267826,0.11037119152923454,0.16275831294234128,0.16378977802984876,0.17304736199051785,0.17304499730395678,0.0418501940514236,0.011046305357837159,6.266703972207403
