Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(7),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Tm_relativistic
0.5,0.011117720698551025,0.039478690122593946,0.019386490844084052,0.021137025859140533,0.08716899266449822,0.05165991767976043,0.05469231534897951,0.03552729745761843,0.03620784610197651,0.17787094253456118,0.11763574432162746,0.12512713846970422,0.0969726380742021,0.09893901794724502,0.10913733564715801,0.1127347843286311,0.36958262116877033,0.32904307543650746,0.3548978149378619,0.08595488430251265,7.586063768615655
0.55,0.011117390798877833,0.03946534207844611,0.019386486241431616,0.021137019254674524,0.08699830793367512,0.05165940484015453,0.05469163405270721,0.03552729658022916,0.036207845117254486,0.17618151530279466,0.11760277714257265,0.1250824023459888,0.09697167477845645,0.09893790591122821,0.10907930234569325,0.11261645637553767,0.3481108725014987,0.3243700002916968,0.34811979006130306,0.06154183415732289,7.452652645744199
0.6000000000000001,0.011117029496081784,0.03945072852381966,0.019386480206299714,0.0211370105906977,0.08681177273237098,0.0516587329961931,0.054690741699941516,0.03552729520534612,0.03620784357427256,0.17435075286111684,0.11755990793654059,0.12502430137747417,0.09697018410935108,0.0989361862139317,0.10899936180039693,0.11246469907150557,0.32614667823839694,0.3187074508389275,0.3400341728049562,0.050196004306530796,7.336419142455769
0.65,0.011116636794496386,0.039434851018854813,0.019386472468353906,0.021136999478357683,0.08660949646580356,0.05165787257666478,0.05468959912600494,0.03552729312973398,0.03620784124504112,0.17238373328465975,0.11750544812105879,0.12495059108193161,0.09696796419213445,0.09893362706756126,0.1088944418960396,0.11227784479987397,0.30398149538948094,0.3120378632614517,0.33066575020381483,0.045839514778766764,7.225819932018062
0.7000000000000001,0.01111621269883149,0.0394177112580175,0.01938646273409627,0.02113698549554759,0.08639159757416988,0.05165679164272133,0.05468816406185239,0.03552729009395501,0.036207837838563316,0.17028586835977008,0.11743762663359926,0.12485892968931252,0.09696476479519688,0.09892994161653393,0.10876196506099439,0.11205491853466029,0.28188827892192386,0.3043734359327649,0.32008227108292386,0.04467154265163599,7.114067574529387
0.75,0.011115757214173159,0.03939931106976586,0.019386450686951003,0.02113696818704505,0.08615820341509206,0.05165545593770695,0.054686391207553,0.035527285773168917,0.03620783299053906,0.16806287885573878,0.11735460415454173,0.12474689938101984,0.0969602824399625,0.09892478256191348,0.10859984102890445,0.11179543653642655,0.260116722907807,0.2957545112999009,0.30838877825659167,0.044517139706928464,6.997791286721704
0.8,0.011115270345983549,0.039379652416190625,0.01938643598735671,0.021136947064662053,0.085909450137479,0.051653828940534656,0.05468423231092905,0.035527279767365735,0.036207826252440574,0.1657207686623,0.11725448777677148,0.12461202804399828,0.09695415605265141,0.09891773745797189,0.10840642545225442,0.11149924767792409,0.23888964275165753,0.28624664841775477,0.2957204244035556,0.04426379599362314,6.875866902153422
0.8500000000000001,0.01111475210010076,0.03935873739262937,0.01938641827286536,0.021136921607405594,0.085645482546988,0.0516518719225116,0.054681636251191386,0.03552727159106865,0.036207817080001994,0.1632657979616763,0.11713534599019539,0.12445181132069916,0.09694596328346763,0.09890832482381968,0.10818046454701559,0.11116642056904168,0.2184005023411695,0.27593674917918853,0.2822345267415038,0.04344200003046187,6.748532421345234
0.9,0.011114202482738686,0.039336568227254794,0.019386397158247873,0.02113689126164904,0.08536645396328212,0.05164954400750923,0.054678549127401305,0.03552726066254572,0.036207804821167984,0.16070445560765267,0.1169952238488713,0.12426373473738088,0.09693521760259342,0.09889599119248292,0.10792103841980667,0.1107971694563747,0.1988120400159089,0.2649286043697196,0.2681025214744746,0.04194131537981524,6.616775502381548
0.9500000000000001,0.011113621500486856,0.03931314728063719,0.019386372235606287,0.021136855441314134,0.08507252606929008,0.05164680223536838,0.0546749143515795,0.035527246292571285,0.036207788703548204,0.15804343088637074,0.11683215818930849,0.12404529569725749,0.09692136626392579,0.09888010919667035,0.10762750971158777,0.11039180911606955,0.1802559067625237,0.2533381984084053,0.2535023456917221,0.03983155479313402,6.481934641159067
