Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(1),J_total_Cd_relativistic
1.9500000000000002,0.017012209263143133,0.05806833662473787,0.030567624671993112,0.03179696170609588,0.10036158690181653,0.0838691402495941,0.08601266056683896,0.05979532682037947,0.06036702313801337,0.050196179587441575,0.10915126139190096,0.10546306884776917,0.11448816472891675,0.11294495687813341,0.012741434284475151,3.5540321567270867
2.0,0.017007926539058395,0.05789276866810378,0.03056543110992246,0.031794370080973446,0.09845285912008185,0.08361180235590346,0.08572152573410097,0.05977464773687802,0.06034519717830388,0.04676318515142236,0.10376510412229682,0.0998800927013694,0.10962875674756875,0.1080251683479169,0.01159296572743478,3.4567238507493347
2.0500000000000003,0.01700353693770485,0.05771336650487644,0.03056307346197061,0.031791585064143466,0.09653652287946178,0.08333919004890052,0.085413399169487,0.059751714200065774,0.06032099960352924,0.04368132517121596,0.09849175195967663,0.09444280470231238,0.10487334869111395,0.10322011521482793,0.010522007876604494,3.3620396458994555
2.1,0.01699904057430233,0.057530173485123466,0.03056054425673555,0.03178859790890962,0.09461471287696097,0.08305103594154498,0.08508801713635777,0.05972636875294956,0.060294266012240624,0.04093023453843535,0.09334524256399443,0.08916441223988653,0.10022944314692918,0.0985366244280218,0.009529681838977185,3.2700940315338536
2.15,0.016994437566824734,0.05734323373922107,0.030557835917222474,0.03178539975085772,0.0926895258145667,0.08274710082953249,0.08474514938906341,0.0596984507949022,0.06026482888544809,0.0384889887852146,0.08833794154968483,0.08405619368062871,0.09570337451267434,0.09398035214949207,0.008615763162992658,3.180975013452665
2.2,0.01698972803599346,0.05715259215850391,0.030554940765984816,0.03178198161421263,0.09076301701441564,0.08242717442596988,0.08438459988312161,0.059667797062604805,0.06023251810098059,0.03633636149249063,0.08348055980478708,0.07912755310511684,0.09130038853620807,0.0895558706177817,0.00777893106008497,3.09474622263409
2.25,0.01698491210527069,0.05695829437566168,0.03055185103031814,0.031778334418255054,0.08883719722737973,0.08209107597843569,0.08400620734250104,0.05963424213041456,0.06019716146731444,0.03445105664691134,0.07878218928467662,0.07438609274746072,0.08702472149519817,0.08526675332252157,0.007016989096246266,3.0114490127641345
2.3000000000000003,0.0169799899008525,0.05676038674489535,0.030548558847502516,0.031774448983792614,0.08691402963969143,0.08173865476873458,0.08360984568521322,0.05959761892696277,0.06015858527342389,0.03281191585992815,0.07425035447472246,0.06983769974259009,0.08287967810613275,0.08111565775552924,0.006327058453976864,2.9311045213330926
2.35,0.016974961551661873,0.056558916321846626,0.03054505627008921,0.031770316039679676,0.08499542708132887,0.08136979049621143,0.08319542430909538,0.059557759264737484,0.060116614851164575,0.03139810076947662,0.06989107683531129,0.06548664402881677,0.0788677074599661,0.07710440519494213,0.0057057454771462365,2.853715674291966
2.4000000000000004,0.016969827189341497,0.05635393084331377,0.030541335271227217,0.03176592622938027,0.08308324943899527,0.08098439354602383,0.08276288824030939,0.05951449437938422,0.060071075146690085,0.030189251286154777,0.06570894969951058,0.06133568452319258,0.07499047645258856,0.07323405713141949,0.0051492855324367,2.779269118582085
