Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_4s_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(2),J_total_potassium
4.1000000000000005,0.038408546412472384,0.028751186289449476,0.011938093456432819,0.05911588269506694,0.004812568609275004,0.0007926277986624703,0.07681709282494477,0.05750237257889895,0.35469529617040163,0.023876186912865638,0.028875411655650024,0.0015852555973249406,0.5433516157400858
4.15,0.038284193014525625,0.027660338488716234,0.011509840064163022,0.05831369857890381,0.0048099072133736456,0.0007652798508619584,0.07656838602905125,0.05532067697743247,0.34988219147342287,0.023019680128326045,0.028859443280241873,0.0015305597017239167,0.5351809375901985
4.2,0.03815890201221251,0.026604115460480655,0.011088167291760365,0.057511772835528746,0.004808799009196053,0.0007382070841961486,0.07631780402442502,0.05320823092096131,0.3450706370131725,0.02217633458352073,0.028852794055176316,0.0014764141683922972,0.5271022147656481
4.25,0.038032690523753326,0.025582028333047888,0.010673779701962266,0.05671056895101842,0.004808519665719994,0.0007114718508914566,0.07606538104750665,0.051164056666095775,0.3402634137061105,0.02134755940392453,0.028851117994319962,0.0014229437017829131,0.5191144725197403
4.3,0.03790557568641095,0.024593560409618537,0.010267296157038848,0.05591053703125942,0.004808446957993126,0.0006851297461248794,0.0758111513728219,0.049187120819237075,0.33546322218755653,0.020534592314077695,0.028850681747958754,0.0013702594922497587,0.5112170279339017
4.3500000000000005,0.03777757465190479,0.023638169640090273,0.00986925443690676,0.05511211344954576,0.004808050269357599,0.0006592299352680533,0.07555514930380958,0.047276339280180546,0.33067268069727457,0.01973850887381352,0.028848301616145593,0.0013184598705361066,0.5034094396417599
4.4,0.03764870458189741,0.02271529102187139,0.009480115976541716,0.05431572054927657,0.004806880996272787,0.0006338154996235835,0.07529740916379482,0.04543058204374278,0.32589432329565937,0.018960231953083433,0.028841285977636723,0.001267630999247167,0.49569146343316434
4.45,0.03751898264355484,0.021824338925972166,0.009100270652416515,0.05352176639941566,0.004804563791286682,0.0006089237931076732,0.07503796528710968,0.04364867785194433,0.32113059839649394,0.01820054130483303,0.028827382747720093,0.0012178475862153464,0.48806301317431644
4.5,0.03738842600518119,0.020964709345206545,0.008730041559555384,0.05273064460030945,0.004800788582746686,0.0005845868036806874,0.07477685201036238,0.04192941869041309,0.31638386760185666,0.017460083119110768,0.028804731496480118,0.0011691736073613749,0.48052412652558435
4.55,0.037257051831928054,0.020135782061876176,0.008369689731175023,0.05194273413741218,0.00479530331299887,0.0005608315144782673,0.07451410366385611,0.04027156412375235,0.3116564048244731,0.016739379462350046,0.028771819877993217,0.0011216630289565346,0.47307493498138137
4.6000000000000005,0.03712487728157891,0.019336922732822354,0.00801941876192652,0.05115839928043741,0.0047879073400374445,0.0005376802605762979,0.07424975456315781,0.03867384546564471,0.30695039568262444,0.01603883752385304,0.02872744404022467,0.0010753605211525957,0.46571563779665726
4.65,0.03699191950040858,0.018567484890216347,0.007679379303597806,0.05037798952544002,0.00477844545078196,0.0005151510781563218,0.07398383900081716,0.037134969780432694,0.3022679371526401,0.015358758607195612,0.028670672704691758,0.0010303021563126437,0.45844647940209
4.7,0.03685819561911761,0.01782681185691473,0.007349673408911572,0.04960183957733272,0.0047668024373383345,0.0004932580435438642,0.07371639123823522,0.03565362371382946,0.2976110374639963,0.014699346817823145,0.028600814624030007,0.0009865160870877283,0.45126772994500186
4.75,0.036723722748841274,0.017114238575634377,0.0070303587048767165,0.0488302693703536,0.004752898190709912,0.0004720116001880318,0.07344744549768255,0.034228477151268755,0.2929816162221216,0.014060717409753433,0.02851738914425947,0.0009440232003760636,0.44417966862546193
4.800000000000001,0.03658851797723296,0.016429093351599457,0.006721452382129235,0.04806358412402555,0.004736683269442359,0.00045141887215178117,0.07317703595446592,0.03285818670319891,0.2883815047441533,0.01344290476425847,0.028420099616654156,0.0009028377443035623,0.4371825695270343
4.8500000000000005,0.03645259836462128,0.015770699508682668,0.006422934990930316,0.04730207443218312,0.0047181349035938965,0.0004314839631016495,0.07290519672924256,0.031541399017365336,0.28381244659309873,0.012845869981860632,0.02830880942156338,0.000862967926203299,0.43027668966933397
4.9,0.03631598094024045,0.015138376959403088,0.006134754038063271,0.04654601638268606,0.004697253397207359,0.0004122082401349406,0.0726319618804809,0.030276753918806177,0.2792760982961163,0.012269508076126543,0.028183520383244155,0.0008244164802698812,0.423462259035044
4.95,0.03617868269853337,0.014531443689455949,0.005856827381868042,0.045795671705491474,0.004674058895114793,0.00039359060207135087,0.07235736539706673,0.029062887378911897,0.27477403023294883,0.011713654763736083,0.02804435337068876,0.0007871812041427017,0.41673947234749503
5.0,0.0360407205955266,0.013949217157733887,0.005589046425143921,0.045051287946815025,0.004648588482423545,0.00037562773207341536,0.0720814411910532,0.027898434315467773,0.2703077276808902,0.011178092850287842,0.027891530894541272,0.0007512554641468307,0.41010848239638714
5.050000000000001,0.035902111545276665,0.013391015613057401,0.005331279107703285,0.04431309866717713,0.004620893587413046,0.00035831433465349603,0.07180422309055333,0.026782031226114802,0.26587859200306274,0.01066255821540657,0.027725361524478277,0.0007166286693069921,0.4035693947289227
5.1000000000000005,0.03576287241638685,0.012856159329063952,0.005083372702029062,0.04358132366120046,0.004591037660813619,0.000341643357280795,0.0715257448327737,0.025712318658127904,0.26148794196720276,0.010166745404058123,0.027546225964881717,0.00068328671456159,0.3971222635416058
5.15,0.0356230200285938,0.01234397175891169,0.004845156416827964,0.04285616919709922,0.004559094106544316,0.0003256061969256895,0.0712460400571876,0.02468794351782338,0.2571370151825953,0.009690312833655929,0.0273545646392659,0.000651212393851379,0.3907670886243795
5.2,0.03548257114942316,0.01185378061163675,0.004616443814326243,0.04213782827387906,0.004525144440959112,0.0003101928919754378,0.07096514229884632,0.0237075612232735,0.25282696964327434,0.009232887628652486,0.027150866645754675,0.0006203857839508756,0.38450381322375216
