Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(4),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Cf_relativistic
61.2,0.003228920653746515,0.0005514074727938908,0.0019553072879830644,0.0011247016404120976,0.00012568564241588332,0.000583747810940719,0.00040958614592952143,0.00010047089930096308,7.064211029086854e-05,3.636254653910961e-05,0.0001654531762231194,0.00012180902788287491,3.517263155750128e-05,2.494579548308237e-05,8.708732232246777e-07,6.65490257365893e-07,1.0096278026204814e-05,4.3162342223161164e-05,3.165398071330073e-05,8.093624172644494e-06,5.677014393707349e-06,1.0994153466616149e-07,7.705239100688055e-08,1.9991495911153003e-06,7.083027593340911e-06,4.397617657262459e-06,1.0297457119191964e-07,0.021381305536975537
61.25,0.0032257153250962855,0.0005514072144834947,0.0019505284153207819,0.0011210172183943937,0.0001255749917424055,0.0005824915585667579,0.0004082720878945057,9.994414798847662e-05,7.024547349852255e-05,3.6301961337870525e-05,0.00016511961617461676,0.00012142326398135314,3.4987024396493407e-05,2.480465657841521e-05,8.644241907481709e-07,6.603871581485475e-07,1.0076661677899858e-05,4.307716554415678e-05,3.155416359468424e-05,8.050855601942923e-06,5.6448423135555505e-06,1.0910195646258384e-07,7.644010899994161e-08,1.99508978866537e-06,7.068966676434298e-06,4.383593768359307e-06,1.0272728851332025e-07,0.021333048658804015
61.300000000000004,0.0032225121290980164,0.0005514068705899901,0.001945761459713347,0.0011173452613055578,0.00012546605237950193,0.0005812372053904863,0.00040696204146675817,9.94204013941103e-05,6.985123512789013e-05,3.624217933147424e-05,0.00016478638578446301,0.00012103861549199105,3.480247897348008e-05,2.4664375523997846e-05,8.58026861467959e-07,6.55326162731113e-07,1.0057296583186613e-05,4.299205796595921e-05,3.145462980667554e-05,8.008328731794187e-06,5.612862439896855e-06,1.0826873732762321e-07,7.583311790666857e-08,1.991093097210321e-06,7.0549111817644165e-06,4.369603660868231e-06,1.0248558938470951e-07,0.021284940250651464
61.35,0.003219311067968974,0.0005514064272318966,0.0019410063953060547,0.0011136857283903527,0.00012535880519991537,0.0005799847558722209,0.0004056559978432478,9.889964119419907e-05,6.945937976709291e-05,3.618319242938313e-05,0.0001644534877460942,0.00012065508062935567,3.4618988834775075e-05,2.452494680302319e-05,8.516807902210303e-07,6.503068997043121e-07,1.00381802694669e-05,4.290702027918452e-05,3.1355378823510654e-05,7.966042128435805e-06,5.581073562936735e-06,1.0744228437779491e-07,7.523175023277027e-08,1.9871590438877646e-06,7.040865420395021e-06,4.355651377006151e-06,1.022498707856943e-07,0.021236979771604537
61.400000000000006,0.003216112143913159,0.0005514058706756411,0.0019362631962649042,0.0011100385790042584,0.00012525323122800474,0.0005787342144015638,0.0004043539482042771,9.838184918265995e-05,6.906989210817038e-05,3.612499260319662e-05,0.00016412092472536735,0.00012027265759545333,3.443654756755365e-05,2.4386364935649228e-05,8.453855359390323e-07,6.453290011498818e-07,1.0019310283569329e-05,4.282205326855544e-05,3.125641012201027e-05,7.923994442631879e-06,5.549474568718249e-06,1.0662296848183443e-07,7.463631944441684e-08,1.9832868665944817e-06,7.026833719598442e-06,4.341740926691464e-06,1.0202043421663591e-07,0.021189166682939617
61.45,0.003212915359121335,0.0005514051873345197,0.0019315318367768772,0.0011064037726133892,0.00012514931163878787,0.0005774855852978826,0.00040305588371393144,9.786700727021171e-05,6.868275694635492e-05,3.60675718862673e-05,0.00016378869936071192,0.000119891344579924,3.4255148799590315e-05,2.424862447874625e-05,8.391406616092282e-07,6.403921026068621e-07,1.0000684191555617e-05,4.273715771351506e-05,3.115772318479822e-05,7.882184406846296e-06,5.518064436030875e-06,1.0581111491235742e-07,7.404709996177522e-08,1.9794755254194015e-06,7.01282031776089e-06,4.327876193851296e-06,1.0179742406772445e-07,0.021141500447274187
61.5,0.0032097207157710545,0.0005514043637676648,0.0019268122910502034,0.0011027812687944,0.0001250470277569885,0.0005762388728107866,0.00040176179552052076,9.735509748359871e-05,6.829795917935117e-05,3.601092237331861e-05,0.00016345681426328026,0.00011951113976023306,3.4074786198997756e-05,2.411172002564548e-05,8.329457342356863e-07,6.354958430380563e-07,9.982299578514867e-06,4.265233438879287e-05,3.105931750332163e-05,7.840610830613393e-06,5.486842231224268e-06,1.050070002614241e-07,7.346430891963787e-08,1.9757237208185172e-06,6.998829262840954e-06,4.31406085363878e-06,1.0158075798230725e-07,0.02109398052779008
61.550000000000004,0.003206528216026687,0.0005514033866790186,0.001922104533314631,0.001099171027234397,0.00012494636105608747,0.0005749940811206026,0.00040047167475701926,9.684610196482066e-05,6.791548380662098e-05,3.595503622006414e-05,0.00016312527201709854,0.00011913204130186211,3.389545347396769e-05,2.3975646205889586e-05,8.268003248007078e-07,6.306398647966584e-07,9.964154048347954e-06,4.256758406490938e-05,3.096119258059754e-05,7.79927259421767e-06,5.455807101054545e-06,1.0421085749105693e-07,7.288810104019335e-08,1.9720299178370358e-06,6.984864316727547e-06,4.30029829952139e-06,1.0137007572064305e-07,0.021046606387638746
61.6,0.0032033378620394464,0.0005514022429163114,0.0019174085378216926,0.0010955730077308443,0.0001248472931573786,0.000573751214338849,0.0003991855125415006,9.634000297036761e-05,6.753531592867359e-05,3.5899905642828535e-05,0.00016279407517921736,0.00011875404735849788,3.371714437251325e-05,2.3840397684984836e-05,8.207040082264679e-07,6.258238135930272e-07,9.946245223544397e-06,4.248290750860662e-05,3.0863347933616e-05,7.75816864083577e-06,5.424958263739055e-06,1.0342288742283294e-07,7.231858954399302e-08,1.9683923755706965e-06,6.9709288675720905e-06,4.286591578180207e-06,1.0116474283375924e-07,0.020999377489638326
61.650000000000006,0.003200149655947415,0.0005514009194700461,0.0019127242788449642,0.001091987170191466,0.00012474980582902846,0.0005725102765087063,0.0003979032999775669,9.583678287045935e-05,6.715744074636017e-05,3.584552291816992e-05,0.00016246322627986188,0.0001183771560722191,3.353985268221271e-05,2.370596916415472e-05,8.14656363336851e-07,6.210473384615851e-07,9.928570744954269e-06,4.239830548319329e-05,3.07657830953379e-05,7.717297967331855e-06,5.394294998439613e-06,1.0264327056188708e-07,7.175588481939663e-08,1.9648091809777522e-06,6.957025851917936e-06,4.272943330010006e-06,1.0096392862365841e-07,0.02095229329622622
