Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(1),J_5s1/2(1),J_total_Ru_relativistic
3.1,0.037117977155036126,0.1139584954405634,0.06752504048345008,0.13948834289753767,0.1035919028115587,0.15496559652989256,0.3117041228639575,0.26211749220842706,0.3958123005484959,0.05430442169883588,0.03068820982095398,0.05708435790779632,0.06438405770380903,0.04600751822964519,0.0018242257051309854,1.8405740620050905
3.1500000000000004,0.03710019869766029,0.11330033528514845,0.06749882893618322,0.1394283888104136,0.1000221996298072,0.15308738945678568,0.3076581615516916,0.2611811413489952,0.3943561983805344,0.053963290143985765,0.028958520186870434,0.054161947323253204,0.05961488153228748,0.04257114025993585,0.0018241171643061708,1.8147267387078585
3.2,0.037082147791797214,0.11263595524499075,0.06747148729664729,0.13936586640575016,0.09654410203777236,0.15117987027113675,0.30355470866552614,0.26020574409064406,0.39284002296554865,0.053552328959602255,0.02743814951081976,0.051624806151053665,0.05519911539706583,0.039393539497265026,0.001823655813323065,1.7899115000989432
3.25,0.03706382499861093,0.1119655286173321,0.06744299030969168,0.1393007195482621,0.09315842495249238,0.14924473020788231,0.2993976105693315,0.25919123308458697,0.39126372145397825,0.053070854812247326,0.0261087220795939,0.04943587710677959,0.05111497692395016,0.03645844870273521,0.001822139164860913,1.7660398025323354
3.3000000000000003,0.03704523088728051,0.11128922918259111,0.0674133129070378,0.1392328926025361,0.08986578196492714,0.14728369250806825,0.2951907676106209,0.2581376113150503,0.3896273501567363,0.05251931244890583,0.024952795334172086,0.04756027056576189,0.04734168956878369,0.033750379136915136,0.0018190113013947249,1.7430293274907818
3.35,0.03702636603496277,0.1106072311261539,0.06738243022569575,0.139162330475546,0.08666659229140056,0.14529850715508402,0.29093812223162624,0.25704495127846694,0.38793107306284785,0.05189911441332296,0.023953875510576303,0.04596526012909592,0.043859467278475575,0.031254605469367314,0.001813845325904157,1.720803772008526
3.4000000000000004,0.03700723102675449,0.10991970896071078,0.06735031762610173,0.13908897865843758,0.0835610879838205,0.14329094569641973,0.28664364735078385,0.2559133939083016,0.38617515996678753,0.051212492728023126,0.023096423156327855,0.04462025986608043,0.040649495470417636,0.02895714827805028,0.0018063271249006742,1.6992926178019179
3.45,0.036987826455654196,0.10922683744918843,0.06731695070996217,0.13901278326755034,0.08054932135991104,0.14126279616941678,0.28231133505372835,0.2547431472619145,0.38435998423216683,0.050462362517082845,0.022365849880011408,0.043496786077592324,0.037693908923440926,0.02684475455503999,0.0017962404352545084,1.6784308843479148
3.5,0.03696815292252344,0.1085287915283252,0.06728230533779114,0.1389336910846446,0.07763117261585845,0.13921585814795714,0.27794518562907633,0.25353448498647435,0.38248602021925415,0.04965219739283043,0.02174850758773655,0.0425684061672433,0.03497576711847784,0.024904876591729387,0.0017834531882460524,1.6581588705181687
3.5500000000000003,0.036948211036047576,0.10782574623293678,0.06724635764612825,0.13885164959630392,0.07480635758506415,0.13715193792550373,0.27354919698049446,0.25228774458136166,0.3805538404043666,0.048785916306024746,0.021231671356637238,0.04181067695741253,0.0324790275071095,0.023125649583808,0.001767905090230354,1.6384218887894288
3.6,0.03692800141269615,0.10711787662091782,0.06720908406442441,0.1387666070324841,0.07207443560809108,0.13507284384837537,0.2691273544428079,0.25100332547476795,0.3785641122194737,0.04786778146061512,0.020803516993608155,0.04120107454793674,0.03018851713813665,0.021495868259043698,0.0017495963891772976,1.6191699955125562
3.6500000000000004,0.03690752467668277,0.10640535769902386,0.06717046133158358,0.13867851240418103,0.0694348174803753,0.13298038181162525,0.26468362102624077,0.24968168693230755,0.3765175946404137,0.04690230681794083,0.02045309422852618,0.04071891758819549,0.02808990303169363,0.020004962793077133,0.0017285777687972767,1.6003577202306642
3.7,0.036886781459924516,0.10568836434947705,0.06713046651214917,0.13858731554019127,0.06688677344583625,0.13087635092840183,0.26022192810931344,0.24832334581543017,0.37441513455196784,0.04589417665840197,0.02017029639621736,0.04034528561979896,0.026169661643923717,0.018642974251194676,0.001704941306416695,1.581943796588645
3.75,0.036865772402000944,0.10496707125743727,0.067089077012124,0.13849296712294057,0.06442944120613926,0.12876253938221105,0.2557461665974609,0.24692887420726195,0.37225766291768186,0.04484817362862711,0.019945827371118562,0.0400629339478255,0.024415047722477132,0.017400529768088972,0.001678812427662806,1.563890896971058
3.8000000000000003,0.03684449815011259,0.1042416528393796,0.06704627059441352,0.13839541872335664,0.062061833917035875,0.12664072047008054,0.2512601785611118,0.245498896923229,0.3700461907817912,0.04376911567658834,0.019771166433443715,0.03985620631392594,0.022814062821382895,0.01626881764785549,0.001650342789144383,1.5461653726428513
3.85,0.03682295935903907,0.10351228317241716,0.06700202539388254,0.13829462283476424,0.05978284814491129,0.1245126488432526,0.24676774936377732,0.24403408892343598,0.3677818051299154,0.04266180126378778,0.019638531666009193,0.0397109464746475,0.021355423711350293,0.015239562543286955,0.0016197040196815617,1.528737000844159
3.9000000000000004,0.036801156691096716,0.10277913592460741,0.06695631993201583,0.13819053290578143,0.057591271758396866,0.12238005695071123,0.2422726002876647,0.24253517264330096,0.36546566463435576,0.04153096224058943,0.019540842406862827,0.03961440963281926,0.0200285308869116,0.014305000855347702,0.0015870822518482797,1.5115787400023102
3.95,0.03677909081609578,0.10204238428627843,0.06690913313117408,0.13808310337219815,0.05548579173164614,0.12024465168958454,0.2377783816614589,0.24100291525839515,0.3630989953088817,0.040381223776225,0.019471681214533052,0.03955517452837707,0.018823437345673173,0.013457856471743669,0.0015526733772773494,1.4946664939695422
4.0,0.03675676241129724,0.10130220090241025,0.06686044432843692,0.13797228968781844,0.053465001837612505,0.11810811126525825,0.23328866649220723,0.2394381258988145,0.3606830860968396,0.039217070747385174,0.019425255740008043,0.03952305686704289,0.017730817793235567,0.012691316943456462,0.0015166789615148363,1.4779788859733378
4.05,0.03673417216136913,0.10055875780610515,0.06681023328902509,0.13785804835425014,0.05152741021140027,0.115972082262898,0.22880694460071446,0.23784165282773184,0.35821928441528395,0.03804282000722731,0.019396360842331567,0.03950902465016404,0.016741938401876058,0.011999010184581577,0.00147930275754307,1.4614970427725016
4.1000000000000005,0.03671132075834249,0.09981222635317913,0.06675848021929477,0.13774033694962654,0.049671446765474275,0.1138381769310028,0.22433661725749934,0.23621438059805147,0.35570899167662845,0.03686259797886628,0.01938034123276779,0.03950511586604316,0.015848627228465237,0.011374981766311566,0.0014407477599066986,1.4452043893414601
4.15,0.03668820890156689,0.09906277715790551,0.06670516577929742,0.13761911415624606,0.04789547044020259,0.1117079706766084,0.21988099231418942,0.23455722720032463,0.35315365880806077,0.0356803230429075,0.019373054885605347,0.03950435891148525,0.015043245381218552,0.010813672860152158,0.001401213744254067,1.4290864542600246
4.2,0.036664837297665516,0.0983105800299401,0.06665027109489892,0.13749433978711773,0.04619777627486096,0.10958299977082235,0.21544327982323386,0.23287114121429284,0.35055478178767574,0.03449969221641585,0.019370837411575727,0.039500696031262154,0.01431865900812102,0.01030989887481396,0.0013608952406206354,1.4131306858633172
4.25,0.036641206660489915,0.09755580391245594,0.06659377776945259,0.13736597481140078,0.04457660228584418,0.1074647592625092,0.2110265881369979,0.2311570989756154,0.3479138972149659,0.033324171650113005,0.01937046755226776,0.03948890999194852,0.01366821216212003,0.00985882882225374,0.0013199798918257504,1.3973262791002605
4.3,0.03661731771107426,0.0967986168215142,0.06653566789502098,0.13723398137872908,0.04303013614039748,0.10535470109714723,0.20663392047565862,0.22941610176851396,0.3452325779319843,0.032156990500895356,0.019369133920531467,0.03946455414432216,0.013085700586012237,0.009455965437059446,0.0012786471518558915,1.381664012960717
