p,ChiF,ChiG,ChiTotal,I(p),J(Q)
10.600000000000001,0.0009691490900900602,0.025308028255860947,0.025326577821693133,0.0720716977416242,0.02123095614137707
10.65,0.0009693995784375576,0.02519550311449368,0.025214145092291657,0.0721087074292009,0.021061331298643234
10.700000000000001,0.0009695977957124721,0.025082690831743425,0.025101424247366447,0.07213803084870618,0.02089242326498618
10.75,0.0009697443165616867,0.024969610046039616,0.024988433922332673,0.07215974771675399,0.02072424318107042
10.8,0.0009698397166957432,0.02485627907780118,0.02487519243482585,0.07217393917282416,0.020556801845858445
10.850000000000001,0.0009698845726902264,0.024742715931752545,0.02476171778701437,0.07218068770581734,0.020390109719722587
10.9,0.0009698794617920539,0.024628938299298953,0.024648027667971344,0.07218007708170363,0.020224176927652885
10.950000000000001,0.0009698249617306217,0.024514963560958142,0.024534139456102822,0.07217219227229214,0.020059013262555835
11.0,0.0009697216505337593,0.02440080878884528,0.024420070221629234,0.07215711938514564,0.01989462818863901
11.05,0.000969570106348441,0.02428649074920808,0.024305836729117025,0.07213494559466231,0.019731030844876447
11.100000000000001,0.0009693709072661993,0.02417202590500954,0.024191455440057887,0.07210575907434644,0.019568230048550135
11.15,0.0009691246311531919,0.024057430418555098,0.02407694251549245,0.07206964893028509,0.019406234298862714
11.200000000000001,0.0009688318554848594,0.02394272015416181,0.023962313818675945,0.0720267051358482,0.019245051780616806
11.25,0.0009684931571851264,0.02382791068086669,0.023847584917783087,0.07197701846762641,0.01908469036795652
11.3,0.0009681091124700838,0.023713017275171645,0.023732771088649476,0.07192068044261894,0.018925157628166583
11.350000000000001,0.0009676802966960929,0.0235980549238226,0.023617887317547305,0.07185778325668407,0.018766460825524942
11.4,0.000967207284212259,0.023483038326620163,0.023502948303992518,0.07178841972425962,0.018608606925204545
11.450000000000001,0.0009666906482172072,0.023367981899259597,0.023387968463581328,0.07171268321936268,0.01845160259722022
11.5,0.0009661309606201082,0.02325289977619774,0.0232729619308537,0.0716306676178742,0.01829545422041679
11.55,0.0009655287919058854,0.023137805813544538,0.02315794256218144,0.07154246724111281,0.018140167886494408
11.600000000000001,0.0009648847110045482,0.023022713591977197,0.023042923938678916,0.07144817680070192,0.017985749404067455
11.65,0.0009641992851645868,0.02290763641967452,0.02292791936913401,0.07134789134473062,0.017832204302753354
11.700000000000001,0.0009634730798303677,0.02279258733526968,0.02281294189295746,0.07124170620520989,0.017679537837287665
11.75,0.0009627066585234652,0.022677579110819295,0.022698004283148616,0.07112971694682331,0.017527754991662186
11.8,0.0009619005827278688,0.022562624254786754,0.02258311904927536,0.07101201931696886,0.01737686048328255
11.850000000000001,0.0009610554117790034,0.022447735015038207,0.022468298440466782,0.07088870919709069,0.017226858767142257
11.9,0.0009601717027564962,0.02233292338184904,0.02235355444841634,0.07075988255529404,0.0170777540400099
11.950000000000001,0.0009592500103806302,0.022218201090919425,0.022238898810394106,0.0706256354002406,0.01692955024462659
12.0,0.0009582908869124206,0.022103579626396967,0.022124343012266158,0.07048606373631511,0.01678225107391078
12.05,0.0009572948820572495,0.02198907022390498,0.022009898291519604,0.07034126352005807,0.016635859975167408
12.100000000000001,0.0009562625428719977,0.021874683873574725,0.021895575640291584,0.07019133061785471,0.016490380154298965
12.15,0.000955194413675607,0.02176043132308008,0.021781385808400756,0.07003636076487174,0.01634581458001557
12.200000000000001,0.0009540910359630152,0.021646323080673175,0.021667339306379756,0.06987644952523175,0.016202165988041695
12.25,0.0009529529483223967,0.021532369418219583,0.021553446408507256,0.06971169225341443,0.016059436885317063
12.3,0.0009517806863556474,0.021418580374231614,0.021439717155838117,0.06954218405687272,0.01591762955418933
12.350000000000001,0.0009505747826020521,0.021304965756898518,0.02132616135923053,0.06936801975985267,0.015776746056596378
12.4,0.0009493357664650745,0.021191535147112136,0.021212788602368592,0.06918929386840265,0.01563678823823598
12.450000000000001,0.0009480641641422014,0.021078297901486936,0.021099608244779314,0.0690061005365599,0.015497757732720777
12.5,0.0009467604985577861,0.020965263155373195,0.020986629424842813,0.06881853353369972,0.015359655965716638
12.55,0.0009454252892988318,0.02085243982586211,0.020873861062794447,0.06862668621303245,0.015222484159062386
12.600000000000001,0.0009440590525536429,0.02073983661478192,0.020761311863717987,0.068430651481234,0.015086243334869182
12.65,0.0009426623010533003,0.020627462011683792,0.02064899032052863,0.0682305217691939,0.014950934319597724
12.700000000000001,0.0009412355440158873,0.020515324296816604,0.020536904716944873,0.06802638900386483,0.014816557748111645
12.75,0.0009397792870934143,0.020403431544089645,0.02042506313044839,0.06781834458119802,0.014683114067705557
12.8,0.0009382940323213816,0.02029179162402225,0.02031347343523085,0.06760647934014744,0.014550603542106121
12.850000000000001,0.0009367802780709238,0.020180412206679557,0.02020214330512691,0.06739088353772568,0.014419026255444839
12.9,0.0009352385190034751,0.020069300764593512,0.02009108021653245,0.06717164682509502,0.014288382116201098
