Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(1),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(1),J_7s1/2(2),J_total_Cm_relativistic
70.7,0.00263425225993437,0.0005552628533543931,0.0011273554398719397,0.0005573742310448149,0.0001254521354996056,0.0003503062031745427,0.0002013516188502711,3.2850899108431315e-05,2.161690497277402e-05,3.403150628364003e-05,0.00010038789853131787,5.93681283892427e-05,1.1213867171127673e-05,7.42452494173719e-06,1.7716731323880578e-07,1.2904264120145733e-07,9.062147679606195e-06,2.5786473492760954e-05,1.5138395479636825e-05,2.5023548924508394e-06,1.6417617766942224e-06,2.165880689499333e-08,1.514532217935299e-08,1.821145918646524e-06,4.402911074595205e-06,2.28339360981038e-06,1.0157605787589053e-07,1.262480685159197e-07,0.013651267169328714
70.75,0.002631390633542387,0.0005550546361335146,0.0011245713244573457,0.0005555711778157736,0.00012544457587079026,0.00034946404335974815,0.00020069045595288843,3.269170405488837e-05,2.150423715911854e-05,3.403117008606167e-05,0.00010015010839397428,5.917272466832967e-05,1.1159058650587717e-05,7.385492234793879e-06,1.7598887116732523e-07,1.2814959158381422e-07,9.062121242390455e-06,2.5725683489206806e-05,1.5088545206537411e-05,2.4900595740103065e-06,1.633070612791323e-06,2.1517652751299155e-08,1.504035322860416e-08,1.8211385600604933e-06,4.392559254171167e-06,2.2758829693608954e-06,1.0107831036983515e-07,1.2624699267118094e-07,0.01362449007291415
70.8,0.0026285315969712753,0.0005548453946841336,0.001121794661492922,0.0005537743676075714,0.00012543681760495337,0.0003486238874263171,0.00020003155961088832,3.253335824019531e-05,2.1392207661897123e-05,3.403080713035578e-05,9.991285139181573e-05,5.8977985920574586e-05,1.1104544640686247e-05,7.346682456644268e-06,1.7481895241669864e-07,1.2726321814581573e-07,9.062090652102831e-06,2.5665025780165277e-05,1.5038860333561534e-05,2.477832163875063e-06,1.6244307946203176e-06,2.137860919749135e-08,1.4937041219190587e-08,1.821130328526142e-06,4.382250023463057e-06,2.2684075194418264e-06,1.0058352420770917e-07,1.2624582893814324e-07,0.013597783919936364
70.85000000000001,0.0026256751500781076,0.000554635131289004,0.0011190254309558635,0.0005519837781452722,0.00012542885898080193,0.00034778573193810673,0.0001993749222779097,3.237585675914292e-05,2.1280812597872206e-05,3.403041650725505e-05,9.967612688814219e-05,5.878391000626009e-05,1.1050323430899422e-05,7.308094241667489e-06,1.7365749099113436e-07,1.2638346781608975e-07,9.062055619812474e-06,2.5604500345361975e-05,1.498934057181044e-05,2.4656729711930907e-06,1.615842713609737e-06,2.124160558572971e-08,1.483533061848189e-08,1.8211212667648446e-06,4.371982716273033e-06,2.260966830045443e-06,1.000920553728429e-07,1.2624462103252798e-07,0.013571148473410063
70.9,0.0026228212927114623,0.0005544238482504786,0.0011162636128700108,0.0005501993872315007,0.00012542069830666927,0.00034694957345212676,0.00019872053642793185,3.221919473678635e-05,2.1170048108908583e-05,3.402999731995148e-05,9.943993424169715e-05,5.85904947905871e-05,1.099639332130979e-05,7.269726233136256e-06,1.7250442148758286e-07,1.2551028802138568e-07,9.0620158601516e-06,2.5544107185811318e-05,1.4939985693756694e-05,2.4535822650751903e-06,1.6073067214945933e-06,2.1106564977871104e-08,1.4735162694039943e-08,1.8211114268248548e-06,4.361756376060962e-06,2.2535603810768603e-06,9.960410743780552e-08,1.262434090000989e-07,0.013544583496086919
70.95,0.0026199700247114465,0.0005542115478902372,0.0011135091873058025,0.0005484211727462043,0.0001254123339202396,0.0003461154085186749,0.00019806839455527127,3.206336732824776e-05,2.105991036180244e-05,3.4029548683984405e-05,9.920427280672419e-05,5.8397738143685894e-05,1.0942752622537847e-05,7.231577083156825e-06,1.7135967908372984e-07,1.246436266751664e-07,9.061971091378273e-06,2.5483846321812175e-05,1.4890795528587632e-05,2.441560263991383e-06,1.598823119691767e-06,2.097340431250407e-08,1.4636474709525071e-08,1.8211008666701833e-06,4.351569774000703e-06,2.2461875699297147e-06,9.911971100613187e-08,1.2624222563110992e-07,0.013518088750354429
71.0,0.0026171213459097275,0.0005539982325490176,0.0011107621343802371,0.0005466491126464216,0.00012540376418827427,0.00034528323368147304,0.00019741848917457955,3.190836971852072e-05,2.095039554811191e-05,3.4029069727129326e-05,9.896914193302357e-05,5.820563794062737e-05,1.0889399655673932e-05,7.193645452609102e-06,1.7022319952543678e-07,1.237834321656033e-07,9.061921035445999e-06,2.542371779058984e-05,1.4841769956623917e-05,2.4296071260744163e-06,1.5903921495882564e-06,2.084203392633377e-08,1.4539198767525366e-08,1.821089646818046e-06,4.3414214290267105e-06,2.238847712609055e-06,9.863880653567045e-08,1.2624109644718424e-07,0.013491663998224136
71.05,0.0026142752561295604,0.0005537839045863492,0.0011080224342568275,0.000544883184966048,0.00012539498750634056,0.0003444530454778014,0.00019677081282083996,3.1754197122275725e-05,2.0841499883988677e-05,3.4028559589287614e-05,9.873454096600826e-05,5.80141920614338e-05,1.0836332752210185e-05,7.1559300110867185e-06,1.6909491911374243e-07,1.2292965334309328e-07,9.061865418077975e-06,2.536372164362024e-05,1.4792908902901521e-05,2.4177229404851025e-06,1.582013983897151e-06,2.071235683717854e-08,1.4443260904416631e-08,1.8210778271364235e-06,4.331309629826211e-06,2.2315400397026725e-06,9.816138128852827e-08,1.2624004132775939e-07,0.01346530900136639
71.10000000000001,0.0026114317551858145,0.0005535685663802876,0.0011052900671455568,0.0005431233678156024,0.000125386002298542,0.0003436248404386316,0.00019612535804936317,3.1600844783667054e-05,2.0733219610010755e-05,3.4028017422377004e-05,9.850046924675936e-05,5.7823398391089193e-05,1.0783550253972674e-05,7.118429436837116e-06,1.6797477469155433e-07,1.2208223950743027e-07,9.06180396884368e-06,2.5303857943677952e-05,1.4744212330019432e-05,2.4059077199748886e-06,1.5736887192161252e-06,2.0584268006374082e-08,1.4348580569848465e-08,1.8210654638924735e-06,4.321232458939196e-06,2.224263689376271e-06,9.768755223698699e-08,1.262390753681405e-07,0.013439023521091078
71.15,0.0026085908428850058,0.0005533522203271524,0.0011025650133028371,0.0005413696393819957,0.00012537680701725108,0.0003427986150887594,0.00019548211743578337,3.1448307976141146e-05,2.0625550991016637e-05,3.402744239022295e-05,9.826692611208159e-05,5.7633254819549645e-05,1.0731050513053741e-05,7.081142416701704e-06,1.6686270363016653e-07,1.2124114039477196e-07,9.061736421235378e-06,2.5244126761654275e-05,1.4695680230367511e-05,2.3941613947595597e-06,1.565416369901042e-06,2.0457653615008172e-08,1.4255070188090975e-08,1.8210526071192406e-06,4.311187819255849e-06,2.2170177001247095e-06,9.721752991640777e-08,1.2623820788823727e-07,0.013412807318220475
