Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(1),J_total_sodium
3.1,0.06269729662741322,0.008285501553733303,0.0002827868852621224,0.04214899676211629,0.12539459325482644,0.016571003107466606,0.25289398057269774,0.0002827868852621224,0.3951423638202529
3.1500000000000004,0.06219433100956032,0.007800106739320963,0.00025926167470044314,0.040337529894294996,0.12438866201912065,0.015600213478641926,0.24202517936576998,0.00025926167470044314,0.382273316538233
3.2,0.06168909643740279,0.007371061895197444,0.00023855393193197646,0.038603935458342745,0.12337819287480559,0.014742123790394888,0.23162361275005647,0.00023855393193197646,0.3699824833471889
3.25,0.0611817750290342,0.006992969826682461,0.00022036005222082346,0.03694520378764948,0.1223635500580684,0.013985939653364922,0.2216712227258969,0.00022036005222082346,0.35824107248955106
3.3000000000000003,0.06067254669679403,0.006660855746938303,0.0002044071519674808,0.035358388861659526,0.12134509339358807,0.013321711493876606,0.21215033316995716,0.0002044071519674808,0.3470215452093893
3.35,0.06016158906239872,0.006370141601962655,0.00019045000637207075,0.03384061456574618,0.12032317812479744,0.01274028320392531,0.20304368739447706,0.00019045000637207075,0.3362975987295719
3.4000000000000004,0.05964907737620597,0.006116621082006335,0.00017826829450839785,0.03238907962455941,0.11929815475241194,0.01223324216401267,0.19433447774735646,0.00017826829450839785,0.3260441429582895
3.45,0.05913518444061589,0.005896435446896366,0.00016766412083552793,0.031001061376429103,0.11827036888123178,0.011792870893792731,0.1860063682585746,0.00016766412083552793,0.31623727215443465
3.5,0.05862008053760666,0.005706050261260389,0.00015845978517763212,0.02967391853954394,0.11724016107521332,0.011412100522520778,0.17804351123726364,0.00015845978517763212,0.3068542326201754
3.5500000000000003,0.05810393336039677,0.005542233108763186,0.0001504957759671156,0.028405093104957667,0.11620786672079354,0.011084466217526371,0.170430558629746,0.0001504957759671156,0.297873387344033
3.6,0.05758690794922018,0.005402032331684014,0.00014362896407241055,0.02719211147701582,0.11517381589844036,0.010804064663368028,0.16315266886209492,0.00014362896407241055,0.28927417838797576
3.6500000000000004,0.057069166631194664,0.0052827568230196615,0.000137730976828874,0.026032584968537078,0.11413833326238933,0.010565513646039323,0.15619550981122246,0.000137730976828874,0.28103708769647995
3.7,0.056550868964258164,0.005181956882360473,0.0001326867339712085,0.024924209745988597,0.11310173792851633,0.010363913764720945,0.1495452584759316,0.0001326867339712085,0.27314359690314005
3.75,0.056032171685142025,0.00509740613365774,0.00012839312904345035,0.02386476630891256,0.11206434337028405,0.01019481226731548,0.14318859785347537,0.00012839312904345035,0.26557614662011836
3.8000000000000003,0.05551322866134455,0.005027084492318853,0.00012475784155327295,0.02285211857793193,0.1110264573226891,0.010054168984637705,0.13711271146759157,0.00012475784155327295,0.2583180956164717
3.85,0.054994190847062835,0.004969162160503403,0.00012169826665700331,0.02188421265671764,0.10998838169412567,0.009938324321006806,0.13130527594030583,0.00012169826665700331,0.2513536802220953
3.9000000000000004,0.05447520624303544,0.004921984622754687,0.00011914055052560355,0.02095907532526765,0.10895041248607087,0.009843969245509374,0.1257544519516059,0.00011914055052560355,0.24466797423371173
3.95,0.05395641986024372,0.004884058608923571,0.00011701872076469971,0.020074812314658404,0.10791283972048744,0.009768117217847141,0.12044887388795042,0.00011701872076469971,0.2382468495470497
4.0,0.05343797368741429,0.004854038987491927,0.00011527390235720666,0.01922960640701001,0.10687594737482858,0.009708077974983855,0.11537763844206006,0.00011527390235720666,0.2320769376942297
4.05,0.05292000666226082,0.00483071654967463,0.00011385361057803249,0.018421715398691346,0.10584001332452164,0.00966143309934926,0.11053029239214807,0.00011385361057803249,0.226145592426597
4.1000000000000005,0.05240265464639885,0.004813006642891193,0.0001127111132083755,0.017649469959713417,0.1048053092927977,0.009626013285782387,0.1058968197582805,0.0001127111132083755,0.22044085345006897
4.15,0.051886050403863127,0.004799938611192427,0.00011180485516297115,0.0169112714177589,0.10377210080772625,0.009599877222384853,0.10146762850655339,0.00011180485516297115,0.21495141139182747
4.2,0.051370323583153014,0.0047906459998661955,0.00011109793934692765,0.016205589491314835,0.10274064716630603,0.009581291999732391,0.09723353694788901,0.00011109793934692765,0.20966657405327435
4.25,0.05085560070272815,0.004784357481610591,0.00011055765818825568,0.015530959992862126,0.1017112014054563,0.009568714963221182,0.09318575995717276,0.00011055765818825568,0.2045762339840385
4.3,0.05034200513987285,0.004780388462249994,0.00011015507085567905,0.014885982519979576,0.1006840102797457,0.009560776924499989,0.08931589511987745,0.00011015507085567905,0.19967083739497882
4.3500000000000005,0.04982965712284506,0.004778133324891924,0.00010986462167585065,0.014269318149499199,0.09965931424569012,0.009556266649783847,0.08561590889699519,0.00010986462167585065,0.194941354414145
4.4,0.04931867372622246,0.004777058272605412,0.00010966379571599582,0.013679687147461499,0.09863734745244492,0.009554116545210824,0.082078122884769,0.00010966379571599582,0.1903792506781407
4.45,0.04880916886935613,0.004776694731081648,0.00010953280790288372,0.01311586670552823,0.09761833773871226,0.009553389462163296,0.07869520023316938,0.00010953280790288372,0.1859764602419478
4.5,0.04830125331783988,0.004776633274261432,0.0001094543224119315,0.01257668871268323,0.09660250663567976,0.009553266548522864,0.07546013227609938,0.0001094543224119315,0.18172535978271392
4.55,0.047795034687901264,0.0047765180375369705,0.00010941319938564114,0.012061037569458206,0.09559006937580253,0.009553036075073941,0.07236622541674924,0.00010941319938564114,0.17761874406701134
4.6000000000000005,0.04729061745361867,0.004776041584820716,0.00010939626633247766,0.011567848050534462,0.09458123490723734,0.009552083169641432,0.06940708830320677,0.00010939626633247766,0.17364980264641802
4.65,0.0467881029568676,0.004774940197490732,0.00010939211181926091,0.011096103220368577,0.0935762059137352,0.009549880394981464,0.06657661932221146,0.00010939211181926091,0.16981209774274736
4.7,0.04628758941989771,0.004772989554945635,0.00010939089930536062,0.010644832405448817,0.09257517883979542,0.00954597910989127,0.0638689944326929,0.00010939089930536062,0.16609954328168497
4.75,0.04578917196044176,0.004770000778212357,0.00010938419917826585,0.010213109225890842,0.09157834392088351,0.009540001556424715,0.06127865535534505,0.00010938419917826585,0.16250638503183154
4.800000000000001,0.04529294260925645,0.004765816809730912,0.00010936483723998542,0.0098000496883082,0.0905858852185129,0.009531633619461823,0.0588002981298492,0.00010936483723998542,0.15902718180506392
4.8500000000000005,0.04479899032999509,0.004760309104079385,0.0001093267580644582,0.009404810341230955,0.08959798065999018,0.00952061820815877,0.05642886204738573,0.0001093267580644582,0.15565678767359914
4.9,0.04430740104131151,0.0047533746059901455,0.00010926490179972747,0.009026586493780344,0.08861480208262303,0.009506749211980291,0.05415951896268206,0.00010926490179972747,0.15239033515908512
4.95,0.04381825764109487,0.004744932993537446,0.00010917509312683996,0.008664610497827439,0.08763651528218974,0.009489865987074892,0.05198766298696463,0.00010917509312683996,0.14922321934935612
