event_number,record_index,vlm,pro,pdg,theta_deg,et_keV,Eprime_k_keV,Eprime_from_E0_minus_et_keV,difference_k_minus_E0_minus_et_keV,px,py,pz,theta_bin_left_deg,theta_bin_right_deg,theta_bin_center_deg
564752,2,2,2013,22,69.10872085309913,300.9480753373449,361.0519246626551,361.0519246626551,0.0,0.1709909900278685,-0.3565958021667748,0.9184778251032106,68.0,70.0,69.0
564759,2,2,2013,22,123.12015351397591,441.5801700029996,220.41982999700036,220.41982999700042,-5.684341886080802e-14,0.5792637013736037,0.5463965907415602,0.6049002644212949,122.0,124.0,123.0
564870,2,2,2013,22,20.387171781575685,49.689159200875906,612.3108407991241,612.3108407991241,0.0,-0.32832819217552833,-0.9373600094148935,0.11643371922454467,20.0,22.0,21.0
565250,4,2,2013,22,17.02258702779748,188.58906033608125,626.4450582320989,473.4109396639187,153.03411856818013,0.2839270643990338,-0.9561894234677375,-0.071324669997012,16.0,18.0,17.0
565353,2,2,2013,22,132.5436837271741,134.68949344029812,208.73679681366977,527.3105065597019,-318.57370974603214,-0.3526052067197296,0.6761521297804629,-0.6469063808523462,132.0,134.0,133.0
565433,2,2,2013,22,90.67228805829419,375.5070256227602,286.4929743772398,286.4929743772398,0.0,0.9993853410703889,0.011733370896300555,-0.0330343466869285,90.0,92.0,91.0
565451,2,2,2013,22,49.15539279211077,204.89059450407444,457.1094054959256,457.10940549592556,5.684341886080802e-14,-0.5379235853084252,-0.6540097588370924,0.5318923309418718,48.0,50.0,49.0
565473,2,2,2013,22,21.728826454102197,55.80066627352098,606.199333726479,606.199333726479,0.0,0.23226065379982916,-0.928946428240358,-0.2882941590736054,20.0,22.0,21.0
565556,2,2,2013,22,145.341816530143,120.25085086247243,196.95763938280612,541.7491491375275,-344.7915097547214,-0.5680230584646163,0.8225593027977562,-0.027312971888323448,144.0,146.0,145.0
565705,2,2,2013,22,33.07739549159881,114.87296538384439,547.1270346161556,547.1270346161556,0.0,0.5326744944571946,-0.8379341012571837,0.11884580306047007,32.0,34.0,33.0
565718,2,2,2013,22,138.9669890330449,459.72298080967306,202.27701919032688,202.27701919032694,-5.684341886080802e-14,-0.48917933638954736,0.7543314665305378,0.4378214424298678,138.0,140.0,139.0
565752,2,2,2013,22,61.17210662073898,265.79125934525143,396.20874065474857,396.20874065474857,0.0,0.01418527313356918,-0.4821802305228321,0.8759571926293399,60.0,62.0,61.0
565759,4,2,2013,22,71.9228816921763,141.67130933079,349.61494741739983,520.32869066921,-170.71374325181017,-0.9445913504102829,-0.31029680607948107,0.10706574086490546,70.0,72.0,71.0
565771,2,2,2013,22,17.804972825174445,38.67767039934866,623.3223296006513,623.3223296006513,0.0,0.1532768281274036,-0.9521028571964169,-0.2645871562975455,16.0,18.0,17.0
565807,2,2,2013,22,62.70083893330266,272.89432975965343,389.10567024034657,389.10567024034657,0.0,0.0655908848872555,-0.4586365431698153,-0.8861999532210261,62.0,64.0,63.0
565821,2,2,2013,22,146.79512202607427,466.1113563797678,195.88864362023213,195.8886436202322,-5.684341886080802e-14,0.5149326198148324,0.8367176926973938,-0.18640788550322374,146.0,148.0,147.0
565887,2,2,2013,22,36.34137546314466,133.2351843252393,528.7648156747607,528.7648156747607,0.0,0.36263144192863495,-0.8055005568973114,0.46868677190942815,36.0,38.0,37.0
565945,2,2,2013,22,156.69053736728088,345.0534961893007,189.94245708012608,316.9465038106993,-127.00404673057324,0.3549724002302045,0.9183810428574284,0.1748452321194655,156.0,158.0,157.0
566010,2,2,2013,22,33.71839804129089,118.4568583504335,543.5431416495666,543.5431416495665,1.1368683772161603e-13,0.5367197191105062,-0.8317759151477487,-0.14170663392397842,32.0,34.0,33.0
