Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Dy_relativistic
80.2,0.001092344687439098,0.00024181650414052694,7.93004855120382e-05,3.998445671690085e-05,5.743559899126737e-05,2.147976473621503e-05,1.1251880240483704e-05,4.73672264679463e-07,3.182664272230243e-07,1.413786427746238e-05,5.1534693217948336e-06,2.6809092174522664e-06,1.1458380871459599e-07,7.677377518588495e-08,2.81933211548734e-10,2.1550916415033669e-10,2.3136026950238557e-06,6.818960929773701e-07,3.379549402645617e-07,1.4097975906264408e-07,0.0032513563295352935
80.25,0.0010902894157092324,0.00024130500092698484,7.90371713014402e-05,3.9831891375980005e-05,5.7311649043695986e-05,2.140640566906866e-05,1.1207840648196268e-05,4.712945785071144e-07,3.1657106095831234e-07,1.4107202636238292e-05,5.135751885263719e-06,2.670350067019672e-06,1.1401493817561307e-07,7.637146272506724e-08,2.8098780121674763e-10,2.1472517460351905e-10,2.3086482295902318e-06,6.795750319383945e-07,3.366408954663144e-07,1.4067963147763065e-07,0.0032443313301128477
80.30000000000001,0.0010882383477588767,0.00024079464367668393,7.877486199410885e-05,3.967997624321167e-05,5.718797983212449e-05,2.1333334710419107e-05,1.1163993860990938e-05,4.6893019446914616e-07,3.148856297733685e-07,1.4076610130012845e-05,5.118105931223769e-06,2.6598390248276347e-06,1.134497717216023e-07,7.597198643000603e-08,2.7999955065706945e-10,2.139043091837164e-10,2.3037122281579356e-06,6.772600439693143e-07,3.353311119617127e-07,1.4038111238912948e-07,0.003237324236976424
80.35000000000001,0.0010861914749017638,0.00024028543004331733,7.851355331159532e-05,3.952870828009019e-05,5.706459079856132e-05,2.126055059788979e-05,1.1120338952255488e-05,4.6657903086631773e-07,3.132100703033467e-07,1.4046086750094727e-05,5.100531211699723e-06,2.649375941814271e-06,1.1288820216427238e-07,7.557525203698257e-08,2.789651826238478e-10,2.1304352902896451e-10,2.2987937479328723e-06,6.749509028552028e-07,3.3402552589541155e-07,1.4008432051044113e-07,0.0032303349948040383
80.4,0.0010841487884673629,0.00023977735768269446,7.825324099532119e-05,3.937808446344498e-05,5.6941481385248384e-05,2.1188052075133588e-05,1.1076875000191654e-05,4.6424100654349385e-07,3.1154431961948453e-07,1.4015632492371622e-05,5.083027463574875e-06,2.6389606511825197e-06,1.1233011830591138e-07,7.518116161433974e-08,2.7788233111022095e-10,2.121407099096687e-10,2.293891794293297e-06,6.726474362125314e-07,3.327241081644858e-07,1.397893439270625e-07,0.0032233635484078416
80.45,0.0010821102798008698,0.00023927042425276354,7.799392080647988e-05,3.9228101785358216e-05,5.681865103466945e-05,2.111583789180216e-05,1.1033601087788495e-05,4.6191604088565964e-07,3.098883152258189e-07,1.3985247355846096e-05,5.0655944080104374e-06,2.6285929677015387e-06,1.1177540596451404e-07,7.47896144889868e-08,2.7674947453496287e-10,2.11194570387347e-10,2.289005333030405e-06,6.703495197155818e-07,3.314268561818237e-07,1.3949615804078497e-07,0.0032164098425513945
80.5,0.0010800759402631937,0.00023876462741363302,7.773558852593831e-05,3.907875725308279e-05,5.669609918955826e-05,2.104390680351535e-05,1.0990516302795849e-05,4.5960405381396796e-07,3.082419950559296e-07,1.3954931341127495e-05,5.048231750058016e-06,2.618272687229468e-06,1.1122394902569055e-07,7.440050819565617e-08,2.7556576657313774e-10,2.102044625740087e-10,2.2841333021001085e-06,6.680570702852457e-07,3.3013378473479247e-07,1.3920458587626025e-07,0.0032094738218452616
80.55000000000001,0.001078045761230944,0.00023825996482759282,7.747823995413904e-05,3.89300478889607e-05,5.657382529290661e-05,2.0972257571830748e-05,1.094761973769792e-05,4.573049657818224e-07,3.066052974697132e-07,1.39246844488968e-05,5.030939178469544e-06,2.607999586462491e-06,1.1067563051022362e-07,7.401373943910501e-08,2.7433081738056695e-10,2.0917010664034174e-10,2.27927462275402e-06,6.657700389738956e-07,3.288449168356606e-07,1.3891431634150918e-07,0.003202555430757478
80.60000000000001,0.0010760197340964205,0.00023775643415913615,7.722187091100324e-05,3.878197073034215e-05,5.645182878797245e-05,2.0900888964213497e-05,1.0904910489687091e-05,4.5501869777099977e-07,3.049781612501903e-07,1.3894506678361747e-05,5.013716365706811e-06,2.5977734229125233e-06,1.1013033364620753e-07,7.362920505957918e-08,2.730444937197878e-10,2.0809136909289875e-10,2.274428209993753e-06,6.63488404269851e-07,3.2756027544650865e-07,1.3862496613606416e-07,0.003195654613715948
80.65,0.0010739978502675956,0.00023725403307497953,7.696647723583353e-05,3.863452282950464e-05,5.63301091182876e-05,2.0829799754006076e-05,1.0862387660637752e-05,4.5274517128780367e-07,3.0336052560034004e-07,1.3864398025719483e-05,4.996562968150352e-06,2.5875939351132256e-06,1.0958794293484274e-07,7.324680299202944e-08,2.7170679067137846e-10,2.069681464374109e-10,2.269592982363372e-06,6.61212166464305e-07,3.262798768545677e-07,1.3833615390549252e-07,0.0031887713152448267
