Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(3),J_5s1/2(1),J_total_Ru_relativistic
2.6,0.01864032970441488,0.06008019106606809,0.03386532626469225,0.034989811276468004,0.07199592756635903,0.08589851647741878,0.08705467853463038,0.06734969003626433,0.06785995243361997,0.0276038586657541,0.03205385114853942,0.029269783014236814,0.0342571532706438,0.03291722643054309,0.0021063307262391027,2.1799781909350546
2.6500000000000004,0.01863281725568597,0.059786894559362376,0.033857162706115565,0.03498045211639241,0.0697997283720615,0.08514704894692214,0.08623463468869273,0.06720842218305206,0.06771287680637744,0.02757150909305695,0.02955408778599641,0.02695991743774841,0.03182653290412431,0.030552744773816833,0.0020239998810117343,2.1374978297991682
2.7,0.018625166001230993,0.059489643657862856,0.03384856340545582,0.03497059563728385,0.06763908962180112,0.08437393682871887,0.08539202230633902,0.06705852095272535,0.06755687791827111,0.02756003700476616,0.027269597180904374,0.024864044844272182,0.029552358081729495,0.028343191720744357,0.001961059576536541,2.097294136939276
2.75,0.018617376180586093,0.05918852040209181,0.03383951533255458,0.034960227173980195,0.06551557346725334,0.08357971958871896,0.08452749851874569,0.0668997987678028,0.06739176839164492,0.027557968284109946,0.025188643446782805,0.02296906261573764,0.027426799562646265,0.026280582169842217,0.0019141486865254965,2.0592146855057676
2.8000000000000003,0.018609448037467623,0.05888360747445131,0.0338300054526093,0.034949332071958626,0.06343061827798055,0.08276497882858826,0.08364176458621093,0.06673208349153438,0.06721737716020885,0.027555435611783786,0.023299421144444034,0.021261968800276282,0.025442222458373357,0.024357154091768522,0.0018802764336192474,2.0231125169582422
2.85,0.018601381819756034,0.05857498815884993,0.03382002073634862,0.03493789569927855,0.06138553968757537,0.08193033588648839,0.08273556298651233,0.066555219015977,0.06703355004913732,0.027544067731174925,0.02159015956754304,0.01972995893220133,0.02359120365425477,0.02256538297645227,0.0018568000702983527,1.9888465976228475
2.9000000000000004,0.018593177779479487,0.05826274630033025,0.033809548170149153,0.03492590345843893,0.05938153197626282,0.0810764493517632,0.08180967442486209,0.06636906576462101,0.066840150264866,0.027516876447838127,0.020049213431330547,0.018360508178547386,0.02186654579322793,0.02089799308470221,0.0018414013432379154,1.9562821595796374
2.95,0.01858483617279722,0.05794696626472614,0.033798574766084694,0.034913340798139264,0.05741966976977453,0.08020401250875868,0.08086491478335099,0.06617350110942455,0.06663705879472329,0.02746814320866342,0.018665140788219216,0.01714143993262385,0.020261288182650113,0.01934796584600544,0.001832062377731186,1.9252909388668904
3.0,0.01857635725998266,0.0576277328983785,0.033787087571899105,0.03490019322493354,0.05550091003386373,0.07931375072461784,0.07990213202721626,0.0659684197027613,0.06642417471720606,0.027393306815875956,0.017426769050068104,0.016060981993229105,0.01876871495464732,0.01790854571619294,0.001827041491517801,1.8957513232638545
3.0500000000000003,0.018567741305406248,0.057305131487937845,0.03377507368089434,0.03488644631476684,0.05362609434352226,0.07840641879547032,0.07892220308462969,0.06575373372538984,0.06620141542433357,0.027288853564449114,0.016323250027995177,0.015107811463131594,0.017382360781551132,0.016573243786480472,0.0018248493400094565,1.8675484211346796
3.1,0.018558988577518063,0.0569792477202817,0.03376252024172504,0.03487208572438442,0.05179595140577935,0.07748279826494628,0.07792603071598937,0.06552937305210677,0.06596871675808265,0.02715221084941794,0.01534410491047699,0.01427108947694908,0.01609601442595226,0.01533583940988173,0.0018242257051309854,1.8405740620050905
3.1500000000000004,0.018550099348830146,0.056650167642574224,0.03374941446809161,0.0348570972026034,0.0500110998149036,0.07654369472839284,0.0769145403879229,0.0652952853372488,0.0657260330634224,0.026981645071992882,0.014479260093435217,0.013540486830813301,0.01490372038307187,0.014190380086645284,0.0018241171643061708,1.8147267387078585
3.2,0.018541073895898607,0.05631797762249537,0.03373574364832364,0.03484146660143754,0.04827205101888618,0.07558993513556837,0.07588867716638154,0.06505143602266102,0.06547333716092478,0.026776164479801128,0.01371907475540988,0.012906201537763416,0.013799778849266458,0.013131179832421675,0.001823655813323065,1.7899115000989432
3.25,0.018531912499305466,0.05598276430866605,0.03372149515484584,0.03482517988706552,0.04657921247624619,0.07462236510394116,0.07484940264233288,0.06479780827114674,0.06521062024232971,0.026535427406123663,0.01305436103979695,0.012358969276694897,0.01277874423098754,0.01215281623424507,0.001822139164860913,1.7660398025323354
3.3000000000000003,0.018522615443640256,0.055644614591295556,0.0337066564535189,0.034808223150634025,0.04493289098246357,0.07364184625403412,0.07379769190265523,0.06453440282876258,0.06493789169278938,0.026259656224452914,0.012476397667086043,0.011890067641440473,0.011835422392195923,0.011250126378971713,0.0018190113013947249,1.7430293274907818
3.35,0.018513183017481383,0.05530361556307695,0.03369121511284787,0.0347905826188865,0.04333329614570028,0.07264925357754201,0.07273453055790656,0.06426123781961673,0.06465517884380798,0.02594955720666148,0.011976937755288151,0.01149131503227398,0.010964866819618894,0.010418201823122437,0.001813845325904157,1.720803772008526
3.4000000000000004,0.018503615513377245,0.05495985448035539,0.033675158813050866,0.034772244664609396,0.04178054399191025,0.07164547284820987,0.07166091183769596,0.0639783484770754,0.06436252666113125,0.025606246364011563,0.011548211578163927,0.011155064966520108,0.010162373867604409,0.009652382759350093,0.0018063271249006742,1.6992926178019179
3.45,0.018493913227827098,0.054613418724594215,0.033658475354981086,0.034753195816887586,0.04027466067995552,0.07063139808470839,0.07057783376343209,0.06368578681547862,0.0640599973720278,0.025231181258541423,0.011182924940005704,0.010874196519398081,0.009423477230860232,0.008948251518346663,0.0017962404352545084,1.6784308843479148
3.5,0.01848407646126172,0.0542643957641626,0.03364115266889557,0.03473342277116115,0.03881558630792922,0.06960792907397857,0.06948629640726908,0.06338362124661859,0.06374767003654236,0.024826098696415215,0.010874253793868275,0.010642101541810825,0.00874394177961946,0.008301625530576463,0.0017834531882460524,1.6581588705181687
3.5500000000000003,0.018474105518023788,0.05391287311646839,0.03362317882306413,0.03471291239907598,0.03740317879253208,0.06857596896275187,0.06838729924512361,0.06307193614534042,0.06342564006739443,0.024392958153012373,0.010615835678318619,0.010452669239353132,0.008119756876777375,0.007708549861269333,0.001767905090230354,1.6384218887894288
3.6,0.018464000706348075,0.05355893831045891,0.033604542032212206,0.03469165175812103,0.03603721780404554,0.06753642192418768,0.06728183861070197,0.06275083136869199,0.06309401870324562,0.02393389073030756,0.010401758496804078,0.010300268636984185,0.007547129284534162,0.0071652894196812325,0.0017495963891772976,1.6191699955125562
3.6500000000000004,0.018453762338341385,0.05320267884951193,0.03358523066579179,0.034669628101045256,0.03471740874018765,0.06649019090581262,0.06617090525656019,0.06242042173307689,0.06275293244006895,0.023451153408970415,0.01022654711426309,0.010179729397048873,0.0070224757579234074,0.006668320931025711,0.0017285777687972767,1.6003577202306642
3.7,0.018443390729962258,0.052844182174738526,0.033565233256074585,0.03464682888504782,0.03344338672291813,0.06543817546420092,0.06505548202732836,0.06208083645385754,0.062402522425327976,0.022947088329200983,0.01008514819810868,0.01008632140494974,0.006542415410980929,0.0062143247503982256,0.001704941306416695,1.581943796588645
3.75,0.018432886201000472,0.05248353562871864,0.033544538506062,0.03462324178073514,0.03221472060306963,0.06438126969110552,0.06393654164936523,0.06173221855181549,0.062042943819613644,0.022424086814313553,0.009972913685559281,0.010015733486956375,0.006103761930619283,0.005800176589362991,0.001678812427662806,1.563890896971058
3.8000000000000003,0.018422249075056296,0.0521208264196898,0.03352313529720676,0.03459885468083916,0.031030916958517937,0.06332036023504027,0.06281504464027796,0.06137472423080725,0.06167436513029853,0.02188455783829417,0.009885583216721857,0.009964051578481485,0.005703515705345724,0.00542293921595183,0.001650342789144383,1.5461653726428513
3.85,0.018411479679519536,0.05175614158620858,0.03350101269694127,0.03457365570869106,0.029891424072455645,0.0622563244216263,0.06169193734094433,0.061008522230858994,0.06129696752165256,0.02133090063189389,0.009819265833004596,0.009927736618661875,0.005338855927837573,0.0050798541810956515,0.0016197040196815617,1.528737000844159
3.9000000000000004,0.018400578345548358,0.051389567962303706,0.03347815996600791,0.03454763322644536,0.028795635879198433,0.061190028475355616,0.060568150071916176,0.06063379316082524,0.06091094410572596,0.020765481120294714,0.009770421203431414,0.009903602408204815,0.0050071327217279,0.004768333618449234,0.0015870822518482797,1.5115787400023102
