Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_5s1/2(2),J_5p1/2(2),J_5p3/2(3),J_total_I_relativistic
13.15,0.012861671079263545,0.008187241547225464,0.01859619197660558,0.01864093192312186,0.00582565224054625,0.002565117942337685,0.0026523699653319835,0.009078005764855578,0.008813909757556542,0.0015968213380756183,0.0006372115280248604,0.0005870487740774987,0.0015878435107577775,0.0015450942105703159,0.00022697019635200172,6.428352117714355e-05,5.4113642474791774e-05,0.2936234872279807
13.200000000000001,0.012845385725668573,0.008083260088177061,0.018523370741108568,0.018560277944049998,0.005769326557328064,0.0025537057626394922,0.0026462277187908113,0.008958287692556303,0.008695647308836952,0.0015850079144158669,0.0006274118229808621,0.0005803150392841792,0.0015697031345844065,0.0015269684888784521,0.0002254316207635696,6.315368020776744e-05,5.337327967153424e-05,0.2913071685689495
13.25,0.012829067324079327,0.007980456725996541,0.018450494342237427,0.01847961171511878,0.005712992402414959,0.0025429405460195014,0.002640542365334004,0.00884004283189003,0.00857887097527124,0.0015730604649275151,0.0006180104646422603,0.0005739033175240633,0.0015516997368062039,0.0015089889523040628,0.00022386934508213064,6.20680413229022e-05,5.26667465833311e-05,0.2890142789853393
13.3,0.012812716135952,0.00787882451228253,0.018377567138267804,0.01839893811505507,0.005656665844653745,0.002532796421018088,0.002635290897435545,0.008723257205918739,0.00846356610475552,0.0015609855335349282,0.0006089952620924276,0.0005678021519560563,0.0015338348200973758,0.0014911568441572955,0.00022228433340248918,6.1025299387919776e-05,5.199288382033721e-05,0.2867445300679729
13.350000000000001,0.01279633242267846,0.007778356425603728,0.01830459346188115,0.018318261984703425,0.005600362613437391,0.0025232481853907874,0.0026304509921402557,0.00860791683195833,0.00834971805420986,0.0015487896260970968,0.0006003542747374447,0.0005620003659519754,0.0015161097755523596,0.001473473299871659,0.0002206775501658243,6.0024174397126745e-05,5.135055920302344e-05,0.2844976370721016
13.4,0.012779916445578549,0.007679045374251581,0.01823157761961099,0.01823758812649674,0.005544098096643753,0.002514271295165425,0.0026260009975778284,0.008494007727027367,0.008237312194865896,0.0015364792031036325,0.0005920758111042862,0.0005564870597837871,0.0014985258861109564,0.001455939350486719,0.0002190499586275231,5.906341145804341e-05,5.073866751305201e-05,0.2822733188937291
13.450000000000001,0.012763468465892382,0.007580884198959627,0.018158523891304304,0.018156921303945743,0.005487887339015857,0.0025058418536855376,0.0026219199195564417,0.008381515913101843,0.008126333917356995,0.001524060672862309,0.0005841484274318499,0.0005512516071814624,0.0014810843299279057,0.0014385559260672687,0.00021740251942347106,5.814178074644802e-05,5.015613020992931e-05,0.28007129804467257
13.5,0.012746988744772713,0.007483865675589328,0.01808543652959788,0.018076266241147235,0.005431745040963693,0.00249793660065001,0.002618187408244059,0.008270427422180293,0.00801676863661551,0.0015115403851580073,0.0005765609260686163,0.0005462836517735447,0.0014637861836852473,0.0014213238590579374,0.0002157361892321115,5.7258077437918755e-05,4.9601895124322424e-05,0.2778913006264757
13.55,0.012730477543277304,0.007387982517782089,0.018012319759409586,0.017995627622310825,0.005375685557767951,0.0024905329011583343,0.0026147837449450023,0.008160728301163347,0.00790860179658156,0.001498924625363442,0.0005693023536901455,0.0005415731034219233,0.0014466324258461084,0.0014042438875724336,0.00021405191952905673,5.64111216151445e-05,4.907493613740838e-05,0.2757330563032711
13.600000000000001,0.01271393512236135,0.007293227379577393,0.01793917777744448,0.017915010091304057,0.0053197228991668,0.0024836087347704728,0.0026116898289789366,0.008052404616552057,0.007801818874727914,0.0014862196089826096,0.0005623619993490779,0.0005371101344617493,0.0014296239398488802,0.001387316658616887,0.00021235065542971195,5.5599758151010844e-05,4.857425284985252e-05,0.2735962982736669
