Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(5),J_6s1/2(1),J_total_Pt_relativistic
0.5,0.009456512361339292,0.033664695485260084,0.016402017962475163,0.018401316204744604,0.07377621365537097,0.04344344988799983,0.04680279379502497,0.03019805853006708,0.03094211316796479,0.14872615920871043,0.09646445595799656,0.1042035030407524,0.07874085388225373,0.08063182142101973,0.06951264004045478,0.07048698072477022,0.30761031657969834,0.24119336739386663,0.2654386438119544,0.2968092499609989,0.31562628254718955,0.20066393096873214,8.733062691168096
0.55,0.009456303212552591,0.0336563666871652,0.016402015894320804,0.018401312895135757,0.0736725317779404,0.043443232426564865,0.04680247855937783,0.03019805825681639,0.030942112851383045,0.14775227041985212,0.09645211554123363,0.10418543606686473,0.07874065101951351,0.08063158218816154,0.06951261412958784,0.07048695047177875,0.2970815252644011,0.24012354877608583,0.26373233695317216,0.29351885489242086,0.31052403987704547,0.14227451994612764,8.603704512693817
0.6000000000000001,0.009456074152454672,0.03364724729229383,0.016402013185472207,0.01840130855308973,0.07355915196148448,0.043442947397640916,0.046802065453595325,0.030198057828380764,0.030942112355034246,0.14669336491932927,0.09643601839916385,0.10416189289699658,0.07874033526842455,0.08063120999179087,0.06951256690454087,0.07048689540340035,0.2859938419809764,0.23877488365297128,0.26160207466537183,0.2894124441274978,0.3043962751748007,0.10143907530885826,8.479914750975261
0.65,0.00945582518312354,0.033637338014725716,0.016402009715171032,0.018401302983485846,0.07343612200373617,0.043442582164248025,0.046801536211019616,0.030198057181179152,0.03094211160528584,0.1455514831240335,0.0964154994677515,0.1041319156127401,0.07873986207894086,0.08063065247940791,0.06951248533660957,0.07048680041860578,0.27444675725947054,0.23711809454978577,0.25901219243899765,0.2844961529413645,0.2973227195567644,0.07404836481064236,8.358003363226134
0.7000000000000001,0.009455556306817716,0.03362663963018468,0.016402005352270307,0.018401295974448797,0.07330349370929629,0.04344212305194276,0.046800871078962074,0.030198056233939792,0.030942110508029617,0.1443288135834235,0.09638985225079813,0.10409449075238994,0.07873917546733011,0.08062984393039727,0.06951235078247063,0.07048664395970804,0.2625402844874973,0.23512777863489978,0.2559351127595304,0.2788076469767725,0.28941420321858174,0.05649331879611599,8.23510300887983
0.75,0.009455267525976196,0.03361515297592655,0.016401999955262363,0.018401287297401526,0.07316132285273173,0.04344155536393267,0.046800048843843825,0.030198054884755996,0.03094210894527926,0.14302768606336483,0.09635833261154422,0.10404855563893603,0.0787382065202974,0.08062870353660848,0.06951213748523025,0.07048639631818589,0.2503735672483893,0.2327831416912228,0.25235221223945287,0.2724085292712999,0.28079834264394044,0.04582786924811501,8.109232084176663
0.8,0.009454958843218404,0.033602878950618115,0.016401993372308955,0.01840127670712229,0.07300966913890518,0.043440863397306184,0.04679904685816829,0.03019805300794428,0.030942106771541213,0.1416505642335621,0.09632016275013339,0.10399300498363707,0.07873687192136433,0.08062713371888142,0.06951181093579013,0.07048601779600187,0.23804357579601143,0.2300685599675806,0.24825431325562575,0.26537657855127905,0.2716080422091052,0.039775197458919914,7.97921289346959
0.8500000000000001,0.009454630261344134,0.03358981851420732,0.016401985441273605,0.018401263941805836,0.07284859616057744,0.04344003046035683,0.046797841069285584,0.030198050450713252,0.03094210380996901,0.14020003799158198,0.09627453534285636,0.10392669771890704,0.07873507252443233,0.08062501850947891,0.06951132613522437,0.0704854567719017,0.2256439146686038,0.22697396244565402,0.24364181264032644,0.25779880003847133,0.26197322032547987,0.03665242892132325,7.844526051560649
0.9,0.0094542817833335,0.033575972687784665,0.016401975989756092,0.018401248723128726,0.072678171353327,0.04343903889097923,0.04679640604990584,0.030198047029652224,0.03094209984831173,0.13867881545778962,0.09622061781835045,0.10384846401318702,0.07873269199880087,0.08062222202940927,0.0695106258063607,0.0704846477301025,0.21326375909778522,0.22349503375667604,0.23852447582453054,0.24976575690315195,0.2520154706674618,0.03526400287285464,7.705151919996466
0.9500000000000001,0.009453913412346878,0.033561342553435784,0.016401964835129144,0.018401230756318707,0.07249846594783356,0.043437870076113064,0.04679471503031619,0.03019804252704891,0.03094209463466789,0.13708971467663805,0.0961575567453745,0.10375711241982435,0.0787295955688931,0.08061858708819394,0.06950963860789587,0.07048350931375656,0.20098693334103365,0.219633244850528,0.23292093701383512,0.24136728721754688,0.24184506941330247,0.03479291291365873,7.561425951486769
