Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(1),J_total_Sb_relativistic
28.700000000000003,0.007252288504216286,0.0013577857548571707,0.0028957350858758277,0.0025079221294461254,0.0002652107831001641,0.0007617064968259851,0.0006788829555970561,0.00012412497323319627,0.00011289615301875739,5.509022114986573e-05,0.00015342242650006105,0.0001362198763312594,2.079436300633918e-05,1.879387641707799e-05,6.378477312870552e-06,1.0826571899680844e-05,8.948426218180922e-06,0.04018775443676493
28.75,0.007235105644904336,0.0013570859959254496,0.0028767685016177352,0.00249037589220647,0.0002652104856243025,0.0007567873389840212,0.0006741427277426143,0.00012266822419685554,0.00011154811425334555,5.508834564028435e-05,0.00015243874894118456,0.00013527191177514352,2.054882259307217e-05,1.8568082585846205e-05,6.3781465330620554e-06,1.0757172795509959e-05,8.886159477580702e-06,0.039992854416501133
28.8,0.007217949333072351,0.001356370189776392,0.002857927611447241,0.0024729539951222875,0.00026520984478123176,0.0007518974620581687,0.0006694338433910915,0.00012122988307104997,0.00011021735708491554,5.508682670496688e-05,0.0001514607021544734,0.00013433006362938935,2.0306400133051118e-05,1.83451982034198e-05,6.3778689573243165e-06,1.0688104907478917e-05,8.824221624555002e-06,0.039799152182461314
28.85,0.00720081962595945,0.0013556383118588761,0.0028392116415259664,0.002455655605217068,0.0002652087299628193,0.0007470367587122517,0.0006647561493657918,0.00011980970242606896,0.0001089036462708515,5.508562385507243e-05,0.00015048827077638466,0.00013339430586922402,2.006705355564876e-05,1.8125183495795703e-05,6.3776397116402505e-06,1.0619391679427557e-05,8.762638627448418e-06,0.039606638871046304
28.900000000000002,0.00718371658005913,0.001354890341772804,0.002820619821464515,0.002438479893926672,0.00026520701430836027,0.0007422051206105989,0.0006601094920803165,0.00011840743833212596,0.0001076067499349068,5.508469767906259e-05,0.00014952143911830924,0.00013246461228465188,1.9830741394823028e-05,1.79079992702572e-05,6.377453852346705e-06,1.0551066238827512e-05,8.701447436338274e-06,0.0394153057249496
28.950000000000003,0.007166640251122286,0.0013541262631779631,0.0028021513843308576,0.0024214260370978152,0.0002652045746325397,0.0007374024384530078,0.0006554937175684333,0.00011702285030774847,0.00010632643951700344,5.508400982200711e-05,0.00014856019117575177,0.00013154095648844135,1.9597422780048677e-05,1.769360690649904e-05,6.377306404674062e-06,1.0483162682181465e-05,8.640686127750878e-06,0.03922514406524126
29.0,0.007149590694160234,0.001353346063704276,0.0027838055666581933,0.0024044932149860855,0.00026520129135451024,0.0007326286020090788,0.0006509086715133118,0.00011565570126895393,0.00010506248972380469,5.5083522965218535e-05,0.00014760451063736165,0.00013062331192394244,1.9367057424999725e-05,1.748196834496055e-05,6.377192442415002e-06,1.0415707180911469e-05,8.580383866773443e-06,0.039036145262972936
29.05,0.0071325679634477255,0.0013525497348634242,0.0027655816084522873,0.0023876806122534932,0.000265197048428072,0.0007278835001519245,0.0006463541992761318,0.00011430575747919903,0.00010381467848004861,5.508320080621176e-05,0.00014665438089381765,0.0001297116518727363,1.913960561463976e-05,1.7273046073152938e-05,6.377107179794063e-06,1.0348711167474473e-05,8.52055324068742e-06,0.038848300717326166
29.1,0.007115572112525998,0.0013517372719618302,0.0027474787531983134,0.0023709874179655816,0.00026519173327294097,0.0007231670208912685,0.000641830145924081,0.00011297278850009162,0.00010258278688063166,5.508300803898451e-05,0.00014570978504657118,0.00012880594946212119,1.8915028191840065e-05,1.706680311133531e-05,6.377046045980625e-06,1.02821682792141e-05,8.461186841993758e-06,0.038661601845490855
29.150000000000002,0.0070986031942057975,0.001350908674014982,0.002729496247867188,0.002354412825588084,0.0002651852367070931,0.0007184790514059353,0.000637336356257745,0.00011165656714285173,0.00010136659914342887,5.508291033461483e-05,0.00014477070591645112,0.00012790617767243805,1.8693286544834073e-05,1.686320299913034e-05,6.37700472099938e-06,1.0216055750745529e-05,8.402258853239599e-06,0.03847604008638003
29.200000000000003,0.007081661260570431,0.001350063943663084,0.0027116333429214197,0.0023379560329831565,0.00026517745288017066,0.0007138194780757434,0.0006328726748379035,0.00011035686942051133,0.00010016590256284034,5.508287432217168e-05,0.0001438371260521355,0.00012701230934424298,1.8474342596681557e-05,1.6662209784514664e-05,6.376979125507421e-06,1.0150339829567572e-05,8.34373113130272e-06,0.03829160691682588
29.25,0.007064746362978811,0.0013492030870880206,0.00269388929232048,0.002321616242405185,0.00026516827920793816,0.0007091881865128088,0.00062843894601174,0.00010907347450084098,9.89804874640523e-05,5.508286756993468e-05,0.0001429090277384934,0.00012612431718533187,1.825815879748372e-05,1.6463788016102547e-05,6.376965371474163e-06,1.0084983821968384e-05,8.285562213594457e-06,0.0381082938759167
29.3,0.007047858552068508,0.0013483261139316132,0.0026762633535256943,0.0023053926604961763,0.000265157616307774,0.0007045850615922664,0.0006240350139384755,0.00010780616465999159,9.781014715800083e-05,5.508285856691909e-05,0.00014198639300479912,0.00012524217377762284,1.804469811946248e-05,1.6267902738885955e-05,6.376959692157988e-06,1.0019956777714175e-05,8.227717012073668e-06,0.037926092591295216
29.35,0.007030997877758809,0.0013474330372151607,0.002658754787504685,0.0022892844982807534,0.00026514536793518573,0.0007000099874824193,0.0006196607226144367,0.0001065547252368416,9.665467789702892e-05,5.5082816704702096e-05,0.0001410692036328212,0.00012436585158390203,1.7833924054342677e-05,1.6074519492777987e-05,6.376958375172272e-06,9.955240713083848e-06,8.170174854293084e-06,0.03774499480091831
29.400000000000002,0.007014164389253783,0.0013465238732602433,0.0026413628587353463,0.002273290971160747,0.00026513144092133606,0.0006954628476743207,0.0006153159158975643,0.00010531894458803679,9.551387883122374e-05,5.5082712259546406e-05,0.00014015744116478409,0.00012349532295443438,1.7625800611915923e-05,1.588360431262455e-05,6.376957720679426e-06,9.890834656123368e-06,8.11293397345786e-06,0.03756499236497966
