event_number,record_index,volume,pdg,pro,E0_keV,Eprime_k_keV,Et_E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_keV_c,Q_signed_au,Q_absolute_au
951,2,2,22,2013,662.0,401.21620941396384,260.78379058603616,60.11393485183341,578.3845182079885,-58.791007351360676,-15.772743147025706,15.772743147025706
952,3,3,22,2013,662.0,335.8541154941283,326.1458845058717,75.49816642523433,663.092392466608,-80.20784749649029,-21.518559281986352,21.518559281986352
952,4,3,22,2013,662.0,263.1499468030507,398.8500531969493,68.75934628368115,617.4687336113192,21.34287612067744,5.72597269950406,5.72597269950406
956,3,3,22,2013,662.0,485.7897559786864,176.2102440213136,43.94481444375061,459.4959579250958,-33.786658428865266,-9.064452357652094,9.064452357652094
966,4,2,22,2013,662.0,444.33029633953396,217.66970366046604,51.5480016090184,519.459394479181,-45.60474396577691,-12.23506698157336,12.23506698157336
971,4,2,22,2013,662.0,480.5739143772915,181.4260856227085,44.879531032150226,467.26062164697737,-35.221274285316774,-9.449338217546044,9.449338217546044
977,3,3,22,2013,662.0,188.47457249353062,473.5254275064694,159.93994296807637,841.527352568747,-133.2251991128445,-35.7423174221154,35.7423174221154
977,4,3,22,2013,662.0,148.7819977356929,513.2180022643071,125.11505304751462,757.4240493658323,-32.46688053065632,-8.710375794970279,8.710375794970279
988,3,3,22,2013,662.0,186.53864731029543,475.46135268970454,165.34600547973204,843.7914220022936,-133.95636380098222,-35.93847791236263,35.93847791236263
997,3,3,22,2013,662.0,514.6651105108037,147.33488948919626,38.828594957504116,415.0704826034889,-26.148870349173045,-7.015348676328425,7.015348676328425
997,4,3,22,2013,662.0,240.2804774023868,421.7195225976132,132.26031267998937,842.5687219349061,-165.52044469899576,-44.40664614259769,44.40664614259769
1000,3,3,22,2013,662.0,268.30958585216285,393.69041414783715,97.62047717674164,746.5540082310738,-103.80446842287914,-27.849177820044947,27.849177820044947
1016,3,3,22,2013,662.0,215.2563470576183,446.7436529423817,127.01377406685495,810.0314381863544,-123.19208127896441,-33.05058278977845,33.05058278977845
1049,3,3,22,2013,662.0,630.5758305461623,31.42416945383775,15.943510684599522,181.94205424529045,-2.7135285606999653,-0.727998905585147,0.727998905585147
1055,3,3,22,2013,662.0,385.75805448729767,276.24194551270233,63.433257163136936,598.8558078262107,-63.71234047991956,-17.093062816219316,17.093062816219316
1056,3,3,22,2013,662.0,432.9785576955315,229.0214423044685,53.72175114623711,535.266509136936,-48.9945857560243,-13.144510555946615,13.144510555946615
1063,2,2,22,2013,662.0,272.13551845396677,389.86448154603323,96.07529056905727,741.9130435614632,-102.43347612340219,-27.481361203687893,27.481361203687893
1073,2,2,22,2013,662.0,456.24472646774996,205.75527353225004,49.3156635566338,502.6098622090441,-42.11495557783841,-11.298809238081013,11.298809238081013
