p_or_Q,chi_2p(p),I_2p(p),J_2p(Q)
17.400000000000002,0.011510389465541553,0.04011238951572472,0.005505561626164231
17.45,0.01143532879818685,0.03981880068490615,0.00544822175819307
17.5,0.01136072624144208,0.0395264933494784,0.005391465052465101
17.55,0.011286580248852636,0.03923548173108173,0.005335286343121295
17.6,0.01121288925782815,0.03894577957505656,0.005279680488501002
17.650000000000002,0.011139651688227557,0.03865740014385622,0.00522464237154763
17.7,0.011066865940243859,0.038370356205714565,0.005170166900221265
17.75,0.010994530391594462,0.03808466001864193,0.005116249007924718
17.8,0.01092264339482033,0.0378003233153438,0.005062883653945481
17.85,0.010851203275057548,0.03751735729157665,0.005010065823910193
17.900000000000002,0.010780208328827732,0.037235772601697886,0.004957790530244029
17.95,0.010709656823821892,0.036955579361189234,0.004906052812625034
18.0,0.010639547000213884,0.03667678715980232,0.004854847738421232
18.05,0.01056987707305175,0.03639940508213803,0.004804170403098327
18.1,0.010500645235778578,0.03612344173595544,0.004754015930587932
18.150000000000002,0.010431849664104554,0.03584890528279598,0.004704379473610084
18.2,0.01036348852023395,0.03557580347092007,0.004655256213947625
18.25,0.010295559956668995,0.03530414366519124,0.004606641362673698
18.3,0.010228062119287428,0.03503393287184206,0.004558530160338788
18.35,0.010160993149363041,0.03476517775588836,0.004510917877126393
18.400000000000002,0.010094351184366189,0.03449788465012716,0.004463799812988621
18.45,0.010028134357433612,0.034232059555024764,0.004417171297773909
18.5,0.009962340795921057,0.03396770813238648,0.004371027691357352
18.55,0.00989696861888883,0.03370483569183891,0.004325364383782689
18.6,0.009832015934255338,0.03344344717518875,0.004280176795421967
18.650000000000002,0.009767480835897681,0.033183547140577085,0.004235460377154216
18.7,0.009703361401245862,0.03292513975014603,0.004191210610560585
18.75,0.009639655689301774,0.03266822876072627,0.004147423008131321
18.8,0.009576361740541777,0.03241281752739817,0.00410409311347386
18.85,0.009513477577336851,0.03215890901058,0.004061216501511053
18.900000000000002,0.009451001206029725,0.031906505794303236,0.004018788778659994
18.95,0.009388930620066453,0.03165561011150761,0.00397680558297972
19.0,0.009327263803941152,0.03140622387466019,0.003935262584280113
19.05,0.009265998737518552,0.031158348708712574,0.003894155484187634
19.1,0.009205133400226316,0.03091198598295214,0.0038534800161676925
19.150000000000002,0.00914466577459978,0.030667136838277303,0.003813231945508094
19.200000000000003,0.009084593848721775,0.030423802206867533,0.0037734070692720854
19.25,0.009024915617227602,0.030181982822106775,0.0037340012162327663
19.3,0.008965629080727702,0.02994167921786524,0.0036950102468023584
19.35,0.008906732243717512,0.029702891717705564,0.003656430052969854
19.400000000000002,0.008848223111265813,0.029465620416055292,0.003618256558258548
19.450000000000003,0.00879009968496691,0.029229865154658415,0.0035804857177113925
19.5,0.008732359958721729,0.028995625498113062,0.003543113517907356
19.55,0.008675001915308633,0.02876290071488413,0.0035061359770053833
19.6,0.008618023523756572,0.028531689763825276,0.0034695491448085525
19.650000000000002,0.008561422738633093,0.028301991293514763,0.00343334910283641
19.700000000000003,0.008505197501307038,0.02807380365466919,0.0033975319643889438
19.75,0.00844934574212618,0.02784712491851134,0.003362093874590244
19.8,0.008393865385926217,0.02762195291692839,0.0033270310103946208
