Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(1),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Bk_relativistic
95.5,0.0015382178458202215,0.0003885121193558681,0.0003798853810205656,0.0001309443639223972,9.736036900267522e-05,0.0001176852420976188,4.586568040939968e-05,4.233230241784677e-06,2.313069054542011e-06,2.7324227915571888e-05,3.394581162872694e-05,1.3483646271602751e-05,1.4322849177049132e-06,7.873520112877377e-07,1.1375441546685655e-08,7.236540204991474e-09,7.406240140962039e-06,8.825081401411264e-06,3.4654038125296037e-06,3.230457611927108e-07,1.7596016890912096e-07,1.4656359305470792e-09,1.01239290598354e-09,1.4610152711317965e-06,1.4556327688620355e-06,4.897104669169996e-07,7.570920762527442e-08,0.006025055077850249
95.55000000000001,0.001536512900573588,0.0003881422122713617,0.0003790796575013177,0.0001305787348476437,9.72781509940276e-05,0.00011743094365646259,4.57340391212737e-05,4.217125904893911e-06,2.303421559153838e-06,2.7302156387115857e-05,3.3872166240554976e-05,1.3444664505452436e-05,1.4267947503394932e-06,7.840451440216553e-07,1.1318145563822828e-08,7.1983062130954596e-09,7.4003781644872315e-06,8.805865029019677e-06,3.4553118443753897e-06,3.2176227389723514e-07,1.7518688393397986e-07,1.4595059638774907e-09,1.0081410400001043e-09,1.4598499030915173e-06,1.4524512735199245e-06,4.882738886352867e-07,7.564287539717552e-08,0.00601600477659058
95.60000000000001,0.0015348098407402927,0.00038777241240914897,0.0003782758964111582,0.00013021423907319193,9.719590645142795e-05,0.00011717726715628933,4.560281620599668e-05,4.201090159218367e-06,2.2938183374074575e-06,2.728007251098113e-05,3.3798700755738685e-05,1.3405807453201592e-05,1.4213280966193383e-06,7.807535035567983e-07,1.1261148567240435e-08,7.160276296524751e-09,7.394510236134519e-06,8.786688430559965e-06,3.4452437269553313e-06,3.204862657103081e-07,1.744186936280862e-07,1.4535157756607472e-09,1.003994524801395e-09,1.4586836796599474e-06,1.449275597483987e-06,4.868385785208466e-07,7.557655051663546e-08,0.006006971585483999
95.65,0.0015331086646195467,0.00038740272086876915,0.0003774740924876706,0.00012985087278936458,9.711363583827583e-05,0.00011692421097207151,4.547201022991577e-05,4.1851226830948755e-06,2.28425916836467e-06,2.725797643263772e-05,3.3725414708760435e-05,1.3367074679753142e-05,1.4158848425981939e-06,7.774770102303579e-07,1.1204450540262049e-08,7.122450753951487e-09,7.38863614412493e-06,8.767551915061998e-06,3.435199811662828e-06,3.1921799399524947e-07,1.7365580730571313e-07,1.4476534818779346e-09,9.999452055245836e-10,1.4575166605588002e-06,1.4461057108145801e-06,4.85404537582449e-07,7.551023385334791e-08,0.005997955467437346
95.7,0.0015314093705103636,0.00038703313874469244,0.00037667424048330636,0.00012948863220006745,9.703133961633805e-05,0.00011667177348294979,4.534161976452608e-05,4.169223156499426e-06,2.274743832274461e-06,2.7235868297038158e-05,3.3652307635215664e-05,1.3328465751375538e-05,1.4104648752994544e-06,7.742155852083214e-07,1.114805160781845e-08,7.084830012130159e-09,7.3827556919563165e-06,8.748455838279105e-06,3.425180504543468e-06,3.1795769717160864e-07,1.7289841886267428e-07,1.4419060909064816e-09,9.9598440897532e-10,1.4563488942433569e-06,1.4429415746411049e-06,4.839717582271741e-07,7.5443942418317e-08,0.005988956385611316
95.75,0.0015297119567115667,0.00038666366712633267,0.00037587633516534283,0.0001291275135227391,9.694901824574997e-05,0.00011641995307222444,4.5211643386451996e-05,4.153391261038185e-06,2.265272110566185e-06,2.7213748248616663e-05,3.3579379071823164e-05,1.328998023573583e-05,1.4050680827304816e-06,7.709691505024021e-07,1.1091952022448954e-08,7.047414613335469e-09,7.376868700106836e-06,8.729400599418029e-06,3.415186262609705e-06,3.1670559294751856e-07,1.721467053532519e-07,1.4362600771365914e-09,9.921030536302127e-10,1.4551804165531932e-06,1.4397831500500584e-06,4.825402358946813e-07,7.537770206788679e-08,0.00597997430343749
95.80000000000001,0.0015280164215217965,0.0003862943070980598,0.0003750803713158411,0.00012876751298830085,9.686667218501688e-05,0.00011616874812734679,4.508207967742856e-05,4.137626679938564e-06,2.255843785842795e-06,2.7191616431288695e-05,3.350662855643563e-05,1.3251617701934077e-05,1.3996943538942064e-06,7.677376289841213e-07,1.1036152149480996e-08,7.010205202041823e-09,7.370975007629347e-06,8.710386637568114e-06,3.405217589803284e-06,3.1546187674298064e-07,1.7140082573371266e-07,1.4307018919369687e-09,9.882918139743153e-10,1.4540112500153445e-06,1.4366304077922926e-06,4.81109981959144e-07,7.531154006026023e-08,0.005971009184642378
95.85000000000001,0.0015263227632395194,0.00038592505973921294,0.00037428634373160545,0.00012840862684110744,9.678430189101543e-05,0.00011591815703991109,4.495292722428312e-05,4.121929098040365e-06,2.24645864187412e-06,2.716947298845088e-05,3.343405562805045e-05,1.3213377720538888e-05,1.3943435787979047e-06,7.645209443959215e-07,1.0980652451492078e-08,6.973202510938754e-09,7.365074473625505e-06,8.691414427855211e-06,3.395275032635109e-06,3.142267203142446e-07,1.706609197805885e-07,1.42521840608267e-09,9.845416241945166e-10,1.4528414038390402e-06,1.4334833381809625e-06,4.796810368174673e-07,7.524547961907808e-08,0.005962060993278319
95.9,0.0015246309801630327,0.00038555592612411256,0.0003734942472241403,0.00012805085133889675,9.670190781899494e-05,0.00011566817820564549,4.4824184618916613e-05,4.106298201786931e-06,2.237116463590166e-06,2.7147318062981253e-05,3.33616598268204e-05,1.3175259863623663e-05,1.389015648459034e-06,7.61319021359196e-07,1.0925453472163357e-08,6.936407346381658e-09,7.359166978589054e-06,8.672484477347648e-06,3.3853591755347082e-06,3.1300027058675e-07,1.6992710718922065e-07,1.4197972599310042e-09,9.808442298125596e-10,1.4516708746041702e-06,1.430341960540039e-06,4.782534820772999e-07,7.517953779105984e-08,0.005953129693757411
95.95,0.0015229410705904734,0.0003851869073220735,0.0003727040766196096,0.00012769418275274092,9.661949042257899e-05,0.0001154188100244039,4.469585045828536e-05,4.090733679216394e-06,2.2278170370744728e-06,2.712515179723994e-05,3.328944069406451e-05,1.3137263704803482e-05,1.3837104549080843e-06,7.581317853791677e-07,1.0870555819639229e-08,6.899820573382109e-09,7.3532524256086195e-06,8.653597320743621e-06,3.375470635943805e-06,3.117826487014165e-07,1.6919948685541576e-07,1.4144271130700986e-09,9.771923312504066e-10,1.4504996476088704e-06,1.4272063315973017e-06,4.768274508600628e-07,7.511372711919606e-08,0.005944215250883113
96.0,0.0015212530328198256,0.0003848180043974176,0.00037191582675879555,0.0001273386173669969,9.653705015376683e-05,0.00011517005090015742,4.4567923344382665e-05,4.07523521995295e-06,2.21856014955751e-06,2.7102974333070187e-05,3.321739777227874e-05,1.309938881927218e-05,1.378427891188367e-06,7.549591628465447e-07,1.0815960149510556e-08,6.863443100245168e-09,7.3473307414211435e-06,8.634753515870714e-06,3.3656100591904013e-06,3.105739492764274e-07,1.6847813634048522e-07,1.4090978430091482e-09,9.735792243119814e-10,1.4493276988070857e-06,1.4240765522907582e-06,4.7540313542846693e-07,7.504805987689284e-08,0.005935317629872808
96.05000000000001,0.0015195668651489266,0.0003844492184094861,0.0003711294924970568,0.0001269841514792575,9.64545874629349e-05,0.00011492189924098572,4.444040188422054e-05,4.059802515198184e-06,2.209345589410102e-06,2.7080785811799747e-05,3.3145530605146486e-05,1.3061634783839392e-05,1.373167851352717e-06,7.518010810359158e-07,1.0761667147542158e-08,6.827275862964217e-09,7.341401877308029e-06,8.615953639029702e-06,3.355778113181495e-06,3.093742398841436e-07,1.6776311151753639e-07,1.4038007692548742e-09,9.699984958834458e-10,1.4481549972366386e-06,1.4209527725652855e-06,4.739807916101042e-07,7.498255090764772e-08,0.005926436796362615
96.10000000000001,0.001517882565875477,0.0003840805504126532,0.00037034506870428847,0.00012663078140030272,9.637210279883854e-05,0.00011467435345906889,4.431328468981161e-05,4.044435257722474e-06,2.2001731461369147e-06,2.70585863742427e-05,3.30738387375489e-05,1.3024001176967316e-05,1.3679302304571018e-06,7.486574681008754e-07,1.0707677512267241e-08,6.7913198094856776e-09,7.335465809827079e-06,8.597198280215883e-06,3.3459754829539078e-06,3.081835607404498e-07,1.6705444639468732e-07,1.3985289000546907e-09,9.664445833982486e-10,1.446981507813728e-06,1.4178351938662283e-06,4.7256073978556453e-07,7.491721394377676e-08,0.00591757271638503
