Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(3),J_7s1/2(2),J_total_Db_relativistic
14.55,0.00561252009742862,0.014295661921102024,0.009882173022196385,0.012403830536265351,0.006315301155007119,0.01570891542141725,0.013427965031462508,0.017431128337074022,0.01776357689548516,0.007258410668370929,0.004256821756507743,0.005079559241983423,0.004403899417099549,0.00389321149683288,0.01266353994644887,0.012284419419225477,0.002792925532423512,0.0015939168363666627,0.0013215814253494389,0.0018275476708213966,0.0015491481511853834,0.0015932952662050777,0.001532472413451637,0.000605713268206263,0.0003455863601717496,0.00020186720786153766,0.00010186523235482647,5.0263827763429066e-05,0.6974432961010176
14.600000000000001,0.005610997570320588,0.014255862017908412,0.009878950933466687,0.012396033265535194,0.006255843970911953,0.015622609146256353,0.013320023810914065,0.017393410114269044,0.01771991670220908,0.007197845586695987,0.004249616936065733,0.005077228864703759,0.004335549769319051,0.0038364736276948973,0.012543589299998605,0.01216439155734169,0.002782692812488299,0.0015705157390677321,0.001318917917124516,0.0017965257301256839,0.0015213669591346614,0.0015846060778824274,0.0015233757090824718,0.0006045132707891362,0.00033925763617329995,0.00020097486045659178,0.00010016968404617117,5.017785577999505e-05,0.6932307874666898
14.65,0.005609470452638038,0.014216050440266548,0.009875703651050787,0.012388182050820843,0.006197313414125376,0.015536355357292987,0.013212510108911314,0.017355488742634633,0.017676048059927306,0.007137099730498902,0.004242945705260435,0.005074632314756341,0.004268716931986502,0.003781169208679242,0.012424503438974579,0.012045275204751299,0.0027720997937962974,0.0015479099989565502,0.0013165149442211776,0.001765952614865073,0.0014940727383922446,0.0015758498245532278,0.001514225171852906,0.0006032308517048078,0.0003331167804227989,0.0002001493698766385,9.849575657623462e-05,5.0085149431118804e-05,0.6890527008689011
14.700000000000001,0.005607938750523083,0.014176228033574602,0.009872431115992984,0.012380276869555526,0.006139701684709164,0.015450159261390787,0.013105429686480383,0.01731736601993236,0.017631973320534643,0.007076191400226806,0.004236783281648186,0.005071759490483501,0.004203378575584132,0.003727273410527949,0.012306282479154444,0.01192706966903503,0.0027611503241532593,0.001526083127974681,0.0013143563476641354,0.0017358285796642474,0.0014672630186426101,0.0015670294533624341,0.0015050237174644527,0.0006018653384485987,0.00032716076796943257,0.0001993874706948669,9.684359024076617e-05,4.998562151330178e-05,0.6849086975325371
14.75,0.005606402470132997,0.014136395640369436,0.009869133270190905,0.012372317701761958,0.00608300094410614,0.015364026028352112,0.012998788190364733,0.01727904376361668,0.017587694854340523,0.007015138711859654,0.004231105390080815,0.005068600903445986,0.004139512438034021,0.003674761568681683,0.01218892636396909,0.011809774089228172,0.0027498486352281163,0.0015050186450576509,0.0013124264186646366,0.001706153617026687,0.001440935124756149,0.001558147883070484,0.0014957742242920845,0.000600416228939085,0.00032138653345641614,0.0001986859755472959,9.521330544559857e-05,4.9879200559156876e-05,0.6807984406239194
14.8,0.005604861617640164,0.014096554100301278,0.009865810056398359,0.012364304530049983,0.006027203317287306,0.015277960790302879,0.012892591153065748,0.017240523810381454,0.017543215049490718,0.00695395958836421,0.0042258882607055705,0.005065147663845703,0.004077096332371054,0.0036236091896413997,0.012072434868471303,0.01169338744002201,0.0027381993211807757,0.0014847000900191202,0.0013107098952918194,0.0016769274663566455,0.0014150861860875638,0.001549208002464954,0.0014864795322402794,0.0005988831841651506,0.0003157909757036041,0.00019804177512421228,9.360500679924743e-05,4.9765830171723054e-05,0.6767215953458585
14.850000000000001,0.005603316199232025,0.014056704250108706,0.009862461418228115,0.012356237339613954,0.005972300894874952,0.015191968641093132,0.012786843992915594,0.017201808015705717,0.017498536311390107,0.0068926717515842,0.00422110862672329,0.00506139146602462,0.004016108154146359,0.003573791957036733,0.01195680760326876,0.011577908535920304,0.002726207317819276,0.001465111036844576,0.0013091919588005927,0.0016481496228621948,0.0013897131455797226,0.0015402126688887363,0.0014771424416997212,0.000597266020974456,0.0003103709621299626,0.0001974518380680531,9.201878558791983e-05,4.964546839323662e-05,0.6726778290232684
14.9,0.005601766221111019,0.014016846923593899,0.009859087300154602,0.012348116118229897,0.005918285735241464,0.015106054635713231,0.012681552014181727,0.017162898253398853,0.017453661062126643,0.006831292714557643,0.00421674372191425,0.005057324574048857,0.003956525888565175,0.0035252857374069723,0.011842044018420114,0.011463336035349698,0.002713877882287802,0.001446235106405664,0.0013078582296375037,0.0016198193463340706,0.0013648127686713258,0.0015311647068798617,0.0014677657125998726,0.0005955647050065111,0.0003051233330176841,0.00019691321078276055,9.045471617903156e-05,4.951808711603802e-05,0.6686668111661183
14.950000000000001,0.005600211689494533,0.013976982951598192,0.009855687647516539,0.012339940856252413,0.005865149866583643,0.01502022378972566,0.012576720407202488,0.01712379641514533,0.017408591739896735,0.006769839774252353,0.004212771277941027,0.005052939807386598,0.003898327617363236,0.0034780665857005824,0.01172814340729313,0.01134966844472319,0.0027012165732862204,0.0014280559786065466,0.001306694763145367,0.0015919356697955659,0.0013403816520071562,0.0015220669069177812,0.0014583520635521442,0.0005937793437731421,0.0003000449056199568,0.00019642301715943293,8.891285407037348e-05,4.938367149196029e-05,0.6646882135328877
15.0,0.005598652610614849,0.013937113161977918,0.009852262406519503,0.012331711546611359,0.00581288528897236,0.014934481078712432,0.012472354248553297,0.01708450441004918,0.017363330798432223,0.0067083300047106114,0.004209169521437509,0.005048230526687995,0.0038414915254258294,0.0034321107504992213,0.011615104910383886,0.011236904122455899,0.002688229231821,0.0014105574039738873,0.001305688044986743,0.0015644974080191764,0.0013164162319500346,0.0015129220242709332,0.0014489041710787952,0.0005919101798887515,0.00029513247811457997,0.00019597845822296684,8.739324056485303e-05,4.924221931772845e-05,0.6607417102095382
