Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(5),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Es_relativistic
71.8,0.0026109951273346325,0.0005288597169383278,0.0012236102193846317,0.0005920362689979839,0.00011752653287503281,0.0003776830343959529,0.00021675536451098908,3.76845930078809e-05,2.4422093592651608e-05,3.214607063370268e-05,0.00010918380983629914,6.500996110204864e-05,1.3197602010920797e-05,8.62160225997039e-06,2.2504204230979926e-07,1.6209352322868896e-07,8.79295535625445e-06,2.8912419658539338e-05,1.7073038323198968e-05,3.0750911809848636e-06,1.9850515121218814e-06,2.9509878270307677e-08,2.007691360201702e-08,1.7257005770266048e-06,4.737103190167641e-06,2.3354915732753096e-06,8.429919625497264e-08,0.014090280550048557
71.85000000000001,0.0026083162565177656,0.0005287240383298579,0.0012207503862889995,0.0005901830160651544,0.00011752615848406105,0.0003768376138090061,0.00021606929420428089,3.750698251352631e-05,2.4297858409375975e-05,3.214555514554042e-05,0.00010894476104301626,6.48040188250656e-05,1.3134877500285649e-05,8.577364141662249e-06,2.235779223956133e-07,1.609943920646569e-07,8.792658077105031e-06,2.884955894647024e-05,1.701894336944465e-05,3.0604921735445237e-06,1.974890394536868e-06,2.932168263190177e-08,1.9952168308601998e-08,1.7256171757867684e-06,4.726886460640342e-06,2.328134581452155e-06,8.429124956941572e-08,0.01406327639126833
71.9,0.0026056396194307947,0.0005285874350722961,0.0012178977614574712,0.000588335958203655,0.0001175257345562431,0.0003759940040641842,0.00021538547575140912,3.733029337517569e-05,2.4174309837635077e-05,3.214507497245548e-05,0.0001087061815603462,6.459874511087752e-05,1.3072480596673512e-05,8.533372433327108e-06,2.221241625826322e-07,1.5990331374727687e-07,8.792375668567431e-06,2.8786819181080122e-05,1.6965026846286998e-05,3.0459701303969815e-06,1.964786694393924e-06,2.91335587801941e-08,1.9827365674520278e-08,1.725536840198844e-06,4.7166706579836e-06,2.3207921909007197e-06,8.428338549282573e-08,0.014036342685974392
71.95,0.0026029652162244746,0.0005284499078668088,0.0012150523269195501,0.0005864950741713354,0.00011752525818008,0.00037515220291058077,0.00021470390209535329,3.7154520420728366e-05,2.4051443805706886e-05,3.214462873016279e-05,0.00010846807115170006,6.439413795794427e-05,1.301040945298718e-05,8.489625664531128e-06,2.2068068375610224e-07,1.588202249477063e-07,8.792107689370188e-06,2.872420030766165e-05,1.6911288208248534e-05,3.0315239798373827e-06,1.9547394207768677e-06,2.8945503444160076e-08,1.970249408833171e-08,1.7254597311356576e-06,4.706455369092968e-06,2.3134643036694383e-06,8.427565968460567e-08,0.014009479188580335
72.0,0.0026002930470420123,0.0005283114574418899,0.0012122140647415367,0.0005846603427963991,0.000117524726479219,0.00037431220808561966,0.0002140245661957851,3.6979658509067695e-05,2.392925626750233e-05,3.2144215049149043e-05,0.00010823042957432174,6.41901953684484e-05,1.2948662233195886e-05,8.446122374120642e-06,2.192474074133256e-07,1.5774506283008308e-07,8.791853703294303e-06,2.8661702252509242e-05,1.6857726857994903e-05,3.0171526559810026e-06,1.9447475873378096e-06,2.8757533425817576e-08,1.9577558176474047e-08,1.7253859992712326e-06,4.6962404770412795e-06,2.306150977406092e-06,8.426812133777481e-08,0.013982685655623833
72.05,0.002597623112019091,0.0005281720845530744,0.0012093829570265187,0.0005828317429772067,0.00011752413661216827,0.0003734740173151998,0.00021334746102908575,3.6805702529865395e-05,2.380774320239563e-05,3.214383257455548e-05,0.00010799325657934632,6.39869153483124e-05,1.288723711226511e-05,8.40286111015972e-06,2.1782425566080365e-07,1.566777650496479e-07,8.791613279184397e-06,2.8599324923408483e-05,1.6804342147292815e-05,3.0028551085994608e-06,1.934810222296949e-06,2.8569684417876394e-08,1.9452582480476724e-08,1.7253157802814727e-06,4.686026155343742e-06,2.2988523953766145e-06,8.426081242816979e-08,0.013955961845735604
72.10000000000001,0.0025949554112838897,0.0005280317899826554,0.0012065589859143635,0.0005810092536820805,0.00011752348577201367,0.0003726376283138389,0.00021267257958836232,3.663264740338709e-05,2.3686900615055816e-05,3.214347996606152e-05,0.00010775655191185808,6.378429590721568e-05,1.2826132276086972e-05,8.359840429868345e-06,2.164111512119161e-07,1.5561826975142422e-07,8.791385990948876e-06,2.8537068210388592e-05,1.6751133378775746e-05,2.988630312735189e-06,1.9249263782187e-06,2.8382008829963094e-08,1.9327609110214462e-08,1.7252491904993312e-06,4.675812858205162e-06,2.2915688366700838e-06,8.425377291456957e-08,0.013929307519579198
72.15,0.0025922899449571097,0.0005278905745394019,0.001203742133581711,0.0005791928539491108,0.00011752277118613729,0.0003718030387848175,0.0002119999148834647,3.6460488080299436e-05,2.3566724535279562e-05,3.21431558977691e-05,0.00010752031531094851,6.35823350586114e-05,1.2765345921411318e-05,8.317058899561286e-06,2.1500801738509344e-07,1.5456651556941168e-07,8.791171417548653e-06,2.8474931986728642e-05,1.6698099808492175e-05,2.9744772779481104e-06,1.9150951414172753e-06,2.8194572408469146e-08,1.920269239031251e-08,1.7251863231465895e-06,4.6656013075750494e-06,2.2843006499998673e-06,8.424704750370434e-08,0.013902722439780963
72.2,0.0025896267131519934,0.0005277484390582788,0.0012009323822419601,0.0005773825228859577,0.00011752199011593801,0.00037097024642031957,0.00021132945994099966,3.628921954147802e-05,2.344721101782484e-05,3.214285905808789e-05,0.00010728454650977323,6.338103081974257e-05,1.2704876255777216e-05,8.274515094587476e-06,2.136147781024236e-07,1.5352244162623422e-07,8.79096914297416e-06,2.8412916110203975e-05,1.664524064919873e-05,2.960395057054781e-06,1.9053156408512736e-06,2.8007450122665146e-08,1.9077895091046655e-08,1.7251272452453467e-06,4.655392477746596e-06,2.2770482338606845e-06,8.424068962501133e-08,0.013876206370877971
72.25,0.0025869657159743476,0.0005276053844001697,0.001198129714145261,0.0005755782396696581,0.0001175211398565538,0.0003701392489015743,0.00021066120780434622,3.611883679781698e-05,2.332835614224605e-05,3.214258814962118e-05,0.00010704924523560928,6.318038121165828e-05,1.2644721497445237e-05,8.232207599270162e-06,2.1223135788864306e-07,1.524859875331883e-07,8.790778756210646e-06,2.835102042455601e-05,1.6592555074349616e-05,2.9463827542286893e-06,1.895587056375247e-06,2.7820722068779647e-08,1.8953285937307227e-08,1.7250719952895806e-06,4.64518757806802e-06,2.2698120248242014e-06,8.423475973036555e-08,0.013849759079288333
