r,R1s,R2s,R2p
0.8760447875893795,0.21213434162902764,-0.8101578736054537,0.7722079829419047
0.8790449375468774,0.20877923757026673,-0.8097186696622425,0.7706990516062249
0.8820450875043753,0.2054780395991076,-0.809255155318033,0.769187526140804
0.8850452374618731,0.20222987032878936,-0.8087677004599174,0.7676734822207001
0.888045387419371,0.19903386683236274,-0.808256670433152,0.7661569946251334
0.8910455373768689,0.1958891804010639,-0.8077224260962168,0.7646381372471294
0.8940456873343667,0.19279497630679898,-0.8071653238751592,0.763116983103047
0.8970458372918646,0.18975043356866772,-0.8065857158172319,0.7615936043419974
0.9000459872493625,0.18675474472345552,-0.8059839496438406,0.7600680722551505
0.9030461372068604,0.1838071156000227,-0.805360368802804,0.7585404572849366
0.9060462871643583,0.18090676509752707,-0.804715312519943,0.7570108290341393
0.9090464371218562,0.17805292496740888,-0.8040491158500039,0.7554792562748849
0.912046587079354,0.17524483959907614,-0.8033621097269319,0.7539458069575281
0.9150467370368519,0.1724817658092236,-0.8026546210134948,0.7524105482194358
0.9180468869943498,0.16976297263472284,-0.8019269725502762,0.7508735463936703
0.9210470369518476,0.16708774112902292,-0.8011794832040422,0.749334867017575
0.9240471869093455,0.164455364161998,-0.8004124679154883,0.7477945748412611
0.9270473368668434,0.1618651462231852,-0.7996262377463841,0.7462527338359981
0.9300474868243412,0.15931640322835072,-0.7988210999261159,0.7447094072025104
0.9330476367818391,0.15680846232932963,-0.7979973578976384,0.7431646573791816
0.936047786739337,0.1543406617270806,-0.7971553113628473,0.7416185460501628
0.9390479366968348,0.15191235048790086,-0.7962952563273764,0.7400711341533942
0.9420480866543328,0.14952288836274635,-0.795417485144831,0.7385224818885356
0.9450482366118307,0.1471716456096043,-0.7945222865604626,0.7369726487248073
0.9480483865693285,0.14485800281886338,-0.7936099457542962,0.7354216934087454
0.9510485365268264,0.14258135074163295,-0.7926807443837143,0.7338696739718705
0.9540486864843243,0.14034109012095775,-0.7917349606255091,0.7323166477382724
0.9570488364418221,0.1381366315258793,-0.7907728692174064,0.7307626713321094
0.96004898639932,0.13596739518829482,-0.7897947414990725,0.7292078006850268
0.9630491363568179,0.1338328108425657,-0.788800845452608,0.7276520910434925
0.9660492863143157,0.13173231756782836,-0.7877914457425375,0.7260955969760544
0.9690494362718136,0.12966536363295963,-0.7867668037553033,0.7245383723805159
0.9720495862293115,0.12763140634415324,-0.7857271776382672,0.7229804704910343
0.9750497361868093,0.12562991189506073,-0.784672822338228,0.7214219438851425
0.9780498861443072,0.12366035521945436,-0.7836039896394632,0.7198628444906942
0.9810500361018052,0.12172221984636619,-0.7825209282013014,0.7183032235927326
0.9840501860593031,0.11981499775766478,-0.7814238835952274,0.7167431318402868
0.9870503360168009,0.11793818924802327,-0.7803130983415328,0.7151826192530932
0.9900504859742988,0.1160913027872416,-0.7791888119455144,0.713621735228246
0.9930506359317967,0.11427385488488061,-0.7780512609332262,0.7120605285467745
0.9960507858892945,0.11248536995716839,-0.7769006788867943,0.7104990473801519
0.9990509358467924,0.11072538019614145,-0.7757372964792973,0.7089373392967321
1.0020510858042901,0.10899342544098063,-0.7745613415092201,0.7073754512681202
1.005051235761788,0.10728905305150573,-0.7733730389344864,0.7058134296754728
1.0080513857192859,0.10561181778379136,-0.7721726109060737,0.7042513203157326
1.0110515356767837,0.1039612816678679,-0.7709602768012213,0.7026891684077968
1.0140516856342816,0.10233701388747148,-0.7697362532562307,0.7011270185986188
1.0170518355917795,0.10073859066180924,-0.7685007541988682,0.6995649149692469
1.0200519855492773,0.09916559512930423,-0.767253990880373,0.6980029010407969
1.0230521355067752,0.0976176172332872,-0.7659961719070779,0.6964410197803653
1.026052285464273,0.09609425360960108,-0.7647275032716434,0.6948793136068758
1.029052435421771,0.0945951074760868,-0.7634481883839177,0.693317824396868
1.0320525853792688,0.09311978852391779,-0.7621584281014196,0.6917565934902224
1.0350527353367667,0.09166791281075097,-0.7608584207594551,0.6901956616958275
1.0380528852942648,0.09023910265566491,-0.7595483622008693,0.6886350692971861
1.0410530352517626,0.08883298653585445,-0.7582284458054402,0.687074856057964
1.0440531852092605,0.08744919898504964,-0.7568988625189182,0.6855150612274796
1.0470533351667584,0.08608738049363346,-0.7555598008817153,0.6839557235461377
1.0500534851242562,0.0847471774104266,-0.7542114470572499,0.6823968812508043
1.053053635081754,0.08342824184611256,-0.7528539848599525,0.6808385720801288
1.056053785039252,0.0821302315782739,-0.7514875957829331,0.6792808332798073
1.0590539349967498,0.08085280995801389,-0.7501124590253181,0.6777237016077947
1.0620540849542477,0.07959564581813551,-0.7487287515192608,0.6761672133394596
1.0650542349117456,0.07835841338285214,-0.7473366479566265,0.6746114042726883
1.0680543848692434,0.07714079217900298,-0.7459363208153609,0.6730563097329345
1.0710545348267413,0.07594246694874932,-0.7445279403855425,0.6715019645782174
1.0740546847842392,0.07476312756372525,-0.7431116747951239,0.6699484032040682
1.077054834741737,0.07360246894061849,-0.7416876900353679,0.6683956595484257
1.0800549846992349,0.07246019095815778,-0.7402561499859788,0.6668437670964809
1.0830551346567328,0.07133599837548228,-0.7388172164399356,0.6652927588854725
1.0860552846142306,0.07022960075187017,-0.7373710491280303,0.6637426675094328
1.0890554345717285,0.06914071236780314,-0.7359178057431144,0.6621935251238843
1.0920555845292264,0.06806905214734432,-0.7344576419640568,0.6606453634504895
1.0950557344867242,0.06701434358180776,-0.73299071147942,0.6590982137816516
1.098055884444222,0.06597631465469725,-0.7315171660108529,0.6575521069850684
1.10105603440172,0.06495469776789309,-0.7300371553362082,0.6560070735082406
1.1040561843592178,0.06394922966906633,-0.7285508273123873,0.6544631433829331
1.1070563343167157,0.06295965138029894,-0.7270583278979115,0.6529203462295903
