Q_bin_left_au,Q_bin_right_au,Q_bin_center_au,Volume2_counts,Volume3_counts
69.51651383866536,70.39545116831485,69.9559825034901,6,5
70.39545116831485,71.27438849796434,70.8349198331396,6,5
71.27438849796434,72.1533258276138,71.71385716278907,2,9
72.1533258276138,73.03226315726329,72.59279449243854,7,2
73.03226315726329,73.91120048691275,73.47173182208802,6,9
73.91120048691275,74.79013781656224,74.35066915173749,7,2
74.79013781656224,75.6690751462117,75.22960648138697,4,9
75.6690751462117,76.54801247586119,76.10854381103644,1,3
76.54801247586119,77.42694980551067,76.98748114068593,3,3
77.42694980551067,78.30588713516013,77.8664184703354,5,4
78.30588713516013,79.18482446480962,78.74535579998488,3,4
79.18482446480962,80.06376179445908,79.62429312963435,2,6
80.06376179445908,80.94269912410857,80.50323045928383,0,1
80.94269912410857,81.82163645375803,81.3821677889333,1,5
81.82163645375803,82.70057378340752,82.26110511858278,2,1
82.70057378340752,83.57951111305701,83.14004244823226,0,3
83.57951111305701,84.45844844270647,84.01897977788174,2,3
84.45844844270647,85.33738577235596,84.89791710753121,3,2
85.33738577235596,86.21632310200542,85.77685443718069,0,5
86.21632310200542,87.0952604316549,86.65579176683016,3,1
87.0952604316549,87.97419776130437,87.53472909647964,1,3
87.97419776130437,88.85313509095386,88.41366642612911,2,0
88.85313509095386,89.73207242060334,89.2926037557786,2,4
89.73207242060334,90.6110097502528,90.17154108542807,1,2
90.6110097502528,91.4899470799023,91.05047841507755,1,2
91.4899470799023,92.36888440955175,91.92941574472702,3,2
92.36888440955175,93.24782173920124,92.8083530743765,2,2
93.24782173920124,94.1267590688507,93.68729040402597,0,0
94.1267590688507,95.00569639850019,94.56622773367545,0,2
95.00569639850019,95.88463372814968,95.44516506332494,1,1
95.88463372814968,96.76357105779914,96.32410239297441,2,0
96.76357105779914,97.64250838744863,97.20303972262388,0,1
97.64250838744863,98.52144571709809,98.08197705227336,0,0
98.52144571709809,99.40038304674758,98.96091438192283,0,2
99.40038304674758,100.27932037639707,99.83985171157232,0,1
100.27932037639707,101.15825770604653,100.7187890412218,0,0
101.15825770604653,102.03719503569602,101.59772637087127,0,2
102.03719503569602,102.91613236534548,102.47666370052075,1,3
102.91613236534548,103.79506969499496,103.35560103017022,1,1
103.79506969499496,104.67400702464442,104.2345383598197,0,2
104.67400702464442,105.55294435429391,105.11347568946917,0,4
105.55294435429391,106.4318816839434,105.99241301911866,0,1
106.4318816839434,107.31081901359286,106.87135034876813,0,0
107.31081901359286,108.18975634324235,107.7502876784176,0,0
108.18975634324235,109.06869367289181,108.62922500806708,1,0
109.06869367289181,109.9476310025413,109.50816233771656,1,1
109.9476310025413,110.82656833219076,110.38709966736603,1,0
110.82656833219076,111.70550566184025,111.2660369970155,0,1
111.70550566184025,112.58444299148974,112.144974326665,0,0
112.58444299148974,113.4633803211392,113.02391165631447,0,0
113.4633803211392,114.34231765078869,113.90284898596394,0,0
114.34231765078869,115.22125498043815,114.78178631561342,0,0
115.22125498043815,116.10019231008764,115.66072364526289,0,2
