Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_3d(10),J_4s(1),J_total_Cu
25.700000000000003,0.0049485670743679815,0.0009515806218887742,0.0003372383697526692,0.00014733225899210716,5.0481027073892885e-05,1.0244656255157038e-06,4.485526835887988e-06,0.014436006474548145
25.75,0.004922834631281514,0.0009458612836888664,0.0003334534635118981,0.00014642968397638131,4.9921288924955425e-05,1.0081553220475313e-06,4.457988568633917e-06,0.014345039254303756
25.8,0.004897231990652486,0.0009401723869280703,0.00032971478196155415,0.000145531898818187,4.936829496773487e-05,9.921270773531395e-07,4.430596166391342e-06,0.014254722881313145
25.85,0.004871758617245314,0.0009345138726808888,0.0003260217201015237,0.00014463889784311148,4.8821958209138865e-05,9.763756303551438e-07,4.403349476503045e-06,0.01416505195118266
25.900000000000002,0.004846413976281386,0.0009288856798412987,0.00032237368129229627,0.0001437506749074721,4.8282192839605845e-05,9.60895825221813e-07,4.3762483313695366e-06,0.014076021113435314
25.950000000000003,0.004821197533465415,0.0009232877451781268,0.0003187700771349779,0.00014286722341009476,4.774891421642228e-05,9.456826091195235e-07,4.34929254882275e-06,0.013987625070855693
26.0,0.004796108755011373,0.0009177200033895193,0.0003152103273530545,0.00014198853630388963,4.722203884727718e-05,9.307310300162523e-07,4.322481932493288e-06,0.013899858578844208
26.05,0.004771147107668017,0.0009121823871565101,0.00031169385967587865,0.00014111460610722638,4.67014843740503e-05,9.160362345348703e-07,4.295816272171279e-06,0.0138127164447806
26.1,0.004746312058744024,0.0009066748271957074,0.00030822010972385896,0.00014024542491511204,4.618716955683161e-05,9.015934658550619e-07,4.269295344160962e-06,0.013726193527396546
26.150000000000002,0.004721603076132717,0.0009011972523110976,0.00030478852089532287,0.00013938098441017285,4.56790142581679e-05,8.8739806166268e-07,4.242918911629041e-06,0.013640284736157176
26.200000000000003,0.004697019628336392,0.0008957495894449848,0.00030139854425503224,0.00013852127587344346,4.5176939427534165e-05,8.734454521454137e-07,4.21668672494689e-06,0.013554985030651438
26.25,0.004672561184490265,0.0008903317637280728,0.0002980496384243268,0.00013766629019496546,4.468086708602634e-05,8.597311580336581e-07,4.190598522026725e-06,0.013470289419991087
26.3,0.004648227214386013,0.0008849436985286987,0.00029474126947287094,0.0001368160178841977,4.419072031127228e-05,8.462507886854971e-07,4.164654028651749e-06,0.013386192962218183
26.35,0.004624017188494955,0.000879585315501233,0.00029147291081198435,0.00013597044908024124,4.370642322255846e-05,8.330000402147664e-07,4.138852958800414e-06,0.013302690763721063
26.400000000000002,0.004599930577990828,0.00087425653463365,0.00028824404308952853,0.0001351295735618806,4.3227900966168626e-05,8.199746936611482e-07,4.113195014964859e-06,0.013219777978658477
26.450000000000003,0.004575966854772197,0.000868957274294282,0.0002850541540863307,0.0001342933807574444,4.275507970093219e-05,8.071706132013081e-07,4.087679888463578e-06,0.0131374498083919
26.5,0.004552125491484492,0.0008636874512777689,0.0002819027386141214,0.00013346185975448755,4.2287886583979046e-05,7.945837444000996e-07,4.062307259748422e-06,0.013055701500925849
26.55,0.0045284059615416615,0.0008584469808502073,0.000278789298414963,0.000132634999309297,4.1826249756697964e-05,7.822101125008782e-07,4.037076798705981e-06,0.012974528350356012
26.6,0.004504807739147485,0.0008532357767935183,0.0002757133420621503,0.00013181278785622455,4.13700983308961e-05,7.700458207540098e-07,4.0119881649534784e-06,0.01289392569632523
26.650000000000002,0.004481330299316495,0.0008480537514490342,0.0002726743848625584,0.0001309952135168476,4.09193623751562e-05,7.580870487826589e-07,3.987041008129181e-06,0.012813888923486996
