Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_total_Sb_relativistic
12.4,0.013305997962084561,0.009431957851006012,0.01971666594700582,0.019834332995753313,0.0064477509852475245,0.00274469978211737,0.002772844164735873,0.010381167388949654,0.010108816789635912,0.0016943066655333546,0.0007337417121021942,0.0006561489390589101,0.0016900173292502397,0.001648185099332157,0.00022244009206835141,6.632226964033459e-05,5.425637766374395e-05,0.32071633389373894
12.450000000000001,0.013289346728754965,0.00931129382817938,0.019641126512163886,0.01975054910940919,0.006389925499181328,0.002725531896133325,0.0027608109062631095,0.010241979100131006,0.009970976850650029,0.0016836753691568311,0.0007197821820989171,0.0006458826636091924,0.0016708402016541602,0.001628969207522425,0.00022120053978811336,6.493037084085244e-05,5.328812464104738e-05,0.3180801263751787
12.5,0.013272657528677413,0.009191955257346765,0.019565483902893498,0.01966670054974669,0.006331922049015417,0.002707332793550451,0.0027495255698189044,0.01010450446356378,0.00983487010107583,0.0016728443683092541,0.000706357343347576,0.0006360686802471248,0.001651789308574719,0.0016098905422316098,0.0002199302961963918,6.35900450436023e-05,5.236097348740903e-05,0.3154717872633851
12.55,0.013255930646589158,0.009073935434126922,0.019489743125901047,0.019582792990858473,0.006273761300060594,0.0026900671329022244,0.0027389555770597927,0.009968728207081038,0.009700480416806954,0.0016618206249702,0.0006934518123205245,0.0006266920397738961,0.0016328672090105843,0.0015909513700251012,0.00021863024427661249,6.229986131641228e-05,5.147361182671667e-05,0.3128909624047083
12.600000000000001,0.013239166367242377,0.008957227542042253,0.01941390916564366,0.019498832071351724,0.006215463583909529,0.0026737004325987,0.002729069254103114,0.00983463499645908,0.009567791629166765,0.0016506111531465952,0.0006810504840680832,0.0006177381243223492,0.0016140763118625719,0.001572153810681138,0.00021730128470967376,6.105841231226838e-05,5.0624754830391085e-05,0.3103373020324898
12.65,0.013222364975395091,0.008841824656005956,0.019337986983532104,0.01941482339353478,0.006157048890502564,0.00265819905886624,0.0027198358156811683,0.009702209443711389,0.009436787533061269,0.0016392230049311978,0.0006691385333304059,0.0006091926454212831,0.0015954188801551989,0.0015534998415445648,0.00021594433329987403,5.9864314575853005e-05,4.9813145121659765e-05,0.3078104607527721
12.700000000000001,0.013205526755802109,0.00872771974577374,0.019261981517151982,0.01933077252262716,0.006098536860948412,0.0026435302135496314,0.0027112253492804256,0.009571436115108857,0.009307451894851224,0.0016276632573519936,0.0006577014152550463,0.0006010416417670931,0.0015768970352158088,0.0015349913018253272,0.00021456031853766823,5.871620879829043e-05,4.903755266441282e-05,0.3053100975277233
12.75,0.013188651993206017,0.00861490567935968,0.01918589767950319,0.01924668498599295,0.006039946781069619,0.002629661921794189,0.0027032087992816035,0.009442299538931737,0.0091797684599493,0.0016159389999833376,0.0006467248657428454,0.0005932714767237628,0.0015585127608071406,0.0015166298968382907,0.00021315017929474672,5.761276001963575e-05,4.829677463230988e-05,0.3028358756568854
12.8,0.013171740972328191,0.008503375226415616,0.01910974035825754,0.019162566272397256,0.005981297575643233,0.0026165630196246666,0.002695757951115592,0.009314784212958581,0.009053720960148063,0.0016040573232902519,0.0006361949014438877,0.0005858688355712679,0.001540267907209357,0.0014984172021811802,0.00021171486264574057,5.655265778630062e-05,4.7589635257022266e-05,0.30038746275636863
12.850000000000001,0.013154793977859859,0.008393121061573772,0.019033514415034578,0.019078421831285757,0.0059226078033079955,0.0026042031414370984,0.002688845415449442,0.00918887461169771,0.008929293120684714,0.0015920253076779213,0.0006260978194244629,0.0005788207225215663,0.0015221641952478547,0.0014803546678478043,0.0002102553218115466,5.553461626406059e-05,4.691498565525467e-05,0.2979645307360975
