Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_total_S
28.950000000000003,0.0006516882050780806,6.773050561516786e-05,5.887243646680341e-06,3.3213813999590167e-06,2.2089773585454053e-07,0.00147142378802303
29.0,0.0006465403513502035,6.715039396389333e-05,5.83644184998385e-06,3.2806415399685546e-06,2.181723886951746e-07,0.0014596109131227533
29.05,0.0006414378868283135,6.657592843838999e-05,5.7861392522058875e-06,3.2404586800798085e-06,2.1548453738706752e-07,0.001447904599267846
29.1,0.0006363803764186879,6.60070480363812e-05,5.736330395796361e-06,3.2008244332242506e-06,2.128336133675538e-07,0.0014363037907545464
29.150000000000002,0.0006313673894500268,6.544369247232439e-05,5.687009888243655e-06,3.161730550057196e-06,2.1021905748462636e-07,0.0014248074431514712
29.200000000000003,0.000626398499627114,6.488580216843884e-05,5.638172401246657e-06,3.1231689165118335e-06,2.0764031982830234e-07,0.0014134145231719834
29.25,0.0006214732849849589,6.433331824585019e-05,5.589812669897772e-06,3.085131551399903e-06,2.0509685956523784e-07,0.0014021240085480742
29.3,0.0006165913278434131,6.378618251585009e-05,5.541925491876788e-06,3.04761060405806e-06,2.0258814477652236e-07,0.0013909348879057345
29.35,0.0006117522147622625,6.324433747127016e-05,5.494505726655467e-06,3.0105983520390363e-06,2.001136522985911e-07,0.0013798461606418047
29.400000000000002,0.0006069555364967825,6.270772627796776e-05,5.447548294712686e-06,2.9740871988466357e-06,1.9767286756718747e-07,0.0013688568368022743
29.450000000000003,0.000602200887953759,6.217629276642286e-05,5.401048176760011e-06,2.938069671713716e-06,1.9526528446431609e-07,0.0013579659369620234
29.5,0.0005974878681479664,6.164998142344435e-05,5.355000412977552e-06,2.9025384194222704e-06,1.928904051681242e-07,0.001347172492105983
29.55,0.0005928160801590991,6.112873738398401e-05,5.309400102259938e-06,2.86748621016475e-06,1.9054774000564995e-07,0.0013364755435116972
29.6,0.0005881851310891547,6.061250642305749e-05,5.26424240147235e-06,2.8329059294458254e-06,1.8823680730838353e-07,0.0013258741426332775
29.650000000000002,0.0005835946320202602,6.0101234947769986e-05,5.219522524716388e-06,2.798790578023727e-06,1.8595713327057852e-07,0.001315367350986718
29.700000000000003,0.0005790441979729404,5.959486998944589e-05,5.175235742605685e-06,2.765133269890403e-06,1.8370825181026018e-07,0.0013049542400365673
29.75,0.0005745334478648223,5.9093359195860804e-05,5.131377381551134e-06,2.731927230289697e-06,1.814897044328763e-07,0.001294633891083938
29.8,0.0005700620044697712,5.859665082357443e-05,5.087942823055585e-06,2.6991657937727785e-06,1.7930104009753506e-07,0.0012844053951558292
29.85,0.0005656294943774576,5.8104693730363456e-05,5.044927503017909e-06,2.666842402290103e-06,1.7714181508578006e-07,0.0012742678528957615
29.900000000000002,0.0005612355479533445,5.761743736775257e-05,5.002326911046266e-06,2.634950603319132e-06,1.7501159287284806e-07,0.001264220374455693
29.950000000000003,0.0005568797992990967,5.713483177364265e-05,4.960136589780482e-06,2.603484048027126e-06,1.7290994400136127e-07,0.001254262079389208
30.0,0.0005525618862134055,5.665682756503479e-05,4.918352134223411e-06,2.5724364894683e-06,1.7083644595740532e-07,0.0012443920965459667
30.05,0.0005482814501532233,5.618337593084871e-05,4.876969191081122e-06,2.5418017808146454e-06,1.6879068304894229e-07,0.0012346095639673897
30.1,0.0005440381361954084,5.571442862483474e-05,4.83598345811186e-06,2.511573873619776e-06,1.6677224628651482e-07,0.0012249136287835747
30.150000000000002,0.0005398315929987712,5.52499379585776e-05,4.795390683483595e-06,2.4817468161151006e-06,1.6478073326619353e-07,0.0012153034471114204
30.200000000000003,0.0005356614727665199,5.478985679459111e-05,4.755186665140081e-06,2.452314751537711e-06,1.6281574805472233e-07,0.0012057781839539474
30.25,0.0005315274312091028,5.4334138539502575e-05,4.715367250175299e-06,2.42327191648934e-06,1.6087690107681822e-07,0.0011963370131008047
