Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(4),J_total_sulfur
46.650000000000006,5.7237545059981044e-05,4.966153166349441e-06,4.23463391144583e-07,9.755962311743101e-08,6.382920575743827e-09,0.00011447509011996209,9.932306332698881e-06,5.853577387045861e-07,8.46926782289166e-07,2.553168230297531e-08,0.0001258652126559577
46.7,5.6909286029456014e-05,4.936479791032472e-06,4.2092352726601093e-07,9.676886041093962e-08,6.330982089111537e-09,0.00011381857205891203,9.872959582064944e-06,5.806131624656377e-07,8.418470545320219e-07,2.5323928356446148e-08,0.0001251393157863311
46.75,5.658317534079843e-05,4.9070101299156574e-06,4.184011785550775e-07,9.598526485591709e-08,6.279516123374995e-09,0.00011316635068159686,9.814020259831315e-06,5.759115891355026e-07,8.36802357110155e-07,2.511806449349998e-08,0.00012441820295216733
46.800000000000004,5.625919720979559e-05,4.877742602161371e-06,4.1589620838561976e-07,9.520876464417694e-08,6.2285179272579e-09,0.00011251839441959118,9.755485204322742e-06,5.712525878650616e-07,8.317924167712395e-07,2.49140717090316e-08,0.00012370183870025924
46.85,5.5937335980296756e-05,4.8486756405805305e-06,4.134084813180953e-07,9.443928875508857e-08,6.177982801774776e-09,0.00011187467196059351,9.697351281161061e-06,5.666357325305314e-07,8.268169626361907e-07,2.4711931207099103e-08,0.00012299018786812838
46.900000000000006,5.5617576123080916e-05,4.819807691503124e-06,4.109378630882503e-07,9.367676694619716e-08,6.1279060996060645e-09,0.00011123515224616183,9.639615383006248e-06,5.620606016771829e-07,8.218757261765005e-07,2.4511624398424258e-08,0.0001222832155814202
46.95,5.529990223473601e-05,4.791137214650133e-06,4.0848422059590957e-07,9.292112974396577e-08,6.07828322448129e-09,0.00011059980446947202,9.582274429300266e-06,5.575267784637947e-07,8.169684411918191e-07,2.431313289792516e-08,0.00012158088725132583
47.0,5.498429903654817e-05,4.762662683006716e-06,4.060474218938783e-07,9.217230843463446e-08,6.029109630570107e-09,0.00010996859807309634,9.525325366013431e-06,5.530338506078067e-07,8.120948437877566e-07,2.411643852228043e-08,0.00012088316857202761
47.050000000000004,5.46707513734019e-05,4.734382582696734e-06,4.0362733617696153e-07,9.143023505519781e-08,5.980380821881343e-09,0.0001093415027468038,9.468765165393468e-06,5.485814103311869e-07,8.072546723539231e-07,2.392152328752537e-08,0.0001201900255181699
47.1,5.4359244212690786e-05,4.706295412858567e-06,4.0122383377109784e-07,9.069484238449793e-08,5.932092351669628e-09,0.00010871848842538157,9.412590825717134e-06,5.441690543069876e-07,8.024476675421957e-07,2.3728369406678512e-08,0.00011950142434235457
47.150000000000006,5.4049762643238035e-05,4.678399685522168e-06,3.988367861226028e-07,8.996606393443033e-08,5.88423982184964e-09,0.00010809952528647607,9.356799371044337e-06,5.397963836065819e-07,7.976735722452056e-07,2.353695928739856e-08,0.00011881733157265959
47.2,5.374229187422796e-05,4.65069392548744e-06,3.9646606578752806e-07,8.924383394126404e-08,5.836818882418014e-09,0.00010748458374845592,9.30138785097488e-06,5.354630036475843e-07,7.929321315750561e-07,2.3347275529672055e-08,0.0001181377140101831
47.25,5.343681723414691e-05,4.623176670203794e-06,3.941115464211249e-07,8.852808735707085e-08,5.789825230882456e-09,0.00010687363446829383,9.246353340407588e-06,5.31168524142425e-07,7.882230928422498e-07,2.3159300923529825e-08,0.00011746253872660962
47.300000000000004,5.313332416973469e-05,4.595846469650992e-06,3.9177310276742116e-07,8.781875984126485e-08,5.743254611698277e-09,0.00010626664833946938,9.191692939301985e-06,5.269125590475891e-07,7.835462055348423e-07,2.2973018446793107e-08,0.00011679177306180058
47.35,5.283179824494589e-05,4.568701886221203e-06,3.894506106489051e-07,8.711578775225005e-08,5.697102815712219e-09,0.00010566359648989178,9.137403772442406e-06,5.226947265135003e-07,7.789012212978102e-07,2.2788411262848876e-08,0.00011612538462140835
47.400000000000006,5.253222513992065e-05,4.541741494602227e-06,3.871439469563119e-07,8.641910813917333e-08,5.6513656796132235e-09,0.0001050644502798413,9.083482989204454e-06,5.1851464883504e-07,7.742878939126238e-07,2.2605462718452894e-08,0.00011546334127451185
47.45,5.223459064996575e-05,4.5149638816619754e-06,3.848529896385209e-07,8.572865873378384e-08,5.606039085390246e-09,0.0001044691812999315,9.029927763323951e-06,5.14371952402703e-07,7.697059792770418e-07,2.2424156341560983e-08,0.00011480561115127676
47.5,5.193888068454474e-05,4.488367646334072e-06,3.8257761769255183e-07,8.504437794239419e-08,5.561118959797118e-09,0.00010387776136908947,8.976735292668144e-06,5.102662676543651e-07,7.651552353851037e-07,2.2244475839188472e-08,0.00011415216264063627
47.550000000000004,5.164508126627799e-05,4.461951399504657e-06,3.803177111536672e-07,8.436620483794501e-08,5.516601273824106e-09,0.00010329016253255599,8.923902799009315e-06,5.0619722902767e-07,7.606354223073344e-07,2.2066405095296425e-08,0.00011350296438799561
47.6,5.135317852995223e-05,4.435713763900353e-06,3.78073151085576e-07,8.369407915217019e-08,5.472482042176198e-09,0.00010270635705990446,8.871427527800705e-06,5.021644749130212e-07,7.56146302171152e-07,2.1889928168704793e-08,0.00011285798529295804
47.650000000000006,5.106315872153894e-05,4.409653373977325e-06,3.7584381957073513e-07,8.302794126786026e-08,5.4287573227580686e-09,0.00010212631744307788,8.81930674795465e-06,4.981676476071616e-07,7.516876391414703e-07,2.1715029291032274e-08,0.00011221719450707219
47.7,5.07750081972227e-05,4.383768875811538e-06,3.7362959970075583e-07,8.236773221122543e-08,5.385423216165608e-09,0.0001015500163944454,8.767537751623076e-06,4.942063932673526e-07,7.472591994015117e-07,2.1541692864662432e-08,0.00011158056143160201
47.75,5.048871342243802e-05,4.358058926990068e-06,3.7143037556690197e-07,8.171339364435376e-08,5.342475865183866e-09,0.00010097742684487605,8.716117853980136e-06,4.902803618661225e-07,7.428607511338039e-07,2.1369903460735463e-08,0.00011094805571531684
47.800000000000004,5.0204260970915684e-05,4.332522196503555e-06,3.692460322506902e-07,8.106486785776552e-08,5.299911454291383e-09,0.00010040852194183137,8.66504439300711e-06,4.863892071465931e-07,7.384920645013804e-07,2.119964581716553e-08,0.0001103196472523036
47.85,4.992163752373801e-05,4.307157364639756e-06,3.6707645581458643e-07,8.042209776306174e-08,5.25772620917082e-09,9.984327504747602e-05,8.614314729279513e-06,4.825325865783705e-07,7.341529116291729e-07,2.103090483668328e-08,0.00010969530617979975
