Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_4p_one electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(3),J_total_As
75.35000000000001,0.00010273067659224579,1.2425703387042547e-05,1.9394121380206267e-06,5.125932371991494e-07,8.037578934741686e-08,3.052338160819916e-10,1.4775214549278586e-07,4.31648718877566e-09,0.00020546135318449157,2.4851406774085095e-05,3.0755594231948965e-06,3.8788242760412535e-06,4.822547360845011e-07,2.955042909855717e-07,3.0523381608199162e-09,1.294946156632698e-08,0.00023806090448461002
75.4,0.00010238890348570977,1.2381352979008658e-05,1.932423309579884e-06,5.100576521031417e-07,7.997496701146364e-08,3.032914002845455e-10,1.4721895332233326e-07,4.295528133317335e-09,0.00020477780697141955,2.4762705958017316e-05,3.0603459126188506e-06,3.864846619159768e-06,4.798498020687818e-07,2.944379066446665e-07,3.032914002845455e-09,1.2886584399952005e-08,0.00023725591266833172
75.45,0.0001020484208126004,1.2337184138265314e-05,1.925463412064029e-06,5.075360816183593e-07,7.957637949294887e-08,3.0136252887181114e-10,1.4668797173557026e-07,4.274682772567121e-09,0.0002040968416252008,2.4674368276530627e-05,3.045216489710156e-06,3.850926824128058e-06,4.774582769576933e-07,2.9337594347114053e-07,3.013625288718111e-09,1.2824048317701362e-08,0.00023645402510960492
75.5,0.00010170922316701664,1.2293196030507086e-05,1.918532310841278e-06,5.050284402506128e-07,7.918001303100285e-08,2.9944709920790497e-10,1.4615919042838594e-07,4.253950425515169e-09,0.0002034184463340333,2.4586392061014172e-05,3.0301706415036766e-06,3.837064621682556e-06,4.750800781860171e-07,2.923183808567719e-07,2.9944709920790498e-09,1.2761851276545506e-08,0.00023565522843954512
75.55,0.0001013713051677168,1.224938782565747e-05,1.9116298719720924e-06,5.025346430756191e-07,7.878585395740125e-08,2.9754500949631693e-10,1.4563259914974626e-07,4.2333304156138365e-09,0.0002027426103354336,2.449877565131494e-05,3.0152078584537148e-06,3.823259743944185e-06,4.7271512374440745e-07,2.912651982994925e-07,2.975450094963169e-09,1.269999124684151e-08,0.00023485950935253213
75.60000000000001,0.00010103466145799799,1.2205758697845569e-05,1.9047559622053029e-06,5.000546057348836e-07,7.839388869588869e-08,2.956561587725648e-10,1.451081877013964e-07,4.212822070745944e-09,0.00020206932291599598,2.4411517395691138e-05,3.0003276344093015e-06,3.8095119244106057e-06,4.7036333217533217e-07,2.902163754027928e-07,2.9565615877256477e-09,1.2638466212237833e-08,0.00023406685460588511
75.65,0.00010069928670557677,1.216230782538298e-05,1.897910448974264e-06,4.975882444316177e-07,7.800410376150823e-08,2.9378044689686795e-10,1.4458594593756503e-07,4.192424723193524e-09,0.00020139857341115353,2.432461565076596e-05,2.9855294665897065e-06,3.795820897948528e-06,4.680246225690494e-07,2.8917189187513005e-07,2.9378044689686793e-09,1.2577274169580572e-08,0.00023327725101954046
75.7,0.00010036517560246931,1.2119034390740698e-05,1.8910932003930136e-06,4.951354759266819e-07,7.76164857599347e-08,2.9191777454693526e-10,1.4406586376466947e-07,4.172137709606203e-09,0.00020073035120493862,2.4238068781481396e-05,2.9708128555600914e-06,3.7821864007860273e-06,4.656989145596082e-07,2.8813172752933894e-07,2.9191777454693526e-09,1.251641312881861e-08,0.0002324906854757294
75.75,0.00010003232286487326,1.2075937580526279e-05,1.8843040852524747e-06,4.926962175345665e-07,7.723102138681476e-08,2.900680432108033e-10,1.435479311410239e-07,4.151960370970365e-09,0.00020006464572974652,2.4151875161052557e-05,2.9561773052073993e-06,3.7686081705049494e-06,4.6338612832088854e-07,2.870958622820478e-07,2.900680432108033e-09,1.2455881112911094e-08,0.00023170714491865937
75.8,9.970072323304962e-05,1.2033016585461062e-05,1.8775429730166693e-06,4.902703871194009e-07,7.684769742711143e-08,2.882311551797333e-10,1.4303213807654804e-07,4.131892052578468e-09,0.00019940144646609924,2.4066033170922124e-05,2.9416223227164054e-06,3.7550859460333387e-06,4.6108618456266856e-07,2.860642761530961e-07,2.882311551797333e-09,1.2395676157735405e-08,0.0002309266163541964
