Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(2),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(1),J_7s1/2(2),J_total_Pa_relativistic
43.45,0.004670408848674674,0.0007136775719054686,0.004011831821700491,0.0030524941626937693,0.00032744665195927087,0.001051117442539826,0.0010083271965138558,0.0004910344698876048,0.0003966070275577628,0.00012129890217658487,0.0002721703383958528,0.0002779025453675073,0.00016222265950396222,0.00013206171307160385,7.447340295200957e-06,6.269385182256228e-06,3.354679172603355e-05,6.373545664771094e-05,6.534986866367944e-05,3.2584324047018214e-05,2.6321973557247857e-05,6.044234957440026e-07,6.816806193502653e-06,1.0723926663471101e-05,1.0167332481316343e-05,1.6919597982472247e-06,5.757012277951326e-07,0.0463947149713949
43.5,0.004665809934146178,0.0007123966796972543,0.004000895379421988,0.0030416767183084406,0.00032528641040240904,0.001049359531982989,0.0010053784948585941,0.0004878501833701312,0.0003938945764117035,0.00012038646368774061,0.00027184615065305396,0.0002771729346427279,0.0001611767718746244,0.00013116053511956158,7.3751610722265275e-06,6.207172233927652e-06,3.3287960023968336e-05,6.366838535622213e-05,6.518411412518331e-05,3.23746230962021e-05,2.6142509947734554e-05,5.986182169052558e-07,6.76390596140059e-06,1.0713016076144817e-05,1.0141808305888062e-05,1.6811027033286946e-06,5.711584408652041e-07,0.046249764958343514
43.550000000000004,0.004661212412552518,0.0007111325477674664,0.003989984616543835,0.0030308947623909495,0.000323146493950584,0.001047597853393045,0.0010024333441472895,0.000484687739639433,0.00039120165435643225,0.00011948217439421205,0.0002715200151719746,0.00027644328345599584,0.00016013790542394955,0.00013026575163226065,7.3037335304248975e-06,6.145620179486813e-06,3.3031409952211917e-05,6.360080456209159e-05,6.501828096739163e-05,3.216632178336822e-05,2.5964315124733868e-05,5.928781565584413e-07,6.711460012063681e-06,1.0702026258256024e-05,1.0116292425325776e-05,1.6703085096393373e-06,5.666526952408485e-07,0.04610540240956357
43.6,0.004656616294084092,0.0007098850150828432,0.003979099512553016,0.0030201482127965116,0.00032102675311012317,0.0010458324661282447,0.0009994917940968687,0.00048154698395382896,0.0003885281162799918,0.00011858597825907969,0.0002711919481107364,0.0002757136138157539,0.0001591060129830115,0.00012937731689676666,7.233049320224491e-06,6.084721551006817e-06,3.277712615624622e-05,6.353271777982772e-05,6.485237488664143e-05,3.195941087328708e-05,2.5787380152594752e-05,5.872005694589102e-07,6.659463805052059e-06,1.0690954688255705e-05,1.0090777704876475e-05,1.6595786446717202e-06,5.621815122634387e-07,0.04596162447507179
43.650000000000006,0.004652021588899924,0.0007086539216982833,0.003968240046620366,0.003009436987248812,0.00031892703910550274,0.0010440634293117628,0.0009965538938165198,0.0004784277626692412,0.00038587381815486657,0.00011769781945353183,0.00027086196567299616,0.0002749839475293461,0.0001580810476771793,0.00012849518551145755,7.163100190399881e-06,6.024468969850302e-06,3.252509333199811e-05,6.346412854774935e-05,6.468640153081985e-05,3.1753881152452374e-05,2.5611696108737648e-05,5.815829226486563e-07,6.60791365898698e-06,1.067979841746152e-05,1.006525592410986e-05,1.6489146518222813e-06,5.577429775922756e-07,0.04581842831763491
43.7,0.00464742830712768,0.0007074391087519714,0.003957406197603431,0.002998761003343632,0.0003168472038803858,0.0010422908018289203,0.000993619691811241,0.0004753299232318082,0.0003832386170301754,0.00011681764235867012,0.00027053008410486137,0.00027425430620350074,0.00015706296292478268,0.000127619312384287,7.093877986848424e-06,5.9648551455435864e-06,3.227529622650443e-05,6.339504042700278e-05,6.452036649914357e-05,3.154972342907282e-05,2.5437254083294027e-05,5.760228565613439e-07,6.556806797087923e-06,1.0668554310159676e-05,1.0039718406319015e-05,1.638316553205663e-06,5.533365995103255e-07,0.04567581111576869
43.75,0.004642836458863675,0.000706240418460502,0.003946597944049297,0.0029881201785524245,0.0003147871000985722,0.0010405146423244826,0.000990689235985395,0.00047225331417053275,0.00038062237102390794,0.0001159453915672579,0.00027019631969186266,0.0002735247112448325,0.00015605171243577152,0.00012674965273104817,7.0253746513827125e-06,5.9058728746655935e-06,3.2027719638559217e-05,6.332545700059934e-05,6.43542753419711e-05,3.1346928535386175e-05,2.5264045181982346e-05,5.705179973341243e-07,6.506141330631754e-06,1.0657219299532535e-05,1.0014156677545955e-05,1.627782543100399e-06,5.489634609546974e-07,0.04553377006641231
43.800000000000004,0.004638246054172885,0.0007050576941140051,0.0039358152641974144,0.002977514430225872,0.00031274658114486875,0.0010387350092000392,0.0009877625736462786,0.00046919778508997515,0.0003780249393152132,0.00011508101188541506,0.00026986068875598434,0.0002727951838603657,0.00015504725021037353,0.00012588616207364126,6.95758222053888e-06,5.847515039751554e-06,3.178234841934388e-05,6.325538187247444e-05,6.418813356066401e-05,3.114548733216236e-05,2.5092060532051214e-05,5.650658604864192e-07,6.4559161815086505e-06,1.0645790642063198e-05,9.988563110950782e-06,1.6173101597659171e-06,5.446255765508398e-07,0.04539230238751908
43.85,0.004633657103088962,0.0007038907800712729,0.003925058135982421,0.002966943675597419,0.00031072550112587894,0.0010369519606114592,0.0009848397515077017,0.0004661631866629874,0.0003754461821367377,0.0001142244483342594,0.00026952320765275065,0.00027206574505807735,0.00015404953053774862,0.00012502879623834344,6.890492824400458e-06,5.789774608211227e-06,3.1539167473039706e-05,6.318481866656867e-05,6.402194660751078e-05,3.0945390715107636e-05,2.492129129090477e-05,5.596639714997988e-07,6.406130949271934e-06,1.0634266153058853e-05,9.962931513429e-06,1.6068980841247515e-06,5.403248467344571e-07,0.0452514053205464
43.900000000000006,0.0046290696156142406,0.0007027395217548861,0.003914326537036922,0.002956407831786758,0.00030872371487070935,0.0010351655544664203,0.000981920815693572,0.0004631493706234842,0.00037288596076700794,0.00011337564615149366,0.0002691838927683677,0.00027133641564745824,0.00015305850799463895,0.00012417751135408044,6.824098685437483e-06,5.7326446312613586e-06,3.129816175742212e-05,6.311377102593116e-05,6.385571988572286e-05,3.074662962274645e-05,2.4751728656835052e-05,5.54310157271246e-07,6.356785731913377e-06,1.0622644407013974e-05,9.93725761509005e-06,1.5965474475599541e-06,5.360622296234261e-07,0.04511107613270012
43.95,0.004624483601719754,0.0007016037656463443,0.0039036204446942935,0.002945906815803309,0.0003067410779316023,0.0010333758484220165,0.0009790058117414948,0.0004601561897592616,0.0003703441375228672,0.00011253455079294229,0.00026884276051692037,0.00027060721624009405,0.00015207413744401822,0.0001233322638507028,6.75839211736089e-06,5.676118242872383e-06,3.1059316284437336e-05,6.30422426118454e-05,6.368945874950988e-05,3.054919504525037e-05,2.4583363881134952e-05,5.490028969921062e-07,6.3078809127726105e-06,1.0610924888671416e-05,9.911539428367e-06,1.5862618905581405e-06,5.318376019211663e-07,0.044971312118752174
44.0,0.004619899071345248,0.0007004833592811948,0.0038929398359914455,0.002935440544549647,0.00030477744658448705,0.0010315828998824345,0.0009760947846063737,0.00045718349790484935,0.000367820575751955,0.00011170110793403525,0.00026849982733762284,0.00026987816725026294,0.00015109637403373647,0.0001224930104572633,6.693365523991705e-06,5.62018865872894e-06,3.0822616120760284e-05,6.297023710297675e-05,6.352316850423446e-05,3.03530780336098e-05,2.4416188280760436e-05,5.437415929875634e-07,6.259416928284427e-06,1.0599108083752282e-05,9.885777451952701e-06,1.5760462392024287e-06,5.27650355855256e-07,0.0448321106020137
44.050000000000004,0.004615316034399186,0.0006993781512441663,0.0038822846876715874,0.002925008934824916,0.0003028326778294581,0.0010297867659967062,0.0009731877786640239,0.00045423114993440895,0.00036531513982523815,0.00011087526347124234,0.00026815510969212253,0.00026914928889555195,0.00015012517319516378,0.00012165970820029892,6.62901139814507e-06,5.564849175204211e-06,3.0588046388334484e-05,6.289775819454096e-05,6.335685440664375e-05,3.0158269708513537e-05,2.425019325066482e-05,5.385265986701451e-07,6.211394032523603e-06,1.058719550226766e-05,9.859974705082027e-06,1.5659044446400417e-06,5.235003293946093e-07,0.04469346893392997
44.1,0.004610734500758774,0.0006982879911643042,0.003871654976186981,0.0029146119033282175,0.0003009066293911785,0.00102798750365653,0.0009702848377147913,0.0004512990017546718,0.00036282769512958993,0.00011005696352345787,0.00026780862406185663,0.0002684206011974901,0.000149160490641832,0.00012083231440211595,6.565322320528796e-06,5.510093168347793e-06,3.0355592264893663e-05,6.282480959749243e-05,6.319052166516877e-05,2.9964761268311796e-05,2.408537027493914e-05,5.333589482306436e-07,6.163812074640514e-06,1.0575189631872746e-05,9.834136589286847e-06,1.5558380015716855e-06,5.193884574961175e-07,0.04455538449218588
44.150000000000006,0.004606154480269962,0.0006972127297101061,0.003861050677701667,0.0029042493666619476,0.00029899915971920736,0.0010261851694941628,0.0009673860049871741,0.0004483869102979143,0.00036035810806041323,0.0001092461544333352,0.00026746038694545996,0.000267692123982197,0.0001482022823680731,0.00012001078667907743,6.502290958656167e-06,5.455914092886845e-06,3.0125238984464864e-05,6.275139503773046e-05,6.302417544027858e-05,2.9772543995491878e-05,2.3921710935964037e-05,5.282399476172002e-07,6.1166703042958645e-06,1.056309382357766e-05,9.808270586797512e-06,1.5458458068532784e-06,5.153167003643243e-07,0.044417854677778014
44.2,0.0046015759827474694,0.0006961522185846645,0.0038504717680941996,0.0028939212413351366,0.0002971101279882594,0.001024379819880381,0.0009644913231414555,0.0004454947335149788,0.00035790624601431657,0.00010844278276857484,0.0002671104148562243,0.00026696387688104954,0.0001472505046476578,0.00011919508293989596,6.439910065773011e-06,5.402305481240515e-06,2.9896971837854226e-05,6.267751825532168e-05,6.285782084487312e-05,2.9581609261190076e-05,2.3759206920905053e-05,5.231708674762352e-07,6.06996721818456e-06,1.0550912116933966e-05,9.78238581627635e-06,1.5359254115640352e-06,5.112872517377174e-07,0.04428087691161187
44.25,0.004596999017974788,0.0006951063105208078,0.003839918222960349,0.002883627443766732,0.0002952393940983893,0.0010225715109225078,0.0009616008342733355,0.00044262233036832947,0.00035547197738183215,0.00010764679532316344,0.0002667587243196074,0.0002662358793313618,0.0001463051140324308,0.00011838516138392849,6.378172479798582e-06,5.3492609425472194e-06,2.9670776173114834e-05,6.260318300373648e-05,6.269146294469462e-05,2.939194852738818e-05,2.3597850025053815e-05,5.181528426427376e-07,6.023700457845592e-06,1.0538649016193271e-05,9.756492476589747e-06,1.5260747646159696e-06,5.073014702328154e-07,0.04414444863097888
44.300000000000004,0.004592423595704204,0.000694074859276248,0.003829390017615802,0.002873367890288871,0.0002933868186751096,0.0010207602984625094,0.0009587145799175706,0.0004397695608251524,0.0003530551715401846,0.00010685813911856716,0.000266405331870792,0.0002655081505770818,0.00014536606735094572,0.00011758098049947607,6.317071122280276e-06,5.296774161704787e-06,2.9446637395998035e-05,6.252839304909729e-05,6.252510675873747e-05,2.920355334659568e-05,2.34376321517255e-05,5.131869299732947e-07,5.97786676540636e-06,1.0526309232525615e-05,9.730601217068058e-06,1.5162934317388215e-06,5.033591399913132e-07,0.04400856728620791
44.35,0.0045878497256568096,0.0006930577196287312,0.0038188871270988544,0.0028631424971501244,0.00029155226306943927,0.0010189462380751561,0.0009558326010516175,0.0004369362858504952,0.0003506556988461064,0.00010607676140487919,0.0002660502540522935,0.00026478070966950247,0.00014443332170709916,0.00011678249906208759,6.256598997361913e-06,5.2448388984232094e-06,2.922454097038852e-05,6.245315216943659e-05,6.235875725963534e-05,2.9016415358984066e-05,2.3278545308649638e-05,5.082742342990823e-07,5.932461999963284e-06,1.0513897409891138e-05,9.704722477624714e-06,1.5065826547546721e-06,4.994584735670215e-07,0.04387323033771511
44.400000000000006,0.004583277417522518,0.0006920547473711908,0.0038084095261730734,0.0028529511805186957,0.0002897355893578831,0.001017129385066246,0.0009529549380992754,0.00043412236740044357,0.0003482734306286971,0.00010530260966192094,0.0002656935074116154,0.0002640535754679859,0.0001435068344787623,0.00011598967613286644,6.196749190765311e-06,5.19344898628975e-06,2.9004472418723622e-05,6.237746415396255e-05,6.219241937400563e-05,2.8830526287109294e-05,2.3120581601024616e-05,5.034159898966376e-07,5.887481213234305e-06,1.0501417853370735e-05,9.678865843915179e-06,1.4969441783578797e-06,4.955968469488701e-07,0.04373843525335074
44.45,0.00457870668096008,0.000691065799306906,0.0037979571893299695,0.0028427938564856182,0.00028793666034234865,0.0010153097944708947,0.000950081630934337,0.00043132766841534294,0.0003459082391823337,0.00010453563160030037,0.00026533510849895267,0.0002633267666407031,0.00014258656331641364,0.00011520247105678312,6.137514868785186e-06,5.142598331846427e-06,2.8786417322398408e-05,6.230133280233094e-05,6.202609798273497e-05,2.864587792852195e-05,2.296373322163056e-05,4.986134620500817e-07,5.84291877920853e-06,1.0488874278585643e-05,9.653039461326441e-06,1.4873784782951082e-06,4.917718425912615e-07,0.04360417950576348
44.5,0.0045741375255970995,0.0006900907332446639,0.003787530090791634,0.002832670441067899,0.0002861553395499944,0.0010134875210518865,0.0009472127188842351,0.0004285520528130545,0.0003435599977596224,0.00010377577516242499,0.00026497507386494143,0.00026260030166538504,0.0001416724661417692,0.00011442084346099042,6.078889277296959e-06,5.092280913679484e-06,2.8570361322156435e-05,6.222476192392164e-05,6.185979792119188e-05,2.8462462146706784e-05,2.280799243859284e-05,4.938676342588427e-07,5.79876856901775e-06,1.0476269599298421e-05,9.627249547097485e-06,1.477883529178846e-06,4.879820065166962e-07,0.043470460569842634
44.550000000000004,0.004569569961030046,0.0006891294079939265,0.0037771282045133796,0.0028225808502116514,0.00028439149123301644,0.001011662619298086,0.0009443482407336955,0.00042579538548225465,0.0003412285805644001,0.00010302298852347287,0.0002646134200584549,0.0002618741988300882,0.00014076450114641344,0.0001136447532531441,6.020865740777495e-06,5.042490781520875e-06,2.8356290118467767e-05,6.214775533711952e-05,6.16935239793589e-05,2.828027086091066e-05,2.2653351581550716e-05,4.891788402150785e-07,5.755024159382934e-06,1.0463605767534581e-05,9.601500032591664e-06,1.4684549615816586e-06,4.842269075690897e-07,0.043337275920722194
44.6,0.004565003996824276,0.0006881816833600032,0.0037667515041863663,0.0028125249997952,0.00028264498036837266,0.0010098351434229132,0.0009414882347283894,0.00042305753227577414,0.00033891386274478163,0.00010227722009232126,0.00026425016362444456,0.0002611484762339721,0.00013986262679042998,0.00011287416061972823,5.963437661338548e-06,4.993222055361539e-06,2.814418947189464e-05,6.20703168685991e-05,6.152728090188138e-05,2.8099296035496863e-05,2.2499803027097173e-05,4.845465584769491e-07,5.711679060913705e-06,1.045088367684203e-05,9.575792358234798e-06,1.4590874944913326e-06,4.805065126264116e-07,0.04320462303278867
44.650000000000006,0.004560439642514043,0.0006872474201392259,0.003756399963240202,0.002802502805632144,0.00028091567265744295,0.001008005147362873,0.0009386327385785833,0.0004203383600039727,0.00033661572038624937,0.0001015384185124326,0.0002638853211018259,0.00026042315178808836,0.00013896680180103073,0.00011210902602438391,5.906598517772649e-06,4.944468924576239e-06,2.793404520344516e-05,6.199245035261354e-05,6.136107338803558e-05,2.791952966950247e-05,2.2347339184412404e-05,4.799694501593968e-07,5.6687269513735115e-06,1.043810313493443e-05,9.550125432709495e-06,1.44977676780996e-06,4.7682029512385444e-07,0.04307249937984899
44.7,0.004555876907602522,0.0006863264801141329,0.0037460735548455514,0.002792514183474414,0.00027920343452563233,0.001006172684776149,0.000935781789462794,0.0004176377364281587,0.00033433403050479345,0.00010080653266270101,0.0002635189090214087,0.0002596982432161824,0.00013807698517118709,0.00011134931020624438,5.850341864611501e-06,4.896225647060008e-06,2.7725843194916327e-05,6.191415963028919e-05,6.11949060916261e-05,2.7740963787070926e-05,2.2195952482010557e-05,4.754455811272066e-07,5.626161898821099e-06,1.0425262907296942e-05,9.524495756624963e-06,1.440520640851845e-06,4.7316663807017634e-07,0.042940902436512746
44.75,0.00455131580156182,0.0006854187260486547,0.003735772251916709,0.002782559049015281,0.00027750813312191143,0.0010043378090412501,0.000932935424031437,0.00041495553025404277,0.0003320686710400923,0.00010008151165825704,0.00026315094390386986,0.0002589737680555054,0.00013719313615825917,0.00011059497417827336,5.794661331196475e-06,4.84848654837584e-06,2.7519569389225807e-05,6.18354485489267e-05,6.1028783620826e-05,2.7563590429381537e-05,2.2045635356454815e-05,4.7097273854109536e-07,5.583978560293223e-06,1.0412360828711707e-05,9.498897700030193e-06,1.4313193764656097e-06,4.695429148701947e-07,0.042809829680724706
44.800000000000004,0.004546756333832993,0.0006845240216833081,0.0037254960271141772,0.002772637317892353,0.0002758296363183008,0.0010025005732557158,0.0009300936784104784,0.0004122916111252337,0.0003298195208487416,9.936330485123377e-05,0.00026278144225776987,0.00025824974365763797,0.00013631521428262677,0.0001098459792256093,5.739550620761257e-06,4.8012460209136686e-06,2.7315209790733514e-05,6.175632096131126e-05,6.086271053797974e-05,2.7387401648608968e-05,2.1896380243777774e-05,4.665487314305332e-07,5.5421723433445275e-06,1.0399393975385496e-05,9.473323913610024e-06,1.422174609121692e-06,4.659462459359235e-07,0.042679278597007146
44.85,0.004542198513826072,0.0006836422317303952,0.003715244852847229,0.002762748905690545,0.00027416781270929794,0.001000661030234878,0.000927256588205084,0.00040964584961677373,0.00032758645969752824,9.865186183149392e-05,0.0002624104205776107,0.0002575261871893243,0.0001354431793263207,0.00010910228690391467,5.68500350952643e-06,4.75449852306043e-06,2.7112750465552695e-05,6.167678072503373e-05,6.0696691359390896e-05,2.7212389504319802e-05,2.174817957417578e-05,4.621715328131131e-07,5.500739520195343e-06,1.0386358886667766e-05,9.447765845727633e-06,1.413087633889645e-06,4.6237454269690376e-07,0.04254924667973906
44.900000000000006,0.004537642350920068,0.0006827732218692084,0.0037050187012764436,0.0027528937279450057,0.0002725225316112461,0.0009988192325106745,0.0009244241885032636,0.0004070181172287088,0.0003253693682567456,9.794713242731774e-05,0.00026203789534193537,0.0002568031156333155,0.0001345769913316534,0.00010836385903772922,5.631013845805735e-06,4.708238578380991e-06,2.691217754185015e-05,6.15968317018253e-05,6.0530730555119686e-05,2.7038546062560825e-05,2.160102577034061e-05,4.57839203359792e-07,5.459677287302713e-06,1.0373251822402202e-05,9.422214331893803e-06,1.404058079165272e-06,4.588272748780155e-07,0.04241973143611304
44.95,0.004533087854463003,0.000681916858741242,0.003694817544316253,0.0027430717001440423,0.0002708936630616512,0.0009969752323305196,0.0009215965138795176,0.0004044082863797032,0.0003231681280935583,9.724906670605464e-05,0.00026166388301146877,0.0002560805457892241,0.00013371661059985223,0.00010763065771882995,5.577575549124098e-06,4.6624607748099965e-06,2.6713477210136065e-05,6.151647775690817e-05,6.036483254881601e-05,2.6865863397724475e-05,2.1454911249562727e-05,4.535497215636583e-07,5.418983766673291e-06,1.0360069039869925e-05,9.396660219767613e-06,1.3950838364576254e-06,4.5530554409428186e-07,0.04229073038887485
45.0,0.004528535033771917,0.0006810730099454104,0.0036846413536374524,0.002733282737731996,0.0002692810778184411,0.000995129081656224,0.0009187735983984752,0.00040181623040068696,0.0003209826216654062,9.65576149747363e-05,0.000261288400027298,0.00025535849427438684,0.00013286199768969178,0.00010690264530459478,5.524682609346999e-06,4.617159763854274e-06,2.6516635723542196e-05,6.143572275836433e-05,6.01990017176118e-05,2.6694333597098634e-05,2.1309828429499346e-05,4.493009178061486e-07,5.3786579489604475e-06,1.0346807073127288e-05,9.371094991327269e-06,1.386162229688678e-06,4.518114377580495e-07,0.04216224107898078
45.050000000000004,0.004523983898132895,0.0006802415440332726,0.0036744901006697125,0.0027235267561121048,0.0002676846473591745,0.0009932808321629705,0.0009159554756185334,0.00039924182352854597,0.00031881273231345605,9.587272778065449e-05,0.0002609114628090928,0.0002546369775247371,0.00013201311341612827,0.00010617978441637253,5.472329085821257e-06,4.572330259805837e-06,2.63216393980887e-05,6.135457057652461e-05,6.003324239209506e-05,2.652394876783681e-05,2.1165769737267162e-05,4.4509059095391214e-07,5.338699582099602e-06,1.0333462997355998e-05,9.345511344302192e-06,1.3772916316537686e-06,4.4834703391159496e-07,0.042034261068098155
45.1,0.004519434456801082,0.0006794223305042647,0.0036643637566040796,0.0027138036706493424,0.000266104243880197,0.0009914305352383382,0.0009131421785954913,0.0003966849408998498,0.0003166583442560967,9.519435591190297e-05,0.0002605330877533653,0.00025391601179568625,0.00013116991884893524,0.00010546203793785826,5.420509106526987e-06,4.527967038965274e-06,2.6128474612938707e-05,6.127302508337924e-05,5.986755885638282e-05,2.635470104592676e-05,2.1022727621304588e-05,4.4091675155770907e-07,5.2991090126974925e-06,1.032003466164183e-05,9.319903697309239e-06,1.368472634234082e-06,4.449135986020499e-07,0.04190678794086046
45.150000000000006,0.004514886719000702,0.0006786152398009384,0.0036542622923954496,0.002704113396673214,0.00026453974029574457,0.0009895782419813766,0.0009103337398861772,0.00039414545854461454,0.00031451934258247495,9.452245039788338e-05,0.00026015329123176733,0.00025319561316301256,0.0001303323753113393,0.00010474936901347301,5.3692168672405045e-06,4.484064938875312e-06,2.5937127810639926e-05,6.119109015201086e-05,5.970195534830505e-05,2.618658260660388e-05,2.0880694565267947e-05,4.367779103637764e-07,5.259886990379303e-06,1.0306520875363374e-05,9.294268587431524e-06,1.359708202785132e-06,4.4151138702634986e-07,0.041779819306826615
