Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(4),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(1),J_7s1/2(2),J_total_Np_relativistic
0.65,0.007272729796231018,0.02626973498406692,0.012584354701588845,0.015056984983241307,0.05731789810698781,0.03351902601423771,0.037514481959080984,0.02402664674243666,0.024880180235866363,0.11071103881365758,0.07134124244993877,0.0792864066349612,0.0583473678502289,0.06010938590503801,0.04650580450856053,0.047186287567594846,0.20399415052890213,0.15078549381049158,0.16832589788657154,0.14122854953160605,0.14604395715168483,0.19249371371673993,0.2894151800721753,0.33258629076819085,0.3581906246735336,0.3205314102590821,0.06160927954413357,9.375953212701544
0.7000000000000001,0.007272598158448834,0.026264565566687385,0.01258435340893933,0.015056982382952883,0.05725495767824391,0.03351889862202773,0.037514259108089504,0.02402664655715567,0.024880180007766647,0.110183613305907,0.07133543424987322,0.07927660027433046,0.05834729256324912,0.06010929395975768,0.04650580345622383,0.04718628637785265,0.19997482740991085,0.15055361282760904,0.16793013626055742,0.1411963235734073,0.14600345897762362,0.19147011471853098,0.262802899033964,0.32110867376002816,0.3389683427801839,0.28294964982974713,0.0612878130694765,9.16886364631686
0.75,0.007272456773647757,0.02625901449417577,0.012584351816364575,0.015056979163480696,0.057187436203033466,0.03351874100418663,0.037513983442590666,0.024026646293074157,0.02488017968267358,0.10962006166845203,0.0713282706061813,0.07926451685571073,0.05834718571508175,0.06010916351049294,0.04650580174259795,0.04718628444095344,0.19575131521409675,0.1502716759571465,0.16745120522164075,0.1411518030065593,0.14594764562466178,0.19025917655987276,0.2372662611426204,0.30838994705410167,0.3184603982806135,0.24918183577709194,0.0609529609461924,8.958261418582174
0.8,0.007272305642669317,0.026253082037152806,0.012584349880203047,0.01505697523365575,0.05711535096567475,0.033518548751762876,0.03751364728148206,0.024026645925449498,0.02488017923014289,0.10902099674072933,0.07131956231119092,0.07924984282084545,0.05834703765341877,0.06010898280440294,0.046505799043503805,0.047186281390989376,0.1913413311973734,0.14993414337673755,0.16688070962737675,0.14109185196945528,0.14587268002101633,0.18885978315363344,0.2130811326835938,0.2945795469764895,0.29704421849333,0.21902393250992702,0.05975344733536686,8.744550474664715
0.8500000000000001,0.00727214476641302,0.02624676848477155,0.012584347553813033,0.015056970496103753,0.05703872040225733,0.03351831716746341,0.03751324244781189,0.024026645424155935,0.024880178613111627,0.10838706764867148,0.07130911015095538,0.07923224924453827,0.0583468367402739,0.060108737680990815,0.046505794914872084,0.0471862767269585,0.1867630763878215,0.1495355534909255,0.1662106044034456,0.14101293106044863,0.145774258945774,0.18727336544896078,0.19046476233180354,0.2798559377895618,0.2751059162115007,0.1921962710085427,0.05746541869800931,8.529297801406594
0.9,0.007271974145836339,0.026240074144691216,0.012584344787578819,0.015056964847261498,0.0569575640926825,0.03351804126875498,0.037512760275440545,0.024026644752970814,0.024880177787022322,0.10771895866341216,0.07129670547786561,0.07921139299533723,0.05834656912764957,0.06010841130362272,0.04650578876134088,0.04718626977749534,0.18203511590732407,0.14907058991186153,0.1654333159237545,0.14091111738726875,0.14564764594027232,0.1855033657801792,0.16957630946114977,0.2644175573812354,0.25302124475812005,0.16839388902161423,0.054191332068730974,8.314586828009302
0.9500000000000001,0.007271793781954698,0.026232999343049346,0.012584341528917256,0.015056958177394282,0.05687190275221917,0.033517715791151786,0.03751219161609533,0.024026643868821623,0.024880176698899532,0.10701738800337794,0.0712821308090385,0.07918691794306953,0.05834621853064725,0.06010798388896278,0.04650577979983526,0.04718625966001184,0.17717625948564256,0.14853414597397585,0.1645418546688194,0.14078213598597336,0.14548771821874162,0.18355481692582126,0.15051927836722379,0.2484738020651923,0.23114024293351526,0.14731476086946713,0.05017434143326076,8.102598911058832
1.0,0.007271603675841463,0.02622554442443231,0.01258433772228472,0.01505695037061436,0.05678175822258058,0.03351733519168669,0.03751152684681159,0.024026642720995105,0.024880175286380368,0.10628310658273642,0.07126516044856283,0.07915845620851199,0.05834576599988941,0.06010743243668531,0.046505767017895466,0.04718624523400397,0.17220544321682835,0.14792138600797972,0.16352991761614555,0.1406214019367867,0.14528902638115782,0.1814340187967225,0.133345497842312,0.23223657457815944,0.20977588861816526,0.1286742075898879,0.0456924657401748,7.895361279960362
1.05,0.007271403828627924,0.026217709751844138,0.012584333309184455,0.01505694130490043,0.05668715346252746,0.033516893652563454,0.03751075587775328,0.024026641250309726,0.024880173476700712,0.10551689670928625,0.07124556113161838,0.07912562945035015,0.05834518969513408,0.0601067304618325,0.0465057491265846,0.04718622504835388,0.16714161356360424,0.14722780266884278,0.16239197905683517,0.14042407215029246,0.1450458652955577,0.17914829071656085,0.11806026774609117,0.2159127810633135,0.18919667012448782,0.112211130495399,0.04100388469080753,7.694609322709402
1.1,0.007271194241503283,0.026209495706673722,0.01258432822817432,0.015056930852118138,0.056588112538003554,0.03351638508498708,0.037509868160405455,0.024026639388252877,0.024880171185638875,0.10471957073498032,0.0712230926884259,0.07908805018447053,0.05834446466196086,0.0601058477321745,0.04650572450787726,0.04718619728253878,0.16200361456040904,0.14644926969041722,0.16112336878804215,0.1401851054993732,0.1447523541696236,0.17670577868068302,0.10462830025449933,0.19969802548483884,0.169622700629083,0.09768966466374648,0.036322986333633456,7.50172420696659
1.1500000000000001,0.007270974915714635,0.02620090268866035,0.012584322414874902,0.015056918878041605,0.056484660611809775,0.033515803133169354,0.037508852696131,0.024026637056084224,0.024880168316418535,0.10389196966236837,0.07119750872593551,0.07904532313054473,0.058343562613391985,0.06010475001289889,0.04650569115650635,0.04718615968174517,0.1568100791013392,0.14558208952437934,0.15972033689465312,0.13989932973817795,0.14440252358034628,0.17411530086361127,0.09298010843818592,0.1837716253167845,0.1512248333232078,0.08489843880771542,0.03181374644029768,7.317718477381111
1.2000000000000002,0.007270745852566956,0.026191931115857593,0.012584315801978036,0.015056905242375981,0.056376823932823374,0.0335151411785064,0.03750769804508354,0.02402663416390672,0.02488016475857287,0.10303496171033014,0.07116855732511934,0.07899704658080284,0.05834245171828281,0.06010339882090918,0.04650564661632515,0.047186109485977915,0.15157932512651212,0.144623035411304,0.1581801045993797,0.13956151348379764,0.1439904070788106,0.17138621888334168,0.08301853348297256,0.16829296773181462,0.13412616286785614,0.07364871796653566,0.027592096393406533,7.143251109967757
1.25,0.007270507053423083,0.026182581424595567,0.012584308319255699,0.015056889798780993,0.05626462982476901,0.03351439234392521,0.037506392335468076,0.02402663060970676,0.024880160386771873,0.1021494408425436,0.07113598175170044,0.07894281378585523,0.05834109639827372,0.06010175119094711,0.04650558791132358,0.047186043353347355,0.14632925744075972,0.14356938752514137,0.1565009009223219,0.1391664414403324,0.14351013493245396,0.16852832611073765,0.07462514914657302,0.1533991441667678,0.11840529810670974,0.06377214304825521,0.02373235031289609,6.97865971474146
1.3,0.007270258519703696,0.026172854069441545,0.012584299893569283,0.015056872394895513,0.05614810667454867,0.033513549498395585,0.03750492327314071,0.024026626278365115,0.024880155059614863,0.10123632526219564,0.07109952117812476,0.07888221435240729,0.058339457135040504,0.0600997594556723,0.04650551147152145,0.04718595727781223,0.14107727581342727,0.1424189629273222,0.1546819851435297,0.13870899101660725,0.14295602760313358,0.16555174731143124,0.06766633340438312,0.13920374326857815,0.10410083834618998,0.05511844509744152,0.020274931909444002,6.824001770704289
