Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(1),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Am_relativistic
27.35,0.005857636500472739,0.004070297472505992,0.008694422555034616,0.008787899065682475,0.003205605413597902,0.0014103444659690858,0.001576886309992464,0.004931276777726077,0.0044957481617384455,0.001075425222601365,0.0006481162519715618,0.0004463485719197742,0.001427637716953424,0.0013496501603854636,0.0003789563128559228,0.00034290844265381644,0.00029411591831665336,0.0001995874597518128,0.00011957777047388785,0.0002963461464505915,0.0002800733892697943,3.991799657347037e-05,3.43084423181892e-05,5.846670826162173e-05,3.4578162257931795e-05,1.761002605218767e-05,3.7974219276695942e-06,0.1635627687548287
27.400000000000002,0.005853922390732113,0.004046250389001298,0.008679833388613245,0.008766508728305925,0.003193331251279765,0.001404100232430764,0.0015761880622776367,0.00490084402758284,0.004466225762803589,0.0010731998954435383,0.0006415447435798823,0.00044412079995247654,0.0014209383966122115,0.0013425655140036192,0.0003744894257672157,0.0003387879939658818,0.000293696855919588,0.00019739735232407379,0.00011874116335497159,0.00029509844706699306,0.00027872216905191875,3.9451868380249583e-05,3.391587405236875e-05,5.839321520782966e-05,3.4193983807685846e-05,1.7478925815829685e-05,3.7927123822036055e-06,0.1628719352911385
27.450000000000003,0.005850205006837761,0.0040223276347845435,0.008665235643211805,0.008745129092480491,0.003181031145046502,0.0013979762770587082,0.0015755267726848096,0.00487057875710257,0.004436878961544286,0.0010709428731613747,0.0006350640277276554,0.00044194767065340736,0.0014142474237679179,0.0013354975362935674,0.0003700775522565978,0.0003347191938863054,0.0002932679061136016,0.00019523518655021113,0.00011792308821877671,0.0002938500097330376,0.0002773721635316572,3.8991407633766965e-05,3.3528157680103784e-05,5.831772714283177e-05,3.3814614052535096e-05,1.7350673329934413e-05,3.7878342654504026e-06,0.16218481314011954
27.5,0.0058464843635876364,0.003998528887817099,0.008650629515793394,0.00872376045133767,0.0031687060515771916,0.001391970918420039,0.0015749012119521352,0.00484048038316063,0.004407707029888717,0.001068654434521949,0.0006286732522153655,0.00043982822268097177,0.0014075651710006686,0.001328446535125471,0.0003657199946827992,0.00033070137614084875,0.00029282909698501543,0.00019310074059725556,0.0001171232478674693,0.0002926009376975722,0.00027602346424269157,3.85365614908175e-05,3.314523687846707e-05,5.8240245785213876e-05,3.344001655643016e-05,1.7225223357946357e-05,3.782802858151985e-06,0.16150137780823798
27.55,0.005842760475773359,0.003974853824116986,0.00863601520288803,0.008702403096324817,0.0031563569221237414,0.0013860824903448579,0.0015743101704576708,0.004810548319473212,0.004378709237802382,0.0010663348646811573,0.0006223715663381051,0.00043776150534020653,0.0014008920046793892,0.0013214128118536645,0.0003614160643680722,0.0003267338831701233,0.0002923804603451089,0.00019099379194314372,0.00011634134798822933,0.00029135133288775975,0.00027467616120949894,3.8087266091834774e-05,3.27670597457722e-05,5.816077373238573e-05,3.307015476720563e-05,1.7102531530115982e-05,3.777641059148351e-06,0.16082160494401163
27.6,0.0058390333581801075,0.003951302117790728,0.008621392900586318,0.008681057317201105,0.0031439847024005894,0.0013803093418793598,0.0015737524580248647,0.004780781976694879,0.004349884853384846,0.0010639844549257022,0.0006161581210319486,0.0004357465785545167,0.00139422828500286,0.0013143966613803806,0.00035716508148392215,0.0003228160660161919,0.00029192203161405297,0.0001889141174452569,0.00011557709715772084,0.0002901012959098777,0.0002733303429562559,3.764344503764963e-05,3.239356052219353e-05,5.807931443481023e-05,3.2704992026697256e-05,1.6982554346077228e-05,3.7723725840384093e-06,0.16014547029547693
27.650000000000002,0.005835303025586516,0.003927873441065003,0.00860676280453317,0.008659723402033605,0.0031315903324780304,0.0013746498372374074,0.0015732269037284786,0.004751180762514882,0.004321233142965092,0.0010616035024200927,0.0006100320690163937,0.00043378251283518845,0.0013875743660415733,0.0013073983722197411,0.0003529663749382302,0.0003189472842105886,0.00029145384970693627,0.00018686149340738247,0.00011483020684555068,0.00028885092605056794,0.00027198609651602704,3.720501215199106e-05,3.2024667376994526e-05,5.799587217057617e-05,3.234449156219024e-05,1.686524904352127e-05,3.76701484625214e-06,0.15947294971824158
27.700000000000003,0.005831569492764566,0.0039045674643181346,0.008592125109921599,0.008638401637193545,0.003119174746679125,0.0013691023557506155,0.0015727323557009779,0.004721744081752303,0.004292753371195506,0.001059192309958607,0.0006039925649329394,0.00043186838924875353,0.0013809305957803574,0.001300418226561991,0.00034881928226375777,0.0003151269056637468,0.00029097595692186343,0.00018483569564512042,0.00011410039141674579,0.00028760032127852304,0.0002706435074402232,3.6771877364768826e-05,3.166031980338504e-05,5.7910452020184086e-05,3.1988616465248294e-05,1.675057337034728e-05,3.761573764901331e-06,0.15880401921532286
27.75,0.00582783277447948,0.0038813838561114083,0.008577480011486591,0.008617092307352704,0.00310673887348013,0.0013636652918169808,0.0015722676809394234,0.004692471336450008,0.004264444801144515,0.0010567511857221602,0.0005980387654798557,0.00043000329938227704,0.0013742973161617275,0.0012934565003379398,0.00034472314950801557,0.00031135430655581737,0.00029048839883010624,0.00018283649954975494,0.00011338736813327755,0.00028634957824659176,0.00026930265980831504,3.634395343253306e-05,3.1300457831464934e-05,5.7823059841486494e-05,3.163732966786198e-05,1.6638485326254634e-05,3.756042026973687e-06,0.15813865496062054
27.8,0.005824092885489619,0.003858322283220207,0.008562827703499034,0.008595795695479962,0.003094283635414391,0.001358337054848095,0.0015718317651128946,0.004663361925967412,0.004236306694387867,0.0010542804430400217,0.0005921698295432031,0.00042818634530663636,0.0013676748631299227,0.0012865134632835816,0.00034067733112448184,0.00030762887122886016,0.00028999122416828715,0.000180863680150611,0.00011269085715466132,0.0002850987922942906,0.0002679636362377869,3.5921161942487175e-05,3.094501343078095e-05,5.773370224481863e-05,3.129059392691915e-05,1.6528942949024474e-05,3.7504011969237964e-06,0.15747683332818233
