Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(1),J_5s1/2(2),J_total_Zr_relativistic
2.7,0.041251754174639714,0.12864278055639947,0.0757395402021791,0.155573393774332,0.11998047839497253,0.1780690814503195,0.3578550297838429,0.3057592900698219,0.46119252380727904,0.058444030699982635,0.028856487328712543,0.05467731525053935,0.021659442838757426,0.005207234537533932,1.9929083828693124
2.75,0.0412306108713232,0.12783383396144848,0.0757084337446468,0.15550385759563576,0.11526285884260959,0.17554883915699204,0.3524853351053293,0.30427475229943013,0.45889638082889983,0.05788589668401949,0.02712051871473429,0.051728665070548956,0.019637765726352466,0.005204350229694859,1.968322098831665
2.8000000000000003,0.0412090949118679,0.12701584360695134,0.07567577914216278,0.15543087838204062,0.1106822115250387,0.1729861675104981,0.3470327962691034,0.30272609673890055,0.45650218804056025,0.05722289013725156,0.02565337455111881,0.04927205959461181,0.01781902956721395,0.005196107693358525,1.9444245176706783
2.85,0.04118720711603068,0.12618907845953753,0.07564153614815922,0.15535436817742482,0.10623987333193752,0.17038411823397817,0.34150420032921436,0.3011137578278935,0.45401070663004217,0.05645698842369682,0.02442387301492258,0.04724600847618969,0.01618539756352883,0.0051802722700985985,1.9211173860026545
2.9000000000000004,0.041164948317051246,0.12535380851100103,0.07560566481251152,0.15527423979179283,0.10193679137744617,0.16774579360737457,0.3359064145215521,0.2994383243591862,0.4514229344532409,0.05559194756665406,0.023403207478259736,0.045594136973165826,0.01472038560970621,0.005155274544307277,1.8983138719232497
2.95,0.04114231936158529,0.12451030462445727,0.07556812551880844,0.15519040688534727,0.09777353912368866,0.16507433422582427,0.33024635932618807,0.2977005339489853,0.4487400970206994,0.05463295260356827,0.022564888293265334,0.044265002022132065,0.013408780672593781,0.00512010478522359,1.8759377484123672
3.0,0.041119321109636627,0.12365883838156914,0.07552887902102315,0.15510278405105743,0.09375033308942476,0.16237290709202937,0.3245309824448622,0.29590126691991464,0.4459636376067757,0.053586305425648476,0.021884666438768925,0.04321187854463438,0.012236561463311533,0.0050742186894564755,1.853922580278113
3.0500000000000003,0.041095954434488345,0.12279968193096519,0.07548788647954928,0.15501128689564234,0.08986705003046018,0.15964469409289203,0.31876723379590494,0.2940415396747001,0.44309520660441815,0.052459148482637094,0.02134044315254252,0.04239252409160637,0.011190821754026414,0.005017453861154445,1.8322109252809873
3.1,0.04107222022263298,0.12193310783797029,0.07544510949656738,0.1549158321188888,0.08612324448309686,0.156892880904766,0.3129620416147876,0.292122497637229,0.44013665024591575,0.051259222402173184,0.020912169140148196,0.04176892877285393,0.010259696606091977,0.004949956364132559,1.8107535578472544
3.1500000000000004,0.041048119373701716,0.12105938893576598,0.07540051015070842,0.15481633759122904,0.0825181665669594,0.15412064636583264,0.3071222897347639,0.290145407835606,0.43708999880631183,0.04999465534693339,0.02058173645794306,0.041307056362879284,0.00943229170679658,0.004872116616646428,1.7895087218520778
3.2,0.04102365280039261,0.12017879817809429,0.07535405103098242,0.15471272242950562,0.0790507799489182,0.1513311523484015,0.30125479610879424,0.288111651199169,0.43395745440157796,0.04867378179382314,0.020332865715770632,0.04097658152265186,0.00869861594438136,0.004784513869419656,1.7684414172918825
3.25,0.04099882142839788,0.11929160849361567,0.0753056952699417,0.15460490707085484,0.0757197798754719,0.14852753415840236,0.2953662926212172,0.28602271463825846,0.43074137848830363,0.04730498835237492,0.020150990834865157,0.04075062722664677,0.008049517298602453,0.004687868500508237,1.747522724257461
3.3000000000000003,0.04097362619633026,0.11839809264202819,0.07525540657604984,0.15449281334464357,0.07252361118679548,0.1457128914840185,0.28946340622553046,0.28388018297195605,0.4274442791657155,0.04589658423043406,0.02002314322797258,0.0406055057311913,0.0074766220807482055,0.004583001371520987,1.726729166434935
3.35,0.04094806805564838,0.11749852307205182,0.07520314926522861,0.15437636454239828,0.0694604862316363,0.14289027991033357,0.28355264143321135,0.2816857307651008,0.42406879837442824,0.04445669399213667,0.019937836940248366,0.04052046575821807,0.0069722775146431855,0.004470799516942753,1.7060421153722265
3.4000000000000004,0.04092214797058128,0.11659317178137753,0.0751488882915568,0.15425548548566811,0.06652840260829941,0.14006270301205534,0.2776403641678018,0.27944111413174677,0.42061769907958874,0.042993170325702185,0.01988495599911641,0.04047744799148194,0.006529497620696046,0.0043521874730752825,1.6854472359387476
3.45,0.04089586691805196,0.11568231017867814,0.07509258927709651,0.15413010259176824,0.06372516066304981,0.13723310503185807,0.27173278698852965,0.2771481625579136,0.4170938525191149,0.0415135246377684,0.019855644966547896,0.04046085048332305,0.006141912339987071,0.004228103594819445,1.6649339727485066
3.5,0.04086922588760005,0.11476620894777308,0.07503421854082369,0.15400014393735306,0.061048380683323814,0.13440436414766269,0.2658359556785621,0.2748087707920698,0.4135002255906576,0.04002487340935925,0.01984220346549446,0.040457305142196774,0.005803719812056657,0.004099480756344883,1.6444950767912778
3.5500000000000003,0.04084222588130361,0.11384513791403644,0.07497374312664142,0.15386553931977276,0.05849551972914613,0.13157928632826532,0.25995573718460174,0.2724248908473456,0.40983986844382425,0.038533898379806024,0.01983798526073691,0.04045546610754397,0.005509641706433522,0.003967230878817006,1.6241261711082748
3.6,0.04081486791369999,0.11291936591313317,0.0749111308304559,0.15372622031617014,0.05606388805204774,0.12876059977313165,0.25409780888693684,0.26999852415504166,0.40611590233717915,0.03704681876385493,0.019837302310431446,0.040445810512427696,0.005254881495412411,0.0038322327772950583,1.6038253540372178
3.6500000000000004,0.04078715301170587,0.1119891606621646,0.07484635022629685,0.15358212034027913,0.05375066505654251,0.125950949928902,0.24826764917224664,0.26753171390463754,0.40233150781264293,0.03556937384957953,0.019835334065444788,0.04042045187929084,0.005035085545345888,0.0036953228678724644,1.5835928383229512
3.7,0.04075908221453644,0.11105478863330076,0.07477937069146501,0.15343317469688916,0.05155291476481616,0.12315289507219938,0.24247052927542279,0.26502653760124845,0.398489913233224,0.03410681446721349,0.01982804217655355,0.040372966184146736,0.004846306900022904,0.003557288320305444,1.5634306242313443
