volume,volume_name,E0_keV,Eprime_keV,E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_keV_c,Q_au,Q_absolute_au
2,Volume 2,662.0,121.30138955468774,540.6986104453123,30.0,560.2425499207674,213.052601205627,57.15880892359432,57.15880892359432
2,Volume 2,662.0,578.130617161545,83.86938283845495,30.0,331.0351186110828,-36.05318461845147,-9.672527249288096,9.672527249288096
3,Volume 3,662.0,368.55930616392385,293.44069383607615,30.0,389.2086359687203,190.6599867940309,51.15120722706859,51.15120722706859
3,Volume 3,662.0,262.3676112136957,399.6323887863043,30.0,454.1425256961745,222.59407152410338,59.718641921162686,59.718641921162686
3,Volume 3,662.0,633.1501063125665,28.84989368743345,30.0,336.365842305742,-124.35476198777245,-33.36251253904148,33.36251253904148
3,Volume 3,662.0,396.6565103869791,265.3434896130209,30.0,375.18933558879843,173.79759560633542,46.62728125555629,46.62728125555629
3,Volume 3,662.0,288.6763738005178,373.3236261994822,30.0,436.550830826723,218.7146428272005,58.677849542359645,58.677849542359645
3,Volume 3,662.0,367.39491700050155,294.60508299949845,30.0,389.82243950128606,191.2728018909512,51.31561630178602,51.31561630178602
3,Volume 3,662.0,631.6177206576508,30.382279342349193,30.0,336.09660547252474,-121.85520083892824,-32.69191787232003,32.69191787232003
3,Volume 3,662.0,331.1078453873091,330.8921546126909,30.0,410.1491323872557,207.18009352716143,55.583303426847124,55.583303426847124
3,Volume 3,662.0,520.7844357425315,141.2155642574685,30.0,335.1414785706942,47.74475566119932,12.809199937006507,12.809199937006507
3,Volume 3,662.0,420.68580304663067,241.31419695336933,30.0,364.4925026408656,156.0640122645238,41.86962753047014,41.86962753047014
2,Volume 2,662.0,226.05314927454683,435.94685072545315,30.0,479.73690600107426,224.4878179764715,60.22670561533074,60.22670561533074
3,Volume 3,662.0,208.33899153420714,453.66100846579286,30.0,492.710841897538,224.145237070501,60.134796310143045,60.134796310143045
3,Volume 3,662.0,123.36476810282234,538.6352318971776,30.0,558.5791326327186,213.46533163726238,57.2695382915781,57.2695382915781
3,Volume 3,662.0,426.91375535652594,235.08624464347406,30.0,361.9288799791816,150.9490315734554,40.49735513241349,40.49735513241349
3,Volume 3,662.0,606.5117162006688,55.48828379933116,30.0,332.66113763867304,-81.0951451003926,-21.75660788553692,21.75660788553692
3,Volume 3,662.0,618.5111380710979,43.48886192890211,30.0,334.0722224349311,-100.51514074079738,-26.96670066931662,26.96670066931662
3,Volume 3,662.0,197.85846820419363,464.1415317958064,30.0,500.52369038851833,223.5944922821052,59.98703976576179,59.98703976576179
3,Volume 3,662.0,570.2522163062433,91.74778369375667,30.0,331.0141127046811,-23.872256903964484,-6.404567525705585,6.404567525705585
3,Volume 3,662.0,636.3814116386282,25.61858836137185,30.0,336.955712454822,-129.6267604638506,-34.77691044751289,34.77691044751289
3,Volume 3,662.0,525.4373448185429,136.5626551814571,30.0,334.4438336672544,41.43349783654952,11.115984374158128,11.115984374158128
3,Volume 3,662.0,485.5990960116456,176.4009039883544,30.0,342.42370713694766,92.03178307026654,24.69074338282293,24.69074338282293
3,Volume 3,662.0,528.8878368917617,133.1121631082383,30.0,333.9673988593793,36.68981954438989,9.843326825917908,9.843326825917908
3,Volume 3,662.0,577.4472953439035,84.55270465609647,30.0,331.0258705909192,-34.99010938418914,-9.387320150934205,9.387320150934205
3,Volume 3,662.0,653.0653637360782,8.934636263921789,30.0,340.47335681160894,-156.82711480993615,-42.07435646752844,42.07435646752844
3,Volume 3,662.0,361.7903730145933,300.2096269854067,30.0,392.8117262444696,194.1301345075016,52.08219567296642,52.08219567296642
3,Volume 3,662.0,313.85677167152346,348.14322832847654,30.0,420.56671763651286,212.7201319848552,57.06961243148141,57.06961243148141
3,Volume 3,662.0,482.22648070620704,179.77351929379296,30.0,343.303061507395,95.93789287615665,25.73869390192485,25.73869390192485
3,Volume 3,662.0,396.0548876329368,265.9451123670632,30.0,375.47297583753533,174.20155067491115,46.73565632559898,46.73565632559898
3,Volume 3,662.0,268.34222964790575,393.65777035209425,30.0,450.07290474699107,221.91140546967316,59.53549288499513,59.53549288499513
3,Volume 3,662.0,500.8681312044754,161.1318687955246,30.0,338.83425594641113,73.58777341886453,19.74249296258083,19.74249296258083
2,Volume 2,662.0,294.78962996329346,367.21037003670654,30.0,432.58980306712135,217.47514519045285,58.34531096653758,58.34531096653758
3,Volume 3,662.0,417.9762231201941,244.0237768798059,30.0,365.63535772169826,158.22195899740402,42.44857218673814,42.44857218673814
3,Volume 3,662.0,550.2815901335321,111.71840986646794,30.0,331.80001987826944,6.155758661209439,1.651497475762986,1.651497475762986
3,Volume 3,662.0,385.65894185805394,276.34105814194606,30.0,380.4910981289395,180.8808226297284,48.527604545210956,48.527604545210956
3,Volume 3,662.0,575.8113232234239,86.18867677657613,30.0,331.0094598887928,-32.449880552396934,-8.705814956456528,8.705814956456528
3,Volume 3,662.0,514.0124856234088,147.9875143765912,30.0,336.26931907464984,56.74943055609971,15.225018794998016,15.225018794998016
3,Volume 3,662.0,633.6018173863131,28.398182613686913,30.0,336.44649776564665,-125.09166210167024,-33.56021175776825,33.56021175776825
3,Volume 3,662.0,240.10122326981667,421.89877673018333,30.0,469.66828796813013,224.19253597724588,60.14748589552068,60.14748589552068
3,Volume 3,662.0,199.32716645274786,462.67283354725214,30.0,499.42294217866987,223.68652082362746,60.011729639486035,60.011729639486035
3,Volume 3,662.0,373.5927290330981,288.4072709669019,30.0,386.5844227523263,187.93400155509755,50.41986638204249,50.41986638204249
3,Volume 3,662.0,496.90902368923724,165.09097631076276,30.0,339.7027060012574,78.48781947121937,21.057101629353422,21.057101629353422
3,Volume 3,662.0,631.118023815359,30.881976184640962,30.0,336.01027418417243,-121.04023440074205,-32.473274632782825,32.473274632782825
3,Volume 3,662.0,247.95435995696127,414.0456400430387,30.0,464.1298556615712,223.79310302226145,60.040324040548974,60.040324040548974
3,Volume 3,662.0,297.5966467108528,364.4033532891472,30.0,430.78788401474424,216.8608182597039,58.18049628953954,58.18049628953954
3,Volume 3,662.0,187.86729417291662,474.1327058270834,30.0,508.06118505019685,222.84467330278008,59.78587460972052,59.78587460972052
3,Volume 3,662.0,245.79033934908514,416.2096606509149,30.0,465.64938892127253,223.92053414434724,60.07451189423865,60.07451189423865
2,Volume 2,662.0,187.87510716365028,474.1248928363497,30.0,508.05525773635685,222.84534223115617,59.78605407314418,59.78605407314418
3,Volume 3,662.0,496.7476154602649,165.2523845397351,30.0,339.73904342591516,78.68586258516422,21.110233618564305,21.110233618564305
3,Volume 3,662.0,203.382036503273,458.617963496727,30.0,496.3938186103345,223.91569677624227,60.07321410112257,60.07321410112257
3,Volume 3,662.0,421.9207620691915,240.07923793080852,30.0,363.9771191547217,155.066942338663,41.602128663743166,41.602128663743166
3,Volume 3,662.0,457.1049713641552,204.89502863584482,30.0,350.8052648001635,123.05742546866178,33.014456660888285,33.014456660888285
3,Volume 3,662.0,576.8929179260025,85.1070820739975,30.0,331.0194039286205,-34.12852483793657,-9.156169974066653,9.156169974066653
3,Volume 3,662.0,656.7005683801158,5.299431619884217,30.0,341.3432058022016,-162.73821060932613,-43.66021457681431,43.66021457681431
3,Volume 3,662.0,193.98956403516797,468.010435964832,30.0,503.43231511436505,223.3294952505848,59.91594504734822,59.91594504734822
2,Volume 2,662.0,173.0891535524919,488.9108464475081,30.0,519.3618962288334,221.35827395550348,59.38709601798139,59.38709601798139
2,Volume 2,662.0,164.28344005248803,497.716559947512,30.0,526.1774978434595,220.27126395522546,59.09546758184716,59.09546758184716
3,Volume 3,662.0,415.953926110946,246.04607388905401,30.0,366.49906109400405,159.80603795023347,42.873556747697705,42.873556747697705
3,Volume 3,662.0,579.0792515837004,82.9207484162996,30.0,331.05029513921494,-37.53099362115562,-10.069001180763866,10.069001180763866
