Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(3),J_total_At_relativistic
1.25,0.008362439477988003,0.029790943341741337,0.014480458687384448,0.016690057603470438,0.06365882996669935,0.03835579455988318,0.041989759533228255,0.02699903477526812,0.027793618561339228,0.11465226605378903,0.08289540221567736,0.09044365128330994,0.06784105199148899,0.0696495507538573,0.05608852601192954,0.05685147516163416,0.1468743004110506,0.16996168996087127,0.17962492173047445,0.17654143439929626,0.1807196565778207,0.04872297819850636,0.053776342396652174,0.027379110139547625,6.4860397789480295
1.3,0.008362077395870315,0.029776710076675955,0.014480442570217267,0.016690028707183405,0.06348811164331408,0.038354160001817426,0.04198720363226573,0.02699902488621366,0.027793606804408986,0.1132820048573031,0.08281897479178237,0.09032709567625904,0.06783627980166522,0.06964388200023529,0.05608795084874617,0.05685082912990828,0.13925093813460682,0.16718157865376213,0.1756294850966842,0.17437734309265762,0.17817928574361552,0.04780166311522147,0.04523820112091256,0.02322393557052753,6.390162360427567
1.35,0.008361701138623456,0.029761926654767453,0.01448042449672711,0.01668999629639644,0.06331121094879938,0.03835232977479059,0.041984342967984895,0.026999012934504497,0.027793592596895997,0.11187646579663713,0.08273409045365679,0.09019790011546663,0.06783057736058741,0.06963711311288026,0.05608721898879676,0.056850007736508314,0.13180453566407951,0.1642199744318218,0.17142054906132642,0.17200472169150482,0.1754117910036089,0.047371073235325606,0.03825265473818895,0.020111025183164245,6.298272608032572
1.4000000000000001,0.008361310709033985,0.02974659399500304,0.014480404315398735,0.01668996009914966,0.06312818536628176,0.0383502893542007,0.041981155153803594,0.02699899859344632,0.027793575551143163,0.11043752160728154,0.08264025113444942,0.09005536901234748,0.06782381490223725,0.06962909195132849,0.0560862977378899,0.056848974610247995,0.12455983948238306,0.16108384792659386,0.16701442012005133,0.16942632110412176,0.1724231947732683,0.047224334927966315,0.03260368747823843,0.0178265063980601,6.209056964692235
1.4500000000000002,0.008360906109993191,0.029730713050054435,0.014480381869240796,0.016689919833747013,0.06293909424308176,0.0383480237883044,0.041977617180966584,0.02699898150007749,0.027793555236571257,0.1089670710527189,0.08253696222524819,0.0898988193407256,0.06781585202557569,0.06961965419921319,0.056085149704515065,0.05684768821495816,0.11753887033405004,0.1577816404595331,0.16242914611978104,0.16664717212174254,0.1692220012289349,0.04719884643174669,0.028093485758489575,0.01619148181516558,6.121460136515956
1.5,0.008360487344497054,0.029714284806168473,0.014480356995812344,0.01668987520881397,0.06274399875832319,0.038345517710920374,0.0419737054416772,0.026998961252820888,0.027793531176921255,0.10746703489915849,0.08242373441836784,0.08972758362973607,0.06780653761640593,0.06960862333054783,0.05608373247559931,0.05684610150692284,0.11076089266297787,0.15432313818740756,0.15768422590212952,0.16367442879153143,0.16581895376846978,0.04717107943199611,0.024543367162197023,0.01505749848225149,6.03465940813948
1.55,0.008360054415646185,0.029697310283053908,0.014480329527250266,0.016689825923357157,0.06254296188962886,0.03834275535446509,0.04196939575278989,0.026998937409104026,0.027793502847462716,0.10593935189412407,0.08230008551968808,0.08954101286679553,0.06779570983761732,0.06959581065936836,0.05608199831434129,0.05684416161900227,0.10424241450011903,0.15071933253643566,0.15280031153227197,0.16051717765389445,0.16222676313676707,0.047051213423430036,0.02179383044164079,0.014302361731949273,5.948037591369789
1.6,0.008359607326645781,0.029679790533764457,0.014480299290297613,0.016689771666825937,0.062336048378929525,0.038339720563308186,0.041964663380036335,0.026998909482952534,0.027793469672174363,0.10438597476049703,0.0821655422232116,0.08933847929831507,0.06778319618932505,0.06958101547402351,0.05607989388521821,0.05684180957699209,0.0979972157319941,0.14698227015165408,0.1477989095008734,0.15718622169756544,0.15845981716538715,0.04677788239317421,0.019703997659027063,0.013826354375686387,5.861156019812398
1.6500000000000001,0.008359146080805577,0.029661726644578106,0.01448026610633282,0.016689712119175908,0.06212332469741274,0.03833639680743428,0.04195948306275724,0.026998876942562023,0.02779343102090311,0.1028088662173651,0.082019641841289,0.08911937911659962,0.06776881363980064,0.06956402525662164,0.05607736001094853,0.05683898005336869,0.09203640242441263,0.14312489553024915,0.14270208668783047,0.15369384742385286,0.15453388198466386,0.046313222965926645,0.018150654211359352,0.01354887536988541,5.773728539200075
1.7000000000000002,0.008358670681539787,0.02964311973487267,0.014480229791399832,0.0166896469509343,0.06190485900963969,0.03833276719639787,0.04195382903911155,0.026998839207853544,0.027793386206507852,0.10120999503873418,0.08186193398426207,0.08888313502220002,0.06775236882747114,0.06954461598737093,0.05607433146579412,0.056835601163076954,0.08636848467986942,0.1391608893856758,0.13753218619694083,0.15005358270812563,0.15046580329288628,0.045638341964899916,0.017027040196577886,0.013405484954385026,5.685597101021412
