Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(5),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Ho_relativistic
1.5,0.011524442636738646,0.0404120686081715,0.020152443975393574,0.021850302412587674,0.08367876345870263,0.05373934765972079,0.05667353648402634,0.0369734894960485,0.03764037238213818,0.1252167892867906,0.11721191312641255,0.1228228870665029,0.10041447778461982,0.10222189003193974,0.1066637769232749,0.10802651307680497,0.05201642615687177,0.11403244825311651,0.09820168464289455,0.01042837855714043,5.023860356392979
1.55,0.011523379238305795,0.040369440934615586,0.020152310594770212,0.02185011509399082,0.08316726631129533,0.0537250459990427,0.05665500248484248,0.03697327072762659,0.037640129035568355,0.12162211949941937,0.11652336890216673,0.1219479247329682,0.10026496377825721,0.10205478034882173,0.10584933531856884,0.10711482960612351,0.047691274889381956,0.10385817497763151,0.08822698646499066,0.008919514793289939,4.927616461658914
1.6,0.011522281119676622,0.040325467855109834,0.020152163812682325,0.021849908975219004,0.08264247829022578,0.05370937410679133,0.05663470411012039,0.03697301524048554,0.03763984489318303,0.11802857435060062,0.11578495207423016,0.12101256730930234,0.10009610061890882,0.10186631828674805,0.1050028053498019,0.1061731807658281,0.044134545647261686,0.09432994905246446,0.07906299355540977,0.007628287413076864,4.8369530216895615
1.6500000000000001,0.011521148294888081,0.04028015434929826,0.020152002774531396,0.021849682861302965,0.0821047109420839,0.053692255323027904,0.056612544486136306,0.036972718422692175,0.03763951484215411,0.11444361276249362,0.11499605260451558,0.12001651697979418,0.0999065201479405,0.10165504599091098,0.10412558663806694,0.10520305458394809,0.041254825946064826,0.08545669152917353,0.07069291041333797,0.006534625370050185,4.751611890783605
1.7000000000000002,0.011519980778418494,0.04023350554325973,0.020151826601584058,0.021849435524041474,0.08155428190733874,0.05367361212409781,0.0565884258864283,0.0369723752762206,0.037639133343773314,0.1108744354495147,0.11415625518279932,0.11895973942256144,0.09969487890406921,0.10141954079013728,0.10321912663475753,0.10420597293054866,0.03896416508449688,0.0772382078809707,0.06309165188636912,0.005617950352255936,4.671291138672985
1.75,0.011518778585187144,0.04018552670844256,0.020151634391244625,0.021849165702427804,0.08099151460650264,0.053653366247524155,0.056562249905228304,0.03697198040224427,0.037638694417565816,0.10732796499630053,0.11326534137064051,0.11784246288555367,0.09945986922509656,0.10115842738289518,0.10228491149833416,0.10318348392763342,0.03717915850690819,0.06966643217772239,0.05622755035837677,0.004857940625181803,4.595658049777955
1.8,0.011517541730553867,0.040136223260570376,0.02015142521733477,0.021848872103087124,0.08041673792263472,0.05363143881761538,0.05653391763137451,0.03697152798699764,0.03763819162607099,0.10381082799824466,0.11232329032141677,0.11666517527622154,0.09920023000122423,0.10087038952079708,0.10132445732700593,0.10213715442331683,0.03582175470443097,0.06272664304224343,0.050063910315358305,0.004235062728690847,4.524360427704353
1.85,0.011516270230318634,0.040085600758519566,0.02015119813038021,0.021848553400724644,0.07983028588063319,0.05360775047156197,0.05650332982236474,0.03697101178826729,0.03763761806035705,0.10032933928911068,0.11133027812025495,0.11542861936810349,0.09891475695053047,0.10055418104965025,0.10033930177380282,0.10106856263511685,0.03481981433605584,0.05639862353250103,0.04456039788605102,0.0037309250866364614,4.457036267014556
1.9000000000000001,0.011514964100721115,0.040033664903168724,0.020150952157904325,0.02184820823858431,0.07923249732376651,0.05358222148579828,0.056470387078214605,0.036970425122570344,0.037636966326333614,0.09688948826454802,0.11028667579830209,0.11413378624149167,0.09860231230066575,0.10020863618523874,0.09933099608125229,0.0999792910452915,0.03410745261374992,0.05065774508841234,0.03967426150969167,0.003328496614212505,4.3933218854494465
1.9500000000000002,0.011513623358440228,0.03998042153622044,0.020150686304728573,0.02184783522891785,0.07862371558789313,0.05355477190240725,0.056434990014788085,0.036969760853075496,0.03763622853192325,0.09349692729534088,0.10919304608532597,0.11278190708709006,0.09826183377548242,0.09983267891921196,0.09830109756819456,0.09887091962658498,0.033625196027259344,0.04547596244413988,0.035361386303487424,0.0030122242686123043,4.332858630921005
