Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_total_Hg_relativistic
1.05,0.00912665668019987,0.03241788648869768,0.015822971407431177,0.017880693612398482,0.06974045770548003,0.04188903990303176,0.04532246256456052,0.02921525403856026,0.029973662457571652,0.12960162914950493,0.09205155340673968,0.0996224338629701,0.07532470224124124,0.07718720745702508,0.06492836047274582,0.06581692323819152,0.17911855928876344,0.2024065743849886,0.21400760308256803,0.22002006329329135,0.2224680049159029,0.03430600163686954,7.312414308610778
1.1,0.00912626847136381,0.032402526161310743,0.015822956687273355,0.01788066920045235,0.06955362782325984,0.041887515996903116,0.04532021169542139,0.029215246569089127,0.029973653745809768,0.12801258762913836,0.09197346005522158,0.09950791734184991,0.07532014867463636,0.0771818486241842,0.06492727048088114,0.06581568167362965,0.16860294195072814,0.1985138689280891,0.20842954097932923,0.21379713290770536,0.2150603298169416,0.03427685903435406,7.187612764345157
1.1500000000000001,0.009125862231784255,0.03238646004841316,0.015822939830554345,0.017880641239757397,0.0693586744482977,0.041885773608996923,0.045317639060002746,0.02921523722202566,0.029973642845331414,0.12637182507435707,0.09188493904934963,0.09937835451127111,0.07531452235515139,0.07717523238748109,0.06492583252797886,0.06581404607345152,0.15833962855476255,0.19432968473409595,0.2025169874326533,0.20731331257907015,0.2074626213181818,0.03421664340108738,7.058927982624576
1.2000000000000002,0.009125437964933618,0.032369689323560026,0.015822920640712387,0.017880609404029336,0.06915567294113593,0.041883793365796534,0.04531471634698408,0.029215225641148857,0.029973629341283118,0.1246820413528762,0.09178523781956328,0.09923271488741198,0.07530764301648193,0.07716714909097566,0.06492396393864985,0.06581192370724254,0.1483748164918655,0.1898690620554047,0.19630315420275568,0.20061635812404996,0.19973009310565648,0.034006990205517125,6.926897413331508
1.25,0.009124995674438122,0.03235221521118868,0.015822898912764956,0.01788057335310221,0.06894470160560238,0.04188155519687457,0.04531141426657234,0.02921521142301477,0.029973612763926377,0.12294598916952006,0.09167360525957911,0.09906998021987133,0.07529931244103033,0.07715736863057161,0.06492156927446117,0.06580920780602834,0.13874902051855562,0.1851501313952821,0.18982450024488248,0.19375274972451467,0.1919140356162068,0.03358838972604289,6.792155152190872
1.3,0.009124535364077742,0.03233403898645371,0.015822874433349485,0.017880532733008304,0.06872584163788999,0.041879038355271396,0.04530770258496468,0.029215194113277266,0.029973592584386196,0.12116646680453509,0.09154929521679234,0.09888914997291079,0.07528931420005355,0.0771456402529795,0.06491853962718913,0.0658057768545686,0.12949701130921482,0.18019372473913772,0.1831199204996484,0.18676697809349546,0.18406149626734272,0.032941012885068226,6.655384675480949
1.35,0.009124057037786121,0.03231516197505519,0.015822846980765717,0.017880487176061242,0.06849917707389391,0.041876221438527754,0.04530355015985924,0.029215173202936446,0.029973568210320437,0.11934631082735943,0.09141156993546765,0.09868924666602967,0.07527741353950242,0.0771316925309936,0.06491475204918054,0.06580149404458989,0.12064783894488014,0.17502295774007964,0.1762299463115293,0.17970103682629673,0.17621515473396257,0.032070719826979885,6.517284096593913
1.4000000000000001,0.009123560699650507,0.03229558555306023,0.01582281632501972,0.017880436300942285,0.06826479473485635,0.041873082410346846,0.04529892497696581,0.029215148124524103,0.029973538981521254,0.117488388812264,0.09125970343622926,0.09846932104519428,0.07526335741617861,0.07711523351937645,0.06491006913710032,0.06579620690544613,0.11222493365665091,0.16966279540918533,0.16919597803604375,0.17259408420712383,0.16841333924447455,0.030999046003658236,6.378541155048138
1.4500000000000002,0.009123046353911674,0.03227531114671791,0.015822782227869498,0.01788037971278975,0.06802278417137027,0.04186959862286029,0.04529379418746685,0.029215118248235736,0.029973504165460026,0.11559559208178016,0.09109298481600955,0.09822845705774529,0.075246874687093,0.07709595109346992,0.0649043387817676,0.06578974712442985,0.10424627534018291,0.16413961289906867,0.1620595665302417,0.16548224082512686,0.16069014121632788,0.02975617690835789,6.239815642668646
1.5,0.009122514004963842,0.03225434023226755,0.01582274444287225,0.01788031700329158,0.06777323760579503,0.04186574683947191,0.0452881241463785,0.029215082878018786,0.02997346295278739,0.11367082850320928,0.09091072145335131,0.09796577660586296,0.0752276764531672,0.0770735134704983,0.06489739409298256,0.06578193056451406,0.09672462283986272,0.15848076176679207,0.1548617563581994,0.15839849361358366,0.1530755954876773,0.028376129997472833,6.101727444145912
