E0_keV,Eprime_keV,E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_au,Q_absolute_au
662.0,640.6955480811271,21.304451918872928,30.0,337.7898333056429,-36.66545277172694,36.66545277172694
662.0,427.9943446419571,234.00565535804287,30.0,361.4931478817059,40.25333461952394,40.25333461952394
662.0,335.63708081673104,326.36291918326896,30.0,407.4909254517098,55.1375892214242,55.1375892214242
662.0,309.57143096871346,352.42856903128654,30.0,423.22382843083517,57.38882671868172,57.38882671868172
662.0,234.31427881453135,427.68572118546865,30.0,473.7914067673327,60.19717894455568,60.19717894455568
662.0,589.4826814005601,72.51731859943993,30.0,331.39492132465136,-14.454698903296082,14.454698903296082
662.0,613.0435300831788,48.95646991682122,30.0,333.3764349793497,-24.587686853186668,24.587686853186668
662.0,196.2655014869168,465.73449851308317,30.0,501.719704619342,59.958824759092295,59.958824759092295
662.0,202.4330491961982,459.5669508038018,30.0,497.1014336838258,60.05971099457289,60.05971099457289
662.0,405.34436822162314,256.65563177837686,30.0,371.1779305885285,45.004370001351205,45.004370001351205
662.0,645.3163350505316,16.68366494946838,30.0,338.7419115076107,-38.68756652351058,38.68756652351058
662.0,312.8149363419545,349.1850636580455,30.0,421.21023494134704,57.14900027068186,57.14900027068186
662.0,358.81444332995574,303.18555667004426,30.0,394.42215514227155,52.472748201349916,52.472748201349916
662.0,567.5491736248929,94.45082637510711,30.0,331.05010722747886,-5.294150378339282,5.294150378339282
662.0,324.70827106017157,337.29172893982843,30.0,413.96042273794166,56.17313219404591,56.17313219404591
662.0,336.9782793375915,325.0217206624085,30.0,406.7101218018869,55.001031101124006,55.001031101124006
662.0,239.88329814836604,422.11670185163393,30.0,469.82292071063307,60.149800970602804,60.149800970602804
662.0,341.6514232576209,320.3485767423791,30.0,404.0125594792331,54.50866215174811,54.50866215174811
662.0,415.50193555185916,246.49806444814084,30.0,366.6933486289927,42.96771336754875,42.96771336754875
662.0,404.12659907870403,257.87340092129597,30.0,371.73057846250816,45.23841680822644,45.23841680822644
662.0,205.8391882204941,456.16081177950593,30.0,494.5653933502865,60.10562971425714,60.10562971425714
662.0,493.812106474692,168.18789352530803,30.0,340.4125835407456,22.070154121851036,22.070154121851036
662.0,209.83301758447342,452.1669824155266,30.0,491.60518404782226,60.15037097174632,60.15037097174632
662.0,251.21112585041766,410.78887414958234,30.0,461.85270686720406,59.98206257828959,59.98206257828959
662.0,213.61867618036715,448.3813238196328,30.0,488.8128451897238,60.18352683711985,60.18352683711985
662.0,445.611437256448,216.38856274355197,30.0,354.77827001007324,36.02615085270805,36.02615085270805
662.0,198.97957300470344,463.0204269952966,30.0,499.683282828888,60.00600165549567,60.00600165549567
662.0,647.0255737506064,14.97442624939356,30.0,339.1093631571044,-39.435177215862815,39.435177215862815
662.0,607.404703223531,54.59529677646901,30.0,332.75145294430956,-22.142840361518058,22.142840361518058
662.0,251.5109007156774,410.4890992843226,30.0,461.6436928210117,59.976284429515566,59.976284429515566
