Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(2),J_3d(2),J_total_Titanium
2.6,0.038101236049831726,0.08277236713720773,0.019688795927819993,0.07409743195272553,0.032163081074638264,0.04857699144622707,0.0012834481373260305,0.07620247209966345,0.16554473427441546,0.4445845917163532,0.039377591855639986,0.19297848644782958,0.002566896274652061,0.09715398289245414,1.018408755561008
2.6500000000000004,0.03803482285696863,0.08086443057145445,0.019580357461263014,0.07374048020630511,0.029590097624701692,0.04605862076430973,0.0012311606277170867,0.07606964571393726,0.1617288611429089,0.44244288123783065,0.03916071492252603,0.17754058574821016,0.0024623212554341733,0.09211724152861946,0.9915222515494667
2.7,0.03796729878408782,0.07897080994401137,0.01951272483112475,0.07337161202878684,0.027214123113010594,0.04367139546592715,0.0011912750340263001,0.07593459756817564,0.15794161988802274,0.440229672172721,0.0390254496622495,0.16328473867806356,0.0023825500680526002,0.0873427909318543,0.9661414189691393
2.75,0.03789867249477692,0.07709281709277077,0.019474862011733065,0.07299094167252851,0.02502423934643363,0.04140894834814766,0.0011615073065943963,0.07579734498955384,0.15418563418554154,0.43794565003517105,0.03894972402346613,0.15014543607860176,0.0023230146131887927,0.08281789669629532,0.9421647006218185
2.8000000000000003,0.03782895279268466,0.07523170101764631,0.019457172295130908,0.07259860222306383,0.023009681006389195,0.03926513173882699,0.0011398849355854443,0.07565790558536932,0.15046340203529263,0.435591613338383,0.038914344590261815,0.13805808603833516,0.0022797698711708885,0.07853026347765397,0.9194953849364667
2.85,0.037758148618446306,0.07338864767169734,0.019451383314346517,0.07219474496182689,0.02115990125687811,0.03723402526374638,0.0011247129528382921,0.07551629723689261,0.14677729534339468,0.43316846977096135,0.038902766628693033,0.12695940754126867,0.0022494259056765843,0.07446805052749277,0.8980417129543796
2.9000000000000004,0.03768626904649225,0.07156477991332386,0.01945043414008956,0.07177953868984606,0.01946462559799265,0.03530994027735362,0.0011145426200328786,0.0753725380929845,0.1431295598266477,0.4306772321390764,0.03890086828017912,0.1167877535879559,0.002229085240065757,0.07061988055470723,0.8777169177216165
2.95,0.03761332328175655,0.06976115761440055,0.019448365700769518,0.07135316901653536,0.017913895179035053,0.03348742155669543,0.0011081427980812102,0.0752266465635131,0.1395223152288011,0.42811901409921216,0.038896731401539035,0.10748337107421033,0.0022162855961624203,0.06697484311339086,0.858439207076829
3.0,0.03753932065630131,0.06797877791863359,0.01944021549164411,0.07091583761767356,0.016498100734973327,0.031761246768546005,0.0011044739285136535,0.07507864131260263,0.13595755583726718,0.42549502570604136,0.03888043098328822,0.09898860440983996,0.002208947857027307,0.06352249353709201,0.8401316996431587
3.0500000000000003,0.037464270625871404,0.06621857564390443,0.01942191729203639,0.07046776146660753,0.015208008246730421,0.030126424141696348,0.0011026645138451116,0.07492854125174281,0.13243715128780886,0.4228065687996452,0.03884383458407278,0.09124804948038252,0.002205329027690223,0.060252848283392696,0.8227223227147352
3.1,0.037388182766393184,0.06448142382190887,0.019390206397640827,0.07000917204264721,0.014034777354092216,0.028578188708816975,0.0011019899556673396,0.07477636553278637,0.12896284764381774,0.42005503225588325,0.03878041279528165,0.0842086641245533,0.002203979911334679,0.05715637741763395,0.806143679681291
3.1500000000000004,0.03731106677042952,0.06276813436801248,0.019342530695295193,0.0695403145205352,0.012969973473364302,0.027111997424156827,0.0011018535927051784,0.07462213354085905,0.12553626873602497,0.4172418871232112,0.038685061390590386,0.07781984084018581,0.002203707185410357,0.05422399484831365,0.7903328936645954
3.2,0.03723293244360235,0.06107945887392502,0.01927696775732036,0.06906144694477595,0.012005574493121297,0.025723523413525178,0.001101769773283722,0.0744658648872047,0.12215891774785004,0.4143686816686557,0.03855393551464072,0.07203344695872778,0.002203539546567444,0.051447046827050355,0.7752314331506969
3.25,0.03715378970099301,0.05941608951554353,0.019192148008632115,0.06857283939249725,0.011133972842669173,0.024408649570501838,0.0011013487952217086,0.07430757940198603,0.11883217903108706,0.4114370363549835,0.03838429601726423,0.06680383705601503,0.0022026975904434172,0.048817299141003676,0.7607849245927829
3.3000000000000003,0.03707364856352953,0.05777866006812821,0.0190871839193358,0.06807477312839315,0.0103479736508524,0.0231634616766925,0.0011002835492616501,0.07414729712705906,0.11555732013625641,0.40844863877035886,0.0381743678386716,0.0620878419051144,0.0022005670985233003,0.046326923353385,0.7469429562293686
3.35,0.036992519154369054,0.0561677470208507,0.018961605095556087,0.06756753975516146,0.009640789638810557,0.02198424119322786,0.0010983377083589442,0.07398503830873811,0.1123354940417014,0.40540523853096877,0.037923210191112174,0.05784473783286334,0.0021966754167178884,0.04396848238645572,0.7336588767085575
3.4000000000000004,0.03691041169528277,0.054583870782689885,0.01881529907911745,0.06705144036270395,0.009006033320090968,0.02086745784482779,0.001095335313405542,0.07382082339056555,0.10916774156537977,0.40230864217622375,0.0376305981582349,0.054036199920545806,0.002190670626811084,0.04173491568965558,0.7208895915274164
3.45,0.0368273365030498,0.053027496971641656,0.01864845761985814,0.06652678467920255,0.008437707015725425,0.019809762095932004,0.001091151615449072,0.0736546730060996,0.10605499394328331,0.3991607080752153,0.03729691523971628,0.050626242094352555,0.002182303230898144,0.03961952419186401,0.7085953597814292
