Q_signed_au,Q_absolute_au,Eprime_keV,E0_keV,E0_minus_Eprime_keV,Eprime_minus_E0_keV,theta_deg,q_gamma_keV_c
-3.1885631047585448,3.1885631047585448,576.464694829639,662.0,85.53530517036097,-85.53530517036097,27.69108608260219,307.7875628542037
-32.15718107693081,32.15718107693081,224.23993143295164,662.0,437.7600685670484,-437.7600685670484,120.4577314190049,799.3895879922384
-10.38798133636545,10.38798133636545,468.0837986833404,662.0,193.91620131665962,-193.91620131665962,47.139230418303484,485.5774172481568
-0.40834041350406547,0.40834041350406547,640.6955480811271,662.0,21.304451918872928,-21.304451918872928,13.009520392891622,149.08716607725344
-13.548973625781729,13.548973625781729,427.9943446419571,662.0,234.00565535804287,-234.00565535804287,54.69258690755289,542.1364370554134
4.4100925072607104,4.4100925072607104,335.63708081673104,662.0,326.36291918326896,-326.36291918326896,57.95129358639621,561.3275316180149
-23.939196226683254,23.939196226683254,309.57143096871346,662.0,352.42856903128654,-352.42856903128654,83.03655421728871,695.9792565336518
-31.161233633662118,31.161233633662118,234.31427881453135,662.0,427.68572118546865,-427.68572118546865,114.13734429618242,787.4064711460093
-2.5038309147051434,2.5038309147051434,589.4826814005601,662.0,72.51731859943993,-72.51731859943993,25.171092414240928,281.72913058064427
-1.404030910803398,1.404030910803398,613.0435300831788,662.0,48.95646991682122,-48.95646991682122,20.222487765870028,228.97629020622082
-34.95501681183548,34.95501681183548,196.2655014869168,662.0,465.73449851308317,-465.73449851308317,146.27467220441517,832.3991021645791
-34.334216108285865,34.334216108285865,202.4330491961982,662.0,459.5669508038018,-459.5669508038018,138.79733872493745,825.1534427829994
-15.424546879465465,15.424546879465465,405.34436822162314,662.0,256.65563177837686,-256.65563177837686,59.25301268163896,572.8643901411411
-0.2835995754689342,0.2835995754689342,645.3163350505316,662.0,16.68366494946838,-16.68366494946838,11.465762028240873,131.6397124127558
-23.637384433484375,23.637384433484375,312.8149363419545,662.0,349.1850636580455,-349.1850636580455,82.04753698533628,691.9512862311602
-19.45306257298664,19.45306257298664,358.81444332995574,662.0,303.18555667004426,-303.18555667004426,69.64900327848652,633.8583909246577
-3.6850686010192284,3.6850686010192284,567.5491736248929,662.0,94.45082637510711,-94.45082637510711,29.361779677401085,324.7298835270611
-22.538036362214118,22.538036362214118,324.70827106017157,662.0,337.29172893982843,-337.29172893982843,78.56917317469062,677.1093870946955
-21.416330018351903,21.416330018351903,336.9782793375915,662.0,325.0217206624085,-325.0217206624085,75.19757374875994,661.6725843436337
-30.613436049678963,30.613436049678963,239.88329814836604,662.0,422.11670185163393,-422.11670185163393,110.99560115328582,780.7591556043778
-20.99255384908189,20.99255384908189,341.6514232576209,662.0,320.3485767423791,-320.3485767423791,73.9647689355769,655.7581548800457
-14.575995710104952,14.575995710104952,415.50193555185916,662.0,246.49806444814084,-246.49806444814084,57.17557668135792,559.179559959857
-15.527064152248272,15.527064152248272,404.12659907870403,662.0,257.87340092129597,-257.87340092129597,59.50593397209585,574.4952084049664
72.33862378478575,72.33862378478575,205.8391882204941,662.0,456.16081177950593,-456.16081177950593,13.602003579152393,464.4635897960138
-8.480968203719435,8.480968203719435,493.812106474692,662.0,168.18789352530803,-168.18789352530803,42.515263155600564,447.40901651814903
-33.59228073161055,33.59228073161055,209.83301758447342,662.0,452.1669824155266,-452.1669824155266,131.5568520537478,816.4365561949131
-29.50538378865912,29.50538378865912,251.21112585041766,662.0,410.78887414958234,-410.78887414958234,105.20299125421276,767.1850057099715
-33.21397294434672,33.21397294434672,213.61867618036715,662.0,448.3813238196328,-448.3813238196328,128.33119114946473,811.9670849379457
-12.133478585792743,12.133478585792743,445.611437256448,662.0,216.38856274355197,-216.38856274355197,51.30568964697975,517.6607474814596
-34.68155972685143,34.68155972685143,198.97957300470344,662.0,463.0204269952966,-463.0204269952966,142.76833432908285,829.2127488284107
-0.24134862239532245,0.24134862239532245,647.0255737506064,662.0,14.97442624939356,-14.97442624939356,10.846301194975812,124.61165444744546
-1.6491343556335918,1.6491343556335918,607.404703223531,662.0,54.59529677646901,-54.59529677646901,21.468450512223257,242.43951971144256
-29.47617579372083,29.47617579372083,251.5109007156774,662.0,410.4890992843226,-410.4890992843226,105.05908958229682,766.8247943523968
-0.21730136817632179,0.21730136817632179,648.0420045632865,662.0,13.957995436713531,-13.957995436713531,10.462419256522331,120.24918521346595
-23.816222688797072,23.816222688797072,310.8919047322284,662.0,351.1080952677716,-351.1080952677716,82.63169081839968,694.3404082368946
-25.429085940393392,25.429085940393392,293.6886336616785,662.0,368.3113663383215,-368.3113663383215,88.16808876925424,715.5883425915958
-4.997514278212524,4.997514278212524,545.5235019178918,662.0,116.47649808210815,-116.47649808210815,33.36450158760814,364.15038339485517
49.34970983709853,49.34970983709853,351.5256864139619,662.0,310.4743135860381,-310.4743135860381,31.967337966671888,408.62601874167166
31.279932109468252,31.279932109468252,225.6653824845503,662.0,436.33461751544974,-436.33461751544974,54.35463899156099,561.2925451234596
-2.6850339198958904,2.6850339198958904,585.9431056791864,662.0,76.05689432081363,-76.05689432081363,25.86752475113049,288.9889813912797
-29.00250228368199,29.00250228368199,256.3810941800092,662.0,405.6189058199908,-405.6189058199908,102.78074394839209,760.9653962286474
-15.312032784507062,15.312032784507062,406.6831674906543,662.0,255.31683250934572,-255.31683250934572,58.975940859608066,571.0691124517782
-18.09762357894027,18.09762357894027,374.18834246977974,662.0,287.81165753022026,-287.81165753022026,66.02850223618857,613.985697534368
-29.55101218160183,29.55101218160183,250.7429440981822,662.0,411.2570559018178,-411.2570559018178,105.42862002938351,767.747471907467
-32.92520108089775,32.92520108089775,410.5521994764323,662.0,251.4478005235677,-251.4478005235677,69.35232121520382,644.3002463220353
-33.86428752554395,33.86428752554395,207.11633404246354,662.0,454.88366595753644,-454.88366595753644,134.05156824020312,819.639716288308
-33.96256247684784,33.96256247684784,206.13587302247151,662.0,455.8641269775285,-455.8641269775285,134.99462967749864,820.7948868336239
-7.659211573046934,7.659211573046934,505.37007566100067,662.0,156.62992433899933,-156.62992433899933,40.46843564756399,429.66076667490006
-1.0640538790406786,1.0640538790406786,621.4116123504749,662.0,40.58838764952509,-40.58838764952509,18.27139167345828,207.67441081442308
-11.919846618648236,11.919846618648236,448.3145779356771,662.0,213.6854220643229,-213.6854220643229,50.79629051022383,513.8555196923796
-0.029520042352983115,0.029520042352983115,658.3225898477056,662.0,3.677410152294442,-3.677410152294442,5.322632163520397,61.41521394832937
-3.8129131519137633,3.8129131519137633,565.312676566925,662.0,96.687323433075,-96.687323433075,29.775363401196902,328.88093937303466
-41.680989694124264,41.680989694124264,443.0183858869925,662.0,218.98161411300748,-218.98161411300748,69.25980624169352,653.2928254325951
-3.7581802747697632,3.7581802747697632,566.2674122402274,662.0,95.73258775977263,-95.73258775977263,29.59905287683567,327.1134732055968
-7.6666570797903,7.6666570797903,505.26387952261587,662.0,156.73612047738413,-156.73612047738413,40.487193197598366,429.82576110029163
-0.33433619226537137,0.33433619226537137,643.3701060328729,662.0,18.629893967127146,-18.629893967127146,12.136840575825866,139.2364319079653
29.917104209990676,29.917104209990676,127.60261414094809,662.0,534.397385859052,-534.397385859052,72.71842069633041,635.875801334005
-2.153731016860589,2.153731016860589,596.5521189683582,662.0,65.44788103164183,-65.44788103164183,23.74957372855492,266.7789663176039
-4.908365213107973,4.908365213107973,546.9612954816488,662.0,115.03870451835121,-115.03870451835121,33.10709432273721,361.667262508842
-1.2889680552560163,1.2889680552560163,615.7957405116233,662.0,46.20425948837669,-46.20425948837669,19.595664724622868,222.16094631303787
-36.509938552321245,36.509938552321245,315.03618015442294,662.0,346.96381984557706,-346.96381984557706,92.80284430583828,746.9190728310385
