Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_total_Magnesium
1.75,0.0692566176258772,0.09441278066416238,0.01155146453099033,0.13375958368988625,0.1385132352517544,0.18882556132832476,0.8025575021393174,0.02310292906198066,1.1529992277813772
1.8,0.06897021782616065,0.08827586531268923,0.010681090530324809,0.1301922967627906,0.1379404356523213,0.17655173062537846,0.7811537805767436,0.021362181060649618,1.117008127915093
1.85,0.06867755423022226,0.0824402081259499,0.009851985406950328,0.12662084475418434,0.13735510846044452,0.1648804162518998,0.759725068525106,0.019703970813900656,1.081664564051351
1.9000000000000001,0.06837875811252012,0.07690282088430658,0.009067221080400171,0.12305511014685235,0.13675751622504023,0.15380564176861317,0.7383306608811141,0.018134442160800342,1.047028261035568
1.9500000000000002,0.06807396222150838,0.07165926415163158,0.008328490384715868,0.11950430405192636,0.13614792444301677,0.14331852830326317,0.7170258243115581,0.016656980769431735,1.0131492578272698
2.0,0.06776330065968714,0.06670383602827176,0.007636385480774285,0.11597694297826026,0.13552660131937427,0.13340767205654352,0.6958616578695616,0.01527277096154857,0.9800687022070279
2.0500000000000003,0.06744690876464775,0.06202975183770432,0.006990637188636949,0.11248083745794886,0.1348938175292955,0.12405950367540863,0.6748850247476932,0.013981274377273898,0.9478196203296713
2.1,0.06712492299143816,0.057629313551672355,0.00639031714387141,0.1090230910316666,0.13424984598287631,0.11525862710334471,0.6541385461899996,0.01278063428774282,0.9164276535639635
2.15,0.06679748079651229,0.05349406810272428,0.005834006039960835,0.10561010812136329,0.13359496159302459,0.10698813620544856,0.6336606487281797,0.01166801207992167,0.8859117586065746
2.2,0.06646472052347353,0.04961495403792306,0.0053199318060601795,0.10224760937519302,0.13292944104694707,0.09922990807584613,0.6134856562511581,0.010639863612120359,0.8562848689860717
2.25,0.06612678129077502,0.04598243623305974,0.004846081685272851,0.09894065315201833,0.13225356258155005,0.09196487246611948,0.59364391891211,0.009692163370545702,0.8275545173303253
2.3000000000000003,0.06578380288149939,0.04258662861405762,0.004410292019857931,0.09569366191295765,0.13156760576299878,0.08517325722811524,0.574161971477746,0.008820584039715862,0.7997234185085758
2.35,0.06543592563530713,0.03941740502322141,0.00401031924329447,0.09251045239875122,0.13087185127061426,0.07883481004644281,0.5550627143925073,0.00802063848658894,0.7727900141961533
2.4000000000000004,0.06508329034261556,0.03646449852495697,0.0036438952053372926,0.08939426858874708,0.13016658068523113,0.07292899704991394,0.5363656115324824,0.007287790410674585,0.7467489796783021
2.45,0.06472603814104896,0.03371758957133828,0.003308769564632101,0.08634781655560314,0.12945207628209793,0.06743517914267656,0.5180868993336188,0.006617539129264202,0.7215916938876575
2.5,0.06436431041418358,0.03116638354540839,0.0030027416033697727,0.08337330044584025,0.12872862082836717,0.06233276709081678,0.5002398026750415,0.0060054832067395455,0.697306673800965
2.5500000000000003,0.06399824869259901,0.028800678272460526,0.002723683465958424,0.08047245892750576,0.12799649738519803,0.05760135654492105,0.4828347535650346,0.005447366931916848,0.6738799744270705
2.6,0.06362799455723804,0.026610422139820105,0.002469556506505509,0.0776466015504963,0.12725598911447608,0.05322084427964021,0.4658796093029778,0.004939113013011018,0.6512955557101051
2.6500000000000004,0.06325368954507118,0.024585763496829047,0.0022384221505523253,0.07489664456127026,0.12650737909014237,0.04917152699365809,0.4493798673676216,0.0044768443011046506,0.6295356177525266
2.7,0.06287547505705811,0.02271709202165829,0.002028448434390093,0.07222314580101155,0.12575095011411622,0.04543418404331658,0.4333388748060693,0.004056896868780186,0.6085809058322823
2.75,0.062493492268395935,0.020995072742893216,0.0018379131780502814,0.06962633839447067,0.12498698453679187,0.04199014548578643,0.417758030366824,0.0036758263561005628,0.5884109867455029
2.8000000000000003,0.06210788204104371,0.019410673393988803,0.0016652045724559663,0.06710616300573767,0.12421576408208743,0.038821346787977606,0.402636978034426,0.0033304091449119326,0.5690044980494029
2.85,0.06171878483851252,0.01795518575987871,0.0015088198136601824,0.06466229849736602,0.12343756967702504,0.03591037151975742,0.3879737909841961,0.003017639627320365,0.550339371808299
2.9000000000000004,0.061326340642911405,0.01662024164921498,0.0013673622939918677,0.062294190881034966,0.12265268128582281,0.03324048329842996,0.3737651452862098,0.0027347245879837355,0.5323930344584463
2.95,0.06093068887424088,0.015397824094645832,0.0012395377578778516,0.06000108049189518,0.12186137774848176,0.030795648189291664,0.3600064829513711,0.002479075515755703,0.5151425844049002
3.0,0.06053196831192689,0.014280274348711411,0.0011241497459975307,0.05778202735554868,0.12106393662385379,0.028560548697422822,0.34669216413329207,0.0022482994919950615,0.4985649489465638
3.0500000000000003,0.06013031701859019,0.013260295205644061,0.0010200945824759534,0.055635934746971524,0.12026063403718038,0.026520590411288122,0.3338156084818291,0.0020401891649519067,0.4826370220952495
3.1,0.05972587226604712,0.012330951140686539,0.0009263561035920066,0.0535615709652974,0.11945174453209424,0.024661902281373077,0.3213694257917844,0.0018527122071840133,0.46733578481243576
3.1500000000000004,0.059318770463539665,0.011485665719395455,0.0008420002808605368,0.05155758936793305,0.11863754092707933,0.02297133143879091,0.3093455362075983,0.0016840005617210737,0.4526384091351896
3.2,0.058909147088193586,0.010718216690515845,0.0007661698545325449,0.049622546722629626,0.11781829417638717,0.02143643338103169,0.2977352803357778,0.0015323397090650898,0.4385223476022617
3.25,0.05849713661770446,0.010022729137985367,0.0006980790640108084,0.047754919947498316,0.11699427323540892,0.020045458275970734,0.2865295196849899,0.0013961581280216167,0.4249654093243912
3.3000000000000003,0.05808287246525231,0.009393667030914368,0.0006370085381051518,0.045953121317102184,0.11616574493050462,0.018787334061828736,0.2757187279026131,0.0012740170762103036,0.41194582397115675
3.35,0.05766648691664571,0.00882582347533492,0.0005823003893671852,0.04421551221818588,0.11533297383329141,0.01765164695066984,0.2652930733091153,0.0011646007787343704,0.39944229487181093
3.4000000000000004,0.05724811106969652,0.008314309938367667,0.0005333535420443798,0.042540415541780945,0.11449622213939303,0.016628619876735334,0.25524249325068565,0.0010667070840887597,0.3874340423509028
3.45,0.05682787477582633,0.007854544684385222,0.0004896193117273275,0.04092612679975048,0.11365574955165265,0.015709089368770444,0.2455567607985029,0.000979238623454655,0.37590083834238064
3.5,0.056405906583905006,0.007442240633851247,0.00045059724591163796,0.039370924053665206,0.11281181316781001,0.014884481267702494,0.23622554432199122,0.0009011944918232759,0.36482303324932697
3.5500000000000003,0.055982333686321446,0.0070733928288259995,0.0004158312279466763,0.03787307674254379,0.11196466737264289,0.014146785657651999,0.22723846045526275,0.0008316624558933526,0.354181575941451
3.6,0.05555728186728543,0.006744265664645158,0.0003849058417782811,0.036430853493703175,0.11111456373457086,0.013488531329290315,0.21858512096221905,0.0007698116835565622,0.3439580277096368
3.6500000000000004,0.05513087545335845,0.006451380024957222,0.00035744299116940417,0.03504252899797624,0.1102617509067169,0.012902760049914443,0.21025517398785742,0.0007148859823388083,0.3341345709268276
3.7,0.05470323726621025,0.00619150043707512,0.00033309876442232355,0.03370639002705238,0.1094064745324205,0.01238300087415024,0.20223834016231426,0.0006661975288446471,0.32469401309772966
3.75,0.05427448857759603,0.005961622346367879,0.0003115605338021715,0.032420740666837596,0.10854897715519206,0.011923244692735757,0.1945244440010256,0.000623121067604343,0.31561978691655773
3.8000000000000003,0.05384474906654797,0.005758959592082365,0.0002925442776907892,0.031183906836646815,0.10768949813309595,0.01151791918416473,0.18710344101988088,0.0005850885553815784,0.30689594689252314
3.85,0.05341413677877287,0.005580932152426122,0.0002757921128345554,0.029994240159835584,0.10682827355754573,0.011161864304852245,0.1799654409590135,0.0005515842256691108,0.2985071630470806
3.9000000000000004,0.05298276808824566,0.005425154213838197,0.00026107002377121543,0.028850121247238514,0.10596553617649132,0.010850308427676394,0.17310072748343108,0.0005221400475424309,0.2904387121351412
3.95,0.05255075766098722,0.005289422608000911,0.0002481657765339385,0.02774996245057493,0.10510151532197444,0.010578845216001822,0.1664997747034496,0.000496331553067877,0.2826764667944937
4.0,0.05211821842101219,0.005171705650177135,0.00023688700396028568,0.026692210138860032,0.10423643684202438,0.01034341130035427,0.1601532608331602,0.00047377400792057137,0.2752068829834594
4.05,0.051685261518431176,0.005070132403773155,0.00022705945031966464,0.02567534654686462,0.10337052303686235,0.01014026480754631,0.15405207928118772,0.0004541189006393293,0.2680169860262357
4.1000000000000005,0.05125199629968926,0.0049829823885085165,0.00021852536346804243,0.02469789124082568,0.10250399259937852,0.009965964777017033,0.14818734744495407,0.00043705072693608487,0.2610943555482857
4.15,0.05081853027992098,0.004908675743108787,0.00021114202330637066,0.023758402242946616,0.10163706055984197,0.009817351486217573,0.1425504134576797,0.0004222840466127413,0.25442710955035197
4.2,0.05038496911739965,0.004845763847918365,0.00020478039593077412,0.022855476852752153,0.1007699382347993,0.00969152769583673,0.1371328611165129,0.00040956079186154823,0.24800388783901048
4.25,0.04995141659005719,0.004792920408158384,0.00019932390349615807,0.021987752200088518,0.09990283318011438,0.009585840816316768,0.13192651320053111,0.00039864780699231615,0.2418138350039546
4.3,0.049517974574048544,0.00474893299463629,0.000194667300453861,0.02115390556148606,0.09903594914809709,0.00949786598927258,0.12692343336891637,0.000389334600907722,0.23584658310719375
4.3500000000000005,0.04908474302433273,0.004712695035463003,0.00019071564745594212,0.0203526544687306,0.09816948604866546,0.009425390070926005,0.1221159268123836,0.00038143129491188425,0.23009223422688696
4.4,0.04865181995724097,0.004683198249671548,0.00018738337483457926,0.019582756635817246,0.09730363991448195,0.009366396499343095,0.11749653981490348,0.0003747667496691585,0.22454134297839767
4.45,0.04821930143500028,0.004659525511485646,0.00018459342815844675,0.01884300972798102,0.09643860287000056,0.009319051022971292,0.11305805836788613,0.0003691868563168935,0.21918489911717487
4.5,0.04778728155217939,0.004640844132292381,0.00018227648893449197,0.018132250994206647,0.09557456310435879,0.009281688264584762,0.10879350596523987,0.00036455297786898395,0.21401431031205242
