event_number,record_index,vlm,pro,pdg,theta_deg,et_keV,Eprime_k_keV,Eprime_from_E0_minus_et_keV,difference_k_minus_E0_minus_et_keV,px,py,pz,theta_bin_left_deg,theta_bin_right_deg,theta_bin_center_deg
323596,3,3,2013,22,4.6099409101154585,2.7628724199737498,659.2371275800263,659.2371275800263,0.0,-0.05428977806058552,-0.9967649488107302,-0.059264296338308105,4.0,6.0,5.0
323616,3,3,2013,22,34.382343178539735,122.18245074626566,539.8175492537343,539.8175492537343,0.0,0.04747783093676225,-0.8252875647905856,-0.5627133292997112,34.0,36.0,35.0
323624,3,3,2013,22,2.418199214142622,0.7628509347502588,661.2371490652498,661.2371490652497,1.1368683772161603e-13,-0.026192955078747665,-0.9991094784730914,0.033078378579821,2.0,4.0,3.0
323627,3,3,2013,22,27.808729022125565,86.15635387786912,575.8436461221308,575.8436461221308,0.0,-0.4458205755636935,-0.8845099108625357,-0.13742718795786438,26.0,28.0,27.0
323643,3,3,2013,22,143.3703653663221,96.18630194351019,198.49160708905433,565.8136980564898,-367.32209096743543,0.38445241458455204,0.8025089872398692,-0.45626271633714194,142.0,144.0,143.0
323644,3,3,2013,22,4.311198659893769,2.4178136717780685,659.582186328222,659.582186328222,0.0,-0.07492368863485706,-0.9971704596243374,-0.006124976239530404,4.0,6.0,5.0
323646,3,3,2013,22,19.96423853556735,47.81549173547994,614.1845082645201,614.1845082645201,0.0,0.34130916674663964,-0.9399059114191584,-0.00921576768565111,18.0,20.0,19.0
323651,3,3,2013,22,48.61993670484483,201.99323584777545,460.00676415222455,460.00676415222455,0.0,0.3626571341885906,-0.6610508157900347,0.6568802188873161,48.0,50.0,49.0
323654,3,3,2013,22,107.78935742772116,416.0223544625042,245.9776455374958,245.9776455374958,0.0,0.11721224964396337,0.30551844362945046,-0.9449443206536772,106.0,108.0,107.0
323657,3,3,2013,22,35.258883835486735,127.11842384059769,534.8815761594024,534.8815761594024,0.0,-0.2893527059660474,-0.8165520577259511,-0.4995175157826212,34.0,36.0,35.0
323691,3,3,2013,22,62.47528448746575,271.85614036125565,390.14385963874435,390.14385963874435,0.0,-0.7063208964428026,-0.4621311975268454,-0.5362327363380939,62.0,64.0,63.0
323713,3,3,2013,22,75.1455639354896,324.8266068430305,337.17339315696955,337.1733931569695,5.684341886080802e-14,0.6123479127882143,-0.2563642103448853,0.7478685882948692,74.0,76.0,75.0
323733,3,3,2013,22,39.09796505610161,148.86278090092452,513.1372190990755,513.1372190990755,0.0,-0.37411683733520157,-0.7760688059561821,-0.5076945936722708,38.0,40.0,39.0
323736,3,3,2013,22,35.95549091637032,131.0524989408063,530.9475010591938,530.9475010591937,1.1368683772161603e-13,-0.5068310617049101,-0.8094733594730201,0.29643743892183433,34.0,36.0,35.0
323738,3,3,2013,22,13.805745797851152,23.88255842768272,638.1174415723173,638.1174415723173,0.0,0.23619411456219894,-0.9711103541541228,-0.03401500111469822,12.0,14.0,13.0
323740,3,3,2013,22,78.93871258108686,338.59172417736966,323.40827582263034,323.40827582263034,0.0,-0.9033969862484408,-0.1918589004655611,-0.38348930565190525,78.0,80.0,79.0
323765,3,3,2013,22,19.55663461104868,46.03483669819563,615.9651633018044,615.9651633018044,0.0,-0.2946610063818073,-0.9423110757673681,-0.15882294482915923,18.0,20.0,19.0
323767,3,3,2013,22,23.004446577421398,61.8324927905366,600.1675072094635,600.1675072094635,0.0,0.0659034032938148,-0.9204745270470034,-0.38520564182250533,22.0,24.0,23.0
323769,3,3,2013,22,25.319962266277003,73.26992591595128,588.7300740840487,588.7300740840487,0.0,-0.36085799505207805,-0.9039336002039264,0.22953333925458966,24.0,26.0,25.0
323782,3,3,2013,22,117.75729185322868,433.6337469487911,228.36625305120887,228.3662530512089,-2.842170943040401e-14,-0.8742085935520942,0.465727146140682,-0.1373228324326478,116.0,118.0,117.0
323790,3,3,2013,22,33.77337060466786,118.7648348210989,543.2351651789011,543.2351651789011,0.0,0.38231882649236476,-0.831242929375481,0.4035684666481886,32.0,34.0,33.0
323791,3,3,2013,22,86.29344871765794,362.6898029607669,299.3101970392331,299.3101970392331,0.0,0.8873916909780009,-0.06464641094673651,0.4564612013467407,86.0,88.0,87.0
323805,3,3,2013,22,73.89980269091093,320.09950627908876,341.90049372091124,341.90049372091124,0.0,0.40210506396281454,-0.2773179619294198,0.8725859645483496,72.0,74.0,73.0
323819,3,3,2013,22,18.21089363438665,40.338525829146434,621.6614741708536,621.6614741708536,0.0,0.30748995730936596,-0.9499126501828778,0.055820096528273404,18.0,20.0,19.0
323827,3,3,2013,22,112.00609248305744,423.95039728224083,238.04960271775923,238.04960271775917,5.684341886080802e-14,0.82531888294049,0.37470518236295747,-0.4224272337009115,112.0,114.0,113.0
323833,3,3,2013,22,36.78459303975583,135.74455305168752,526.2554469483125,526.2554469483125,0.0,0.2815015515038254,-0.8008924207508956,0.5285150961748487,36.0,38.0,37.0
323860,3,3,2013,22,15.759240636828915,30.73986777205151,631.2601322279485,631.2601322279485,0.0,0.24843645134142783,-0.9624114461463299,0.10974305431966191,14.0,16.0,15.0
323890,3,3,2013,22,25.59109268694578,74.6462734019645,587.3537265980356,587.3537265980355,1.1368683772161603e-13,0.3929442799386148,-0.9018996883957975,0.1793648375102736,24.0,26.0,25.0
323909,4,3,2013,22,19.85309490817223,340.9407430478804,340.94074304788046,321.0592569521196,19.881486095760863,0.045402855784991585,-0.9405664630319727,-0.3365610038404507,18.0,20.0,19.0
323927,3,3,2013,22,16.651781252380406,34.11200813727944,627.8879918627206,627.8879918627206,0.0,-0.2257295561803866,-0.9580639913180652,0.17652069568836384,16.0,18.0,17.0
323928,3,3,2013,22,17.41641291672568,37.11372284111791,624.8862771588821,624.8862771588821,0.0,0.07751127558821193,-0.9541546263085353,-0.2891037032808602,16.0,18.0,17.0
323939,3,3,2013,22,27.97099047080385,87.01471379224313,574.9852862077569,574.9852862077569,0.0,-0.15429083375138894,-0.8831851786677417,-0.4429201720422433,26.0,28.0,27.0
323959,3,3,2013,22,80.04342646720444,342.4259412671885,319.5740587328115,319.5740587328115,0.0,-0.5480591553816215,-0.17290170775896985,-0.8183740963987163,80.0,82.0,81.0
