Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(3),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(1),J_7s1/2(2),J_total_U_relativistic
1.0,0.007401415898256731,0.026651641304745014,0.012807264454417197,0.015245413297195845,0.057670232563193306,0.03407773028610718,0.03802450303538352,0.024365701596275973,0.02521174349328675,0.10799244255584005,0.07260994765924085,0.08047104259700842,0.059393399652008454,0.061158620501512224,0.04749200535779272,0.04817831229522707,0.1741921275749135,0.15139109192256053,0.16684801908353017,0.14434566103049257,0.14903261018292038,0.18849231552455262,0.12896261295910527,0.22984778461509975,0.20560225846563165,0.127443863669555,0.04563122737957363,7.811372219194315
1.05,0.007401206454415548,0.02664342738224224,0.01280725967619718,0.015245403659716767,0.057571045786817446,0.03407725121857315,0.038023678781823625,0.024365699972223202,0.025211741503725106,0.10718584343266822,0.07258847761089493,0.08043549819828535,0.059392745238815214,0.0611578258284716,0.04749198302756219,0.048178287127436444,0.1688438215812351,0.15061832038930578,0.16559783957298477,0.14411375315800085,0.14874847166596558,0.18549976128799986,0.11387263253843993,0.21272030899463776,0.18458511456994567,0.11072849908012602,0.04061604478061611,7.605244424417233
1.1,0.007400986803204436,0.026634815814436726,0.01280725417394925,0.015245392547784689,0.05746721404518997,0.03407669945098985,0.03802272975608431,0.024365697916085984,0.02521173898505716,0.10634672816347249,0.07256387046414847,0.08039481842229287,0.05939192220999707,0.06115682687164458,0.04749195232446846,0.048178252535849335,0.16342540620456608,0.14975206794309134,0.16420617169435686,0.14383359345366603,0.14840635536251895,0.18235945714537055,0.10073919367960074,0.19581259738320791,0.16471391606297756,0.09602039414824956,0.03568981081878347,7.408256285275554
1.1500000000000001,0.007400756945966056,0.026625807033398955,0.012807247877854986,0.015245379818741524,0.057358764559909736,0.03407606809608259,0.03802164421475266,0.024365695340969353,0.02521173583095757,0.1054760121860622,0.07253585824768306,0.08034857871179402,0.059390898591699715,0.061155585059817,0.0474919107637909,0.04817820572993909,0.15795714190360305,0.1487885336058891,0.16266942448131017,0.14349939265612013,0.14799964179119457,0.17908323787052952,0.0894698490894015,0.17931148988841494,0.14615255803294272,0.08310226982118077,0.031012251280645317,7.221344718769987
1.2000000000000002,0.00740051688410538,0.02661640149098577,0.01280724071492199,0.015245365323483497,0.05724572572455121,0.034075349982981847,0.03802040994544619,0.024365692147676976,0.025211731920073054,0.10457464007072982,0.07250416725472399,0.08029634809968834,0.05938963843133079,0.06115405706967793,0.04749185530640393,0.048178143298894714,0.15245887976344033,0.14772447105771128,0.16098511142068575,0.1431053471041302,0.14752177912436623,0.17568305686588653,0.0799447606056864,0.16337966287586803,0.1290134565798004,0.07177880213608318,0.02669115001841978,7.045061068745246
1.25,0.007400266619089673,0.026606599658798337,0.01280723260899384,0.015245348906486798,0.05712812709213171,0.034074537662087255,0.038019014276968854,0.02436568822365537,0.02521172711473827,0.10364358386409367,0.07246851884432556,0.0802376907447132,0.05938810157593788,0.06115219457212608,0.047491782275318514,0.04817806111899513,0.14694995266033445,0.14655722638037622,0.1591518839620605,0.14264572816827636,0.14696639274332307,0.17217094507836114,0.07202389299657617,0.14815363930853834,0.11336185214469849,0.06187479694590836,0.022790705213036392,6.879614499193942
1.3,0.007400006152448468,0.02659640202813828,0.012807223480760447,0.015245330405834322,0.05700599936208845,0.03407362341011574,0.03801744408983664,0.024365683441906427,0.025211721259654214,0.10268384139636859,0.07242863025433423,0.08017216747814147,0.05938624346321728,0.06114994399550318,0.04749168726638322,0.04817795425469926,0.14144907416474417,0.14528476832577947,0.15716954859175786,0.1421149719122653,0.14632739270221096,0.16855896256149103,0.06555370988289942,0.1337430761012679,0.09922125234925529,0.05323320596465844,0.019340574989533434,6.72492262505505
1.35,0.007399735485773553,0.026585809109962014,0.01280721324776887,0.015245309653243506,0.05687937436677366,0.03407259923532981,0.03801568582716261,0.02436567765987011,0.02521171418053144,0.10169643455620364,0.0723842154234505,0.08009933735560441,0.059384014927050637,0.061147246308053,0.04749156505358765,0.04817781685398244,0.13597424579273654,0.14390571097236904,0.15503906789260913,0.1415077668042444,0.1455990764255876,0.16485914367798843,0.060373213371646736,0.1202311235652818,0.08657948063480797,0.045713203846510383,0.01634432819406897,6.580664151179995
1.4000000000000001,0.007399454620718944,0.026574821434833258,0.01280720182443453,0.01524528647409524,0.05674828505747671,0.03407145688294196,0.03801372550589087,0.02436567071827916,0.02521170568270061,0.1006824075372673,0.07233498581980577,0.08001875920821608,0.05938136201936666,0.06114403682176501,0.04749140948951043,0.04817764203856076,0.13054267310165357,0.14241932874702415,0.15276254626437918,0.14081913745716795,0.14477622424813888,0.16108343781025622,0.05631922637302909,0.10767564061024755,0.07539490271572646,0.03918842659324159,0.013786753514169182,6.446330166284876
1.4500000000000002,0.007399163559000865,0.026563439552873765,0.012807189122052866,0.015245260687463867,0.05661276548998199,0.03407018784069077,0.038011548728368795,0.02436566243998786,0.025211695549692773,0.09964282506078931,0.07228065127347348,0.07992999318725034,0.05937822585001314,0.06114024501960626,0.047491213401548965,0.04817742178974972,0.12517069101107503,0.14082556389758907,0.15034320120409095,0.14004452258986758,0.14385418574735007,0.1572436477336061,0.05323086695423487,0.09611105381802583,0.06560250602107984,0.03354540555503299,0.011639879033345514,6.3212719974417935
1.5,0.007398862302397724,0.026551664033712254,0.012807175048811395,0.015245232106148239,0.05647285080967193,0.03406878334458442,0.038009140694246366,0.02436565262877672,0.025211683541792013,0.09857877057828282,0.07222092081034855,0.07983260229672107,0.05937454244620067,0.06113579440797611,0.04749096848465628,0.04817714683080039,0.1198736986162404,0.13912502660229795,0.14778532123773847,0.13917984565386396,0.1428289552013025,0.15335136778624459,0.050953206290612424,0.08555066408063654,0.05711960071582259,0.028682196748893194,0.009867754967304219,6.2047443906562645
1.55,0.00739855085275009,0.02653949546643155,0.012807159509802197,0.015245200536703847,0.05632857723618471,0.034067234384807105,0.03800648621269126,0.024365641068135258,0.025211669394562968,0.09749134445867254,0.07215550348485171,0.07972615390834002,0.05937024263294585,0.061130602396036654,0.047490665191390516,0.04817680650664268,0.11466610364974947,0.1373189879948805,0.14509421175331552,0.13822157685189596,0.14169723490567132,0.1494179237332904,0.04934013543210307,0.07598922707185418,0.04985099086091679,0.024507188807629112,0.008430141084934312,6.095943379940431
1.6,0.007398229211960669,0.026526934459513953,0.012807142407034821,0.01524516577947601,0.056179982047636266,0.03406553171178362,0.03800356971490818,0.02436562752002484,0.025211652817355937,0.09638166216404331,0.0720841092089487,0.07961022125347454,0.05936525193579882,0.06112458020337936,0.047490292620153224,0.048176388662041325,0.10956127663995538,0.13540936646715696,0.14227613010892787,0.1371667855699233,0.14045648548939688,0.14545431593747538,0.048256491438592924,0.06740566001458338,0.04369352956448283,0.020938066623749668,0.0072852687416139535,5.994038625327931
1.6500000000000001,0.0073978973819942735,0.026513981640784848,0.0128071236394496,0.015245127628634104,0.05602710356441689,0.03406366584239747,0.03800037526695042,0.024365611723623733,0.02521163349179221,0.0952508524181994,0.07200644957501513,0.07948438488689646,0.05935949050698928,0.06111763279728741,0.04748983840255316,0.048175879519232856,0.10457151471225452,0.13339870768357726,0.13933821147912817,0.13601318254328218,0.13910496276248968,0.14147116710163138,0.04757951111038912,0.05976575441366139,0.038540022991141204,0.017900906922142384,0.006391845244968198,5.8982002916664324
1.7000000000000002,0.007397555364877803,0.026500637657354532,0.012807103102931372,0.01524508587220684,0.05586998113257247,0.0340616270663576,0.03799688658281167,0.02436559339405651,0.025211611070232343,0.09410005537218846,0.07192223867012891,0.07934823411730446,0.05935287307596816,0.06110965886064461,0.047489288590881,0.04817526355616198,0.09970801488356486,0.1312901588038628,0.13628838695845155,0.1347591513694132,0.13764174099959117,0.13747867553038845,0.04719969147685596,0.05302480077368478,0.034282486186304785,0.015329383859776675,0.005710452138151214,5.807620739139462
1.75,0.007397203162700213,0.026486903175558314,0.012807080690323627,0.015245040292118577,0.055708655106781045,0.03405940545270879,0.03799308703778559,0.02436557222110996,0.025211585174230163,0.0929304207708955,0.07183119387943004,0.0792013683998115,0.059345308925159886,0.06110055079132823,0.04748862754671762,0.048174523386471185,0.0949808566115946,0.12908743746035345,0.13313529546508382,0.13340376925543096,0.1360667228994927,0.13348657455413446,0.04702114147209988,0.04713005557149413,0.030814780653780877,0.01316406573041626,0.005204467891614028,5.7215314264474335
