event_number,record_index,volume,pdg,pro,E0_keV,Eprime_k_keV,energy_transfer_E0_minus_Eprime_keV
576,3,3,22,2013,662.0,401.0962789939179,260.9037210060821
577,3,3,22,2013,662.0,440.697436992021,221.30256300797902
582,3,3,22,2013,662.0,599.8250609257589,62.17493907424114
588,3,3,22,2013,662.0,631.4801976735674,30.51980232643257
606,3,3,22,2013,662.0,289.1587656718925,372.8412343281075
615,3,3,22,2013,662.0,256.8487891128088,405.1512108871912
640,4,2,22,2013,662.0,495.24316209742153,166.75683790257847
655,3,3,22,2013,662.0,503.2353538034365,158.7646461965635
666,3,3,22,2013,662.0,627.3285565004246,34.67144349957539
668,3,3,22,2013,662.0,562.507790698914,99.49220930108595
687,3,3,22,2013,662.0,588.3283664608491,73.67163353915089
695,3,3,22,2013,662.0,191.64872769348753,470.35127230651244
704,3,3,22,2013,662.0,587.459771575231,74.540228424769
739,4,2,22,2013,662.0,284.24873033448756,377.75126966551244
746,3,3,22,2013,662.0,513.6078187916378,148.39218120836222
753,3,3,22,2013,662.0,644.1467597449557,17.853240255044284
761,3,3,22,2013,662.0,450.55779480524126,211.44220519475874
784,3,3,22,2013,662.0,450.279284472956,211.72071552704398
792,3,3,22,2013,662.0,294.6061021716992,367.3938978283008
808,3,3,22,2013,662.0,320.1676714038831,341.8323285961169
811,4,2,22,2013,662.0,194.67449749743542,467.3255025025646
817,3,3,22,2013,662.0,388.5063669502211,273.4936330497789
818,3,3,22,2013,662.0,237.72024255351783,424.27975744648217
819,3,3,22,2013,662.0,503.30859971766586,158.69140028233414
822,3,3,22,2013,662.0,429.18697808562047,232.81302191437953
840,4,2,22,2013,662.0,586.5250215908894,75.47497840911058
846,3,3,22,2013,662.0,417.37347988730784,244.62652011269216
846,4,3,22,2013,662.0,229.4667937778153,432.53320622218473
864,2,2,22,2013,662.0,375.5179142687342,286.4820857312658
900,3,3,22,2013,662.0,240.27488995463844,421.7251100453616
906,3,3,22,2013,662.0,516.751069140033,145.248930859967
913,2,2,22,2013,662.0,221.16662034625764,440.8333796537423
916,4,2,22,2013,662.0,283.75479866275924,378.24520133724076
916,5,2,22,2013,662.0,278.0083028677606,383.9916971322394
917,3,3,22,2013,662.0,484.27593665467185,177.72406334532815
924,3,3,22,2013,662.0,501.1839607131641,160.81603928683592
931,3,3,22,2013,662.0,589.5647245022228,72.43527549777718
937,3,3,22,2013,662.0,399.8077438532829,262.1922561467171
945,3,3,22,2013,662.0,607.2821184057526,54.71788159424739
951,2,2,22,2013,662.0,401.21620941396384,260.78379058603616
952,3,3,22,2013,662.0,335.8541154941283,326.1458845058717
952,4,3,22,2013,662.0,263.1499468030507,398.8500531969493
956,3,3,22,2013,662.0,485.7897559786864,176.2102440213136
966,4,2,22,2013,662.0,444.33029633953396,217.66970366046604
971,4,2,22,2013,662.0,480.5739143772915,181.4260856227085
977,3,3,22,2013,662.0,188.47457249353062,473.5254275064694
977,4,3,22,2013,662.0,148.7819977356929,513.2180022643071
988,3,3,22,2013,662.0,186.53864731029543,475.46135268970454
997,3,3,22,2013,662.0,514.6651105108037,147.33488948919626
997,4,3,22,2013,662.0,240.2804774023868,421.7195225976132
1000,3,3,22,2013,662.0,268.30958585216285,393.69041414783715
1016,3,3,22,2013,662.0,215.2563470576183,446.7436529423817
1049,3,3,22,2013,662.0,630.5758305461623,31.42416945383775
1055,3,3,22,2013,662.0,385.75805448729767,276.24194551270233
1056,3,3,22,2013,662.0,432.9785576955315,229.0214423044685
1063,2,2,22,2013,662.0,272.13551845396677,389.86448154603323
1073,2,2,22,2013,662.0,456.24472646774996,205.75527353225004
1082,3,3,22,2013,662.0,488.460122808782,173.539877191218
1097,3,3,22,2013,662.0,591.0318855324814,70.9681144675186
1102,4,2,22,2013,662.0,245.3712225248009,416.62877747519906
1103,4,2,22,2013,662.0,341.33564029730707,320.66435970269293
1116,3,3,22,2013,662.0,472.09253970755236,189.90746029244764
1117,3,3,22,2013,662.0,415.85670714261823,246.14329285738177
1123,2,2,22,2013,662.0,426.58523232702856,235.41476767297144
1130,3,3,22,2013,662.0,283.2352805092129,378.7647194907871
1167,3,3,22,2013,662.0,329.3775710015078,332.6224289984922
1167,5,2,22,2013,662.0,293.35206327842116,368.64793672157884
1191,3,3,22,2013,662.0,189.14345882534516,472.8565411746548
1197,3,3,22,2013,662.0,270.97357199370254,391.02642800629746
1219,3,3,22,2013,662.0,534.712197804983,127.28780219501698
1224,3,3,22,2013,662.0,391.3665809016249,270.6334190983751
1230,3,3,22,2013,662.0,590.6584797809268,71.34152021907323
1240,3,3,22,2013,662.0,195.532301441239,466.46769855876096
1244,3,3,22,2013,662.0,579.6652835816973,82.33471641830272
1249,4,2,22,2013,662.0,383.1015266286018,278.8984733713982
1260,3,3,22,2013,662.0,650.9026905621215,11.097309437878494
1263,2,2,22,2013,662.0,377.8985214651993,284.1014785348007
1279,2,2,22,2013,662.0,390.2670298948497,271.7329701051503
1294,4,2,22,2013,662.0,186.45591087542294,475.54408912457706
1316,2,2,22,2013,662.0,577.2157568563532,84.78424314364679
1317,3,3,22,2013,662.0,196.76924140713487,465.23075859286513
1317,4,3,22,2013,662.0,138.31601396986608,523.683986030134
1317,6,2,22,2013,662.0,121.30138955468774,540.6986104453123
1322,2,2,22,2013,662.0,578.130617161545,83.86938283845495
1334,3,3,22,2013,662.0,368.55930616392385,293.44069383607615
1339,3,3,22,2013,662.0,262.3676112136957,399.6323887863043
1347,3,3,22,2013,662.0,633.1501063125665,28.84989368743345
1354,3,3,22,2013,662.0,396.6565103869791,265.3434896130209
1366,3,3,22,2013,662.0,288.6763738005178,373.3236261994822
1374,3,3,22,2013,662.0,367.39491700050155,294.60508299949845
1375,3,3,22,2013,662.0,631.6177206576508,30.382279342349193
1440,3,3,22,2013,662.0,331.1078453873091,330.8921546126909
1450,3,3,22,2013,662.0,520.7844357425315,141.2155642574685
1452,3,3,22,2013,662.0,420.68580304663067,241.31419695336933
1469,2,2,22,2013,662.0,226.05314927454683,435.94685072545315
1471,3,3,22,2013,662.0,208.33899153420714,453.66100846579286
