Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_5s1/2(1),J_total_Rb_relativistic
2.15,0.04379007868912143,0.1433615189741442,0.08074658558447442,0.1654588005842927,0.1733900023462883,0.21126596814154824,0.4267177367824022,0.3450660589236621,0.5206386101374592,0.06081281924869944,0.047961149634030156,0.08868369620979037,0.0048313283630148545,2.3127243536189273
2.2,0.043770064893449936,0.14254649694236549,0.08072403000506108,0.1654088337432476,0.16679170857531025,0.20877042849260333,0.4213760834017478,0.34369768870841366,0.5185193750405778,0.06079172195683917,0.0431031262271752,0.07984477169216893,0.004759153946345052,2.280103483625305
2.25,0.0437496039953601,0.14171806693219158,0.08070001499126889,0.16535564466878216,0.16033430595543577,0.206197032195312,0.4158750306719778,0.3422437706786853,0.5162688256302479,0.06071869509611446,0.038906602549744776,0.07227569924313888,0.004718946222309668,2.2490622388305694
2.3000000000000003,0.04372869686908573,0.14087655217196596,0.08067448779968357,0.16529911811415576,0.1540240675929817,0.20354900526374675,0.41022197865373017,0.340703689265289,0.5138861457933528,0.06056544902686258,0.035303643669400565,0.0658377449840485,0.004699903161771579,2.219370482366075
2.35,0.04370734440727154,0.1400222790028336,0.08064739565759822,0.1652391388798053,0.14786657095842728,0.20082977984317046,0.40442474181956894,0.3390771159303942,0.5113709635842627,0.06031127525593912,0.03223045583636964,0.0604016801462089,0.004693273103534121,2.190822014425384
2.4000000000000004,0.043685547520892605,0.13915557665289657,0.08061868582196936,0.1651755919462784,0.14186671093160028,0.19804297338567806,0.39849150153218715,0.33736400581399695,0.5087233449970618,0.05994200860219657,0.029627540531106028,0.055847912660197715,0.004692084264824885,2.1632334846608865
2.45,0.04366330713917238,0.13827677701133664,0.08058830563795587,0.1651083626060574,0.13602871535228253,0.19519236757865038,0.3924307583141312,0.3355645923685378,0.5059437846605829,0.059449061717242464,0.027439753692145012,0.05206644161208761,0.00469089631805905,2.136443124008241
2.5,0.043640624209499025,0.13738621440273488,0.08055620259696683,0.1650373365941028,0.13035616283789406,0.1922818871957841,0.3862512842838442,0.33367938016265114,0.5030331937471,0.05882853780823603,0.025616287477934152,0.048956670404920154,0.004685574797262951,2.1103093565189304
2.5500000000000003,0.043617499697340294,0.136484225361816,0.08052232439414596,0.16496240021694983,0.12485200262977245,0.18931557902954102,0.37996207610493193,0.33170913604259467,0.4999928853957027,0.05808042431404487,0.02411058991587492,0.046427109845007315,0.004673088262131228,2.0847093412098534
2.6,0.043593934586156825,0.135571148408841,0.08048661898522191,0.16488344048019596,0.11951857623139872,0.186297591052167,0.3735723087662544,0.32965487884384975,0.4968245579559139,0.05720786782495753,0.022880235865599976,0.044394998042470435,0.004651327555132282,2.05953748459816
2.6500000000000004,0.04356992987731396,0.13464732382586797,0.08044903464265592,0.16480034521422157,0.11435764060556447,0.18323215194017198,0.3670912904802259,0.3275178678460729,0.4935302763566482,0.056216528627619874,0.021886760909549906,0.04278586002779608,0.004618946082131145,2.03470395643584
2.7,0.043545486589992,0.13371309343409774,0.08040952001101986,0.16471300319799165,0.10937039270274793,0.18012355108453693,0.3605284189560278,0.32529959016240306,0.49011245190074004,0.05511401182210398,0.021095468105775776,0.041533026368551676,0.004575219787123124,2.0101332341231117
2.75,0.043520605761095045,0.1327688003725152,0.08036802416154032,0.16462130428079086,0.10455749509968025,0.1769761191960971,0.35389313927369637,0.323001747249473,0.48657382077665134,0.05390937092322908,0.020475216008353385,0.040577126830423756,0.004519925342287969,1.985762695275834
2.8000000000000003,0.043495288445158285,0.13181478887803424,0.08032449664574585,0.16452513950174996,0.09991910253506503,0.17379420960271305,0.3471949035546289,0.3206262407177277,0.4829174215671928,0.052612679155977754,0.019998194984509533,0.03986557225769131,0.004453235003206495,1.961541272849401
2.85,0.043469535714253875,0.130851404067348,0.08027888754815748,0.1644244012070272,0.09545488913847468,0.1705821803221275,0.3404431325942717,0.3181751576131832,0.4791465720207696,0.05123466322460801,0.019639697633153718,0.03935203533353869,0.004375626565308981,1.9374281829822226
2.9000000000000004,0.043443348657895335,0.12987899172068199,0.08023114753796415,0.1643189831645135,0.09116407615841803,0.16734437698195018,0.33364717959389967,0.3156507553319221,0.47526484533432467,0.04978639412354032,0.019377888031308584,0.038995938697519064,0.004287806884361902,1.9133917322182996
2.95,0.04341672838294053,0.12889789806764224,0.08018122791962778,0.1642087806759368,0.08704546000628366,0.16408511664613123,0.3268162961007167,0.3130554463177442,0.4712760461793412,0.04827902951899127,0.019193573594440017,0.038761957019870785,0.0041906474809862045,1.8894082079106527
3.0,0.043389676013493216,0.12790846957534455,0.08012908068236466,0.16409369068624619,0.08309744044414824,0.16080867259566964,0.3199596002391879,0.31039178268177053,0.4671841866834205,0.04672360232396933,0.019069982523762085,0.038619538032543844,0.004085130832010144,1.865460853313931
3.0500000000000003,0.0433621926908032,0.12691105273900624,0.08007465854845232,0.16397361189016285,0.0793180487561521,0.1575192601002462,0.3130860472917334,0.3076624408707118,0.46299346256051577,0.04513085028213182,0.018992549117293794,0.03854244616655011,0.003972306047471973,1.8415389270612312
3.1,0.04333427957316509,0.1259059938751751,0.08001791502031413,0.16384844483579108,0.07570497575513714,0.15422102320702946,0.30620440266378224,0.3048702064981942,0.4587082295632288,0.04351108164019082,0.01894870863056218,0.038508331316860024,0.0038532527380015194,1.8176368453174319
