Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_5d3/2(1),J_6s1/2(2),J_total_La_relativistic
27.05,0.007930350693651486,0.00122015173190892,0.004924821634300586,0.0043475366758059155,0.00028717622760363753,0.0013083685969593774,0.0012206262832573937,0.0004070501851137953,0.0003710729158639991,7.376360036803067e-05,0.00029763944766872174,0.0002801845446799308,9.363752651908754e-05,8.534261095903385e-05,1.3742294968075848e-05,4.5795750644252897e-05,4.2357334798197115e-05,6.16321219475995e-06,1.1899278182487758e-06,0.06051622638561291
27.1,0.007915365057685631,0.0012197895065978405,0.0048972225947203464,0.004320953589122229,0.0002857685723755454,0.0013020014752667091,0.0012138387757219113,0.00040248024183297057,0.0003668236578280147,7.324041188704011e-05,0.0002962755415703595,0.0002786870317219025,9.258171270030388e-05,8.436058380676722e-05,1.3637608609978957e-05,4.558886795393564e-05,4.213303000028115e-05,6.0934978701822555e-06,1.1808171110147908e-06,0.060216037379634074
27.150000000000002,0.007900391291227549,0.001219447554909118,0.00486976776196381,0.004294524249736431,0.0002843968442669848,0.0012956508245586197,0.0012070770347046313,0.0003979649019460417,0.0003626260603140797,7.272963579995617e-05,0.0002949135445502237,0.000277193937591863,9.153851057747371e-05,8.339050453315443e-05,1.3535372931659509e-05,4.5382214512048377e-05,4.190934137653574e-05,6.024651239700119e-06,1.1718928302532762e-06,0.05991772981915545
27.200000000000003,0.007885429479149653,0.0012191251658425794,0.004842456594872568,0.004268247960548606,0.0002830603463540988,0.0012893168550300346,0.0012003411813168577,0.0003935034810432397,0.0003584794652090398,7.223104199478805e-05,0.00029355353234233514,0.000275705316416296,9.050776361442844e-05,8.243222212307955e-05,1.343554285720097e-05,4.517580306258226e-05,4.1686278459792083e-05,5.956691156101627e-06,1.163127151688459e-06,0.05962128971806076
27.25,0.007870479705800978,0.0012188216403381613,0.004815288551107722,0.004242124024563742,0.0002817583917903778,0.0012829997719261588,0.001193631331932021,0.00038909530357223067,0.00035438322305651694,7.174440363144845e-05,0.00029219557926637145,0.00027422122087700213,8.94893172417884e-05,8.148558749753297e-05,1.3338073937240487e-05,4.4969646161081045e-05,4.146385063203371e-05,5.8896160576255826e-06,1.1545089368556838e-06,0.05932670322044999
27.3,0.007855542055007849,0.001218536291135246,0.004788263087207708,0.004216151744946673,0.0002804903037011353,0.0012766997756005064,0.0011869475982581473,0.00038473970272230086,0.00035033669294168057,7.126949710889701e-05,0.00029083975824040334,0.00027274170223025144,8.848301883305315e-05,8.0550453489439e-05,1.3242922344438338e-05,4.476375609452555e-05,4.1242066961375093e-05,5.823401700383074e-06,1.1460455584875587e-06,0.059033956600092696
27.35,0.007840616610074585,0.001218268442633056,0.0047613796586453575,0.004190330425076126,0.0002792554150783073,0.0012704170615728046,0.001180290087409741,0.0003804360203100203,0.00034633924237752265,7.080610203231226e-05,0.00028948614079374216,0.0002712668103258666,8.748871768095568e-05,7.962667481976462e-05,1.3150044870559506e-05,4.455814481332689e-05,4.10209360611083e-05,5.758005820620018e-06,1.137759105203767e-06,0.05874303625569814
27.400000000000002,0.007825703453784194,0.0012180174307521129,0.004734637719884161,0.004164659368597847,0.0002780530686755975,0.0012641518205867453,0.0011736589019790656,0.00037618360666636156,0.0003423902471926135,7.035400118030145e-05,0.00028813479707988647,0.0002697965936262291,8.650626497407612e-05,7.871410807390413e-05,1.3059398924379678e-05,4.4352823897972224e-05,4.0800466015997204e-05,5.693378132366817e-06,1.1296781863484958e-06,0.05845392870307318
27.450000000000003,0.007810802668399093,0.0012177826027967565,0.004708036724433771,0.0041391378794768344,0.0002768826169039902,0.0012579042386675762,0.0011670541401068216,0.00037198182052526136,0.0003384890914203244,6.991298047215879e-05,0.00028678579588956027,0.0002683310992252048,8.553551377371164e-05,7.781261167833574e-05,1.2970942529377585e-05,4.4147804572992475e-05,4.058066440186643e-05,5.62947253699948e-06,1.1218279788430903e-06,0.058166620566456
27.5,0.0077959143356618335,0.001217563317318734,0.004681576124904742,0.004113765262048693,0.00027574342172765183,0.0012516744971795136,0.001160475895552214,0.00036783002891360765,0.0003346351671894983,6.948282893518118e-05,0.0002854392046638338,0.0002668703728669832,8.457631899099841e-05,7.692204587754423e-05,1.2884634320227467e-05,4.3943097766792806e-05,4.036153839686754e-05,5.566257856882436e-06,1.114221703330394e-06,0.057881098571700255
