Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(3),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_6s1/2(2),J_total_Pr_relativistic
139.0,9.609575089860601e-05,1.553975783894907e-05,1.6315112026533442e-06,5.169671002192335e-07,3.373380376760366e-06,3.9093480630558634e-07,1.2742960908864e-07,1.863079071283247e-09,9.710734394187868e-10,7.95420455389209e-07,8.939473878544963e-08,2.9429030791496393e-08,6.841959246053597e-10,4.819775231537915e-10,4.819775231537915e-10,1.3642306424432578e-07,1.2856696280840783e-08,4.183733739532986e-09,8.936103345202034e-09,0.00023887979868275267
139.05,9.59475190518719e-05,1.5514073479925494e-05,1.6281611256650528e-06,5.15699764670346e-07,3.367730419080334e-06,3.9012615164447314e-07,1.2711644899222627e-07,1.8585310639099433e-09,9.68770319346861e-10,7.9413373067695e-07,8.920915088242015e-08,2.935742325071148e-08,6.826771713728425e-10,4.81152568232971e-10,4.81152568232971e-10,1.3622001910784844e-07,1.282901652701326e-08,4.173304486125979e-09,8.922280338737163e-09,0.00023850222197310816
139.1,9.579955076673214e-05,1.548843862002443e-05,1.6248191562722784e-06,5.144359648141536e-07,3.362091772441826e-06,3.8931968782733877e-07,1.2680433682034604e-07,1.8539892402390153e-09,9.664693539999318e-10,7.928492257466786e-07,8.902332582466249e-08,2.9285669883296147e-08,6.811597723453349e-10,4.803263272099797e-10,4.803263272099797e-10,1.360167679547837e-07,1.2801075210813943e-08,4.1627409578730115e-09,8.908394377224362e-09,0.00023812533475426148
139.15,9.56518455052139e-05,1.546285314896372e-05,1.621485271779263e-06,5.131756895824056e-07,3.3564644361817895e-06,3.885154033569615e-07,1.2649326540228128e-07,1.8494525483657554e-09,9.641697759255073e-10,7.915668281310581e-07,8.883726874666532e-08,2.9213772111652637e-08,6.796446068404881e-10,4.794993215454705e-10,4.794993215454705e-10,1.3581324548144446e-07,1.2772895852680476e-08,4.152056078953913e-09,8.894441973865207e-09,0.00023774913533767666
139.20000000000002,9.550440273056733e-05,1.5437316956737283e-05,1.6181594495619907e-06,5.119189279451688e-07,3.350848408995452e-06,3.8771328625861327e-07,1.2618322719364125e-07,1.8449199603364924e-09,9.618708333919578e-10,7.902864268411201e-07,8.865098642448334e-08,2.914173217311315e-08,6.781326402598005e-10,4.786721462139214e-10,4.786721462139214e-10,1.3560939581720774e-07,1.2744502554776583e-08,4.14126306359012e-09,8.880418085710498e-09,0.00023737362206301973
139.25,9.535722190726244e-05,1.541182993361433e-05,1.6148416670679274e-06,5.10665668910676e-07,3.345243688876836e-06,3.869133240952759e-07,1.2587421428819162e-07,1.8403904742220576e-09,9.595717917995312e-10,7.890079125985398e-07,8.84644872860459e-08,2.9069553140062074e-08,6.766249214333521e-10,4.778454684163408e-10,4.778454684163408e-10,1.3540517239587229e-07,1.2715919191206521e-08,4.13037486620435e-09,8.866315505805188e-09,0.00023699879329332394
139.3,9.521030250098566e-05,1.5386391970138555e-05,1.6115319018157613e-06,5.094159015251756e-07,3.3396502730611197e-06,3.861155039840149e-07,1.2556621843054968e-07,1.8358631161620395e-09,9.572719350890164e-10,7.877311780688321e-07,8.827778141724409e-08,2.8997238938057594e-08,6.751225777807979e-10,4.770200245072314e-10,4.770200245072314e-10,1.3520053758512677e-07,1.2687168660681965e-08,4.119403673514276e-09,8.852124989082138e-09,0.00023662464741139585
139.35,9.506364397863758e-05,1.536100295712748e-05,1.6082301313951632e-06,5.08169614872789e-07,3.3340681579690256e-06,3.8531981261347327e-07,1.25259231029712e-07,1.8313369423775905e-09,9.549705671476866e-10,7.864561180949969e-07,8.809088056312465e-08,2.8924794361352232e-08,6.736268083293733e-10,4.761966151451875e-10,4.761966151451875e-10,1.3499546209930994e-07,1.2658272250423705e-08,4.108360477689862e-09,8.837836967120711e-09,0.00023625118281948545
139.4,9.491724580832916e-05,1.5335662785671596e-05,1.6049363334665191e-06,5.069267980753571e-07,3.328497339153285e-06,3.8452623626242793e-07,1.2495324317337311e-07,1.8268110411501404e-09,9.526670132116744e-10,7.851826299310122e-07,8.790379812353453e-08,2.8852225085218352e-08,6.721388746843811e-10,4.753760987236101e-10,4.753760987236101e-10,1.3478992423121024e-07,1.2629249150384403e-08,4.0972547615504295e-09,8.823444746148067e-09,0.0002358783979422963
139.45000000000002,9.477110745937941e-05,1.5310371347133694e-05,1.601650485760693e-06,5.056874402922994e-07,3.3229378112474137e-06,3.83734760819375e-07,1.2464824564300215e-07,1.822284534763188e-09,9.50360621263541e-10,7.839106134745085e-07,8.771654914259979e-08,2.8779537674506178e-08,6.706600901016054e-10,4.74559383185855e-10,4.74559383185855e-10,1.3458390894708384e-07,1.2600116143667952e-08,4.086094315588933e-09,8.808947880431122e-09,0.00023550629123095582
139.5,9.46252284023121e-05,1.528512853314809e-05,1.5983725660787713e-06,5.044515307204651e-07,3.317389567916837e-06,3.829453718030825e-07,1.2434422892963308e-07,1.8177565814038932e-09,9.480507634232825e-10,7.826399714978154e-07,8.752915029146239e-08,2.87067395878905e-08,6.691918068624159e-10,4.737474163757865e-10,4.737474163757865e-10,1.343774068946312e-07,1.2570887483998424e-08,4.074885194030646e-09,8.794353883700543e-09,0.00023513486116441028
139.55,9.447960810885258e-05,1.5259934235619828e-05,1.5951025522918074e-06,5.032190585939861e-07,3.3118526018125264e-06,3.821580543840633e-07,1.2404118325032984e-07,1.8132263770209088e-09,9.45736837330553e-10,7.81370609876508e-07,8.734161984376148e-08,2.8633839177305918e-08,6.677354021992264e-10,4.72941175118343e-10,4.72941175118343e-10,1.3417041337590277e-07,1.2541574955973166e-08,4.063631804824511e-09,8.779676975336567e-09,0.0002347641062456956
139.6,9.433424605192536e-05,1.5234788346724034e-05,1.5918404223405875e-06,5.019900131841369e-07,3.30632690452728e-06,3.813727934069191e-07,1.2373909856528555e-07,1.808693157134546e-09,9.43418267515394e-10,7.801024378144909e-07,8.715397764341776e-08,2.8560845682123594e-08,6.662922630596832e-10,4.721416532635607e-10,4.721416532635607e-10,1.3396292733579117e-07,1.2512188100071249e-08,4.05233711779812e-09,8.764933919384625e-09,0.00023439402499318042
139.65,9.418914170565051e-05,1.5209690758905051e-05,1.5885861542353692e-06,5.007643837991851e-07,3.300812466554682e-06,3.8058957341348843e-07,1.2343796459550905e-07,1.8041561985949737e-09,9.410945067542485e-10,7.788353680645617e-07,8.696624506435655e-08,2.8487769217683973e-08,6.648637700309473e-10,4.71349848959891e-10,4.71349848959891e-10,1.3375495041204603e-07,1.2482734573047898e-08,4.0410029670178015e-09,8.75013854077676e-09,0.00023402461592986223
139.70000000000002,9.40442945453413e-05,1.518464136487581e-05,1.585339726055647e-06,4.995421597842525e-07,3.295309277250935e-06,3.798083786667554e-07,1.2313777084105966e-07,1.799614821283941e-09,9.387650374076082e-10,7.775693171433697e-07,8.67784449619044e-08,2.841462075787493e-08,6.634512807693673e-10,4.705667514471325e-10,4.705667514471325e-10,1.335464860850739e-07,1.245322060609405e-08,4.029630417938384e-09,8.735297385699403e-09,0.0002336558775755368
139.75,9.3899704047501e-05,1.5159640057617033e-05,1.5821011159499036e-06,4.983233305211704e-07,3.289817324799573e-06,3.79029193175449e-07,1.228385065997814e-07,1.7950683897550488e-09,9.364293727351045e-10,7.763042055395962e-07,8.65906016156885e-08,2.8341412111522986e-08,6.620561132948654e-10,4.697933276747831e-10,4.697933276747831e-10,1.3333753895584223e-07,1.2423651518294734e-08,4.018220167051869e-09,8.720408637437391e-09,0.00023328780844591047
139.8,9.375536968981962e-05,1.5134686730376462e-05,1.578870302135359e-06,4.971078854283348e-07,3.284336596179175e-06,3.782520007192783e-07,1.2254016098649328e-07,1.7905163148074096e-09,9.340870581834507e-10,7.75039957914172e-07,8.640274066397852e-08,2.826815589245399e-08,6.606795295129326e-10,4.690305090574687e-10,4.690305090574687e-10,1.331281141689042e-07,1.2394032241526274e-08,4.00677294115267e-09,8.7054648637863e-09,0.0002329204070596465
139.85,9.361129095117173e-05,1.5109781276668213e-05,1.5756472628977411e-06,4.958958139605706e-07,3.278867077134187e-06,3.774767848747458e-07,1.2224272295259156e-07,1.7859580549872577e-09,9.317376726422222e-10,7.73776503291326e-07,8.621488902952387e-08,2.8194865483172424e-08,6.59322719320038e-10,4.682791786750024e-10,4.682791786750024e-10,1.3291821698584763e-07,1.2364367814823206e-08,3.995289864813295e-09,8.69045827027254e-09,0.00023255367195051284
139.9,9.346746731161272e-05,1.5084923590271931e-05,1.572431976591029e-06,4.946871056089843e-07,3.2734087521488434e-06,3.767035290414673e-07,1.2194618130601328e-07,1.7813931180117341e-09,9.293808296620099e-10,7.725137752392264e-07,8.602707483705014e-08,2.812155499220386e-08,6.579867856309781e-10,4.675401592107199e-10,4.675401592107199e-10,1.327078525032899e-07,1.23346638111154e-08,3.983772768143889e-09,8.67538588383249e-09,0.0002321876016792788
139.95000000000002,9.332389825237656e-05,1.5060113565232157e-05,1.5692244216372251e-06,4.934817499008293e-07,3.267961604424338e-06,3.7593221646894714e-07,1.2165052473151978e-07,1.7768210621090401e-09,9.270161786292296e-10,7.712517120390293e-07,8.583932732270184e-08,2.8048239205245272e-08,6.566727306398489e-10,4.66814201898627e-10,4.66814201898627e-10,1.3249702549974881e-07,1.230492666668792e-08,3.9722244123870854e-09,8.660252130098906e-09,0.00023182219484010777
140.0,9.318058325587258e-05,1.503535109585755e-05,1.566024576526109e-06,4.922797363993635e-07,3.2625256158592268e-06,3.75162830283735e-07,1.213557418112491e-07,1.772241497268814e-09,9.246434058914502e-10,7.699902568411334e-07,8.565167673582734e-08,2.7974933530364633e-08,6.553814435908985e-10,4.661019767185993e-10,4.661019767185993e-10,1.3228574038797585e-07,1.227516389325239e-08,3.96064861825194e-09,8.645067622990488e-09,0.00023145745005890815
140.05,9.303752180568239e-05,1.5010636076720118e-05,1.562832419814994e-06,4.910810547037094e-07,3.257100767033132e-06,3.743953535169042e-07,1.210618210454918e-07,1.7676540863965533e-09,9.222622358268909e-10,7.687293578075103e-07,8.546415423361908e-08,2.790165393758978e-08,6.541136902931615e-10,4.654040640406052e-10,4.654040640406052e-10,1.3207400124413824e-07,1.224538416349766e-08,3.9490502907380775e-09,8.629845013108423e-09,0.000231093365985222
140.1,9.28947133865575e-05,1.4985968402654583e-05,1.5596479301285018e-06,4.898856944487199e-07,3.2516870371938202e-06,3.7362976913179076e-07,1.2076875087364496e-07,1.7630585463658728e-09,9.198724318515531e-10,7.674689682390379e-07,8.527679176922913e-08,2.7828416893319287e-08,6.528701045647854e-10,4.6472094787520055e-10,4.6472094787520055e-10,1.3186181188281143e-07,1.2215597272537073e-08,3.93743534383664e-09,8.614594238407593e-09,0.00023072994128228876
140.15,9.27521574844159e-05,1.4961347968757554e-05,1.5564710861583107e-06,4.886936453048356e-07,3.2462844042475995e-06,3.7286606005191764e-07,1.2047651969529285e-07,1.7584546489622354e-09,9.17473797357215e-10,7.662090466868185e-07,8.508962197407662e-08,2.7755239290074836e-08,6.516511817412227e-10,4.64053010840297e-10,4.64053010840297e-10,1.31649175947094e-07,1.2185813988679277e-08,3.925810537917791e-09,8.599319440477285e-09,0.00023036717461983973
140.20000000000002,9.260985358633958e-05,1.4936774670386885e-05,1.553301866662933e-06,4.875048969779531e-07,3.240892844753154e-06,3.721042091890515e-07,1.2018511589137224e-07,1.7538422217119845e-09,9.150661765735113e-10,7.649495570465879e-07,8.490267803516122e-08,2.7682138372197424e-08,6.50457274327952e-10,4.634005309050598e-10,4.634005309050598e-10,1.3143609698605455e-07,1.2156045816181244e-08,3.9141832506342085e-09,8.5840183297157e-09,0.00023000506467129166
140.25,9.246780118057161e-05,1.4912248403160922e-05,1.550140250467475e-06,4.863194392092865e-07,3.235512333918745e-06,3.713441994713163e-07,1.1989452784537137e-07,1.7492211485904431e-09,9.126494553472049e-10,7.636904686353927e-07,8.471599356827167e-08,2.7609131658159034e-08,6.492885898247421e-10,4.627636799225799e-10,4.627636799225799e-10,1.3122257849669278e-07,1.2126304698962044e-08,3.902561207616492e-09,8.568683299448167e-09,0.000229643610114071
