p,ChiF,ChiG,ChiTotal,I(p),J(Q)
245.45000000000002,1.1400890860274194e-06,4.777408731333063e-05,4.778768901867737e-05,0.00013758089506749006,0.00010749792473073642
245.5,1.1882432144781333e-06,4.584626095708978e-05,4.586165681353355e-05,0.00012676590848656534,0.00010748446369052202
245.55,1.2361874983624643e-06,4.38816330208055e-05,4.389904185860729e-05,0.0001161956740923154,0.00010747209414254386
245.60000000000002,1.2838946902239215e-06,4.1880498051734205e-05,4.1900173062135405e-05,0.00010589814639937599,0.0001074607893033348
245.65,1.331337570837604e-06,3.9843173112547434e-05,3.9865409861231155e-05,9.590163334806272e-05,0.00010745051954255645
245.70000000000002,1.3784889655430454e-06,3.7769997774500246e-05,3.779514471084715e-05,8.623475582523159e-05,0.00010744125235141138
245.75,1.4253217607075369e-06,3.56613340963051e-05,3.568980655102854e-05,7.692640568975198e-05,0.00010743295231528191
245.8,1.4718089203072057e-06,3.351756658849797e-05,3.3549865745071044e-05,6.800570235653269e-05,0.00010742558109073958
245.85000000000002,1.5179235026135073e-06,3.1339102163103273e-05,3.1375841281935544e-05,5.95019479975507e-05,0.00010741909738706366
245.9,1.5636386769713942e-06,2.9126370068438488e-05,2.916831156024891e-05,5.1444581422830926e-05,0.00010741345695240064
245.95000000000002,1.6089277406563633e-06,2.68798218088801e-05,2.692793101877305e-05,4.386313070853458e-05,0.00010740861256468975
246.0,1.653764135795625e-06,2.4599931049435875e-05,2.465545666690932e-05,3.678716464365277e-05,0.00010740451402747253
246.05,1.6981214663396886e-06,2.2287193505009808e-05,2.235179211705842e-05,3.02462430710806e-05,0.00010740110817069642
246.10000000000002,1.7419735150693707e-06,1.9942126814239634e-05,2.0018064182193506e-05,2.4269866202838143e-05,0.000107398338856615
246.15,1.7852942606231789e-06,1.7565270397784494e-05,1.7655763924121162e-05,1.888742299314208e-05,0.00010739614699087809
246.20000000000002,1.8280578945303638e-06,1.5157185301007527e-05,1.5267025313230913e-05,1.412813865701296e-05,0.00010739447053889708
246.25,1.8702388382327204e-06,1.2718454020989149e-05,1.2855227185703453e-05,1.0021021425688548e-05,0.00010739324454756089
246.3,1.9118117600813685e-06,1.024968031778464e-05,1.0426455333562182e-05,6.5948086335913995e-06,0.00010739240117236882
246.35000000000002,1.952751592290175e-06,7.751489009958158e-06,7.993673789484654e-06,3.877912235140351e-06,0.00010739186971003655
246.4,1.9930335478316954e-06,5.224525754334961e-06,5.591766454394522e-06,1.8983638526488205e-06,0.0001073915766366213
246.45000000000002,2.0326331372578157e-06,2.6694568099911958e-06,3.3552342885537698e-06,6.837594596530979e-07,0.00010739144565120172
246.5,2.071526185429296e-06,8.696878653690158e-08,2.0733509849398275e-06,2.612038067428781e-07,0.00010739139772513741
246.55,2.1096888481374193e-06,-2.5222316233050316e-06,3.2882273944414683e-06,6.572546994463545e-07,0.0001073913511569216
246.60000000000002,2.1470976286011397e-06,-5.157417926702305e-06,5.586500505451954e-06,1.897867240062923e-06,0.00010739122163262975
246.65,2.183729393822995e-06,-7.817844129284243e-06,8.117102986609856e-06,4.0083381473600515e-06,0.000107390922291955
246.70000000000002,2.2195613907871602e-06,-1.0502745049082994e-05,1.073471500942202e-05,7.01325026981208e-06,0.00010739036379981003
246.75,2.2545712624828674e-06,-1.3211336645815527e-05,1.3402332168196767e-05,1.093641740964022e-05,0.00010738945442346291
246.8,2.288737063736663e-06,-1.594281636526683e-05,1.6106263098668846e-05,1.5800829576036373e-05,0.00010738810011516275
246.85000000000002,2.322037276836901e-06,-1.869636349869783e-05,1.8840007037962077e-05,2.1628598787076167e-05,0.00010738620460019902
246.9,2.3544508269342555e-06,-2.1471139557006774e-05,2.1599844271959748e-05,2.844090554026843e-05,0.00010738366947032627
246.95000000000002,2.3859570972018397e-06,-2.426628865952858e-05,2.4383304873975824e-05,3.6257946072338074e-05,0.00010738039428247384
247.0,2.416535943738721e-06,-2.7080937937154086e-05,2.7188542541360553e-05,4.5098880528535435e-05,0.00010737627666264833
