Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_total_Zn
6.1000000000000005,0.025489119289132126,0.021945940826893235,0.040003750207006396,0.010496436146787327,0.003839888201626858,0.00048267159063034346,0.010226338935917255,0.48215355551785816
6.15,0.025435951082292105,0.02143105023777003,0.03971460995940699,0.010316924619272283,0.003796572255531034,0.00047534283150161606,0.009920223702960723,0.47558786786090745
6.2,0.02538250258425133,0.02092590141856001,0.039424459412790346,0.010136370049954083,0.0037580304629228054,0.00046790044909197806,0.009623525734232172,0.4691555456003154
6.25,0.025328776972931406,0.020430428927607824,0.03913337331975813,0.009955012372433673,0.003723874354545104,0.000460357814089559,0.00933595405453936,0.4628521787653379
6.300000000000001,0.025274777430853004,0.01994456345002857,0.038841425924607494,0.00977308311122373,0.0036937377849882626,0.00045272796400615267,0.009057226356666831,0.4566735497364658
6.3500000000000005,0.02522050714476762,0.019468231980135607,0.038548690915385334,0.00959080514898518,0.0036672759465712153,0.0004450235727976758,0.008787068777827945,0.450615624643391
6.4,0.025165969305291677,0.019001358001133988,0.038255241377866046,0.009408392552122145,0.0036441644119667915,0.0004372569256386418,0.008525215678933901,0.44467454509670895
6.45,0.025111167106542976,0.018543861661951582,0.03796114975145227,0.009226050449389366,0.0036240982059151635,0.0004294398983537845,0.008271409426906545,0.4388466202457455
6.5,0.02505610374577958,0.018095659951090345,0.03766648778699459,0.009043974958512441,0.003606790906220124,0.00042158394104968924,0.008025400180233563,0.433128319154488
6.550000000000001,0.025000782423041153,0.017656666867390747,0.03737132650652321,0.008862353156152507,0.0035919737740900226,0.0004137000655261087,0.007786945677939056,0.42751626348729094
6.6000000000000005,0.02494520634079282,0.017226793587612324,0.03707573616488147,0.008681363086862947,0.003579394913767423,0.0004057988360807392,0.007555811032118577,0.4220072204957768
6.65,0.024889378703571545,0.01680594863074294,0.036779786213248386,0.008501173806986501,0.0035688184612876275,0.0003978903633528179,0.007331768524165587,0.41659809629817957
6.7,0.02483330271763513,0.016394038018958973,0.03648354526453462,0.008321945459727316,0.003560023802114932,0.00038998430088014633,0.007114597404796206,0.41128592944226255
6.75,0.02477698159061383,0.015990965435167336,0.03618708106063372,0.008143829377903648,0.0035528048173257124,0.00038208984407121067,0.006904083697960202,0.4060678847428706
6.800000000000001,0.024720418531164617,0.015596632377069219,0.03589046044150821,0.007966968211144097,0.003546969157938212,0.00037421573131911964,0.006700020008709074,0.4009412473851634
6.8500000000000005,0.02466361674862819,0.015210938307693638,0.0355937493160878,0.007791496074533329,0.003542337546929185,0.00036637024700725463,0.006502205335076316,0.39590341728458994
6.9,0.02460657945268867,0.014833780802356826,0.0352970126349549,0.007617538715942742,0.0035387431084265377,0.0003585612261779547,0.006310444884010345,0.39095190369472443
6.95,0.024549309853036102,0.014465055692011423,0.035000314364790674,0.007445213699498117,0.003536030723523932,0.0003507960606553783,0.006124549891387515,0.3860843200541648
