Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_4p_one electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(4),J_total_Se
1.4000000000000001,0.02540742378789763,0.08755813301088732,0.14532979370817495,0.04742692630644547,0.1398714981267687,0.11186581684117236,0.029105273112028644,0.040527509074153666,0.05081484757579526,0.17511626602177463,0.2845615578386728,0.2906595874163499,0.8392289887606121,0.05821054622405729,1.1186581684117236,0.16211003629661466,2.9793599985456005
1.4500000000000002,0.02539745012396214,0.08711490961773177,0.1399940052637562,0.047419339843886216,0.13858222884188695,0.11148297267966684,0.028466119227351167,0.034027951079271715,0.05079490024792428,0.17422981923546355,0.2845160390633173,0.2799880105275124,0.8314933730513216,0.056932238454702334,1.1148297267966685,0.13611180431708686,2.9288959116939965
1.5,0.025387131924434668,0.086658837733755,0.1346984956352743,0.0474109706150732,0.13720909420314958,0.11105953751427348,0.02813254078632973,0.02860500648066292,0.050774263848869336,0.17331767546751,0.28446582369043916,0.2693969912705486,0.8232545652188975,0.05626508157265946,1.1105953751427349,0.11442002592265169,2.8824898021343106
1.55,0.025376469741568566,0.08619017380954554,0.12945605809434824,0.04740177171694892,0.13575309618635317,0.11059431377767631,0.027990081241889994,0.024111095096986813,0.05075293948313713,0.17238034761909107,0.2844106303016935,0.2589121161886965,0.814518577118119,0.05598016248377999,1.1059431377767632,0.09644438038794725,2.839342291359228
1.6,0.025365464146477595,0.08570918006293195,0.12427868282675433,0.047391695681467394,0.13421567919386163,0.11008634279369554,0.027949548800617185,0.02041342154120436,0.05073092829295519,0.1714183601258639,0.28435017408880436,0.24855736565350867,0.8052940751631698,0.05589909760123437,1.1008634279369554,0.08165368616481744,2.798767115027309
1.6500000000000001,0.02535411572918909,0.08521612429442671,0.11917753140231536,0.047380694555964116,0.1325987096763329,0.10953490923797654,0.027943181732150657,0.017393685630185056,0.05070823145837818,0.17043224858885342,0.2842841673357847,0.23835506280463073,0.7955922580579973,0.055886363464301314,1.0953490923797653,0.06957474252074022,2.760182166610451
1.7000000000000002,0.025342425098680513,0.08471127967190431,0.11416291880458125,0.0473687199831215,0.13090445254507124,0.10893954212159856,0.02792111314917141,0.01494741945278434,0.05068485019736103,0.16942255934380862,0.28421231989872897,0.2283258376091625,0.7854267152704275,0.05584222629834282,1.0893954212159858,0.05978967781113736,2.7230996076449547
1.75,0.025330392882900045,0.08419492448627622,0.10924430263952177,0.04735572328038879,0.12913554485259177,0.1083000126031702,0.027848188768182503,0.012983085760383263,0.05066078576580009,0.16838984897255244,0.28413433968233276,0.21848860527904354,0.7748132691155506,0.055696377536365006,1.083000126031702,0.051932343041533054,2.6871156954248794
1.8,0.025318019728772147,0.08366734188095995,0.10443027908586586,0.04734165551872676,0.1272949672170155,0.107616328960329,0.027701158548630127,0.011421039959710473,0.050636039457544295,0.1673346837619199,0.28404993311236054,0.20886055817173171,0.763769803302093,0.055402317097260255,1.07616328960329,0.045684159838841894,2.6519007843450417
1.85,0.025305306302189107,0.08312881955861966,0.09972858510938616,0.04732646760055787,0.12538601345728909,0.10688872906450567,0.02746624024085565,0.01019243161929943,0.05061061260437821,0.16625763911723931,0.28395880560334724,0.19945717021877232,0.7523160807437346,0.0549324804817113,1.0688872906450566,0.04076972647719772,2.617189805891437
1.9000000000000001,0.025292253287989733,0.08257964946903319,0.09514610643710278,0.047310110336812664,0.12341225889175161,0.10611767070561254,0.027137037619513305,0.009238100253129176,0.05058450657597947,0.16515929893806638,0.283860662020876,0.19029221287420556,0.7404735533505097,0.05427407523902661,1.0611767070561253,0.036952401012516706,2.5827734170673056
1.9500000000000002,0.025278861389926376,0.082020127482071,0.0906888907728442,0.047292534522971684,0.12137752773306065,0.10530382010804344,0.0267127867235891,0.008507503450710819,0.05055772277985275,0.164040254964142,0.2837552071378301,0.1813777815456884,0.7282651663983639,0.0534255734471782,1.0530382010804344,0.034030013802843276,2.548489921156333
2.0,0.02526513133062138,0.08145055304971013,0.0863621657307748,0.04727369101401066,0.11928585998872679,0.1044480389678499,0.026196898270233988,0.007957702471042386,0.05053026266124276,0.16290110609942027,0.28364214608406396,0.1727243314615496,0.7157151599323608,0.052393796540467975,1.044480389678499,0.031830809884169545,2.5142180023417744
2.0500000000000003,0.025251063851514113,0.08087122886080164,0.08217036096651843,0.047253530798163454,0.11714147824926292,0.10355137032474898,0.025595762353814663,0.00755242056462658,0.05050212770302823,0.16174245772160328,0.2835211847889807,0.16434072193303687,0.7028488694955776,0.051191524707629325,1.03551370324749,0.03020968225850632,2.479870271855852
2.1,0.025236659712799543,0.0802824604920073,0.07811713399476838,0.047232005069423905,0.11494875471597531,0.1026150235630241,0.02491778163770928,0.007261181960601427,0.050473319425599086,0.1605649209840146,0.28339203041654343,0.15623426798953677,0.6896925282958518,0.04983556327541856,1.026150235630241,0.029044727842405707,2.445387593859611
2.15,0.025221919693359348,0.079684556057957,0.07420539919642065,0.04720906529871311,0.1127121787884167,0.101640358813471,0.024172600766319646,0.007058534154496418,0.050443839386718696,0.159369112115914,0.2832543917922787,0.1484107983928413,0.6762730727305002,0.04834520153263929,1.01640358813471,0.028234136617985673,2.4107341407035876
2.2,0.025206844590686346,0.0790778258632841,0.07043735953618696,0.047184663303643605,0.11043632549816143,0.10062887100518078,0.023370502120508438,0.006923352426342929,0.05041368918137269,0.1581556517265682,0.28310797982186164,0.14087471907237392,0.6626179529889686,0.046741004241016876,1.0062887100518079,0.027693409705371715,2.3758931167893413
2.25,0.02519143522080302,0.07846258205879342,0.06681454053242937,0.04715875131681597,0.10812582504146957,0.09958217379183097,0.022521940908698548,0.006838223046348472,0.05038287044160604,0.15692516411758684,0.2829525079008958,0.13362908106485874,0.6487549502488175,0.045043881817397095,0.9958217379183097,0.027352892185393888,2.340863085694866
2.3000000000000003,0.02517569241817475,0.07783913830362567,0.06333782604388574,0.04713128205258722,0.10578533362915894,0.09850198355282243,0.021637195641006243,0.006788900086132281,0.0503513848363495,0.15567827660725134,0.28278769231552336,0.12667565208777148,0.6347120017749537,0.043274391282012485,0.9850198355282243,0.027155600344529122,2.3056548347766155
2.35,0.025159617035618354,0.07720780943491333,0.06000749546244846,0.04710220877225327,0.10341950583811754,0.09739010364549043,0.02072611307746776,0.006763829904141222,0.05031923407123671,0.15441561886982666,0.2826132526335196,0.12001499092489692,0.6205170350287053,0.04145222615493552,0.9739010364549043,0.027055319616564887,2.27028871375459
2.4000000000000004,0.025143209944206345,0.07656891114608588,0.056823261926750385,0.04707148534759052,0.10103296861582384,0.09624840906107371,0.019797929644399227,0.006753737020533066,0.05028641988841269,0.15313782229217177,0.2824289120855431,0.11364652385350077,0.606197811694943,0.039595859288798455,0.962484090610737,0.027014948082132263,2.2347923877962392
2.45,0.02512647203316737,0.07592275967468141,0.053784311197636964,0.047039066322704194,0.0986302970574014,0.09507883161442,0.018861153996854126,0.006751265088351398,0.05025294406633474,0.15184551934936283,0.2822343979362252,0.10756862239527393,0.5917817823444084,0.03772230799370825,0.9507883161442,0.02700506035340559,2.199198950582919
2.5,0.025109404209783096,0.07526967150025853,0.0508893408633502,0.04700490697413292,0.09621599204445178,0.09388334577575158,0.017923497828669314,0.006750666888714927,0.05021880841956619,0.15053934300051705,0.2820294418447975,0.1017786817267004,0.5772959522667107,0.03584699565733863,0.9388334577575158,0.027002667554859708,2.163545348228006
2.5500000000000003,0.025092007399281892,0.07460996305277827,0.04813659956917052,0.04696896336916135,0.09379445980646832,0.09266395523237837,0.016991844179485252,0.00674753764167947,0.050184014798563784,0.14921992610555654,0.2818137802149681,0.09627319913834104,0.5627667588388099,0.033983688358970504,0.9266395523237837,0.02699015056671788,2.1278710703457113
