Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Pu_relativistic
85.96000000000001,0.0018812922058157127,0.00046261780694312497,0.00048702887404920836,0.00019362045873262313,0.00011444381568165116,0.0001512593923965351,6.757792223727294e-05,6.911943163112229e-06,4.090030833050384e-06,3.165296523153335e-05,4.3109731827146806e-05,1.9564785710313032e-05,2.2880107673149863e-06,1.3600906866374696e-06,2.0821132694062255e-08,1.4046576198687723e-08,8.312501367681388e-06,1.0805326737628392e-05,4.851676650788445e-06,4.890884071094288e-07,2.8812874518666835e-07,2.159531893822845e-09,1.6390073653340345e-06,1.7839297328843636e-06,7.065955776911975e-07,1.0944202883761012e-07,0.007606831681525822
85.97,0.0018808659714265189,0.0004625331434007832,0.00048680162005069214,0.00019350335710923658,0.00011442626712692898,0.00015118758188127532,6.753589529464042e-05,6.906112224123354e-06,4.086283589203099e-06,3.164842932126957e-05,4.30891995740301e-05,1.9552530071266433e-05,2.286065116002519e-06,1.3588353621219028e-06,2.079787132332853e-08,1.4030182440520136e-08,8.311328884228638e-06,1.0800178514086e-05,4.848632549885764e-06,4.886835914237987e-07,2.878724679365062e-07,2.1573217924209646e-09,1.6387831544981608e-06,1.7830811017888751e-06,7.061514313882469e-07,1.0942762781278222e-07,0.0076043476548134795
85.98,0.0018804397370373244,0.00046244847985844135,0.00048657436605217564,0.00019338625548584985,0.00011440871857220676,0.0001511157713660154,6.749386835200784e-05,6.900281285134472e-06,4.082536345355808e-06,3.1643893411005775e-05,4.306866732091336e-05,1.9540274432219817e-05,2.2841194646900487e-06,1.3575800376063344e-06,2.0774609952594776e-08,1.4013788682352526e-08,8.310156400775887e-06,1.0795030290543603e-05,4.845588448983079e-06,4.88278775738168e-07,2.876161906863436e-07,2.1551116910190806e-09,1.638558943662287e-06,1.7822324706933855e-06,7.057072850852956e-07,1.0941322678795429e-07,0.0076018636281011374
85.99,0.0018800135026481306,0.0004623638163160996,0.00048634711205365947,0.0001932691538624633,0.00011439117001748458,0.00015104396085075558,6.745184140937531e-05,6.894450346145597e-06,4.078789101508523e-06,3.1639357500741995e-05,4.3048135067796654e-05,1.9528018793173218e-05,2.282173813377581e-06,1.3563247130907676e-06,2.075134858186105e-08,1.399739492418494e-08,8.308983917323138e-06,1.0789882067001213e-05,4.842544348080399e-06,4.878739600525378e-07,2.8735991343618147e-07,2.1529015896172004e-09,1.6383347328264135e-06,1.7813838395978972e-06,7.05263138782345e-07,1.0939882576312638e-07,0.0075993796013888
86.0,0.0018795872682589362,0.00046227915277375774,0.000486119858055143,0.00019315205223907668,0.00011437362146276238,0.0001509721503354957,6.740981446674277e-05,6.88861940715672e-06,4.075041857661236e-06,3.163482159047821e-05,4.3027602814679934e-05,1.951576315412661e-05,2.2802281620651128e-06,1.3550693885752005e-06,2.0728087211127326e-08,1.3981001166017352e-08,8.307811433870386e-06,1.0784733843458818e-05,4.839500247177717e-06,4.874691443669073e-07,2.871036361860192e-07,2.1506914882153148e-09,1.6381105219905394e-06,1.780535208502408e-06,7.048189924793943e-07,1.0938442473829845e-07,0.007596895574676453
86.01,0.0018791615159768778,0.0004621944830043908,0.0004858932079540312,0.00019303534066445016,0.00011435605406508665,0.00015090053008594482,6.736793080075157e-05,6.88281585111837e-06,4.071313426233963e-06,3.163027895811253e-05,4.3007124739076703e-05,1.9503549531236826e-05,2.278291726230124e-06,1.3538204200699063e-06,2.0704975064535948e-08,1.3964718023844714e-08,8.306637150704236e-06,1.0779600792805823e-05,4.836468693545385e-06,4.870662784420817e-07,2.868486951414891e-07,2.148471627548364e-09,1.6378860261826768e-06,1.7796890543352035e-06,7.043774243986675e-07,1.0936997399965508e-07,0.007594416853116806
86.02,0.0018787357636948201,0.00046210981323502396,0.0004856665578529197,0.0001929186290898238,0.00011433848666741096,0.000150828909836394,6.732604713476045e-05,6.8770122950800275e-06,4.067584994806695e-06,3.162573632574686e-05,4.29866466634735e-05,1.949133590834706e-05,2.276355290395138e-06,1.352571451564614e-06,2.0681862917944605e-08,1.39484348816721e-08,8.305462867538087e-06,1.0774467742152836e-05,4.833437139913057e-06,4.866634125172565e-07,2.8659375409695937e-07,2.146251766881417e-09,1.6376615303748146e-06,1.778842900168e-06,7.039358563179415e-07,1.0935552326101174e-07,0.007591938131557161
86.03,0.0018783100114127618,0.00046202514346565697,0.00048543990775180786,0.0001928019175151973,0.00011432091926973525,0.00015075728958684312,6.728416346876927e-05,6.871208739041677e-06,4.063856563379422e-06,3.162119369338118e-05,4.2966168587870276e-05,1.9479122285457274e-05,2.274418854560149e-06,1.3513224830593198e-06,2.0658750771353226e-08,1.3932151739499461e-08,8.304288584371935e-06,1.0769334691499843e-05,4.830405586280725e-06,4.862605465924309e-07,2.8633881305242927e-07,2.1440319062144664e-09,1.6374370345669523e-06,1.7779967460007956e-06,7.034942882372149e-07,1.0934107252236836e-07,0.0075894594099975106
86.04,0.0018778842591307035,0.00046194047369629,0.00048521325765069604,0.0001926852059405708,0.00011430335187205952,0.00015068566933729223,6.724227980277809e-05,6.865405183003327e-06,4.060128131952148e-06,3.161665106101551e-05,4.2945690512267045e-05,1.946690866256749e-05,2.27248241872516e-06,1.3500735145540257e-06,2.063563862476185e-08,1.3915868597326825e-08,8.303114301205785e-06,1.0764201640846848e-05,4.827374032648392e-06,4.858576806676052e-07,2.8608387200789916e-07,2.141812045547516e-09,1.6372125387590897e-06,1.7771505918335909e-06,7.030527201564883e-07,1.09326621783725e-07,0.00758698068843786
86.05,0.001877458506848646,0.00046185580392692314,0.00048498660754958466,0.00019256849436594453,0.00011428578447438382,0.00015061404908774147,6.7200396136787e-05,6.859601626964991e-06,4.056399700524884e-06,3.1612108428649836e-05,4.2925212436663855e-05,1.9454695039677732e-05,2.270545982890176e-06,1.3488245460487347e-06,2.061252647817054e-08,1.3899585455154232e-08,8.301940018039635e-06,1.0759068590193864e-05,4.8243424790160675e-06,4.854548147427805e-07,2.8582893096336964e-07,2.139592184880567e-09,1.6369880429512275e-06,1.776304437666388e-06,7.026111520757628e-07,1.0931217104508164e-07,0.007584501966878215
