Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(3),J_6s1/2(2),J_total_Ir_relativistic
0.8500000000000001,0.00962301868885624,0.034168352168550714,0.01670159199583738,0.018672084023902594,0.07411809659526901,0.04424609277131786,0.04756578244801661,0.03071282532472576,0.0314497285329437,0.1426730746947729,0.09836938125640629,0.10601054698991394,0.08053676893210573,0.08244083904326707,0.07210851271071009,0.07313488868228922,0.22667303451322526,0.23237037042847208,0.2481381356804123,0.26166476376263204,0.26606278225553376,0.04110915670011974,7.512569906218929
0.9,0.009622652621284764,0.03415378789730616,0.01670158169316534,0.018672067660185674,0.0739384801915812,0.044245007021424414,0.04756422755466716,0.03071282146428703,0.031449724078942545,0.14106116927118598,0.09830948182768758,0.10592436745467969,0.08053396160844727,0.0824375491133288,0.07210744096087093,0.07313364752833725,0.21361151222231242,0.22848037111320182,0.24254456908760932,0.25369990417060573,0.2564497711624514,0.03959880177659793,7.388440145906329
0.9500000000000001,0.009622265657269665,0.03413839886578831,0.016701569533595906,0.018672048341824763,0.0737491000303756,0.04424372728664439,0.047562395416834914,0.03071281638382557,0.03144971821785847,0.13937818644958727,0.09823945631788752,0.10582378734897632,0.08053031284416431,0.08243327618946242,0.07210593789656859,0.07313191037185802,0.20070216110283842,0.2241755336060786,0.23643691039664952,0.24529817325464914,0.2465020915070842,0.03908409318453461,7.260709911336352
1.0,0.009621857800426353,0.03412218631668753,0.01670155530691891,0.018672025734365584,0.07355003792195654,0.044242232205481534,0.04756025566699983,0.030712809794906436,0.0314497106172571,0.13762733733899155,0.09815835047160622,0.10570749691223623,0.08052564235714087,0.08242781092370541,0.07210387624547289,0.07312953251567697,0.18802799836782885,0.21946695013388917,0.22984798427622538,0.23654828025794486,0.23632474944866416,0.03898716822006398,7.129208223356997
1.05,0.009621429054565176,0.03410515155862429,0.016701538791871817,0.018671999485851826,0.07334137969080859,0.04424049942900473,0.047557776569809945,0.030712801361653264,0.031449700890103495,0.13581193170468234,0.0980651990469349,0.1055741818026015,0.0805197461878588,0.08242091688493396,0.07210110474801573,0.07312634261745259,0.17566406227733222,0.21437171553232912,0.22281827789460543,0.22753574298728804,0.2260132213066639,0.03894344841813371,6.994175556165182
1.1,0.009620979423691342,0.0340872959659543,0.01670151975618835,0.01867196922691537,0.07312321511310613,0.04423850564626603,0.04755492506343919,0.03071279069611117,0.03144968858944662,0.13393536774502351,0.09795903103252594,0.10542253127833617,0.08051239581986566,0.0824123296620693,0.0720974466012401,0.07312214114836516,0.163676960219589,0.20891239924920826,0.2153946575723861,0.21834103485197948,0.21565271549451948,0.03874011469033967,6.856124060506932
1.1500000000000001,0.009620508912004841,0.03406862097856389,0.016701497956649516,0.01867193457087094,0.0728956378515035,0.044236226610774504,0.047551666802603906,0.030712777353468664,0.03144967320294668,0.13200112171986375,0.0978388748601021,0.10525124629066843,0.08050333751272619,0.0824017562268932,0.07209269828282973,0.07311669930421295,0.1521245949641558,0.2031164120178556,0.2076290084158129,0.20903843063493063,0.20531810141308354,0.03826884910605483,6.715730961228355
1.2000000000000002,0.009620017523900357,0.034049128101655834,0.016701473139137012,0.01867189511381515,0.07265874538727536,0.04423363716799074,0.04754796620317278,0.030712760827151842,0.031449654147261155,0.13001273747522743,0.09770376358237778,0.10505904743544901,0.08049229186248877,0.08238887457264069,0.07208662880217323,0.0731097584148222,0.1410560588710382,0.19701529655083705,0.19957685328348918,0.19969538850985896,0.19507426923286109,0.037490713863214155,6.5737597764166225
1.25,0.009619505263967178,0.034028818905525574,0.016701445038689002,0.0186718504347299,0.07241263894987914,0.04423071128380551,0.04754378648830299,0.030712740543804438,0.03144963076230572,0.1279738159086768,0.09755273998712109,0.10484468271315611,0.08047895360145815,0.08237333364045168,0.07207897941067047,0.07310102988011259,0.13051168277472436,0.19064397071132566,0.19129600005709252,0.19037232631203974,0.1849767460676337,0.03641076079423885,6.43100367996261
1.3,0.009618972136989111,0.034007695025327904,0.016701413379558244,0.01867180009559011,0.0721574234440143,0.04422742207396513,0.04753908973603314,0.030712715858167712,0.03144960230540649,0.12588800441917514,0.09738486161903989,0.10460693504929373,0.08046299164572096,0.08235475354158313,0.07206946378835055,0.07309019564348722,0.1205232239178881,0.1840399497084086,0.18284525777402375,0.18112267575224666,0.17507244567727515,0.035060131794817255,6.288245878674436
1.35,0.009618418147944374,0.0339857581608342,0.016701377875272566,0.01867174364147572,0.07189320737425534,0.04422374183440458,0.0475338369282617,0.03071268604787438,0.031449567945360614,0.12375898638448785,0.09719920568231255,0.1043446295300848,0.08044404939547763,0.08233272607908255,0.07205776870899538,0.07307690919629341,0.11111417567469559,0.17724257118669873,0.17428325338807305,0.17199312365329886,0.16540046911961992,0.03348375574961359,6.146232743809061
1.4000000000000001,0.009617843302005505,0.03396301007618023,0.016701338228697644,0.018671680600687975,0.07162010276733762,0.04421964207244879,0.04752798800103795,0.03071265030817102,0.03144952675642214,0.12159047070813803,0.09699487379789223,0.10405664031151428,0.08042174528984927,0.08230681556847438,0.07204355517199464,0.07306079709162913,0.10230018084091883,0.17029224388736455,0.16566737228701658,0.1630239717257662,0.1559929035722831,0.03173212863724736,6.005656335163864
1.4500000000000002,0.00961724760453925,0.03393945259960461,0.016701294132102102,0.018671610484869913,0.07133822509217759,0.04421509353884123,0.0475215018960905,0.030712607746583655,0.031449477712230674,0.11938618147670017,0.0967709965911766,0.10374189716319256,0.08039567361450405,0.08227655995297768,0.0720264599766073,0.07304146093227408,0.09408952992025382,0.16322973707521185,0.1570528376207898,0.15424956494141961,0.14687558763968805,0.029856013294619572,5.8671437527484045
1.5,0.009616631061106455,0.03391508762317798,0.016701245267224885,0.018671532789131032,0.07104769317771072,0.044210066260557984,0.04751433661351742,0.030712557377541305,0.031449419679700275,0.11714984776677961,0.09652673808723593,0.10339939161214444,0.08036540555723445,0.08224147220491959,0.0720060977035402,0.07301847978635104,0.08648372603171096,0.1560955243541592,0.1484919362642773,0.1456987531686603,0.13806882586400882,0.027903188507797876,5.731251403216744
1.55,0.009615993677461965,0.03388991710252289,0.016701191305344896,0.018671446992176093,0.07074862912863249,0.044204529574364944,0.0475064492655601,0.030712498116972485,0.031449351412886226,0.11488519363940458,0.0962612998925154,0.10302818265544196,0.08033049050356002,0.08220104200138757,0.07198206306000435,0.07299141297565245,0.07947809872089043,0.1489291919967471,0.14003339302676174,0.13739536181814466,0.12958804465150175,0.025916609855168964,5.59846277590597
1.6,0.009615335459554489,0.03386394305652461,0.016701131907352895,0.01867135255643803,0.07044115823912975,0.04419845216107466,0.04749779613138222,0.03071242877688967,0.03144927154684742,0.11259592835776648,0.09597392514375454,0.1026274020145495,0.08029045756156956,0.0821547376588238,0.0719539335377767,0.07295980317543187,0.07306244999323866,0.14176891862165253,0.1317218896026087,0.1293586554301539,0.12144438778727108,0.023933523028025577,5.469188705456471
1.6500000000000001,0.009614656413526497,0.033837167567032755,0.01670106672382561,0.018671248928214906,0.07012540890469106,0.04419180208045876,0.047488332712773806,0.03071234805997682,0.03144917859152214,0.11028573686229785,0.09566390220677848,0.10219625890829344,0.08024481730258899,0.08210200830824677,0.07192127232927024,0.07292317976077169,0.06722171721471785,0.13465103006076212,0.12359772073578984,0.1216037840390128,0.11364525324286498,0.021985203544499725,5.3437693790927865
1.7000000000000002,0.009613956545714081,0.03380959277855393,0.016700995395102062,0.01867113553781089,0.0698015125320866,0.044184546806771315,0.04747801379069962,0.03071225455419504,0.031449070925634905,0.1079582705349956,0.09533056810979708,0.1017340443254674,0.0801930637018936,0.08204228629012092,0.07188363144409832,0.07288106233321429,0.06193663906271937,0.12760963062590827,0.11569657708855333,0.11414220629564975,0.10619477492770427,0.020097094390303803,5.222477550148934
1.75,0.00961323586264684,0.03378122089793538,0.016700917551362077,0.018671011799681194,0.06946960344760932,0.0441766532648378,0.04746679348261021,0.030712146727421456,0.031448946790652174,0.10561713828269532,0.0949733116978771,0.10124013478219485,0.0801346762616018,0.08197498974561034,0.07184055496794334,0.07283296436193315,0.05718441238147193,0.12067630974808423,0.10804944226710315,0.10698208616184209,0.09909425394389325,0.018289183625164282,5.105522565201567
1.8,0.009612494371047739,0.03375205419403979,0.016700832812706953,0.018670877112580926,0.06912981880367065,0.04416808786666392,0.04745462530043336,0.030712022922136283,0.03144880428480431,0.10326589796669988,0.09459157649731498,0.10071399555325897,0.08006912229610766,0.08189952537906252,0.07179158240648963,0.0727783968760318,0.05293932953345896,0.11387992112819745,0.10068259024612318,0.10012866188649677,0.09234254414464728,0.016576514337999435,4.993054916156484
1.85,0.009611732077832976,0.033722094997411224,0.016700740789242285,0.01867073085971783,0.06878229848384486,0.04415881654851811,0.04744146220916332,0.030711881350172957,0.03144864135719133,0.10090804820377934,0.09418486328071381,0.1001551833706351,0.07999585935894375,0.08181529136508355,0.07173625205950937,0.07271687214828002,0.049173387582347614,0.10724643009862579,0.09361766892001379,0.09358458721020749,0.08593639666933223,0.014969754903997946,4.885171102932986
1.9000000000000001,0.009610948990111843,0.03369134569993237,0.016700641081162895,0.018670572408908844,0.06842718500645757,0.044148804808441085,0.0474272566859646,0.030711720087546072,0.03144845580198963,0.09854702056110815,0.09375273232564131,0.09956334858639221,0.07991433778882047,0.08172168037248687,0.0716741043736441,0.07264790731541461,0.045856862344168366,0.10079882382524935,0.08687185556127942,0.08735024550496928,0.07987076781473205,0.013475782383313657,4.781918645802934
1.9500000000000002,0.009610145115186583,0.03365980875447309,0.016700533278839857,0.01867040111274042,0.06806462342681464,0.044138017744135755,0.047411960779707135,0.030711537069371693,0.031448245252776535,0.09618617216520708,0.09329480536180065,0.09893823680093407,0.07982400335176222,0.08161808267672026,0.07160468522674528,0.0725710278857459,0.0429588419622061,0.09455707824663341,0.08045807046106702,0.08142403799307961,0.07413909418162598,0.012098249172777405,4.683301125299096
2.0,0.00960932046055224,0.03362748667453043,0.01670041696290962,0.018670216308732595,0.06769476123816842,0.04412642009119031,0.047395526170849536,0.030711330084894326,0.03144800717698948,0.0938287787424294,0.0928107672036661,0.0982796899611997,0.07972429995575138,0.08150388933208728,0.07152754910158204,0.07248577109094312,0.04044771616686179,0.0885381752109556,0.07438523584956329,0.0758026474250911,0.06873353858493764,0.010838114890137744,4.58928315645344
