Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(1),J_total_Fr_relativistic
13.25,0.00764453306644638,0.015952079240285424,0.013264658401277407,0.015013977049796649,0.005513595764119947,0.014064611178847948,0.011694992707636995,0.019720010680813013,0.01977410307131559,0.004626450106411917,0.005279075859063672,0.00539801688235828,0.0027542933856570194,0.0026854606000737517,0.008062486412465745,0.007769886830426696,0.001703552596207547,0.0011215555428724386,0.0012044517879456385,0.0005624025059274272,0.0005062994644891005,0.0003174107441071611,0.000146474942881907,0.00013811852239634307,1.6924635535373608e-05,0.613559165544183
13.3,0.0076413690799864015,0.015882486354712778,0.013255594724516697,0.014998903964746202,0.005482895331596718,0.01393053692047259,0.01155827034735973,0.019646720708966184,0.01969470997016645,0.004548485580173836,0.0052699089097104105,0.005370652324261457,0.002730201563759618,0.002667576336991472,0.00795153439980572,0.007661092026152217,0.0016764961517955887,0.0011215533925653515,0.0012018299902214287,0.0005527378349792101,0.000498642349716941,0.0003125260884226692,0.0001464507337268293,0.00013789391337887778,1.666535224541146e-05,0.6095056290275973
13.350000000000001,0.007638195100221581,0.015812970199346493,0.013246462944956454,0.014983729508794624,0.0054532313229114756,0.013797180348439863,0.011422698156121664,0.01957321866641379,0.019615128739068337,0.004471614527138739,0.005260244353229371,0.005342754095897998,0.0027071726617785147,0.0026505927835641855,0.007842024995326706,0.007553742437936432,0.0016496407430634469,0.001121550711032999,0.001199048727886535,0.0005434076437858392,0.0004912804287609278,0.0003076674297131081,0.00014643444961224186,0.00013765138840658543,1.640737318627367e-05,0.6054896162126725
13.4,0.007635011147303055,0.015743532781748285,0.01323726304268675,0.01496845384472509,0.005424581423516073,0.013664548623469445,0.011288279070516898,0.01949951044949714,0.019535365951594073,0.004395842090578292,0.005250079674459117,0.005314334892262174,0.0026851728356755257,0.0026344776546324525,0.00773394256936936,0.007447821828561035,0.0016229956118012727,0.0011215381710279744,0.0011961075445243948,0.0005344036081398646,0.0004842054384035515,0.000302836865408901,0.00014642441612194976,0.00013739072793097473,1.6150813005790555e-05,0.6015105947148212
13.450000000000001,0.0076318172414301215,0.015674176093804594,0.013227995001768647,0.0149530771421909,0.005396923509461542,0.01353264869471713,0.011155015744627066,0.019425601951997846,0.019455428167736433,0.0043211726331166,0.005239413049712836,0.0052854076517613105,0.0026641689442627662,0.002619199413353874,0.007627271557790384,0.00734331404366969,0.0015965695726726003,0.0011215069370004648,0.001193006277789164,0.0005257175121293398,0.0004774092516694956,0.0002980364087565221,0.0001464190389090312,0.00013711175587085826,1.589578294969503e-05,0.5975680427608258
13.5,0.007628613402849971,0.01560490211167749,0.013218658810228196,0.014937599577679437,0.005370235650841776,0.013401487300784413,0.01102291055373091,0.019351499063664523,0.01937532193234878,0.004247609756860153,0.0052282433199216756,0.005255985532054093,0.0026441285426914963,0.0026047272619244533,0.007521996465567831,0.007240203015057085,0.001570371018467997,0.0011214486512646457,0.001189745044380807,0.0005173412503806239,0.00047088387875566563,0.0002932679894311241,0.00014641680158362368,0.00013681433755214514,1.5642388548032484e-05,0.5936614489769433
13.55,0.007625399651857413,0.015535712795757427,0.013209254460049995,0.014922021334475358,0.005344496115083866,0.013271070970786976,0.010891965598055104,0.019277207668762286,0.019295053773614824,0.004175156323551346,0.005216569964303559,0.005226081886756723,0.002625019875706497,0.0025910311321414685,0.007418101870237843,0.007138472763791224,0.0015444079257434535,0.0011213554202784638,0.0011863242254589394,0.0005092668300743339,0.0004646214677704445,0.00028853345425507095,0.00014641626360849272,0.00013649837770042295,1.539073129938125e-05,0.5897903121827274
13.600000000000001,0.0076221760087946105,0.015466610090617911,0.013199781947170294,0.014906342602623059,0.005319683370087199,0.013141406025480595,0.01076218270656366,0.019202733644645396,0.019214630201547737,0.004103814474720439,0.005204393074560602,0.005195710243001229,0.0026068118706821315,0.0025780816758232817,0.007315572425167767,0.00703810740317412,0.0015186878608113344,0.001121219801050231,0.0011827444524916094,0.0005014863727445459,0.0004586143052918678,0.0002838345680148028,0.000146416058204987,0.0001361638184838009,1.5140909906150547e-05,0.5859541411862508
13.65,0.007618942494050805,0.015397595924971991,0.01319024127146968,0.014890563578888395,0.005295776087213442,0.013012498578442663,0.010633563440783068,0.019128082860353196,0.019134057706518697,0.0040335856518119405,0.0051917133296075,0.005164884279829925,0.0025894741304556437,0.0025658502551008542,0.007214392862670375,0.006939091141545727,0.0014932179860530916,0.0011210347876843966,0.0011790065935347027,0.0004939921158709691,0.00045285481675399737,0.0002791730143683023,0.0001464148902722569,0.0001358106376047125,1.4893017285295185e-05,0.5821524545770894
13.700000000000001,0.007615699128062046,0.015328672211630616,0.013180632436765307,0.014874684466719688,0.005272753144129551,0.012884354537307768,0.01050610909866046,0.019053261175229597,0.019053342757815034,0.003964470616262702,0.005178531970832504,0.005133617807409852,0.002572976925972726,0.0025543089325951725,0.007114547996963884,0.006841408284935994,0.0014680050665243573,0.001120793798077875,0.0011751117399372046,0.00048677641427348305,0.00044733556667042915,0.0002745503968356403,0.0001464115343226859,0.00013543884644350983,1.4647140781193652e-05,0.5783847805246245
