event_number,record_index,step_number,vlm,pdg,track_id,E0_keV,Eprime_k_keV,E0_minus_Eprime_keV,px,py,pz,theta_deg,cos_theta,q_gamma_keV_c,Q_keV_c,Q_au,Q_abs_au
22446,5,5,2,22,1,662.0,262.59609615,399.40390385,-0.65041818,0.17404846,-0.73936684,100.0232893,-0.17404846,753.46758221,-105.85897222,-28.40037029,28.40037029
22526,5,5,2,22,1,662.0,222.35727858,439.64272142,-0.14485891,0.52619674,-0.8379337,121.74884224,-0.52619674,801.62311928,-120.55837676,-32.34399948,32.34399948
22577,5,5,2,22,1,662.0,226.32679902,435.67320098,0.02881533,0.48589065,-0.87354448,119.07084182,-0.48589065,796.91166367,-119.09110943,-31.95035371,31.95035371
22775,5,5,2,22,1,662.0,192.4923095,469.5076905,0.21140838,0.88274417,-0.41960604,151.97518379,-0.88274417,836.82334313,-131.71026461,-35.33588328,35.33588328
22792,5,5,2,22,1,662.0,187.65545324,474.34454676,-0.03214349,0.95116819,-0.3069949,162.02071724,-0.95116819,842.48551427,-133.53447101,-35.82529042,35.82529042
22840,5,5,2,22,1,662.0,185.82770041,476.17229959,-0.20766196,0.9779516,-0.02207232,167.94610457,-0.9779516,844.62246657,-134.22507086,-36.01056797,36.01056797
22848,6,6,2,22,1,662.0,183.84723786,478.15276214,0.55303112,0.7420495,0.37883918,137.90629524,-0.7420495,807.87923146,-101.49829537,-27.23046627,27.23046627
22851,5,5,2,22,1,662.0,185.66920345,476.33079655,0.17023653,0.98029901,0.1001667,168.60807279,-0.98029901,844.80770796,-134.28499007,-36.0266434,36.0266434
22857,5,5,2,22,1,662.0,225.9353012,436.0646988,-0.54599232,0.48980292,0.67969514,119.32762911,-0.48980292,797.3766946,-119.23565876,-31.98913413,31.98913413
22879,5,5,2,22,1,662.0,190.44753299,471.55246701,-0.25638228,0.91124629,0.32233264,155.67815107,-0.91124629,839.21828057,-132.48084933,-35.54261957,35.54261957
22907,5,5,2,22,1,662.0,224.84519485,437.15480515,-0.18417313,0.50076824,-0.84576086,120.0508393,-0.50076824,798.67113478,-119.6383357,-32.09716629,32.09716629
22917,5,5,2,22,1,662.0,186.35042536,475.64957464,-0.18979923,0.97023808,-0.15038058,165.98635374,-0.97023808,844.01146096,-134.02749335,-35.9575609,35.9575609
22933,5,5,2,22,1,662.0,192.09864145,469.90135855,-0.21862381,0.88818434,0.4041438,152.64597123,-0.88818434,837.2845698,-131.85855225,-35.37566662,35.37566662
22988,5,5,2,22,1,662.0,195.22357306,466.77642694,0.34424467,0.84560451,-0.40798116,147.73676193,-0.84560451,833.62145097,-130.68234684,-35.0601084,35.0601084
23081,5,5,2,22,1,662.0,188.41927147,473.58072853,0.33832148,0.94012935,0.04117507,160.07329017,-0.94012935,841.59204998,-133.24607453,-35.74791798,35.74791798
23163,5,5,2,22,1,662.0,204.94359183,457.05640817,0.41216525,0.72146201,0.55642823,136.1753191,-0.72146201,822.19901059,-127.03710487,-34.0821448,34.0821448
23174,5,5,2,22,1,662.0,239.54002855,422.45997145,-0.28443739,0.36134892,-0.8879878,111.18306124,-0.36134892,781.16937813,-114.23355261,-30.64714427,30.64714427
23220,6,6,2,22,1,662.0,185.61076888,476.38923112,0.54981025,0.81070541,0.2011602,144.16490914,-0.81070541,819.71039021,-112.87848234,-30.2835993,30.2835993
23308,5,5,2,22,1,662.0,207.58993504,454.41006496,0.08449302,0.68967677,0.71917097,133.60452791,-0.68967677,819.0815606,-126.04820231,-33.81683711,33.81683711
23411,6,6,2,22,1,662.0,170.26357615,491.73642385,0.08944329,0.97245614,0.21524159,166.52117886,-0.97245614,828.52488024,-110.9796799,-29.77417916,29.77417916
23439,5,5,2,22,1,662.0,207.56024627,454.43975373,0.23739534,0.69002887,0.68374236,133.632394,-0.69002887,819.116553,-126.0592881,-33.81981126,33.81981126
23517,5,5,2,22,1,662.0,187.16990975,474.83009025,-0.24981864,0.95823219,-0.13921822,163.38188329,-0.95823219,843.05333859,-133.7178617,-35.87449139,35.87449139
23518,5,5,2,22,1,662.0,222.92915689,439.07084311,0.59337413,0.52030145,0.61416084,121.3524742,-0.52030145,800.94484813,-120.34676828,-32.2872281,32.2872281
23629,5,5,2,22,1,662.0,186.14940438,475.85059562,0.2040691,0.97319929,-0.10601389,166.70508614,-0.97319929,844.24644549,-134.10346778,-35.9779437,35.9779437
23815,5,5,2,22,1,662.0,196.0208574,465.9791426,0.39663917,0.83495821,0.38147367,146.61148692,-0.83495821,832.6861529,-130.38258457,-34.97968669,34.97968669
23866,5,5,2,22,1,662.0,268.29524584,393.70475416,-0.22275475,0.13271243,-0.96579901,97.62636153,-0.13271243,746.57138569,-103.80961429,-27.85055838,27.85055838
23874,5,5,2,22,1,662.0,259.2930522,402.7069478,0.64494644,0.19883724,-0.73790774,101.4689725,-0.19883724,757.45528485,-107.05054882,-28.72005238,28.72005238
23927,5,5,2,22,1,662.0,185.36951863,476.63048137,0.03411289,0.98474847,-0.17060706,169.980457,-0.98474847,845.15793121,-134.39829902,-36.05704249,36.05704249
23971,5,5,2,22,1,662.0,190.03920517,471.96079483,-0.03572552,0.91701143,-0.39725775,156.49301164,-0.91701143,839.69631135,-132.63483474,-35.58393154,35.58393154
24030,5,5,2,22,1,662.0,219.60860403,442.39139597,0.1623219,0.5549603,0.81588643,123.70798023,-0.5549603,804.88085422,-121.57649283,-32.61714471,32.61714471
24118,6,6,2,22,1,662.0,142.22290637,519.77709363,-0.7361278,0.65346885,0.17633583,130.80365208,-0.65346885,762.57562536,-32.98649539,-8.84978065,8.84978065
24185,5,5,2,22,1,662.0,185.39971919,476.60028081,0.11634202,0.98429942,-0.13273726,169.83364438,-0.98429942,845.12263942,-134.38687954,-36.05397881,36.05397881
24217,5,5,2,22,1,662.0,186.46391851,475.53608149,0.18467187,0.96856905,-0.16664423,165.59674894,-0.96856905,843.87878478,-133.98460312,-35.9460541,35.9460541
24227,5,5,2,22,1,662.0,211.35356308,450.64643692,0.34082546,0.6458428,0.6831728,130.22889525,-0.6458428,814.64218356,-124.64443457,-33.44022734,33.44022734
24235,5,5,2,22,1,662.0,206.72308681,455.27691319,0.50957946,0.69999886,-0.50033025,134.42691283,-0.69999886,820.10309136,-126.37196309,-33.90369726,33.90369726
24260,5,5,2,22,1,662.0,189.71940304,472.28059696,-0.38793821,0.92154402,-0.01614188,157.15286143,-0.92154402,840.07065345,-132.75546038,-35.61629358,35.61629358
24327,5,5,2,22,1,662.0,214.61878846,447.38121154,0.25510626,0.60905907,-0.75097793,127.52149837,-0.60905907,810.78515733,-123.42910532,-33.11417278,33.11417278
24336,5,5,2,22,1,662.0,209.19504724,452.80495276,0.60219267,0.67078957,0.43290339,132.1280332,-0.67078957,817.18908452,-125.44914146,-33.65611809,33.65611809
24380,5,5,2,22,1,662.0,191.08703052,470.91296948,0.293564,0.90226678,0.31580822,154.45764411,-0.90226678,838.46947055,-132.23975709,-35.47793815,35.47793815
