event_number,record_index,step_number,vlm,pdg,track_id,E0_keV,Eprime_k_keV,E0_minus_Eprime_keV,px,py,pz,theta_deg,cos_theta,q_gamma_keV_c,Q_keV_c,Q_au,Q_abs_au
5691,7,7,5,22,1,662.0,409.0642186,252.9357814,-0.86187274,-0.45136828,-0.23117537,63.16849494,0.45136828,600.92929182,-85.38079819,-22.90638416,22.90638416
5691,8,8,5,22,1,662.0,409.0642186,252.9357814,-0.86187274,-0.45136828,-0.23117537,63.16849494,0.45136828,600.92929182,-85.38079819,-22.90638416,22.90638416
5693,7,7,5,22,1,662.0,653.64306322,8.35693678,-0.1394415,-0.99013111,-0.01401644,8.0561894,0.99013111,92.79337026,-0.37621316,-0.10093233,0.10093233
6082,7,7,5,22,1,662.0,588.94330068,73.05669932,-0.37331814,-0.90424785,-0.20729061,25.27782947,0.90424785,282.84460178,-9.43472497,-2.53119482,2.53119482
6248,7,7,5,22,1,662.0,547.60891167,114.39108833,0.08678215,-0.85794136,0.50636498,30.91378175,0.85794136,340.70910878,1.21070357,0.32481356,0.32481356
6248,8,8,5,22,1,662.0,547.60891167,114.39108833,0.08678215,-0.85794136,0.50636498,30.91378175,0.85794136,340.70910878,1.21070357,0.32481356,0.32481356
6403,7,7,5,22,1,662.0,252.90763943,409.09236057,0.92168256,-0.3698051,-0.11724095,68.29640232,0.3698051,615.12368068,32.28232892,8.66086337,8.66086337
6403,8,8,5,22,1,662.0,252.90763943,409.09236057,0.92168256,-0.3698051,-0.11724095,68.29640232,0.3698051,615.12368068,32.28232892,8.66086337,8.66086337
6485,7,7,5,22,1,662.0,600.23125319,61.76874681,-0.3428573,-0.92056495,-0.18710703,22.99118591,0.92056495,258.73326548,-7.37292791,-1.97804568,1.97804568
6637,7,7,5,22,1,662.0,641.01122323,20.98877677,-0.1796652,-0.97901509,0.09617629,11.7585464,0.97901509,135.09404687,11.84407613,3.17758751,3.17758751
6637,8,8,5,22,1,662.0,641.01122323,20.98877677,-0.1796652,-0.97901509,0.09617629,11.7585464,0.97901509,135.09404687,11.84407613,3.17758751,3.17758751
6829,7,7,5,22,1,662.0,569.78876426,92.21123574,-0.48254662,-0.86988483,-0.102221,29.55474085,0.86988483,326.5912367,-19.01758463,-5.10213196,5.10213196
6829,8,8,5,22,1,662.0,569.78876426,92.21123574,-0.48254662,-0.86988483,-0.102221,29.55474085,0.86988483,326.5912367,-19.01758463,-5.10213196,5.10213196
6839,7,7,5,22,1,662.0,619.63374632,42.36625368,-0.31665918,-0.94722272,0.04996078,18.69777593,0.94722272,212.35140299,-4.22603069,-1.13378048,1.13378048
6886,7,7,5,22,1,662.0,521.70437204,140.29562796,-0.60911906,-0.79242185,0.03227357,37.58758374,0.79242185,403.81269068,-24.37089997,-6.53834596,6.53834596
6899,7,7,5,22,1,662.0,641.24592601,20.75407399,-0.16320336,-0.97501722,0.15068536,12.83412663,0.97501722,147.10999274,-1.46382423,-0.39272203,0.39272203
7158,7,7,5,22,1,662.0,599.82749501,62.17250499,-0.39142492,-0.9199919,0.02003601,23.07510285,0.9199919,259.62585569,-7.44395205,-1.99710039,1.99710039
7304,7,7,5,22,1,662.0,657.08182702,4.91817298,-0.10730687,-0.99422242,-0.00265026,6.16197758,0.99422242,71.06722516,-0.17010446,-0.04563647,0.04563647
7311,7,7,5,22,1,662.0,639.75518782,22.24481218,-0.22912811,-0.97316035,-0.02143014,13.30461343,0.97316035,152.41056795,-1.62319182,-0.43547796,0.43547796
7375,7,7,5,22,1,662.0,653.74485658,8.25514342,-0.09531495,-0.99025283,-0.10155975,8.00626914,0.99025283,92.22193868,-0.36937738,-0.0990984,0.0990984
7630,7,7,5,22,1,662.0,658.46661842,3.53338158,-0.09001907,-0.99585792,0.01278966,5.21671405,0.99585792,60.1962877,-0.10363664,-0.02780415,0.02780415
7638,7,7,5,22,1,662.0,634.22441893,27.77558107,-0.21746918,-0.9661949,-0.13847225,14.94031728,0.9661949,170.75733134,-2.25882645,-0.60600917,0.60600917
7658,7,7,5,22,1,662.0,625.69230249,36.30769751,-0.20871108,-0.95520806,0.20980288,17.21361653,0.95520806,196.02203092,-3.3623,-0.90205453,0.90205453
7720,7,7,5,22,1,662.0,608.61992147,53.38007853,-0.32261415,-0.93229901,-0.16351964,21.20392781,0.93229901,239.59081092,-5.94621389,-1.59527976,1.59527976
