energy_center_keV,raw_counts,smoothed_counts
441.0,0,0.16812772961803013
443.0,0,0.2935818234700075
445.0,1,0.4857640247169062
447.0,0,0.6390810277808328
449.0,2,0.6422978858548112
451.0,0,0.46952680736601377
453.0,0,0.26227410017936675
455.0,0,0.18244728874872246
457.0,0,0.22927975058782216
459.0,1,0.27561805251394567
461.0,0,0.24914031875883363
463.0,0,0.21886079204633177
465.0,0,0.25101826977784064
467.0,1,0.2887564637508617
469.0,0,0.28598442127341056
471.0,0,0.3281127459322269
473.0,0,0.46201862623805223
475.0,2,0.5405541130968776
477.0,0,0.43456065587044385
479.0,0,0.2547659190514052
481.0,0,0.18132987110194815
483.0,0,0.22816233294104787
485.0,1,0.26802065031734873
487.0,0,0.21314597068512478
489.0,0,0.1093411749545305
491.0,0,0.03599434807370883
493.0,0,0.007597402196596929
495.0,0,0.001028196578138909
497.0,0,8.922106863539231e-05
499.0,0,0.0
501.0,0,0.0
503.0,0,0.0
505.0,0,0.0
507.0,0,8.922106863539231e-05
509.0,0,0.001028196578138909
511.0,0,0.007597402196596929
513.0,0,0.03599434807370883
515.0,0,0.1093411749545305
517.0,0,0.212967528547854
519.0,1,0.2659642571610709
521.0,0,0.212967528547854
523.0,0,0.1093411749545305
525.0,0,0.03599434807370883
527.0,0,0.007686623265232321
529.0,0,0.002056393156277818
531.0,0,0.007686623265232321
533.0,0,0.03599434807370883
535.0,0,0.1093411749545305
537.0,0,0.212967528547854
539.0,1,0.2659642571610709
541.0,0,0.212967528547854
543.0,0,0.1093411749545305
545.0,0,0.03599434807370883
547.0,0,0.007597402196596929
549.0,0,0.001028196578138909
551.0,0,8.922106863539231e-05
553.0,0,0.0
555.0,0,0.0
557.0,0,0.0
559.0,0,0.0
561.0,0,0.0
563.0,0,0.0
565.0,0,0.0
567.0,0,0.0
569.0,0,0.0
571.0,0,0.0
573.0,0,0.0
575.0,0,0.0
577.0,0,0.0
579.0,0,0.0
581.0,0,0.0
583.0,0,0.0
585.0,0,0.0
587.0,0,0.0
589.0,0,0.0
591.0,0,0.0
593.0,0,0.0
595.0,0,0.0
597.0,0,0.0
599.0,0,0.0
601.0,0,0.0
603.0,0,0.0
605.0,0,0.0
607.0,0,0.0
609.0,0,0.0
611.0,0,0.0
613.0,0,0.0
615.0,0,0.0
617.0,0,0.0
619.0,0,0.0
621.0,0,0.0
623.0,0,0.0
625.0,0,0.0
627.0,0,0.0
629.0,0,0.0
631.0,0,0.0
633.0,0,0.0
635.0,0,0.0
637.0,0,0.00017844213727078462
639.0,0,0.002056393156277818
641.0,0,0.015194804393193859
643.0,0,0.07243480149059463
645.0,0,0.22400177493702633
647.0,0,0.46597846123497044
