event_number,et_index,stored_et_keV,number_of_vlm4_gamma_records
1852,2,0.0,1
1852,3,127.18214099590375,1
1959,0,74.90418772651519,1
1959,1,0.0,1
1959,2,0.0,1
1959,3,74.90418772651519,1
2051,0,258.4409869931678,2
2051,1,0.0,2
2051,2,0.0,2
2051,3,62.61792713762993,2
2051,4,195.82305985553788,2
2086,0,272.11412275464266,1
2086,1,0.0,1
2086,2,0.0,1
2086,3,154.51713508198503,1
2086,4,116.58497980439019,1
2086,5,0.0,1
2086,6,1.012007868267488,1
2262,0,662.0,3
2262,1,0.0,3
2262,2,0.0,3
2262,3,127.26132747267604,3
2262,4,534.738672527324,3
2312,0,78.89493555697202,1
2312,1,0.0,1
2312,2,0.0,1
2312,3,78.89493555697202,1
2511,0,51.063826004697944,1
2511,1,0.0,1
2511,2,0.0,1
2511,3,51.063826004697944,1
2853,0,103.79833462912502,1
2853,1,0.0,1
2853,2,0.0,1
2853,3,103.79833462912502,1
2970,0,261.04317619308637,1
2970,1,0.0,1
2970,2,0.0,1
2970,3,261.04317619308637,1
3011,0,72.04300139952191,1
3011,1,0.0,1
3011,2,0.0,1
3011,3,72.04300139952191,1
3048,0,78.33468591646142,1
3048,1,0.0,1
3048,2,0.0,1
3048,3,78.33468591646142,1
3096,0,62.26332085607555,1
3096,1,0.0,1
3096,2,0.0,1
3096,3,62.26332085607555,1
3106,0,253.5309109922682,2
3106,1,0.0,2
3106,2,0.0,2
3106,3,142.298773445093,2
3106,4,111.2321375471752,2
3130,0,40.48306696375592,1
3130,1,0.0,1
3130,2,0.0,1
3130,3,40.48306696375592,1
3189,0,218.70351560221135,1
3189,1,0.0,1
3189,2,0.0,1
3189,3,218.70351560221135,1
3321,0,38.18559657360188,1
3321,1,0.0,1
3321,2,0.0,1
3321,3,38.18559657360188,1
3447,0,90.4734004681973,1
3447,1,0.0,1
3447,2,0.0,1
3447,3,90.4734004681973,1
3498,0,50.66090084472774,1
3498,1,0.0,1
3498,2,0.0,1
3498,3,50.66090084472774,1
3610,0,288.4251905684983,2
3610,1,0.0,2
3610,2,0.0,2
3610,3,62.32677944264297,2
3610,4,226.0984111258553,2
3783,0,340.92668360229936,3
3783,1,0.0,3
3783,2,0.0,3
3783,3,109.91350767551012,3
3783,4,231.01317592678922,3
3846,0,47.78241379458981,1
3846,1,0.0,1
3846,2,0.0,1
3846,3,47.78241379458981,1
