event_number,track_id,record_index,step_number,vlm,pdg,E0_keV,Eprime_k_keV,Et_E0_minus_Eprime_keV,stored_et_keV,theta_deg,cos_theta,q_gamma_keV_c,Q_keV_c,Q_signed_au,Q_absolute_au,px,py,pz
79923,1,7,7,4,22,662.0,592.596307,69.403693,,24.550361,0.909596,275.222265,-8.750602,-2.347655,2.347655,0.401271,-0.909596,0.107776
79985,1,7,7,4,22,662.0,508.806014,153.193986,,39.861877,0.767592,424.302154,-27.654896,-7.419393,7.419393,0.581369,-0.767592,-0.269838
79995,1,7,7,4,22,662.0,468.568525,193.431475,,47.050893,0.681348,484.873469,-38.582554,-10.351119,10.351119,0.653804,-0.681348,-0.329096
80028,1,7,7,4,22,662.0,536.231773,125.768227,,44.475077,0.713555,468.172042,-96.812629,-25.973373,25.973373,0.427336,-0.713555,0.555178
80066,1,6,6,4,22,662.0,384.088756,277.911244,,83.068969,0.120674,724.155474,-165.969786,-44.527198,44.527198,0.978836,-0.120674,0.165283
80182,1,7,7,4,22,662.0,583.122966,78.877034,,26.416005,0.895588,294.675657,-10.556377,-2.832117,2.832117,0.393177,-0.895588,-0.20817
80226,1,7,7,4,22,662.0,475.902374,186.097626,,45.720887,0.698154,474.15577,-36.51956,-9.797649,9.797649,0.690481,-0.698154,0.189251
80265,1,7,7,4,22,662.0,615.6155,46.3845,,19.637129,0.94184,222.612623,-4.832207,-1.296409,1.296409,0.33098,-0.94184,-0.058222
80294,1,7,7,4,22,662.0,182.364259,479.635741,,172.410015,-0.991239,843.110651,-130.853431,-35.106008,35.106008,-0.070797,0.991239,-0.111507
80333,1,6,6,4,22,662.0,469.044807,192.955193,,46.964149,0.682456,484.181261,-38.447673,-10.314933,10.314933,0.725535,-0.682456,-0.088614
80375,1,7,7,4,22,662.0,479.06796,182.93204,,45.1503,0.705249,469.48938,-35.638434,-9.561256,9.561256,0.693099,-0.705249,0.14912
80481,1,7,7,4,22,662.0,627.464763,34.535237,,16.761191,0.957515,191.017327,-3.121725,-0.837512,0.837512,0.249118,-0.957515,-0.145275
80585,1,7,7,4,22,662.0,521.910745,140.089255,,37.551189,0.792809,403.479755,-24.319304,-6.524504,6.524504,0.598344,-0.792809,-0.115922
80820,1,7,7,4,22,662.0,527.585148,134.414852,,36.549785,0.80334,394.257578,-22.912761,-6.147149,6.147149,0.594092,-0.80334,-0.041233
80859,1,7,7,4,22,662.0,570.759409,91.240591,,28.764481,0.876605,318.704457,-13.060135,-3.503838,3.503838,0.376258,-0.876605,-0.299989
80992,1,7,7,4,22,662.0,501.598129,160.401871,,41.135145,0.75316,435.498705,-29.539021,-7.924875,7.924875,0.655401,-0.75316,-0.056562
81063,1,8,8,4,22,662.0,300.836313,361.163687,,49.402745,0.650738,519.184811,95.877632,25.722527,25.722527,0.721999,-0.650738,-0.235071
81157,1,8,8,4,22,662.0,166.94122,495.05878,,82.183757,0.135996,660.343892,52.923952,14.1987,14.1987,-0.806106,-0.135996,-0.575932
81251,1,8,8,4,22,662.0,351.072226,310.927774,,32.738607,0.841147,412.933741,178.302105,47.835773,47.835773,0.536805,-0.841147,0.065669
81356,1,7,7,4,22,662.0,617.923954,44.076046,,19.101413,0.944941,216.767897,-4.480834,-1.20214,1.20214,0.263551,-0.944941,-0.193979
81371,1,7,7,4,22,662.0,407.18029,254.81971,,76.697407,0.230094,692.816492,-158.461116,-42.512734,42.512734,0.892611,-0.230094,0.387689
81390,1,7,7,4,22,662.0,512.068933,149.931067,,39.286332,0.773991,419.176035,-26.813315,-7.193609,7.193609,0.565696,-0.773991,0.284474
81426,1,8,8,4,22,662.0,195.376166,466.623834,,96.871178,-0.119637,712.294477,-21.391338,-5.738974,5.738974,-0.706694,0.119637,0.697331
81604,1,7,7,4,22,662.0,628.11236,33.88764,,16.593556,0.958355,189.159897,-3.035258,-0.814314,0.814314,0.274046,-0.958355,0.080342
81635,1,7,7,4,22,662.0,548.023816,113.976184,,32.916602,0.839462,359.824933,-18.050892,-4.842783,4.842783,0.532578,-0.839462,0.107997
81740,1,7,7,4,22,662.0,610.822289,51.177711,,20.719081,0.935326,234.355855,-5.587756,-1.499111,1.499111,0.352187,-0.935326,0.033605
