event_number,track_id,record_index,volume,pdg,Eprime_k_keV,Et_662_minus_k_keV,stored_et_keV,px,py,pz,theta_direction_deg,theta_energy_deg,delta_theta_deg,q_keV_c,Q_keV_c,Q_signed_au,Q_absolute_au
3106,1,7,4,22,408.46908900773184,253.53091099226816,,-0.0008982045881140155,-0.9841479232400073,-0.17734728193828864,10.215416869871683,58.60798533335344,-48.39256846348176,269.9091202386232,345.0377254415162,92.56843290502074,92.56843290502074
3130,1,7,4,22,621.5169330362442,40.483066963755846,,0.30356829812961206,-0.9497214868851149,0.07665106469852415,18.245908494243263,18.24592812033635,-1.9626093088476182e-05,207.39451510265283,-3.9509011530388785,-1.0599673639497122,1.0599673639497122
3189,1,7,4,22,443.2964843977887,218.70351560221133,,0.7851730133177274,-0.6191767443610687,0.011112983397249655,51.74395912150126,51.74401839268235,-5.9271181086728575e-05,520.9085753839752,-45.910888420146755,-12.317200934744177,12.317200934744177
3321,1,7,4,22,623.8144034263981,38.185596573601856,,0.2677436377366318,-0.9527495263647761,0.1434631815597655,17.68340014677462,17.683419157940172,-1.9011165552029752e-05,201.20570627917698,-3.6232981858334,-0.9720764144877635,0.9720764144877635
3447,1,7,4,22,571.5265995318027,90.47340046819727,,0.3799745015829776,-0.8778069654523089,0.2916750067286822,28.621059958763478,28.6210911352157,-3.1176452221615136e-05,317.252351037409,-12.900202210480439,-3.460930254087439,3.460930254087439
3498,1,7,4,22,611.3390991552723,50.660900844727735,,0.29003144781576523,-0.9360334806638498,-0.19930650354218085,20.604242530181896,20.604264745311994,-2.2215130098146574e-05,233.1133996512154,-5.504652322593635,-1.476815436739381,1.476815436739381
3610,1,7,4,22,373.5748094315017,288.4251905684983,,-0.583145739078196,-0.7883215195283855,0.19618926791086694,37.97106960112233,66.16913808490683,-28.198068483784503,433.46052751128116,123.28979118850147,33.07679688910212,33.07679688910212
3783,1,7,4,22,332.81926890667705,329.18073109332295,,0.9950227500452395,0.0514237529229965,0.08535411254136231,92.94766411890431,76.31784809068593,16.629816028218386,756.090392707102,-155.57000659955207,-41.737093239635364,41.737093239635364
3846,1,7,4,22,614.2175862054102,47.78241379458984,,0.2837929537036433,-0.9399507175389505,0.18961594876532348,19.95671828647972,19.956739788907356,-2.1502427635766708e-05,226.0899860684814,-5.048996070272169,-1.3545697166031285,1.3545697166031285
3924,1,7,4,22,475.4226513502537,186.57734864974628,,0.7073884697782017,-0.6970708739794336,0.11702029513893217,45.80753032779514,45.80758196342659,-5.1635631450608344e-05,474.8607697110697,-36.653586178249185,-9.833605958675848,9.833605958675848
4205,1,7,4,22,604.4289792362126,57.571020763787374,,0.328624315459787,-0.9264774374068018,0.18342741688393316,22.107795026763533,22.107818902528113,-2.3875764579628367e-05,249.3027880861943,-6.647131691550357,-1.7833254703170476,1.7833254703170476
4236,1,7,4,22,581.585012751406,80.414987248594,,0.44626478580066303,-0.8932701804017784,-0.05400116442506225,26.712902835530922,26.712931853400786,-2.9017869863423584e-05,297.7423581514433,-10.859044224789496,-2.9133182623691427,2.9133182623691427
4260,1,6,4,22,526.6249752984664,135.37502470153356,,0.5380517659117839,-0.8015737698421449,0.2607293399298647,36.71934980776888,36.719390368191,-4.0560422121416195e-05,395.8274591793176,-23.149104199823768,-6.2105565302769685,6.2105565302769685
4358,1,7,4,22,314.04965228799045,347.95034771200955,,-0.07900566455085833,-0.43572697662346327,0.8966047662216912,64.16843844713506,81.67591871070802,-17.50748026357296,596.4018353583066,-0.0753634980254907,-0.02021889317040138,0.02021889317040138
4574,1,7,4,22,587.9303437410969,74.06965625890314,,0.41600564414597335,-0.9027529494433273,0.1094368142357367,25.477676701817327,25.477704331503613,-2.7629686286445576e-05,284.93041466831926,-9.627179521792447,-2.5828274878849076,2.5828274878849076
4764,1,7,4,22,556.3630750014803,105.6369249985197,,0.5165259191815951,-0.853438656885168,0.06959478247432604,31.412329980717626,31.412364348345182,-3.4367627556264324e-05,345.1374609965332,-16.165920677556414,-4.337073407475603,4.337073407475603
4775,1,7,4,22,627.3285565004246,34.67144349957539,,0.24951585815923416,-0.9573382319441697,-0.1457578340435676,16.796285813516807,16.796303856793756,-1.8043276948986886e-05,191.40597866096957,-3.1400100953131944,-0.8424174877026743,0.8424174877026743
4849,1,7,4,22,477.41825291848374,184.58174708151626,,0.7085888776670568,-0.7015636515857633,0.07556616451951656,45.44740900297151,45.447460186559226,-5.118358771483145e-05,471.92432071759737,-36.09690947443648,-9.684257970595024,9.684257970595024
4888,1,7,4,22,570.3381056710293,91.66189432897067,,0.4767396893128715,-0.8759438143411591,0.07376789783725526,28.843126712282913,28.843158141114717,-3.142883180373701e-05,319.49985767329196,-13.148210941672865,-3.527467267000645,3.527467267000645
4942,1,7,4,22,440.2006062881954,221.7993937118046,,0.7872473923817073,-0.6110697680562948,0.08267576280765887,52.33310558229724,52.333165631557016,-6.0049259772654295e-05,525.2365827907554,-46.830789343403325,-12.563996518574259,12.563996518574259
5028,1,7,4,22,616.6569721108567,45.343027889143286,,0.2695478283451376,-0.9432417683754373,0.19400756332266605,19.396703297846795,19.39672418503314,-2.0887186344964448e-05,219.99196765577463,-4.672650897808799,-1.2536019664774718,1.2536019664774718
5068,1,7,4,22,532.3057153014629,129.6942846985371,,0.5197245809270222,-0.8119290607929487,0.2658148984163818,35.71516366961704,35.715203044493165,-3.937487612404311e-05,386.48141444554557,-21.760845568803635,-5.838107616825662,5.838107616825662
5199,1,7,4,22,427.58864011801535,234.41135988198465,,0.3304385743332736,-0.48356458205563024,0.8105403404975952,61.08152953220464,54.77214735714064,6.309382175064002,589.33598665213,-91.4151670729828,-24.525314583697607,24.525314583697607
5248,1,7,4,22,582.8428175644669,79.15718243553306,,0.36857239482945503,-0.8951663124148924,-0.25066244809943816,26.47019990174885,26.470228646311508,-2.874456265899994e-05,295.2360537224227,-10.61131743476932,-2.8468568900324946,2.8468568900324946
5381,1,7,4,22,587.549635806728,74.45036419327198,,0.42145158779950204,-0.9021897769103837,0.09182682385703396,25.552586632419647,25.55261434609594,-2.771367629250676e-05,285.711334448322,-9.699815440327749,-2.602314612496646,2.602314612496646
5388,1,7,4,22,570.305598980089,91.69440101991097,,0.4491416019924607,-0.875892745887017,-0.17630575447825692,28.849191484392644,28.849222920120592,-3.143572794783722e-05,319.561169616953,-13.15501394409709,-3.5292924102444854,3.5292924102444854
5631,1,6,4,22,456.99639224114,205.00360775886003,,0.733840602858006,-0.6537333089432085,0.18469090496058996,49.176327626169765,49.176383550603475,-5.592443370971978e-05,501.5373559525138,-41.89721043457296,-11.240391490691305,11.240391490691305
5643,1,7,4,22,450.279284472956,211.72071552704398,,0.7516713636910004,-0.6370528670742523,0.17074485514763554,50.42759138696978,50.42764893352201,-5.7546552227449865e-05,511.0809829183263,-43.85332396459655,-11.76518733389044,11.76518733389044
5665,1,7,4,22,517.4050803952607,144.5949196047393,,0.5578456547742088,-0.7842830209450036,-0.27149285166816706,38.34558499029633,38.34562748543456,-4.249513823140205e-05,410.7108269751603,-25.452671545764932,-6.828569007121606,6.828569007121606
5865,1,7,4,22,452.40113250535484,209.59886749464516,,0.7662362513319207,-0.6423755255311803,0.015352242290483212,50.03081460602704,50.030871636419405,-5.703039236237828e-05,508.0760483520494,-43.23292592909871,-11.598743870788251,11.598743870788251
6106,1,7,4,22,499.0222099547114,162.9777900452886,,0.09745920675600925,-0.8402730274896376,-0.5333319250634526,32.831038112442606,41.59113518725257,-8.760097074809963,363.4477049954608,47.41956915128673,12.721957286696481,12.721957286696481
6131,1,7,4,22,498.6531275921745,163.34687240782551,,0.565905050971596,-0.747143419494417,-0.3486089270099445,41.65646574006226,41.65651223458676,-4.649452449712044e-05,440.0253949831012,-30.318528127520057,-8.13400515308878,8.13400515308878
6317,1,6,4,22,508.8039642019623,153.1960357980377,,0.6408347536302437,-0.7675877445501726,-0.011826789760701934,39.86223814436232,39.86228246111985,-4.431675752414321e-05,424.30536174136444,-27.65542641337271,-7.41953501209233,7.41953501209233
6559,1,7,4,22,467.7611124875951,194.23888751240492,,0.6995757395347988,-0.6794660373517856,0.2211779571743105,47.19806860280139,47.19812199531692,-5.3392515525274575e-05,486.0457437515113,-38.811493019235655,-10.412539912548668,10.412539912548668
6687,1,7,4,22,345.0612095812658,316.9387904187342,,0.39470387594998846,-0.5821002460921862,0.7108925051014903,54.40160125295807,73.0817681634351,-18.680166910477027,539.7891381632168,30.14059363965855,8.086268005853588,8.086268005853588
6837,1,7,4,22,542.9521719636673,119.0478280363327,,0.5365018042275222,-0.830752646700322,0.14837740414572384,33.8238691866819,33.823906346626174,-3.71599442772208e-05,368.5634356376595,-19.226169046562717,-5.158092023502491,5.158092023502491
7038,1,6,4,22,465.7734810110467,196.22651898895327,,0.7367770338912284,-0.6748042016065813,-0.042413344887523574,47.56105281905907,47.561106673238385,-5.385417931336178e-05,488.9252717823254,-39.37658902386735,-10.564146672426034,10.564146672426034
7225,1,8,4,22,511.83548200832007,150.16451799167993,,0.6825944661206818,-0.6897047407551092,0.24160332241372207,46.39325891630648,39.32754258570217,7.06571633060431,482.5217363852768,-82.23369302621452,-22.06206317204431,22.06206317204431
7481,1,6,4,22,490.75334485047006,171.24665514952994,,0.0747265191684871,-0.9249376784986396,0.37270127210208037,22.341040681590023,43.059334183880026,-20.718293502290003,279.4596892255178,173.39954096668882,46.52048918186201,46.52048918186201
7651,1,7,4,22,184.89949182967592,477.1005081703241,,-0.16849185913198567,0.9251249326534965,0.34022691308759,157.68720130910688,172.63976096191078,-14.952559652803899,836.0076639012849,-126.38167320471129,-33.90630233695284,33.90630233695284
7662,1,7,4,22,325.86253712483455,336.13746287516545,,0.5418906338277723,0.10813631255561434,-0.8334633038572301,96.20789327625864,78.24323026391171,17.964663012346932,768.8204861809371,-160.99496394975972,-43.192527713772066,43.192527713772066
7764,1,7,4,22,516.0683551942494,145.93164480575058,,0.7859468931711848,-0.618208744967843,0.010267850790040514,51.814554789425834,38.58126641368339,13.233288375742447,531.1913729641992,-125.21112022001836,-33.59226057445668,33.59226057445668
7827,1,7,4,22,459.15373468690547,202.84626531309453,,0.029882565574095576,-0.9733213193929808,-0.22749206907014763,13.264475909277506,48.77739071514331,-35.512914805865805,239.51012237474546,313.02181081810414,83.97904448113799,83.97904448113799
7958,1,7,4,22,617.5133728650976,44.48662713490239,,0.3234579897866196,-0.9443909985001834,0.05916562173277365,19.197451273158276,19.197471941692555,-2.066853427962201e-05,217.8171158216518,-4.542716961262607,-1.2187426453065173,1.2187426453065173
8164,1,6,4,22,546.7260539488618,115.27394605113818,,0.47523136862130777,-0.837249109314799,-0.2704978285123457,33.14923768586118,33.14927406116336,-3.637530218014717e-05,362.0743075740966,-18.349591593541888,-4.922919475219024,4.922919475219024
8189,1,7,4,22,619.4841232306969,42.51587676930308,,0.26567003406688694,-0.9470235388842176,-0.18046010583536695,18.733342877239235,18.733363036973454,-2.015973421976014e-05,212.74100016470507,-4.2481399717306845,-1.139712068995027,1.139712068995027
8192,1,7,4,22,539.7541390997022,122.24586090029777,,0.45926833480870677,-0.8251763568492299,0.3288716721444247,34.3936247188527,34.39366254365034,-3.7824797644248065e-05,374.0040826667302,-19.978102785303317,-5.359824537692244,5.359824537692244
8256,1,7,4,22,606.8972141949838,55.1027858050162,,0.36741312293274914,-0.9299157554839008,-0.01625683854906874,21.57831338282647,21.578336672851513,-2.329002504453115e-05,243.62110740271865,-6.231391261146813,-1.6717885649294713,1.6717885649294713
8866,1,7,4,22,534.712197804983,127.28780219501698,,0.48611728166295975,-0.8162494359660071,0.31213273899703287,35.28890873266408,35.28894760633399,-3.8873669907957265e-05,382.47881110400914,-21.180136820472267,-5.682312192605065,5.682312192605065
9241,1,7,4,22,610.3957835054329,51.60421649456714,,0.3450017510041268,-0.9347417162515357,-0.08503949496098935,20.813542583811035,20.813565029619838,-2.244580880272906e-05,235.37712701168263,-5.656630057121024,-1.517588777404242,1.517588777404242
9293,1,7,4,22,525.1153974862182,136.88460251378183,,0.5348452142629253,-0.7987843153986719,0.2754708954737699,36.98583066621745,36.985871542399074,-4.087618162174067e-05,398.28778510771286,-23.522057037043457,-6.310614167872194,6.310614167872194
9325,1,6,4,22,317.0709321996442,344.9290678003558,,-0.35112120975775146,-0.7122241104312212,0.6078245738522823,44.5838356037394,80.77705085471729,-36.193215250977886,489.67839560726696,115.10879097254542,30.881957560684828,30.881957560684828
9346,1,7,4,22,584.1410581675275,77.85894183247251,,0.4289059305195227,-0.8971148374024576,0.10594654915354534,26.218620542902364,26.218649004449322,-2.846154695745895e-05,292.63233526656956,-10.357442360662438,-2.7787460255360164,2.7787460255360164
9388,1,7,4,22,517.6943709941617,144.30562900583834,,0.6052207279090693,-0.7848349079432556,-0.13319924092470567,38.294588156491834,38.29463059067377,-4.243418193539128e-05,410.2488913092468,-25.379471361937664,-6.8089304986177055,6.8089304986177055
9814,1,7,4,22,624.3072232897653,37.69277671023474,,0.29511317289121913,-0.9533961542360605,-0.06280118051412237,17.561020770744896,17.561039648252102,-1.8877507205417032e-05,199.85665123716626,-3.554205569542275,-0.9535399045823809,0.9535399045823809
9863,1,7,4,22,527.5904238134726,134.40957618652737,,0.5418945314779343,-0.8033493927391824,0.2469414301811199,36.54885325444352,36.548893613095984,-4.0358652462657574e-05,394.2489416858296,-22.911464366291035,-6.146801336673759,6.146801336673759
9922,1,7,4,22,318.04573312663626,343.95426687336374,,-0.001436228388466021,-0.8442182738224606,-0.535997615099397,32.41172312758528,80.49020872600725,-48.07848559842197,428.83920310841336,195.43245744203074,52.431589331388466,52.431589331388466
9922,5,16,4,22,39.61463420034713,622.3853657996528,,-0.8621252175566763,-0.20873283010024288,-0.46170414216378497,77.95189681079212,,,654.8781024944681,158.20693494805053,42.444541460234944,42.444541460234944
10103,1,7,4,22,574.6237532544939,87.37624674550614,,0.36610925694742386,-0.8826260296622562,-0.29484793324703357,28.03921933755936,28.039249853924854,-3.0516365495003583e-05,311.3405566080669,-12.260558178297801,-3.289323379504585,3.289323379504585
10146,1,7,4,22,512.0835130656242,149.91648693437583,,0.6178523647239024,-0.7740196966263987,-0.13839062337983649,39.28376076183431,39.28380438177085,-4.3619936541006155e-05,419.1530458958106,-26.809570462229164,-7.192604580758915,7.192604580758915
10277,1,7,4,22,628.621856387988,33.37814361201197,,0.2728143644117543,-0.959014080152212,0.07657882631914062,16.46074839971896,16.46076607748961,-1.7677770649981994e-05,187.687214476925,-2.9677772930237873,-0.7962100169619913,0.7962100169619913
10433,1,7,4,22,509.6854039460298,152.3145960539702,,0.5669670262714533,-0.769324584978595,-0.2944283852966928,39.70672414109733,39.70676827027702,-4.41291796846599e-05,422.9242500642666,-27.427375140748502,-7.3583522851838294,7.3583522851838294
10464,1,7,4,22,574.0869874309295,87.91301256907047,,0.37886112942228484,-0.881794565466884,-0.2808960464761652,28.1403957091349,28.14042634016179,-3.063102688827257e-05,312.37094130887414,-12.37071876183272,-3.3188778074231013,3.3188778074231013
10622,1,7,4,22,509.1286392034796,152.87136079652038,,0.618038105363521,-0.7682282027808602,0.1668961616417789,39.8049514711552,39.804995718793265,-4.4247638065542105e-05,423.7969448052418,-27.571364044345387,-7.396982342649632,7.396982342649632
10896,1,6,4,22,525.830470797422,136.16952920257802,,0.5757564769621244,-0.8001076511359619,-0.1683217924983471,36.859616489637546,36.85965721620399,-4.072656644638073e-05,397.12353579045504,-23.34518375594565,-6.263161726452804,6.263161726452804
10911,1,6,4,22,496.0325045595458,165.96749544045417,,0.24880371654514233,-0.9685225868068024,-0.00779162873760475,14.413949133161971,42.1210998091526,-27.707150675990626,219.5857631075307,276.4315665610293,74.1624322073492,74.1624322073492
11032,1,6,4,22,511.2778317383796,150.72216826162042,,0.5744429715538976,-0.7724472152312334,0.27081464530900234,39.425841860531705,39.42588565138188,-4.3790850178027085e-05,420.422286985994,-27.01669741870061,-7.248173628312812,7.248173628312812
11161,1,7,4,22,578.660568199019,83.33943180098095,,0.45633720930231214,-0.8888297377066576,-0.04168991214301011,27.273441350289406,27.273471000436185,-2.9650146778692488e-05,303.50976675150275,-11.441607443617258,-3.0696112131355693,3.0696112131355693
11221,1,7,4,22,301.95271858054645,360.04728141945355,,0.12466579257279806,-0.1427112538008424,-0.9818818351516582,81.79523465794152,85.4352655304239,-3.6400308724823844,687.2885628747551,-75.94862819417317,-20.37587479521089,20.37587479521089
11390,1,7,4,22,577.2116625607468,84.78833743925316,,0.46177428452208197,-0.8866130674720597,-0.02611089316557714,27.549315737658354,27.54934569953577,-2.9961877416440075e-05,306.3373274513796,-11.733596729699965,-3.1479475475266714,3.1479475475266714
11414,1,7,4,22,502.4821573152934,159.51784268470658,,0.20476407182448586,-0.8994143198573792,0.3861677823502949,25.918811331158313,40.9788424786977,-15.060031147539387,303.9148314628199,116.25462650272239,31.18936800184644,31.18936800184644
11775,1,7,4,22,241.2705557723864,420.7294442276136,,0.30613039584015617,0.3420569979694331,0.8884149879886587,110.00224715036464,110.24596169560859,-0.24371454524394665,778.2820352921897,-112.90086786594983,-30.289604994915955,30.289604994915955
11818,1,7,4,22,577.4472953439035,84.55270465609647,,0.3837898108487139,-0.8869743177897599,-0.2568695012454737,27.50453064437765,27.50456055562421,-2.9911246560487825e-05,305.878799033695,-11.685961175389386,-3.1351676446698176,3.1351676446698176
12077,1,7,4,22,590.8937610527004,71.10623894729963,,0.3351758078527686,-0.9241027380522455,-0.18355192005148527,22.46655785991296,24.8907933424498,-2.42423548253684,253.83816615807834,16.22443490336786,4.352771894297834,4.352771894297834
12253,1,7,4,22,629.9259996938252,32.07400030617475,,0.27146834315395607,-0.9606970110329816,0.0580188905231853,16.116962832173055,16.11698013577341,-1.730360035523404e-05,183.8703344404159,-2.7972744419332574,-0.7504666661121907,0.7504666661121907
12285,1,7,4,22,524.3208709585087,137.67912904149125,,0.6207619473003315,-0.7573298811010126,0.20274628473889816,40.770631805183655,37.126080138341614,3.644551666842041,432.9172453179515,-53.947113355318294,-14.473199232522118,14.473199232522118
12295,1,8,4,22,175.64001994158505,486.359980058415,,0.24773728170001028,0.6440917811114554,0.7237209522741226,130.09761444609344,,,786.6862633261004,-77.42309924877077,-20.77145320540722,20.77145320540722
12463,1,6,4,22,511.6587830297967,150.34121697020328,,0.6320924722779174,-0.7731913507380426,0.051324863696570515,39.3586592571375,39.358702967152794,-4.371001529790419e-05,419.82243570321083,-26.918706403065112,-7.22188411245033,7.22188411245033
12472,1,7,4,22,546.2879421289217,115.71205787107829,,0.4293107431569979,-0.8364995369633953,0.34053019024751896,33.227695386856816,33.22773185326824,-3.646641142296403e-05,362.8315741893414,-18.45074827678383,-4.950058292093597,4.950058292093597
12827,1,7,4,22,594.6839161175249,67.31608388247514,,0.40286418168011395,-0.9126235019781619,-0.06941753925578235,24.12954433090841,24.129570453214196,-2.6122305786913103e-05,270.79207176004826,-8.366767111676715,-2.2446777928938597,2.2446777928938597
12849,1,7,4,22,542.2059296976754,119.7940703023246,,0.46985734550829283,-0.8294573359219941,0.3020506625668763,33.95696642549698,33.957003740572524,-3.731507554505242e-05,369.83766435762146,-19.40088789151636,-5.204966462103772,5.204966462103772
12922,1,7,4,22,502.66980071373257,159.33019928626743,,0.7029572848797495,-0.5699464363845368,-0.4254551859914951,55.253509315429156,40.94566374317355,14.307845572255609,558.2129806784443,-133.25224714994937,-35.74957400371021,35.74957400371021
