Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_5s1/2(1),J_total_Rb_relativistic
2.35,0.04495471504381567,0.14312750575783348,0.08321143358232604,0.17027050187769605,0.1424562226002165,0.20340098022310155,0.4088508888712875,0.3517893306889117,0.5302651827619321,0.05822179722426912,0.02397087605643263,0.04549470984831503,0.001679326978352539,2.2076934715144896
2.4000000000000004,0.04493099578501595,0.14218633040145656,0.08317802233221093,0.17019695504280635,0.1362970380602189,0.2002322465433529,0.40213863674281664,0.34958212164466496,0.5268610423680341,0.05749615682577518,0.022440985510914897,0.042928956394681035,0.0016727618251757535,2.1801422494771248
2.45,0.04490679487922152,0.14123243773537558,0.0831426809958893,0.17011917686158987,0.13032662921357338,0.1970013389510111,0.39530436521728435,0.34727696680986997,0.523307787320693,0.056635284349059144,0.021203784376540732,0.0408888863773438,0.001662333250699904,2.153008466338152
2.5,0.044882113415688485,0.1402662099683405,0.08310535028665916,0.17003703910029208,0.12454774174674008,0.19371318194127465,0.3883589130092386,0.34487557539800584,0.5196082014736991,0.05564495377979288,0.020215879475554206,0.03929138376349871,0.0016476789585909393,2.126194222317375
2.5500000000000003,0.0448569525043637,0.13928803147960817,0.08306597126582387,0.1699504144282552,0.11896241293506672,0.1903727905838248,0.38131326455767234,0.34237994674118793,0.5157655085760797,0.05453337634148682,0.019438558458499674,0.03806285040883786,0.001628655259123005,2.09961873353983
2.6,0.04483131327577957,0.13829828854999796,0.08302448541022667,0.16985917656812094,0.1135720028945632,0.18698524502205388,0.3741784946019411,0.3397923504443452,0.5117833408046828,0.05331055876049528,0.018837453216529992,0.03713844847032746,0.0016052895999609106,2.0732164476190253
2.6500000000000004,0.04480519688094696,0.1372973690944601,0.08298083467876402,0.16976320044352497,0.1083772272415274,0.18355566584887303,0.36696571505083864,0.33711530571342396,0.5076657061421788,0.051987755492287104,0.01838220370777609,0.036461358642624064,0.0015777406184042506,2.0469352795556293
2.7,0.04477860449124633,0.13628566239642542,0.0829349615777958,0.169662362324098,0.10337819086943745,0.18008919048576744,0.35968602439741126,0.3343515601195087,0.50341695500457,0.050577006392345955,0.01804612763504927,0.03598206327760859,0.001546264733847422,2.0207349737051117
2.75,0.04475153729831707,0.13526355884419788,0.0828868092253734,0.16955653996759598,0.09857442256606946,0.17659095067296954,0.352350459888619,0.3315040680414839,0.499041746490825,0.049090751299712534,0.017805900126328864,0.03565766100242137,0.0015111884086941479,1.994585593832608
2.8000000000000003,0.04472399651394508,0.13423144966964556,0.0828363214142101,0.16944561275898867,0.09396491020861471,0.17306605116037335,0.34496995261722074,0.32857596900934594,0.49454501459406874,0.047541513200020195,0.017641246496741255,0.035451217442916294,0.0014728853021288603,1.968466140388219
2.85,0.044695983369948546,0.1331897266894384,0.08278344267332075,0.16932946184634462,0.08954813629038295,0.16951954967127458,0.33755528566360216,0.325570566149031,0.48993193467971263,0.04594164198836978,0.017534650282431355,0.035331155024202136,0.0014317576283092784,1.9423632919563683
2.9000000000000004,0.04466749911806202,0.1321387820490737,0.08272811832826162,0.1692079702733574,0.08532211354924901,0.16595643819433784,0.33011705537796276,0.3224913049081233,0.4852078905016669,0.044303111312372856,0.017471078007485295,0.035270683502579676,0.001388221111261035,1.9162702662337936
2.95,0.04463854502981875,0.13107900796992356,0.08267029455990418,0.16908102310836667,0.08128442048509286,0.16238162564347414,0.3226656358585424,0.3193417522204339,0.48037844199397123,0.0426373615037163,0.017437721552442192,0.035247271834248646,0.00134269300423012,1.890185794764165
3.0,0.04460912239643137,0.1300107964995298,0.08260991846168012,0.16894850756973573,0.07743223657088207,0.1587999219106425,0.31521114664953775,0.31612557624653087,0.4754492940422754,0.04095518217239706,0.017423758516811775,0.03524216116218264,0.001295582710042618,1.86411320490868
3.0500000000000003,0.04457923252867079,0.1289345392653649,0.08254693809523823,0.16881031314745512,0.07376237697955727,0.15521602332303705,0.3077634236531473,0.3128465268071195,0.47042626640802365,0.03926662861790673,0.01742013059036259,0.03523991806647625,0.0012472845971232532,1.8380596020794824
3.1,0.04454887675674355,0.12785062723226892,0.08248130254445775,0.1686663317208509,0.07027132666632292,0.1516344995037198,0.3003319932238172,0.3095084166069413,0.4653152649482377,0.037580966788332414,0.01741933965299752,0.035228026743921975,0.0011981726571523832,1.8120351450457646
3.1500000000000004,0.044518056430167444,0.12675945046376352,0.08241296196776549,0.1685164576722841,0.06695527366315984,0.14805978162353242,0.2929260493892519,0.30611510332873065,0.4601222542457,0.03590664207848277,0.01741526109735489,0.035196518432593554,0.001148596694604433,1.7860524070873909
3.2,0.044486772917645565,0.12566139788743733,0.08234186764870843,0.16836058799673667,0.0638101414592242,0.1444961520220732,0.28555443412206394,0.30267047265987573,0.454853231738271,0.03425126779246628,0.017402973700408476,0.03513763615324782,0.0010988797803000608,1.7601258158784585
