volume,theta_bin_left_deg,theta_bin_right_deg,theta_bin_center_deg,counts,mean_theta_deg,std_theta_deg,mean_Eprime_keV,std_Eprime_keV,mean_Et_keV,std_Et_keV,mean_qc_keV_c,std_qc_keV_c,mean_Q_keV_c,std_Q_keV_c,mean_Q_au,std_Q_au,mean_Abs_Q_au,std_Abs_Q_au
2,34.0,36.0,35.0,37,35.01229667719504,0.6115054059576597,536.2679029302857,3.44537867297534,125.73209706971426,3.4453786729753473,379.849370112157,5.7790845474101795,-20.811986750853325,0.8234353747040845,-5.583543065330963,0.2209153278453189,5.583543065330963,0.2209153278453189
2,36.0,38.0,37.0,36,36.961705768779204,0.5644525668515428,525.2507229588314,3.1982163195130062,136.74927704116857,3.198216319512986,398.0471089774896,5.198259039186846,-23.492553362013737,0.7927293472440818,-6.302698775551121,0.2126773624487123,6.302698775551121,0.2126773624487123
2,38.0,40.0,39.0,44,38.777676122512744,0.5982453183393083,505.7067122598985,60.87548120710318,156.29328774010148,60.87548120710317,418.44223407318657,25.221826967850443,-21.02720355259342,33.66542191075954,-5.641282496711743,9.031926423053067,8.045338774087961,6.9214948962987854
2,40.0,42.0,41.0,41,41.02793447803732,0.6262798494923902,472.9830068517149,82.82953307369986,189.01699314828508,82.82953307369988,442.5558988475159,24.247777945636816,-6.738907304050011,62.84860649183461,-1.8079474869881822,16.8613359764324,12.0784474984173,11.752400842270887
2,42.0,44.0,43.0,42,42.906288096290645,0.5253721634808669,482.49053854843794,41.90316133249559,179.5094614515621,41.90316133249559,452.4298381107735,9.544328355513006,-24.216072525540028,36.044179792892415,-6.4968080865219076,9.670111390009179,9.946367828769182,5.950284034776814
2,44.0,46.0,45.0,38,45.110211153241714,0.5649292016616062,466.0381752933422,63.708962127954486,195.9618247066579,63.7089621279545,472.61577248947424,21.705123879279494,-26.42449450952911,38.579048313808066,-7.089294493593117,10.350178493689416,10.650109638348837,6.5001728284736835
2,46.0,48.0,47.0,31,46.92767622700786,0.6034488166026055,469.25205843455103,3.3131223187258523,192.74794156544894,3.3131223187258776,483.8676754030682,4.815441017668474,-38.39234751131732,0.9382251838458268,-10.300089476070944,0.2517117073777905,10.300089476070944,0.2517117073777905
2,48.0,50.0,49.0,29,48.99549645479164,0.6541945919675884,457.98265391148556,3.537058638784218,204.01734608851444,3.5370586387842184,500.1157264694009,5.057875712008076,-41.6155278705988,1.0218918713811,-11.164820294844848,0.2741582214266052,11.164820294844848,0.2741582214266052
2,50.0,52.0,51.0,33,50.91384409625052,0.5802502238664096,447.69790737352685,3.081471362102505,214.3020926264731,3.0814713621025027,514.7160346233561,4.340592989250499,-44.613863733549714,0.9070283675620535,-11.969228716564912,0.24334207072046704,11.969228716564912,0.24334207072046704
2,52.0,54.0,53.0,31,53.19173684816411,0.5353593180540155,415.88378511739467,76.82744325958228,246.11621488260533,76.8274432595823,535.5137365901201,16.105101708543227,-34.61387719285613,52.52305605059177,-9.286382711946766,14.091146073271782,14.897724034232484,7.637513396385295
2,54.0,56.0,55.0,42,54.93186355476502,0.5879246625293408,402.7015828505385,76.310686259226,259.2984171494615,76.310686259226,547.5254464091153,11.960655659647093,-32.8054185323365,59.23876670617472,-8.801200449735873,15.892870248317776,16.302409100016938,7.725480430862639
2,56.0,58.0,57.0,33,56.80984629970051,0.5139327370676614,418.490409103372,6.380454336370689,243.50959089662805,6.3804543363707005,556.8622639791425,3.8515089701559537,-54.96103789429301,7.132005428280317,-14.745219938480382,1.9134098021345596,14.745219938480382,1.9134098021345596
2,58.0,60.0,59.0,34,59.01260854457885,0.5294679906312441,397.4841709445535,44.77355707398734,264.5158290554465,44.773557073987334,571.9991700904146,6.004564125270982,-49.99094791993701,33.94402827892194,-13.411819540786558,9.10667232182443,15.604754117934974,4.167950024055775
2,60.0,62.0,61.0,33,61.090658117284796,0.5239949113897018,391.1953990360107,31.701635070681636,270.8046009639893,31.701635070681636,584.6079419665926,3.418000564878354,-55.6554649376353,26.238949461400722,-14.931524271106056,7.039515547489313,16.402158958322566,1.42631173417103
2,62.0,64.0,63.0,20,63.157709053103474,0.5630071611074661,362.9369611080731,74.90447532621279,299.0630388919269,74.90447532621279,598.5521528742343,5.862974724991056,-44.39915979907277,58.43918020255845,-11.911626879758106,15.678353213935374,18.65602102669439,5.366558820970004
2,64.0,66.0,65.0,27,65.04183175936475,0.5388560807762507,371.6802317229813,40.651004976087755,290.3197682770187,40.651004976087755,608.5471519192122,5.597398091982233,-60.28709929913784,37.55031385493861,-16.174122117717495,10.074184508941563,18.30154913990428,5.032273596133287
