energy_center_keV,raw_counts,smoothed_counts
193.0,0,0.001028196578138909
195.0,0,8.922106863539231e-05
197.0,0,0.0
199.0,0,0.0
201.0,0,8.922106863539231e-05
203.0,0,0.001028196578138909
205.0,0,0.007597402196596929
207.0,0,0.03599434807370883
209.0,0,0.1093411749545305
211.0,0,0.212967528547854
213.0,1,0.2659642571610709
215.0,0,0.212967528547854
217.0,0,0.1093411749545305
219.0,0,0.03599434807370883
221.0,0,0.007597402196596929
223.0,0,0.001028196578138909
225.0,0,8.922106863539231e-05
227.0,0,0.0
229.0,0,0.0
231.0,0,8.922106863539231e-05
233.0,0,0.001028196578138909
235.0,0,0.007597402196596929
237.0,0,0.03599434807370883
239.0,0,0.1093411749545305
241.0,0,0.212967528547854
243.0,1,0.2659642571610709
245.0,0,0.212967528547854
247.0,0,0.1093411749545305
249.0,0,0.03599434807370883
251.0,0,0.007597402196596929
253.0,0,0.001028196578138909
255.0,0,8.922106863539231e-05
257.0,0,0.0
259.0,0,8.922106863539231e-05
261.0,0,0.001028196578138909
263.0,0,0.007597402196596929
265.0,0,0.03599434807370883
267.0,0,0.10943039602316589
269.0,0,0.2139957251259929
271.0,1,0.27356165935766785
273.0,0,0.24896187662156283
275.0,0,0.2187715709776964
277.0,0,0.24999007319970173
279.0,1,0.2811590615542648
281.0,0,0.24999007319970173
283.0,0,0.2187715709776964
285.0,0,0.24896187662156283
287.0,1,0.27356165935766785
289.0,0,0.2139957251259929
291.0,0,0.10943039602316589
293.0,0,0.03599434807370883
295.0,0,0.007597402196596929
297.0,0,0.001028196578138909
299.0,0,8.922106863539231e-05
301.0,0,0.0
303.0,0,0.0
305.0,0,0.0
307.0,0,0.0
309.0,0,8.922106863539231e-05
311.0,0,0.001028196578138909
313.0,0,0.007597402196596929
315.0,0,0.03599434807370883
317.0,0,0.1093411749545305
319.0,0,0.212967528547854
321.0,1,0.2659642571610709
323.0,0,0.212967528547854
325.0,0,0.1093411749545305
327.0,0,0.03599434807370883
329.0,0,0.007597402196596929
331.0,0,0.001028196578138909
333.0,0,8.922106863539231e-05
335.0,0,0.0
337.0,0,0.0
339.0,0,8.922106863539231e-05
341.0,0,0.001028196578138909
343.0,0,0.007597402196596929
345.0,0,0.03599434807370883
347.0,0,0.1093411749545305
349.0,0,0.212967528547854
351.0,1,0.2659642571610709
353.0,0,0.212967528547854
355.0,0,0.1093411749545305
357.0,0,0.03599434807370883
359.0,0,0.007597402196596929
361.0,0,0.001028196578138909
363.0,0,8.922106863539231e-05
365.0,0,0.0
367.0,0,0.0
369.0,0,0.0
371.0,0,0.0
373.0,0,0.0
375.0,0,0.0
377.0,0,0.0
379.0,0,0.0
381.0,0,0.0
383.0,0,0.0
385.0,0,0.0
387.0,0,8.922106863539231e-05
389.0,0,0.001028196578138909
391.0,0,0.007597402196596929
393.0,0,0.03599434807370883
395.0,0,0.1093411749545305
397.0,0,0.212967528547854
399.0,1,0.2659642571610709
401.0,0,0.212967528547854
403.0,0,0.1093411749545305
405.0,0,0.03599434807370883
407.0,0,0.007597402196596929
409.0,0,0.001028196578138909
411.0,0,8.922106863539231e-05
413.0,0,0.0
415.0,0,0.0
417.0,0,0.0
419.0,0,0.0
421.0,0,8.922106863539231e-05
423.0,0,0.001028196578138909
425.0,0,0.007597402196596929
427.0,0,0.03599434807370883
429.0,0,0.1093411749545305
431.0,0,0.212967528547854
433.0,1,0.2659642571610709
435.0,0,0.212967528547854
437.0,0,0.1093411749545305
439.0,0,0.03599434807370883
441.0,0,0.007597402196596929
443.0,0,0.001028196578138909
445.0,0,8.922106863539231e-05
447.0,0,0.0
449.0,0,0.0
451.0,0,0.0
453.0,0,0.0
455.0,0,0.0
457.0,0,0.0
459.0,0,0.0
461.0,0,0.0
463.0,0,0.0
465.0,0,8.922106863539231e-05
467.0,0,0.001028196578138909
469.0,0,0.007597402196596929
471.0,0,0.03599434807370883
473.0,0,0.1093411749545305
475.0,0,0.212967528547854
477.0,1,0.2659642571610709
479.0,0,0.212967528547854
481.0,0,0.1093411749545305
483.0,0,0.03599434807370883
485.0,0,0.007597402196596929
487.0,0,0.001028196578138909
489.0,0,8.922106863539231e-05
491.0,0,0.0
493.0,0,0.0
495.0,0,0.0
497.0,0,0.0
499.0,0,0.0
501.0,0,0.0
503.0,0,0.0
505.0,0,0.00017844213727078462
507.0,0,0.002056393156277818
509.0,0,0.015194804393193859
511.0,0,0.07198869614741767
513.0,0,0.218682349909061
515.0,0,0.425935057095708
517.0,2,0.5319285143221418
519.0,0,0.425935057095708
521.0,0,0.218682349909061
523.0,0,0.07198869614741767
525.0,0,0.015194804393193859
527.0,0,0.002056393156277818
529.0,0,0.00017844213727078462
